# x_m,y_m
-1.248322,2.429312
2.726617,-0.606190
6.701551,-3.641695
10.676482,-6.677204
14.651410,-9.712714
18.626336,-12.748224
22.601262,-15.783733
26.576187,-18.819240
30.551112,-21.854743
34.526040,-24.890241
38.500970,-27.925732
42.475904,-30.961216
46.450842,-33.996691
50.425785,-37.032156
54.400735,-40.067609
58.375692,-43.103048
62.350656,-46.138474
66.325630,-49.173884
70.300613,-52.209278
74.275607,-55.244653
78.250613,-58.280008
82.225631,-61.315343
86.200662,-64.350655
90.175708,-67.385944
94.150769,-70.421209
98.125846,-73.456447
102.100940,-76.491658
106.076051,-79.526840
110.051182,-82.561992
114.026332,-85.597113
118.001503,-88.632201
121.976695,-91.667255
125.951910,-94.702274
129.927148,-97.737257
133.902410,-100.772201
137.877697,-103.807106
141.853010,-106.841971
145.828350,-109.876794
149.803718,-112.911574
153.779114,-115.946309
157.754540,-118.980998
161.729996,-122.015641
165.705484,-125.050235
169.681004,-128.084779
173.656557,-131.119272
177.632144,-134.153713
181.607766,-137.188100
185.583424,-140.222433
189.559116,-143.256712
193.534697,-146.291191
197.509791,-149.326510
201.484007,-152.363345
205.456948,-155.402374
209.428222,-158.444271
213.397435,-161.489712
217.364192,-164.539375
221.328099,-167.593935
225.291400,-170.649799
229.308836,-173.618380
233.483385,-176.332996
237.863122,-178.717547
242.343735,-180.947167
246.828288,-183.181540
251.307581,-185.426876
255.786961,-187.663935
260.271791,-189.873441
264.777104,-192.015268
269.343712,-193.993700
274.016676,-195.703860
278.841057,-197.040866
283.838700,-197.867902
288.822688,-197.760974
293.491010,-196.152286
297.280641,-192.918621
299.253627,-188.605436
299.212592,-183.734103
298.064903,-178.712546
296.656401,-173.859071
295.182261,-169.132576
293.656232,-164.414281
292.088595,-159.683304
290.488673,-154.945854
288.865789,-150.208139
287.228059,-145.475346
285.578289,-140.748140
283.917823,-136.025942
282.248005,-131.308176
280.570178,-126.594263
278.885686,-121.883625
277.195875,-117.175685
275.502086,-112.469865
273.805666,-107.765586
272.107956,-103.062272
270.410302,-98.359344
268.714047,-93.656224
267.020536,-88.952335
265.331111,-84.247099
263.647118,-79.539938
261.969900,-74.830273
260.300800,-70.117528
258.640185,-65.401407
256.980605,-60.683862
255.310861,-55.967926
253.619735,-51.256639
251.896639,-46.552872
250.159198,-41.852041
248.463866,-37.139304
246.869923,-32.399068
245.436653,-27.615742
244.216722,-22.777413
243.234716,-17.887783
242.507767,-12.954696
242.053006,-7.985997
241.886215,-2.989875
242.001510,2.020004
242.375561,7.025558
242.984543,12.008581
243.805280,16.951374
244.824871,21.844334
246.038641,26.684332
247.442146,31.468421
249.030941,36.193654
250.800581,40.857084
252.746623,45.455764
254.864620,49.986746
257.150130,54.447084
259.600958,58.830748
262.232066,63.108212
265.066312,67.239131
268.126598,71.183105
271.435104,74.900548
274.985014,78.384696
278.731238,81.672107
282.626069,84.802301
286.621800,87.814800
290.677513,90.744182
294.779686,93.605078
298.921703,96.407089
303.096949,99.159820
307.298808,101.872872
311.520665,104.555848
315.755904,107.218351
319.997911,109.869982
324.240080,112.520330
328.478075,115.175744
332.712597,117.835380
336.945028,120.497424
341.176749,123.160065
345.409139,125.821488
349.643582,128.479881
353.881456,131.133432
358.124143,133.780326
362.372792,136.419065
366.626870,139.050422
370.885100,141.676176
375.146202,144.298110
379.408896,146.918005
383.671903,149.537646
387.933942,152.158813
392.193733,154.783291
396.449997,157.412862
400.701454,160.049309
404.946824,162.694414
409.184828,165.349960
413.414184,168.017729
417.633613,170.699505
421.841836,173.397070
426.037573,176.112207
430.219543,178.846699
434.384303,181.604935
438.497676,184.428341
442.502647,187.385863
446.341659,190.547100
449.957263,193.981434
453.311177,197.720338
456.406032,201.714344
459.249721,205.903577
461.850136,210.228165
464.217891,214.633193
466.382521,219.098235
468.381596,223.617508
470.252713,228.185283
472.033471,232.795832
473.761468,237.443426
475.474304,242.122334
477.209575,246.826828
479.004773,251.550718
480.893705,256.272122
482.905687,260.950002
485.069757,265.542157
487.414958,270.006385
489.970329,274.300482
492.764911,278.382248
495.827744,282.209480
499.187871,285.739976
