# x_m,y_m
-1.109596,0.066431
3.451092,2.113262
8.024256,4.132573
12.608404,6.127858
17.202008,8.102683
21.803541,10.060612
26.411476,12.005210
31.024286,13.940042
35.640443,15.868674
40.258420,17.794670
44.876691,19.721595
49.493728,21.653014
54.108004,23.592492
58.718012,25.543541
63.323774,27.505658
67.927876,29.471607
72.533148,31.433510
77.142422,33.383485
81.758529,35.313654
86.384299,37.216137
91.022564,39.083054
95.676155,40.906526
100.347902,42.678672
105.040637,44.391615
109.757191,46.037472
114.500393,47.608366
119.272420,49.097682
124.072074,50.505287
128.897084,51.833125
133.745177,53.083136
138.614081,54.257264
143.501523,55.357451
148.405320,56.383296
153.325130,57.286364
158.262335,57.973209
163.218372,58.350312
168.193838,58.426203
173.188025,58.368902
178.199893,58.354080
183.224086,58.434343
188.251294,58.549473
193.272060,58.635083
198.276927,58.626783
203.256439,58.460184
208.201609,58.072354
213.112493,57.428313
217.997289,56.518263
222.864059,55.333433
227.697403,53.872030
232.446736,52.142725
237.059952,50.154798
241.510179,47.912955
245.792749,45.417875
249.903754,42.670100
253.839285,39.670171
257.595434,36.418630
261.168279,32.916049
264.549117,29.174760
267.717295,25.236490
270.650324,21.147477
273.323952,16.942468
275.706075,12.604908
277.762520,8.104017
279.500393,3.434833
281.027450,-1.344659
282.466500,-6.167059
283.906920,-10.979351
285.292813,-15.791028
286.528945,-20.628529
287.553107,-25.509143
288.381990,-30.428311
289.043817,-35.378278
289.566810,-40.351291
289.979190,-45.339597
290.309164,-50.335448
290.580854,-55.333137
290.808816,-60.331733
291.006238,-65.330987
291.186309,-70.330648
291.362217,-75.330467
291.547150,-80.330195
291.751648,-85.329606
291.966029,-90.328645
292.171286,-95.327339
292.348365,-100.325717
292.478209,-105.323805
292.541761,-110.321630
292.522280,-115.319199
292.420310,-120.316357
292.244225,-125.312880
292.002432,-130.308541
291.703343,-135.303115
291.355366,-140.296376
290.966912,-145.288098
290.546390,-150.278055
290.102210,-155.266020
289.642782,-160.251770
289.176516,-165.235076
288.711821,-170.215714
288.256050,-175.193556
287.808988,-180.169178
287.367119,-185.143463
286.926914,-190.117295
286.484843,-195.091557
286.037377,-200.067134
285.580986,-205.044910
285.112142,-210.025769
284.627314,-215.010596
284.122973,-220.000273
283.595591,-224.995686
283.041637,-229.997717
282.454926,-235.006092
281.738985,-239.981107
280.687092,-244.834914
279.086368,-249.476756
276.806665,-253.818806
273.887933,-257.779262
270.392090,-261.279344
266.413144,-264.310947
262.082601,-266.948545
257.533841,-269.270291
252.868682,-271.228748
248.126979,-272.529922
243.342929,-272.857777
238.596645,-272.093273
234.020674,-270.342298
229.750353,-267.723190
225.913589,-264.372649
222.624371,-260.461783
219.995140,-256.165474
218.089198,-251.630960
216.810561,-246.915879
216.031028,-242.059748
215.622399,-237.102081
215.456472,-232.082395
215.405061,-227.040203
215.367355,-222.006298
215.328295,-216.984179
215.289564,-211.972012
215.252847,-206.967964
215.219827,-201.970201
215.192187,-196.976889
215.171611,-191.986196
215.159783,-186.996288
215.158385,-182.005331
215.169102,-177.011493
215.193617,-172.012939
215.233609,-167.007838
215.284296,-161.995611
215.321428,-156.979459
215.317104,-151.963290
215.243422,-146.951016
215.072481,-141.946545
214.776381,-136.953786
214.328262,-131.976925
213.711951,-127.022963
212.917534,-122.100555
211.935177,-117.218375
210.755048,-112.385097
209.367312,-107.609398
207.766291,-102.898113
205.987812,-98.239729
204.091576,-93.612170
202.137568,-88.993239
200.185777,-84.360736
198.296188,-79.692462
196.517453,-74.972017
194.787596,-70.239611
192.982176,-65.567419
190.976043,-61.027975
188.644050,-56.693817
185.861048,-52.637477
182.517016,-48.934582
178.644908,-45.689944
174.356378,-43.024442
169.763209,-41.054882
164.963741,-39.815256
160.044077,-39.264195
155.089287,-39.356528
150.151211,-39.987422
145.231352,-40.961659
140.327012,-42.076602
135.435430,-43.184892
130.553673,-44.282601
125.678793,-45.388594
120.808531,-46.512866
115.941645,-47.652249
111.076977,-48.802511
106.213367,-49.959421
101.349658,-51.118747
96.484691,-52.276255
91.617307,-53.427714
86.746348,-54.568893
81.870655,-55.695558
76.989069,-56.803478
72.100432,-57.888421
67.203667,-58.946422
62.301683,-59.986656
57.403102,-61.037107
52.516984,-62.127212
47.652388,-63.286404
42.818377,-64.544121
38.024010,-65.929797
33.276175,-67.465247
28.572257,-69.138933
23.907041,-70.930203
19.275313,-72.818400
14.671858,-74.782871
10.091462,-76.802960
5.529421,-78.860671
0.983229,-80.949381
-3.549040,-83.065509
-8.069309,-85.205470
-12.579499,-87.365684
-17.081535,-89.542566
-21.577340,-91.732535
-26.068837,-93.932007
-30.557949,-96.137401
-35.046599,-98.345133
-39.536711,-100.551621
-44.030208,-102.753281
-48.528808,-104.946902
-53.031061,-107.134988
-57.533023,-109.324550
-62.030681,-111.522719
-66.520021,-113.736627
-70.997033,-115.973407
-75.457702,-118.240189
-79.898016,-120.544106
-84.313962,-122.892289
-88.701529,-125.291871
-93.056703,-127.749983
-97.375471,-130.273757
-101.653775,-132.870360
-105.878315,-135.554090
-110.015468,-138.354919
-114.028907,-141.304910
-117.882303,-144.436125
-121.539328,-147.780625
-124.963748,-151.370350
-128.136174,-155.215773
-131.073332,-159.281326
-133.796617,-163.525495
-136.327423,-167.906763
-138.687145,-172.383613
-140.896708,-176.914687
-142.900646,-181.483932
-144.483290,-186.128370
-145.408795,-190.891709
-145.535396,-195.797394
-145.066172,-200.794594
-144.283191,-205.815467
-143.422493,-210.794995
-142.416812,-215.686757
-141.076135,-220.451861
