# x_m,y_m
-2.447973,0.125932
-6.304742,3.307700
-10.161890,6.488986
-14.019368,9.669851
-17.877125,12.850358
-21.735112,16.030570
-25.593279,19.210548
-29.451575,22.390356
-33.309951,25.570056
-37.168356,28.749710
-41.026742,31.929380
-44.885057,35.109130
-48.743252,38.289022
-52.601276,41.469117
-56.459081,44.649479
-60.316615,47.830170
-64.173829,51.011253
-68.030674,54.192789
-71.887098,57.374842
-75.743052,60.557474
-79.598514,63.740712
-83.453522,66.924512
-87.308120,70.108817
-91.162354,73.293572
-95.016269,76.478722
-98.869911,79.664212
-102.723325,82.849985
-106.576556,86.035987
-110.429650,89.222163
-114.282652,92.408456
-118.135606,95.594811
-121.988559,98.781173
-125.841556,101.967486
-129.694642,105.153696
-133.547862,108.339746
-137.401262,111.525581
-141.254887,114.711146
-145.108782,117.896385
-148.962993,121.081243
-152.817564,124.265665
-156.672542,127.449595
-160.527972,130.632977
-164.383898,133.815757
-168.240367,136.997878
-172.097422,140.179286
-175.955111,143.359924
-179.813478,146.539739
-183.672565,149.718677
-187.532370,152.896741
-191.392858,156.073974
-195.253994,159.250418
-199.115741,162.426117
-202.978064,165.601114
-206.840927,168.775452
-210.704295,171.949174
-214.568131,175.122324
-218.432401,178.294943
-222.297067,181.467076
-226.162096,184.638766
-230.027450,187.810056
-233.893094,190.980988
-237.758993,194.151607
-241.625110,197.321954
-245.491411,200.492074
-249.357858,203.662009
-253.224417,206.831803
-257.091052,210.001499
-260.957727,213.171139
-264.824406,216.340767
-268.691054,219.510426
-272.557634,222.680160
-276.424112,225.850011
-280.290451,229.020022
-284.156616,232.190236
-288.022571,235.360698
-291.888275,238.531456
-295.753682,241.702568
-299.618746,244.874092
-303.483421,248.046085
-307.347660,251.218606
-311.211416,254.391711
-315.074644,257.565460
-318.937296,260.739910
-322.799327,263.915119
-326.660689,267.091144
-330.521337,270.268044
-334.381224,273.445876
-338.240304,276.624699
-342.098530,279.804569
-345.955855,282.985545
-349.812234,286.167685
-353.667620,289.351046
-357.521967,292.535687
-361.375227,295.721665
-365.227355,298.909038
-369.078304,302.097864
-372.928028,305.288201
-376.776481,308.480107
-380.623615,311.673639
-384.469385,314.868855
-388.313744,318.065813
-392.156645,321.264572
-395.998121,324.465093
-399.838735,327.666695
-403.679272,330.868423
-407.520518,334.069327
-411.363260,337.268451
-415.208282,340.464843
-419.056372,343.657550
-422.908315,346.845619
-426.764897,350.028095
-430.626905,353.204027
-434.495123,356.372461
-438.370339,359.532444
-442.253338,362.683022
-446.144848,365.823305
-450.036704,368.961893
-453.902415,372.126954
-457.713227,375.349068
