# x_m,y_m
-0.410864,0.005838
-3.119209,-4.195764
-5.827667,-8.397296
-8.536250,-12.598751
-11.244958,-16.800128
-13.953781,-21.001434
-16.662710,-25.202675
-19.371737,-29.403856
-22.080850,-33.604983
-24.790041,-37.806063
-27.499301,-42.007101
-30.208620,-46.208104
-32.917989,-50.409076
-35.627399,-54.610025
-38.336839,-58.810956
-41.046301,-63.011875
-43.755775,-67.212789
-46.465252,-71.413702
-49.174722,-75.614621
-51.884176,-79.815552
-54.593605,-84.016501
-57.302999,-88.217473
-60.012349,-92.418476
-62.721645,-96.619514
-65.430879,-100.820594
-68.140040,-105.021721
-70.849119,-109.222902
-73.558107,-113.424143
-76.266995,-117.625448
-78.975772,-121.826826
-81.684431,-126.028280
-84.392960,-130.229818
-87.101351,-134.431446
-89.809595,-138.633168
-92.517682,-142.834992
-95.225603,-147.036922
-97.933348,-151.238966
-100.640908,-155.441129
-103.348273,-159.643417
-106.055434,-163.845835
-108.762382,-168.048391
-111.469108,-172.251089
-114.175601,-176.453936
-116.881853,-180.656938
-119.587854,-184.860100
-122.293594,-189.063429
-124.999065,-193.266931
-127.704257,-197.470611
-130.409161,-201.674476
-133.113766,-205.878531
-135.818065,-210.082782
-138.522046,-214.287236
-141.225702,-218.491898
-143.929022,-222.696774
-146.631998,-226.901871
-149.334619,-231.107193
-152.036876,-235.312748
-154.738761,-239.518541
-157.440263,-243.724577
-160.141373,-247.930864
-162.842082,-252.137406
-165.542381,-256.344210
-168.242268,-260.551276
-170.941764,-264.758593
-173.640889,-268.966145
-176.339665,-273.173920
-179.038113,-277.381904
-181.736256,-281.590083
-184.434113,-285.798443
-187.131708,-290.006971
-189.829062,-294.215652
-192.526195,-298.424474
-195.223130,-302.633423
-197.919888,-306.842484
-200.616491,-311.051645
-203.312959,-315.260890
-206.009315,-319.470208
-208.705580,-323.679583
-211.401776,-327.889003
-214.097923,-332.098453
-216.794045,-336.307920
-219.490161,-340.517390
-222.186293,-344.726850
-224.882464,-348.936285
-227.578694,-353.145682
-230.275006,-357.355028
-232.971419,-361.564307
-235.667957,-365.773508
-238.364641,-369.982616
-241.061491,-374.191617
-243.758530,-378.400498
-246.455779,-382.609245
-249.153260,-386.817844
-251.850993,-391.026282
-254.549002,-395.234544
-257.247306,-399.442618
-259.945928,-403.650489
-262.644889,-407.858143
-265.344210,-412.065568
-268.043914,-416.272749
-270.744021,-420.479672
-273.444554,-424.686325
-276.145532,-428.892692
-278.846979,-433.098761
-281.548916,-437.304517
-284.251364,-441.509948
-286.954344,-445.715038
-289.657878,-449.919776
-292.361988,-454.124146
-295.066695,-458.328135
-297.772021,-462.531730
-300.477986,-466.734916
-303.184614,-470.937680
-305.891924,-475.140009
-308.599939,-479.341888
-311.308680,-483.543304
-314.018169,-487.744243
-316.728427,-491.944692
-319.439476,-496.144636
-322.151327,-500.344068
-324.862192,-504.544080
-327.566369,-508.748158
-330.257639,-512.960100
-332.929786,-517.183706
-335.576593,-521.422774
-338.191843,-525.681105
-340.769318,-529.962497
-343.304646,-534.269623
-345.820075,-538.588884
-348.357846,-542.894467
-350.960690,-547.160256
-353.656893,-551.369146
-356.418580,-555.539061
-359.204228,-559.696437
-361.973461,-563.866858
-364.728123,-568.044572
-367.523565,-572.184108
-370.418582,-576.237442
-373.471970,-580.156547
-376.742524,-583.893397
-380.289040,-587.399966
-384.170055,-590.627814
-388.396205,-593.451121
-392.874566,-595.576926
-397.545227,-596.791319
-402.441277,-597.116041
-407.497932,-596.841894
-412.567404,-596.397472
-417.488788,-595.648499
-422.134885,-594.172844
-426.538500,-592.039877
-430.770648,-589.438552
-434.902344,-586.557821
-439.000426,-583.574089
-443.116131,-580.616903
-447.297054,-577.804881
-451.590069,-575.255054
-456.017466,-573.030487
-460.571472,-571.128265
-465.242484,-569.541453
-470.020899,-568.263116
-474.897114,-567.286319
-479.861526,-566.604126
-484.904371,-566.209833
-489.990711,-566.132313
-495.033385,-566.474263
-499.938736,-567.347556
-504.619486,-568.852423
-509.073695,-570.933308
-513.360292,-573.423533
-517.539516,-576.154024
-521.662491,-578.983575
-525.747132,-581.872441
-529.803801,-584.803965
-533.842859,-587.761491
-537.874666,-590.728362
-541.909585,-593.687922
-545.957975,-596.623514
-550.028357,-599.521546
-554.116926,-602.388917
-558.214822,-605.240939
-562.313169,-608.092947
-566.403092,-610.960278
-570.475714,-613.858269
-574.522159,-616.802254
-578.533704,-619.807298
-582.523969,-622.848395
-586.552271,-625.818585
-590.683515,-628.600892
-594.978335,-631.085728
-599.440867,-633.261315
-604.035253,-635.185109
-608.724789,-636.916029
-613.478226,-638.498348
-618.284152,-639.923087
-623.135660,-641.169171
-628.025843,-642.215526
-632.947794,-643.041076
-637.894607,-643.624747
-642.859374,-643.945464
-647.834941,-643.986042
-652.812504,-643.755186
-657.782587,-643.272163
-662.735710,-642.556274
-667.662396,-641.626816
-672.553166,-640.503091
-677.398541,-639.204398
-682.188182,-637.747042
-686.900505,-636.108210
-691.506033,-634.237637
-695.975129,-632.084487
-700.286540,-629.617476
-704.449102,-626.875469
-708.478401,-623.913056
-712.389699,-620.784103
-716.188184,-617.519698
-719.867214,-614.124200
-723.419477,-610.600440
-726.837656,-606.951247
-730.114436,-603.179454
-733.242503,-599.287889
-736.214557,-595.279395
-739.025358,-591.158108
-741.673792,-586.930763
-744.159233,-582.604403
-746.481054,-578.186071
-748.638632,-573.682809
-750.631342,-569.101661
-752.458556,-564.449669
-754.119652,-559.733877
-755.614002,-554.961327
-756.940983,-550.139062
-758.099969,-545.274126
-759.090334,-540.373560
-759.911453,-535.444409
-760.562702,-530.493715
-761.044525,-525.528094
-761.364296,-520.551402
-761.532150,-515.566393
-761.558230,-510.575819
-761.452677,-505.582431
-761.225633,-500.588983
-760.887240,-495.598225
-760.447609,-490.612911
-759.912844,-485.635940
-759.281102,-480.670502
-758.549601,-475.719818
-757.715561,-470.787113
-756.776202,-465.875610
-755.728744,-460.988532
-754.570406,-456.129103
-753.299468,-451.300125
-751.917940,-446.502930
-750.428649,-441.738521
-748.834423,-437.007905
-747.138090,-432.312087
-745.342479,-427.652071
-743.450419,-423.028865
-741.464736,-418.443472
-739.388259,-413.896898
-737.223816,-409.390149
-734.974236,-404.924230
-732.642347,-400.500147
-730.230976,-396.118904
-727.742952,-391.781508
-725.181546,-387.488570
-722.555628,-383.235728
-719.877907,-379.015209
-717.161167,-374.819175
-714.418194,-370.639785
-711.661772,-366.469200
-708.904686,-362.299580
-706.159719,-358.123086
-703.436399,-353.933818
-700.732822,-349.732683
-698.044577,-345.522078
-695.367253,-341.304403
-692.696440,-337.082057
-690.027727,-332.857438
-687.356703,-328.632944
-684.679478,-324.410716
-681.995513,-320.191220
-679.305596,-315.974264
-676.610519,-311.759652
-673.911071,-307.547189
-671.208046,-303.336680
-668.502235,-299.127928
-665.794428,-294.920740
-663.085417,-290.714919
-660.375994,-286.510270
-657.666950,-282.306598
-654.959076,-278.103708
-652.253164,-273.901404
-649.550004,-269.699491
-646.850368,-265.497772
-644.154357,-261.296006
-641.461300,-257.093898
-638.770486,-252.891151
-636.081200,-248.687470
-633.392729,-244.482557
-630.704360,-240.276115
-628.015379,-236.067848
-625.325074,-231.857459
-622.632730,-227.644651
-619.937634,-223.429127
-617.239073,-219.210591
-614.536334,-214.988745
-611.828704,-210.763294
-609.115468,-206.533940
-606.393408,-202.303160
-603.627559,-198.108562
-600.761171,-194.011866
-597.737065,-190.075265
-594.498063,-186.360951
-590.986987,-182.931117
-587.146658,-179.847956
-582.923040,-177.173620
-578.356480,-174.969046
-573.594146,-173.292034
-568.736087,-172.148988
-563.821166,-171.491900
-558.880725,-171.295109
-553.944468,-171.542884
-549.042077,-172.219497
-544.201711,-173.307252
-539.448569,-174.784639
-534.807512,-176.629708
-530.303401,-178.820512
-525.961099,-181.335103
-521.805465,-184.151533
-517.861361,-187.247854
-514.149890,-190.602431
-510.679312,-194.194701
-507.455144,-198.004327
-504.482903,-202.010975
-501.768108,-206.194310
-499.316275,-210.533995
-497.132922,-215.009696
-495.222474,-219.601779
-493.582548,-224.294993
-492.208142,-229.075771
-491.094247,-233.930549
-490.235854,-238.845763
-489.627956,-243.807851
-489.265544,-248.803249
-489.143610,-253.818394
-489.257145,-258.839722
-489.601141,-263.853670
-490.170590,-268.846674
-490.960484,-273.805171
-491.965814,-278.715598
-493.181573,-283.564391
-494.602588,-288.338295
-496.219052,-293.032815
-498.015955,-297.653281
-499.978014,-302.205544
-502.089945,-306.695453
-504.336465,-311.128859
-506.702290,-315.511611
-509.172135,-319.849560
-511.730717,-324.148554
-514.362753,-328.414446
-517.052958,-332.653083
-519.786049,-336.870318
-522.546742,-341.071998
-525.319754,-345.263975
-528.089799,-349.452099
-530.842487,-353.641910
-533.574151,-357.835235
-536.288217,-362.031443
