# x_m,y_m
0.693929,-2.314857
-1.472761,2.195896
-3.633185,6.710151
-5.788143,11.227405
-7.938434,15.747155
-10.084857,20.268900
-12.228210,24.792135
-14.369293,29.316360
-16.508904,33.841070
-18.647844,38.365765
-20.786910,42.889940
-22.926902,47.413094
-25.068620,51.934725
-27.212861,56.454328
-29.360425,60.971403
-31.512150,65.485494
-33.668994,69.996302
-35.831941,74.503553
-38.001973,79.006976
-40.180071,83.506299
-42.367219,88.001250
-44.564399,92.491556
-46.772592,96.976945
-48.992782,101.457146
-51.225951,105.931887
-53.473081,110.400894
-55.735154,114.863898
-58.013153,119.320624
-60.308060,123.770802
-62.620022,128.214393
-64.946668,132.652062
-67.285150,137.084609
-69.632620,141.512833
-71.986230,145.937531
-74.343135,150.359504
-76.700486,154.779550
-79.055435,159.198467
-81.405136,163.617055
-83.746741,168.036112
-86.077403,172.456437
-88.394274,176.878830
-90.694506,181.304088
-92.975253,185.733011
-95.234657,190.166437
-97.480951,194.605600
-99.728261,199.051969
-101.990790,203.507014
-104.282740,207.972205
-106.618313,212.449012
-109.011710,216.938908
-111.468537,221.443807
-113.804274,225.975516
-115.648388,230.555511
-116.622572,235.205673
-116.440104,239.937660
-115.292688,244.709722
-113.527733,249.462731
-111.490655,254.138169
-109.402916,258.714790
-107.294125,263.229026
-105.177420,267.722261
-103.064056,272.232066
-100.948127,276.761260
-98.814549,281.294085
-96.648164,285.814616
-94.439614,290.311954
-92.194947,294.788546
-89.922740,299.249030
-87.631570,303.698044
-85.330011,308.140226
-83.026642,312.580212
-80.730037,317.022641
-78.445902,321.470670
-76.166336,325.920438
-73.879411,330.366008
-71.573200,334.801444
-69.235774,339.220808
-66.855204,343.618162
-64.419562,347.987571
-61.917739,352.323277
-59.345784,356.621108
-56.703447,360.877709
-53.990510,365.089731
-51.206755,369.253827
-48.351962,373.366649
-45.425914,377.424849
-42.429256,381.426243
-39.366614,385.374005
-36.243757,389.272849
-33.066456,393.127490
-29.840480,396.942643
-26.571600,400.723023
-23.265586,404.473345
-19.928207,408.198323
-16.565234,411.902673
-13.182436,415.591108
-9.785584,419.268344
-6.380447,422.939096
-2.972796,426.608079
0.431599,430.280007
3.827211,433.959391
7.212713,437.647195
10.590344,441.341376
13.962455,445.039794
17.331397,448.740311
20.699522,452.440787
24.069180,456.139084
27.442722,459.833062
30.822501,463.520583
34.210866,467.199508
37.610170,470.867697
41.022763,474.523012
44.450996,478.163313
47.897221,481.786463
51.363660,485.390439
54.850383,488.975211
58.355679,492.542390
61.877781,496.093637
65.414925,499.630615
68.965345,503.154985
72.527276,506.668408
76.098952,510.172546
79.678609,513.669062
83.264480,517.159616
86.854801,520.645871
90.447806,524.129487
94.041730,527.612127
97.634807,531.095452
101.225275,534.581123
104.811946,538.070261
108.394988,541.562730
111.974760,545.058214
115.551624,548.556395
119.125938,552.056956
122.698065,555.559582
126.268363,559.063954
129.837194,562.569755
133.404918,566.076670
136.971895,569.584381
140.538486,573.092570
144.105051,576.600922
147.671950,580.109119
151.239541,583.616846
154.807532,587.124409
158.374149,590.633526
161.937410,594.146110
165.495333,597.664078
169.045936,601.189344
172.587240,604.723822
176.117261,608.269428
179.634019,611.828077
183.135532,615.401683
186.619818,618.992161
190.084897,622.601426
193.528786,626.231392
196.949505,629.883976
200.345072,633.561091
203.714949,637.263159
207.069234,640.979607
210.422777,644.694949
213.790450,648.393674
217.187126,652.060274
220.627675,655.679239
224.126971,659.235059
227.710721,662.695945
231.563038,665.792093
235.962388,668.083738
240.819658,669.277134
245.796844,669.251363
250.662405,668.120091
255.212205,666.053092
259.246342,663.219795
262.707950,659.777793
265.714324,655.870274
268.393297,651.639555
270.854388,647.216905
273.085104,642.660006
275.023084,637.996462
276.606078,633.253736
277.808056,628.452256
278.676245,623.598218
279.266708,618.696101
279.635508,613.750383
279.838709,608.765544
279.932375,603.746063
279.972567,598.696418
280.017563,593.625325
280.133457,588.556463
280.388068,583.516813
280.849215,578.533358
281.584718,573.633079
282.662397,568.842959
284.150070,564.189979
286.102674,559.698380
288.493332,555.374985
291.263164,551.219807
294.353212,547.232841
297.704520,543.414084
301.258133,539.763531
304.955096,536.281178
308.746838,532.963699
312.619990,529.796502
316.568633,526.762614
320.586852,523.845062
324.668727,521.026869
328.808342,518.291064
332.999778,515.620670
337.237027,512.999867
341.513520,510.419865
345.822481,507.874522
350.157130,505.357705
354.510688,502.863276
358.876377,500.385102
363.247418,497.917046
367.617443,495.453374
371.984868,492.993022
376.351200,490.537949
380.718001,488.090163
385.086832,485.651672
389.459254,483.224485
393.836828,480.810612
398.221115,478.412059
