# x_m,y_m
-0.065897,0.204612
-4.874960,-1.175167
-9.684416,-2.553644
-14.494249,-3.930863
-19.304442,-5.306869
-24.114980,-6.681704
-28.925846,-8.055415
-33.737025,-9.428045
-38.548502,-10.799638
-43.360258,-12.170239
-48.172280,-13.539893
-52.984551,-14.908642
-57.797054,-16.276532
-62.609775,-17.643607
-67.422696,-19.009910
-72.235803,-20.375488
-77.049078,-21.740383
-81.862507,-23.104640
-86.676073,-24.468303
-91.489762,-25.831418
-96.303564,-27.194031
-101.117469,-28.556189
-105.931467,-29.917939
-110.745549,-31.279328
-115.559703,-32.640403
-120.373919,-34.001209
-125.188189,-35.361795
-130.002501,-36.722207
-134.816846,-38.082492
-139.631213,-39.442696
-144.445593,-40.802867
-149.259976,-42.163052
-154.074350,-43.523296
-158.888708,-44.883647
-163.703037,-46.244153
-168.517328,-47.604858
-173.331572,-48.965812
-178.145758,-50.327059
-182.959876,-51.688648
-187.773916,-53.050624
-192.587868,-54.413036
-197.401721,-55.775928
-202.215467,-57.139350
-207.029094,-58.503346
-211.842593,-59.867965
-216.655953,-61.233252
-221.469165,-62.599255
-226.282227,-63.965976
-231.095171,-65.333221
-235.908040,-66.700745
-240.720878,-68.068300
-245.533725,-69.435641
-250.346625,-70.802520
-255.159621,-72.168692
-259.972755,-73.533909
-264.786070,-74.897926
-269.599608,-76.260495
-274.413411,-77.621371
-279.227523,-78.980307
-284.041987,-80.337057
-288.856843,-81.691374
-293.672062,-83.043508
-298.487300,-84.395790
-303.302136,-85.751090
-308.116144,-87.112281
-312.928903,-88.482234
-317.739989,-89.863821
-322.548978,-91.259914
-327.356264,-92.669581
-332.168405,-94.063131
-336.994780,-95.397724
-341.844624,-96.630867
-346.692621,-97.811054
-351.435629,-99.191708
-355.959866,-101.054280
-360.181891,-103.600689
-364.139636,-106.714729
-367.797401,-110.247981
-370.715226,-114.237613
-372.687539,-118.673492
-373.938653,-123.425555
-374.720821,-128.355944
-375.268529,-133.338995
-375.693256,-138.333442
-376.054443,-143.333726
-376.411236,-148.334421
-376.804813,-153.331078
-377.238900,-158.321293
-377.712533,-163.302913
-378.224111,-168.274094
-378.763438,-173.237099
-379.314173,-178.197129
-379.859840,-183.159446
-380.383966,-188.129316
-380.870076,-193.112002
-381.301696,-198.112767
-381.664995,-203.136077
-382.030286,-208.160943
-382.567467,-213.136252
-383.452200,-218.009149
-384.838690,-222.730136
-386.741131,-227.271622
-389.117545,-231.614807
-391.924779,-235.740991
-395.106721,-239.632433
-398.598365,-243.272053
-402.334529,-246.642787
-406.243120,-249.760094
-410.228061,-252.752302
-414.188075,-255.772202
-418.022870,-258.970002
-421.660960,-262.420216
-425.063575,-266.111399
-428.193714,-270.027455
-431.014378,-274.152289
-433.488566,-278.469804
-435.579277,-282.963907
-437.249682,-287.618450
-438.481291,-292.411958
-439.290003,-297.312955
-439.695502,-302.288868
-439.717473,-307.307122
-439.375601,-312.335142
-438.689571,-317.340354
-437.679065,-322.290181
-436.357085,-327.151294
