# x_m,y_m
-0.961068,-1.262557
-4.563333,2.207900
-8.165394,5.678697
-11.767270,9.149806
-15.368984,12.621197
-18.970557,16.092841
-22.572010,19.564707
-26.173364,23.036766
-29.774642,26.508988
-33.375864,29.981342
-36.977051,33.453800
-40.578226,36.926332
-44.179410,40.398906
-47.780624,43.871494
-51.381890,47.344066
-54.983228,50.816592
-58.584661,54.289041
-62.186210,57.761385
-65.787896,61.233592
-69.389740,64.705635
-72.991765,68.177481
-76.593991,71.649102
-80.196441,75.120468
-83.799134,78.591549
-87.402094,82.062315
-91.005340,85.532735
-94.608896,89.002781
-98.212781,92.472423
-101.817018,95.941630
-105.421628,99.410373
-109.026632,102.878621
-112.632053,106.346345
-116.237910,109.813516
-119.844226,113.280102
-123.451022,116.746075
-127.058319,120.211405
-130.666140,123.676061
-134.274504,127.140014
-137.883435,130.603233
-141.492952,134.065690
-145.103079,137.527353
-148.713835,140.988194
-152.325243,144.448183
-155.937324,147.907288
-159.550099,151.365482
-163.163589,154.822733
-166.777817,158.279012
-170.392804,161.734290
-174.008570,165.188535
-177.625138,168.641719
-181.242529,172.093811
-184.860764,175.544782
-188.479865,178.994601
-192.099853,182.443240
-195.720749,185.890667
-199.342576,189.336853
-202.965353,192.781769
-206.589104,196.225384
-210.213849,199.667669
-213.839610,203.108593
-217.466408,206.548127
-221.094264,209.986241
-224.723200,213.422905
-228.353238,216.858089
-231.984398,220.291764
-235.616703,223.723899
-239.250173,227.154464
-242.884831,230.583430
-246.520370,234.013862
-250.154961,237.463282
-253.786327,240.953435
-257.412193,244.506064
-261.020563,248.144733
-264.421511,251.926319
-267.269341,255.936865
-269.213093,260.263397
-269.919578,264.980285
-269.375305,269.934189
-267.843865,274.774979
-265.664500,279.309780
-263.341540,283.753295
-261.226919,288.290108
-259.231620,292.875234
-257.270596,297.463798
-255.434948,302.097790
-253.810983,306.814870
-252.407230,311.609485
-251.220451,316.469546
-250.247407,321.382962
-249.484862,326.337643
-248.929576,331.321499
-248.578311,336.322441
-248.427830,341.328379
-248.475186,346.327726
-248.719797,351.312992
-249.162231,356.278674
-249.803064,361.219284
-250.642872,366.129333
-251.682229,371.003333
-252.921712,375.835794
-254.361896,380.621228
-256.003310,385.353370
-257.846113,390.019751
-259.890283,394.604930
-262.135800,399.093446
-264.582643,403.469841
-267.230790,407.718653
-270.080221,411.824423
-273.130914,415.771692
-276.382396,419.545559
-279.814588,423.155399
-283.380725,426.643631
-287.032129,430.055043
-290.720581,433.433993
-294.417349,436.806538
-298.120049,440.173999
-301.828164,443.535945
-305.541173,446.891958
-309.258334,450.242311
-312.978615,453.588193
-316.700962,456.930863
-320.424323,460.271577
-324.147643,463.611591
-327.869868,466.952162
-331.589947,470.294547
-335.306824,473.640003
-339.019447,476.989787
-342.726761,480.345154
-346.427714,483.707362
-350.121253,487.077668
-353.806322,490.457328
-357.481870,493.847599
-361.146842,497.249738
-364.800185,500.665001
-368.440947,504.094472
-372.068578,507.538533
-375.682634,510.997391
-379.282669,514.471252
-382.868237,517.960322
-386.438894,521.464808
-389.994193,524.984914
-393.533689,528.520848
-397.056937,532.072815
-400.563491,535.641022
-404.052906,539.225675
-407.524736,542.826979
-410.978535,546.445141
-414.413858,550.080368
-417.830260,553.732865
-421.227296,557.402838
-424.604521,561.090491
-427.962009,564.795635
-431.300961,568.517214
-434.622726,572.254060
-437.928655,576.005003
-441.220098,579.768875
-444.498406,583.544508
-447.764928,587.330731
-451.021014,591.126376
-454.268015,594.930275
-457.507282,598.741258
-460.740164,602.558157
-463.968011,606.379802
-467.192174,610.205025
-470.414002,614.032656
-473.634847,617.861528
-476.856058,621.690470
-480.078550,625.518656
-483.300180,629.347653
-486.517495,633.180052
-489.727041,637.018451
-492.925358,640.865445
-496.108992,644.723631
-499.274484,648.595604
-502.418379,652.483962
-505.537230,656.391291
-508.627965,660.319839
-511.687969,664.271440
-514.714655,668.247903
-517.705438,672.251035
-520.657731,676.282645
-523.568948,680.344542
-526.436502,684.438533
-529.257807,688.566427
-532.031845,692.728814
-534.763392,696.921784
-537.458561,701.140385
-540.123466,705.379669
-542.764220,709.634684
-545.386938,713.900481
