# x_m,y_m
-1.908640,3.238718
3.039906,2.505059
7.989015,1.775156
12.938663,1.048840
17.888823,0.325944
22.839469,-0.393701
27.790575,-1.110261
32.742115,-1.823905
37.694063,-2.534800
42.646393,-3.243113
47.599079,-3.949014
52.552095,-4.652668
57.505416,-5.354245
62.459014,-6.053911
67.412864,-6.751835
72.366940,-7.448184
77.321217,-8.143125
82.275667,-8.836827
87.230265,-9.529457
92.184985,-10.221182
97.139802,-10.912169
102.094700,-11.602515
107.049676,-12.292256
112.004725,-12.981424
116.959844,-13.670052
121.915029,-14.358171
126.870277,-15.045814
131.825583,-15.733013
136.780944,-16.419800
141.736356,-17.106207
146.691815,-17.792267
151.647318,-18.478013
156.602860,-19.163475
161.558438,-19.848687
166.514048,-20.533681
171.469687,-21.218488
176.425350,-21.903142
181.381034,-22.587674
186.336735,-23.272116
191.292450,-23.956502
196.248173,-24.640862
201.203903,-25.325230
206.159634,-26.009637
211.115364,-26.694116
216.071088,-27.378699
221.026802,-28.063418
225.982504,-28.748306
230.938188,-29.433392
235.893855,-30.118683
240.849505,-30.804174
245.805137,-31.489857
250.760753,-32.175729
255.716352,-32.861783
260.671935,-33.548012
265.627502,-34.234413
270.583053,-34.920978
275.538590,-35.607702
280.494111,-36.294579
285.449617,-36.981604
290.405109,-37.668771
295.360588,-38.356073
300.316052,-39.043506
305.271503,-39.731063
310.226941,-40.418738
315.182366,-41.106527
320.137778,-41.794423
325.093179,-42.482420
330.048567,-43.170513
335.003944,-43.858695
339.959310,-44.546962
344.914664,-45.235307
349.870008,-45.923725
354.825342,-46.612209
359.780665,-47.300755
364.735979,-47.989356
369.691283,-48.678006
374.646578,-49.366700
379.601865,-50.055433
384.557143,-50.744197
389.512412,-51.432988
394.467674,-52.121800
399.422928,-52.810626
404.378175,-53.499462
409.333415,-54.188302
414.288648,-54.877139
419.243875,-55.565968
424.199096,-56.254783
429.154311,-56.943579
434.109520,-57.632349
439.064725,-58.321088
444.019924,-59.009791
448.975119,-59.698451
453.930310,-60.387062
458.885497,-61.075619
463.840680,-61.764117
468.795860,-62.452548
473.751037,-63.140909
478.706212,-63.829192
483.661384,-64.517392
488.616554,-65.205503
493.571722,-65.893520
498.526888,-66.581440
503.482054,-67.269266
508.437220,-67.957001
513.392386,-68.644652
518.347552,-69.332221
523.302720,-70.019713
528.257889,-70.707132
533.213061,-71.394483
538.168235,-72.081769
543.123413,-72.768996
548.078595,-73.456167
553.033782,-74.143287
557.988973,-74.830359
562.944170,-75.517389
567.899373,-76.204380
572.854583,-76.891336
577.809799,-77.578263
582.765024,-78.265164
587.720256,-78.952043
592.675497,-79.638905
597.630748,-80.325754
602.586008,-81.012594
607.541278,-81.699430
612.496560,-82.386265
617.451853,-83.073105
622.407157,-83.759953
627.362475,-84.446813
632.317805,-85.133690
637.273148,-85.820589
642.228506,-86.507512
647.183878,-87.194466
652.139266,-87.881453
657.094669,-88.568479
662.050088,-89.255547
667.005524,-89.942661
671.960977,-90.629827
676.916448,-91.317048
681.871938,-92.004328
686.827446,-92.691672
691.782973,-93.379084
696.738521,-94.066568
701.694089,-94.754129
706.649678,-95.441771
711.605288,-96.129498
716.560921,-96.817314
721.516576,-97.505224
726.472254,-98.193232
731.427956,-98.881342
736.383682,-99.569558
741.339432,-100.257885
746.295208,-100.946327
751.251010,-101.634888
756.206838,-102.323573
761.162693,-103.012385
766.118571,-103.701318
771.074462,-104.390345
776.030354,-105.079435
780.986234,-105.768559
785.942091,-106.457685
790.897914,-107.146785
795.853690,-107.835827
800.809407,-108.524782
805.765054,-109.213620
810.720618,-109.902310
815.676089,-110.590822
820.631453,-111.279127
825.586700,-111.967194
830.541817,-112.654992
835.496792,-113.342493
840.451615,-114.029665
845.406272,-114.716479
850.360752,-115.402904
855.315043,-116.088911
860.269134,-116.774468
865.223012,-117.459547
870.176666,-118.144117
875.130083,-118.828147
880.083252,-119.511608
885.036162,-120.194470
889.988800,-120.876702
894.941154,-121.558275
899.893269,-122.239549
904.845376,-122.922149
909.797741,-123.607951
914.750630,-124.298833
919.704310,-124.996671
924.659048,-125.703342
929.615109,-126.420724
934.572761,-127.150694
939.532270,-127.895129
944.493903,-128.655905
949.457925,-129.434900
954.424604,-130.233991
959.394207,-131.055055
964.353465,-131.920129
968.956964,-133.345979
972.520958,-136.318754
974.486938,-140.800457
974.675923,-145.792996
974.091478,-150.849372
973.574082,-155.834897
973.133816,-160.801747
972.731574,-165.773307
972.340376,-170.748629
971.933358,-175.726527
971.483657,-180.705817
970.964409,-185.685315
970.349586,-190.663841
969.660601,-195.640443
968.990875,-200.614511
968.439848,-205.585464
968.106961,-210.552724
968.091653,-215.515709
968.493365,-220.473840
969.452481,-225.390710
971.839362,-229.580710
975.928916,-232.402370
980.615613,-234.413377
985.189395,-236.395920
989.656571,-238.580368
994.155035,-240.830119
998.727098,-242.797139
1003.296846,-244.815941
1007.640573,-247.504416
