# x_m,y_m
0.123414,-0.739252
1.226607,-5.613015
2.327816,-10.486809
3.419084,-15.362353
4.488599,-20.242210
5.524512,-25.128950
6.514972,-30.025142
7.448130,-34.933357
8.312137,-39.856163
9.097019,-44.795450
9.801930,-49.749798
10.428788,-54.716781
10.979515,-59.693974
11.456032,-64.678953
11.860259,-69.669291
12.194119,-74.662566
12.459701,-79.656891
12.659553,-84.651818
12.796297,-89.647136
12.872553,-94.642633
12.890943,-99.638097
12.854087,-104.633316
12.764609,-109.628080
12.625128,-114.622176
12.438266,-119.615393
12.206644,-124.607518
11.932885,-129.598342
11.619608,-134.587651
11.269436,-139.575234
10.885010,-144.560888
10.469377,-149.544565
10.025941,-154.526359
9.558123,-159.506368
9.069342,-164.484690
8.563016,-169.461422
8.042564,-174.436664
7.511406,-179.410512
6.972962,-184.383065
6.430649,-189.354421
5.887887,-194.324678
5.348095,-199.293934
4.814693,-204.262288
4.291099,-209.229836
3.775436,-214.196720
3.240865,-219.163273
2.653204,-224.129889
1.980192,-229.097042
1.294945,-234.069583
0.828284,-239.058918
0.823872,-244.076860
1.482538,-249.074091
2.894219,-253.843027
5.131144,-258.150809
8.256072,-261.775935
12.162306,-264.700141
16.596866,-267.080607
21.303498,-269.079965
26.101557,-270.845518
30.919226,-272.502504
35.693135,-274.174449
40.359914,-275.984878
44.856190,-278.057317
49.118595,-280.515293
53.082581,-283.476264
56.663331,-286.953211
59.758944,-290.871050
62.266982,-295.151940
64.085010,-299.718042
65.110592,-304.491516
65.241291,-309.394524
64.391684,-314.337862
62.612226,-319.141581
60.018487,-323.582245
56.726476,-327.436468
52.860104,-330.564765
48.561681,-333.022953
43.976127,-334.894579
39.229804,-336.256747
34.371887,-337.159771
29.431486,-337.647000
24.437710,-337.761783
19.419671,-337.547469
14.406479,-337.047409
9.427198,-336.304943
4.500150,-335.361505
-0.380906,-334.254167
-5.225628,-333.019393
-10.043675,-331.693649
-14.844703,-330.313399
-19.638372,-328.915109
-24.434219,-327.534738
-29.236931,-326.187815
-34.044786,-324.862877
-38.855623,-323.546613
-43.667280,-322.225709
-48.477597,-320.886854
-53.284412,-319.516734
-58.085440,-318.102273
-62.876522,-316.633981
-67.652036,-315.105165
-72.406325,-313.509203
-77.133727,-311.839475
-81.828585,-310.089360
-86.485238,-308.252239
-91.098026,-306.321490
-95.661292,-304.290492
-100.169375,-302.152627
-104.616616,-299.901272
-108.997355,-297.529807
-113.305934,-295.031613
-117.536693,-292.400067
-121.687163,-289.633609
-125.767642,-286.750907
-129.791617,-283.775691
-133.772577,-280.731687
-137.724009,-277.642625
-141.659402,-274.532233
-145.592244,-271.424238
-149.534444,-268.339555
-153.486339,-265.278474
-157.443114,-262.232102
-161.399932,-259.191504
-165.351954,-256.147747
-169.294342,-253.091898
-173.222259,-250.015021
-177.132046,-246.910276
-181.024695,-243.779080
