# x_m,y_m
0.222988,-0.582687
0.715622,4.390946
1.206952,9.364690
1.696894,14.338554
2.185363,19.312542
2.672271,24.286663
3.157534,29.260921
3.641067,34.235324
4.122783,39.209879
4.602596,44.184591
5.080422,49.159468
5.556178,54.134516
6.029850,59.109735
6.501473,64.085123
6.971086,69.060678
7.438730,74.036397
7.904441,79.012276
8.368260,83.988314
8.830225,88.964507
9.290375,93.940853
9.748748,98.917348
10.205383,103.893991
10.660320,108.870777
11.113596,113.847706
11.565251,118.824773
12.015324,123.801976
12.463853,128.779312
12.910877,133.756779
13.356436,138.734373
13.800566,143.712092
14.243309,148.689933
14.684702,153.667894
15.124783,158.645971
15.563593,163.624162
16.001170,168.602464
16.437552,173.580874
16.872778,178.559390
17.306888,183.538008
17.739919,188.516727
18.171911,193.495542
18.602903,198.474452
19.032933,203.453453
19.462040,208.432544
19.890263,213.411720
20.317640,218.390980
20.744211,223.370320
21.170015,228.349738
21.595090,233.329231
22.019474,238.308796
22.443207,243.288430
22.866328,248.268132
23.288875,253.247897
23.710887,258.227723
24.132403,263.207607
24.553462,268.187547
24.974102,273.167540
25.394363,278.147583
25.814282,283.127673
26.233900,288.107808
26.653254,293.087985
27.072384,298.068200
27.491328,303.048451
27.910125,308.028736
28.328814,313.009052
28.747434,317.989395
29.166023,322.969763
29.584620,327.950154
30.003265,332.930564
30.421995,337.910991
30.840850,342.891432
31.259869,347.871885
31.679090,352.852345
32.098552,357.832812
32.518294,362.813281
32.938354,367.793750
33.358772,372.774217
33.779586,377.754678
34.200836,382.735131
34.622559,387.715573
35.044795,392.696002
35.467582,397.676414
35.890960,402.656806
36.314966,407.637177
36.739641,412.617522
37.164996,417.597839
37.590982,422.578121
38.017537,427.558359
38.444601,432.538548
38.872114,437.518679
39.300015,442.498745
39.728243,447.478739
40.156739,452.458654
40.585440,457.438483
41.014287,462.418217
41.443220,467.397851
41.872177,472.377376
42.301099,477.356786
42.729924,482.336073
43.158592,487.315229
43.587043,492.294248
44.015216,497.273123
44.443050,502.251845
44.870485,507.230408
45.297460,512.208805
45.723915,517.187028
46.149790,522.165070
46.575023,527.142923
46.999555,532.120581
47.423324,537.098035
47.846270,542.075280
48.268333,547.052307
48.689451,552.029110
49.109565,557.005680
49.528614,561.982011
49.946538,566.958095
50.363275,571.933926
50.778766,576.909496
51.192949,581.884797
51.605764,586.859822
52.017151,591.834565
52.427015,596.814339
52.834967,601.850679
53.245847,607.013497
53.951792,612.085802
55.670919,616.424918
58.972148,619.398711
63.548523,620.647446
68.640460,620.427891
73.762381,619.457253
78.760569,618.600999
83.596558,618.564419
88.319197,619.913418
92.736094,622.864040
96.070960,626.804120
97.800270,631.171896
98.205898,635.814846
97.686853,640.639962
96.642144,645.554239
95.439194,650.472338
94.199559,655.368600
92.929524,660.245341
91.634714,665.105042
90.320754,669.950180
88.993269,674.783236
87.657884,679.606688
86.320224,684.423014
84.985913,689.234695
83.660576,694.044209
82.349839,698.854034
81.059326,703.666650
79.794663,708.484535
78.561473,713.310169
77.365382,718.146031
76.212014,722.994599
75.106995,727.858353
74.055950,732.739771
73.064468,737.640953
72.137871,742.561005
71.281349,747.497605
70.500094,752.448425
69.799297,757.411139
69.184148,762.383417
68.659838,767.362931
68.231558,772.347352
67.904498,777.334354
67.683380,782.321686
67.565200,787.308400
67.540641,792.294611
67.600200,797.280464
67.734373,802.266104
67.933656,807.251678
68.188548,812.237330
68.489544,817.223208
68.827141,822.209455
69.191879,827.196215
69.576245,832.183464
69.975430,837.170946
70.384821,842.158392
70.799810,847.145529
71.215784,852.132086
71.628132,857.117792
72.032245,862.102376
72.423512,867.085566
72.797329,872.067092
73.151776,877.046902
73.491394,882.025469
73.821681,887.003345
74.148133,891.981082
74.476250,896.959232
74.811527,901.938346
75.159462,906.918976
75.525552,911.901674
75.915293,916.886968
76.334099,921.874291
76.787267,926.861538
77.280087,931.846486
77.817849,936.826914
78.405842,941.800600
79.049355,946.765322
79.753679,951.718858
80.524102,956.658986
81.365914,961.583485
82.284404,966.490133
83.284863,971.376708
84.372579,976.240987
85.552842,981.080751
86.830942,985.893776
88.212167,990.677840
89.701808,995.430723
91.305154,1000.150201
93.027340,1004.834091
94.866038,1009.481987
96.808311,1014.096012
98.840412,1018.678486
100.948594,1023.231724
103.119109,1027.758046
105.338211,1032.259768
107.592151,1036.739209
109.867183,1041.198685
112.149594,1045.640505
114.438002,1050.063362
116.761529,1054.457008
119.153932,1058.809840
121.648971,1063.110250
124.276648,1067.347567
127.035611,1071.518912
129.908905,1075.625287
132.879462,1079.667719
135.930333,1083.647233
139.050556,1087.564702
142.237778,1091.420775
145.490312,1095.216085
148.806474,1098.951266
152.184577,1102.626951
155.622935,1106.243773
159.119863,1109.802364
162.673676,1113.303359
166.282687,1116.747389
169.945211,1120.135089
173.659561,1123.467091
177.424053,1126.744028
181.237000,1129.966533
185.096718,1133.135240
189.001519,1136.250781
192.949718,1139.313790
196.939630,1142.324900
200.969569,1145.284744
205.038025,1148.193637
209.144289,1151.050455
213.287877,1153.853660
217.468309,1156.601717
221.685101,1159.293091
225.937773,1161.926244
230.225841,1164.499640
234.548824,1167.011745
238.906240,1169.461021
243.297605,1171.845933
247.722440,1174.164944
252.180260,1176.416519
256.670584,1178.599121
261.192931,1180.711214
265.746817,1182.751263
270.331761,1184.717731
274.947281,1186.609082
279.592894,1188.423781
284.267850,1190.161322
288.970153,1191.825967
293.697450,1193.423349
298.447389,1194.959103
303.217615,1196.438862
308.005777,1197.868262
312.809520,1199.252936
317.626492,1200.598519
322.454339,1201.910646
327.290879,1203.194326
332.135404,1204.449158
336.987968,1205.671951
341.848632,1206.859495
346.717454,1208.008578
351.594495,1209.115987
356.479813,1210.178511
361.373470,1211.192939
366.275523,1212.156059
371.185961,1213.065506
376.104424,1213.922878
381.030455,1214.730932
385.963596,1215.492422
390.903389,1216.210104
395.849376,1216.886733
400.801098,1217.525063
405.758098,1218.127851
410.719918,1218.697852
415.686099,1219.237821
420.656184,1219.750513
425.629714,1220.238683
430.606232,1220.705088
435.585279,1221.152481
440.566397,1221.583619
445.549129,1222.001257
450.533016,1222.408149
455.517600,1222.807052
460.502480,1223.200426
465.487516,1223.589341
470.472650,1223.974451
475.457822,1224.356412
480.442972,1224.735881
485.428042,1225.113513
490.412970,1225.489964
495.397699,1225.865890
500.382168,1226.241946
505.366318,1226.618789
510.350089,1226.997073
