# x_m,y_m
-0.129865,0.636609
0.401116,5.612063
0.931083,10.587618
1.460088,15.563274
1.988181,20.539029
2.515413,25.514879
3.041835,30.490824
3.567499,35.466860
4.092456,40.442987
4.616756,45.419201
5.140451,50.395500
5.663591,55.371884
6.186228,60.348348
6.708412,65.324892
7.230196,70.301514
7.751629,75.278210
8.272762,80.254979
8.793648,85.231819
9.314337,90.208728
9.834879,95.185704
10.355327,100.162745
10.875730,105.139847
11.396141,110.117011
11.916609,115.094232
12.437187,120.071510
12.957925,125.048842
13.478874,130.026225
14.000085,135.003659
14.521609,139.981141
15.043498,144.958668
15.565802,149.936238
16.088573,154.913850
16.611861,159.891502
17.135717,164.869191
17.660193,169.846914
18.185340,174.824671
18.711208,179.802459
19.237849,184.780276
19.765313,189.758119
20.293652,194.735987
20.822917,199.713878
21.353158,204.691789
21.884428,209.669718
22.406089,214.646629
22.729158,219.604217
22.517270,224.509910
21.440053,229.331214
19.613153,234.057471
17.642346,238.687213
15.295305,243.063349
12.116430,246.883281
8.096091,249.720901
3.548161,251.790146
-1.090721,253.709036
-5.716298,255.640506
-10.309957,257.628619
-14.855397,259.712245
-19.353425,261.891856
-23.812522,264.150688
-28.241206,266.471895
-32.647997,268.838634
-37.041412,271.234059
-41.429874,273.641506
-45.818200,276.050979
-50.206634,278.460964
-54.595121,280.870491
-58.983607,283.278594
-63.372037,285.684305
-67.760356,288.086656
-72.148578,290.485142
-76.536969,292.881025
-80.925854,295.275984
-85.315562,297.671700
-89.706419,300.069853
-94.098752,302.472124
-98.492836,304.879915
-102.888257,307.290862
-107.284102,309.699888
-111.679447,312.101854
-116.073369,314.491622
-120.464943,316.864053
-124.853274,319.214168
-129.241270,321.559728
-133.639584,323.964741
-138.059809,326.498816
-142.545915,328.886704
-147.244866,329.658656
-151.938820,328.247474
-156.087368,325.454104
-159.916637,322.148995
-163.772572,318.916929
-167.670243,315.807429
-171.553181,312.723415
-175.341911,309.510503
-178.958754,306.033711
-182.338848,302.277833
-185.422004,298.271359
-188.148042,294.042842
-190.456782,289.620834
-192.288042,285.033886
-193.584655,280.310430
-194.364309,275.475854
-194.722774,270.552380
-194.759478,265.562079
-194.573850,260.527021
-194.265320,255.469278
-193.933299,250.410918
-193.653540,245.368667
-193.430330,240.343122
-193.254517,235.331844
-193.116948,230.332395
-193.008471,225.342337
-192.919935,220.359233
-192.842187,215.380644
-192.766075,210.404133
-192.682447,205.427261
-192.582151,200.447591
-192.456035,195.462685
