# x_m,y_m
1.424272,-0.915436
-3.374845,0.489293
-8.173986,1.894245
-12.973155,3.299422
-17.772352,4.704827
-22.571582,6.110464
-27.370845,7.516334
-32.170145,8.922441
-36.969484,10.328787
-41.768864,11.735376
-46.568288,13.142209
-51.367759,14.549289
-56.167278,15.956620
-60.966848,17.364203
-65.766472,18.772043
-70.566152,20.180140
-75.365891,21.588499
-80.165690,22.997122
-84.965553,24.406011
-89.765481,25.815170
-94.565478,27.224600
-99.365545,28.634306
-104.165685,30.044289
-108.965901,31.454552
-113.766195,32.865098
-118.566563,34.275927
-123.366935,35.686998
-128.167197,37.098249
-132.967233,38.509614
-137.766929,39.921029
-142.566169,41.332430
-147.364840,42.743752
-152.162826,44.154930
-156.960011,45.565901
-161.756282,46.976599
-166.551523,48.386960
-171.345620,49.796919
-176.138457,51.206413
-180.929919,52.615376
-185.719892,54.023744
-190.508261,55.431452
-195.294910,56.838437
-200.079725,58.244633
-204.862591,59.649976
-209.643394,61.054402
-214.422017,62.457846
-219.198346,63.860243
-223.972267,65.261529
-228.743858,66.661679
-233.518083,68.061653
-238.305042,69.463446
-243.115077,70.869104
-247.958533,72.280673
-252.845752,73.700197
-257.786145,75.126833
-262.765967,76.488135
-267.747358,77.637052
-272.691324,78.423048
-277.558874,78.695584
-282.311018,78.304123
-286.914725,77.132816
-291.370290,75.259771
-295.689589,72.830475
-299.884506,69.990481
-303.966927,66.885343
-307.948738,63.660614
-311.847781,60.449526
-315.714318,57.318248
-319.609586,54.310248
-323.594829,51.468975
-327.731294,48.837879
-332.079695,46.460441
-336.660671,44.382501
-341.427454,42.653869
-346.326811,41.324735
-351.305510,40.445290
-356.310320,40.065724
-361.288086,40.235788
-366.191256,40.973601
-370.981554,42.244930
-375.621575,44.010624
-380.073913,46.231534
-384.301161,48.868511
-388.267104,51.882810
-391.947016,55.239607
-395.322600,58.906268
-398.375627,62.850185
-401.087871,67.038747
-403.441105,71.439348
-405.417103,76.019377
-406.997636,80.746225
-408.164477,85.587284
-408.899401,90.509945
-409.184179,95.481599
-409.000601,100.469633
-408.340174,105.438928
-407.220704,110.347585
-405.664398,115.152569
-403.693466,119.810848
-401.330115,124.279386
-398.596553,128.515150
-395.514990,132.475105
-392.107633,136.116218
-388.396691,139.395453
-384.404371,142.269778
-380.152883,144.696157
-375.665044,146.634127
-370.975038,148.091076
-366.127094,149.116709
-361.165792,149.762190
-356.135708,150.078685
-351.081421,150.117358
-346.046026,149.929017
-341.045756,149.557993
-336.073464,149.042984
-331.121227,148.422497
-326.181121,147.735043
-321.245220,147.019129
-316.306796,146.307542
-311.364573,145.606983
-306.418828,144.916725
-301.469838,144.236040
-296.517880,143.564200
-291.563231,142.900478
-286.606167,142.244147
-281.646965,141.594477
-276.685903,140.950743
-271.723258,140.312215
-266.759305,139.678166
-261.794323,139.047870
-256.828587,138.420597
-251.862376,137.795620
-246.895965,137.172213
-241.929632,136.549646
-236.963654,135.927192
-231.998307,135.304123
-227.033868,134.679713
-222.070615,134.053233
-217.108825,133.423955
-212.148773,132.791152
-207.190737,132.154096
-202.234945,131.512168
-197.281221,130.865632
-192.329193,130.215186
-187.378487,129.561528
-182.428731,128.905357
-177.479550,128.247372
-172.530572,127.588272
-167.581423,126.928757
-162.631729,126.269525
-157.681118,125.611275
-152.729216,124.954706
-147.775649,124.300518
-142.820045,123.649409
-137.862029,123.002079
-132.901229,122.359226
-127.937271,121.721550
-122.969782,121.089750
-117.998388,120.464524
-113.022715,119.846571
-108.042392,119.236592
-103.057044,118.635284
-98.066297,118.043347
-93.069779,117.461480
-88.067871,116.894425
-83.073039,116.411673
-78.107477,116.134834
-73.193656,116.186994
-68.354046,116.691239
-63.611116,117.770657
-58.989699,119.539403
-54.551306,121.972903
-50.386392,124.937123
-46.579857,128.303275
-43.169317,132.003848
-40.171037,135.999011
-37.600967,140.249703
-35.474225,144.719436
-33.805716,149.372361
-32.610348,154.172633
-31.903028,159.084405
-31.698661,164.071829
-32.009807,169.091241
-32.839837,174.068390
-34.189876,178.921552
-36.061049,183.569002
-38.454483,187.929014
-41.370425,191.920770
-44.778117,195.495548
-48.608210,198.644570
-52.788943,201.361554
-57.248552,203.640224
-61.915274,205.474298
-66.717796,206.859880
-71.600143,207.874082
-76.525083,208.693021
-81.458057,209.490848
-86.385295,210.333127
-91.308021,211.207137
-96.227674,212.099619
-101.144909,213.005408
-106.060054,213.922707
-110.973435,214.849730
-115.885381,215.784690
-120.796217,216.725802
-125.706272,217.671279
-130.615872,218.619336
-135.525345,219.568185
-140.435018,220.516042
-145.345217,221.461120
-150.256254,222.401723
-155.168220,223.337343
-160.081053,224.268314
-164.994685,225.194985
-169.909053,226.117706
-174.824088,227.036827
-179.739726,227.952698
-184.655901,228.865668
-189.572546,229.776087
-194.489596,230.684305
-199.406984,231.590672
-204.324645,232.495538
-209.242513,233.399253
-214.160521,234.302166
-219.078604,235.204628
-223.996696,236.106988
-228.914730,237.009595
-233.832641,237.912801
-238.750363,238.816954
-243.667830,239.722405
-248.584976,240.629503
-253.501734,241.538598
-258.418039,242.450040
-263.333828,243.364169
-268.249089,244.281041
-273.163877,245.200383
-278.078250,246.121903
-282.992263,247.045309
-287.905974,247.970312
-292.819440,248.896619
-297.732718,249.823939
-302.645865,250.751982
-307.558938,251.680456
-312.471995,252.609069
-317.385091,253.537531
-322.298285,254.465550
-327.211633,255.392835
-332.125192,256.319094
-337.039019,257.244038
-341.953172,258.167374
-346.867707,259.088811
-351.782681,260.008058
-356.698152,260.924823
-361.614176,261.838817
-366.530810,262.749746
-371.448112,263.657321
-376.366178,264.560793
-381.289409,265.409015
-386.230360,266.055454
-391.202488,266.342964
-396.204246,266.153657
-401.184257,265.500025
-406.081029,264.421619
-410.855563,262.961283
-415.510747,261.167996
-420.054038,259.091404
-424.492892,256.781154
-428.834768,254.286895
-433.088159,251.657661
-437.273477,248.935470
-441.418760,246.157846
-445.552168,243.362241
-449.701861,240.586107
-453.896001,237.866898
-458.158883,235.236856
-462.470920,232.669126
-466.784714,230.099387
-471.052424,227.462722
-475.226207,224.694216
-479.258223,221.728960
-483.098744,218.516026
-486.692047,215.049016
-489.981214,211.330369
-492.909329,207.362527
-495.419477,203.147930
-497.454758,198.689025
-498.994014,193.999957
-500.127429,189.131312
-500.966811,184.140755
-501.623968,179.085952
-502.210705,174.024565
-502.836192,169.012705
-503.545417,164.068631
-504.317168,159.171562
-505.127192,154.298926
-505.951236,149.428147
-506.765047,144.536654
-507.553165,139.605080
-508.348963,134.631876
-509.202625,129.621650
-510.091437,124.587939
-510.771515,119.571366
-510.958729,114.617505
-510.493289,109.758687
-509.429296,105.004473
-507.841964,100.362173
-505.806509,95.839098
-503.398146,91.442557
-500.693119,87.179174
-497.844410,83.004248
-495.133543,78.787107
-492.846945,74.392971
-491.108810,69.777252
-489.884861,64.983462
-489.137090,60.059454
-488.855699,55.059712
-489.046940,50.042484
-489.717247,45.066063
-490.873056,40.188743
-492.520801,35.468816
-494.663911,30.963144
-497.276748,26.714729
-500.317377,22.758812
-503.743686,19.130544
-507.513563,15.865079
-511.584893,12.997558
-515.915306,10.555579
-520.461723,8.545985
-525.180944,6.972078
-530.029770,5.837162
-534.965000,5.144540
-539.943436,4.897515
-544.921877,5.099390
-549.857123,5.753468
-554.705975,6.863053
-559.425233,8.431447
-563.971697,10.461955
-568.302153,12.956613
-572.373123,15.893502
-576.140891,19.229291
-579.561733,22.919895
-582.591923,26.921228
-585.187739,31.189206
-587.306612,35.679901
-588.927239,40.352290
-590.046976,45.167895
-590.676209,50.088478
-590.932179,55.077099
-590.986731,60.097482
-590.987336,65.118723
-590.968263,70.134394
-590.931518,75.145043
-590.879107,80.151219
-590.813031,85.153470
-590.735296,90.152346
-590.647906,95.148396
-590.552865,100.142168
-590.452176,105.134210
-590.347845,110.125073
-590.241873,115.115304
-590.136267,120.105453
-590.033030,125.096067
-589.934165,130.087697
-589.841677,135.080891
-589.757570,140.076198
-589.683848,145.074166
-589.622515,150.075344
-589.575575,155.080282
-589.545032,160.089527
-589.532890,165.103629
-589.541153,170.123137
-589.571825,175.148599
-589.622387,180.179714
-589.653408,185.209230
-589.607446,190.226508
-589.426939,195.220887
-589.054322,200.181702
-588.432033,205.098293
-587.488810,209.946186
-586.043093,214.589732
-583.860113,218.839644
-580.787070,222.561626
-577.025179,225.859384
-572.870796,228.900642
-568.617890,231.866477
-564.554852,234.969178
-560.967220,238.422887
-558.053285,242.331063
-555.893481,246.647663
-554.549935,251.313861
-553.930974,256.236889
-553.824056,261.297313
