# x_m,y_m
-1.439216,-1.563132
-1.211525,3.432201
-0.983974,8.427542
-0.756558,13.422893
-0.529273,18.418252
-0.302113,23.413619
-0.075073,28.408994
0.151852,33.404375
0.378667,38.399764
0.605376,43.395158
0.831985,48.390558
1.058498,53.385964
1.284921,58.381373
1.511259,63.376787
1.737516,68.372205
1.963698,73.367626
2.189810,78.363049
2.415856,83.358475
2.641841,88.353903
2.867771,93.349331
3.093650,98.344761
3.319480,103.340191
3.545266,108.335622
3.771011,113.331054
3.996717,118.326486
4.222389,123.321918
4.448030,128.317350
4.673642,133.312782
4.899230,138.308215
5.124797,143.303646
5.350346,148.299078
5.575880,153.294509
5.801402,158.289939
6.026917,163.285368
6.252427,168.280797
6.477936,173.276224
6.703446,178.271650
6.928963,183.267075
7.154487,188.262498
7.380024,193.257919
7.605576,198.253339
7.831147,203.248757
8.056740,208.244173
8.282358,213.239587
8.508005,218.234998
8.733684,223.230407
8.959398,228.225814
9.185151,233.221217
9.410946,238.216618
9.636787,243.212016
9.862676,248.207411
10.088617,253.202803
10.314614,258.198191
10.540669,263.193576
10.766786,268.188957
10.992969,273.184334
11.219220,278.179708
11.445544,283.175077
11.671942,288.170442
11.898420,293.165803
12.124979,298.161160
12.351624,303.156512
12.578358,308.151859
12.805184,313.147201
13.032105,318.142539
13.259124,323.137871
13.486246,328.133198
13.713473,333.128520
13.940809,338.123836
14.168257,343.119146
14.395821,348.114451
14.623503,353.109750
14.851307,358.105043
15.079237,363.100329
15.307295,368.095609
15.535485,373.090883
15.763811,378.086150
15.992276,383.081411
16.220882,388.076665
16.449634,393.071911
16.678535,398.067151
16.907588,403.062383
17.136796,408.057608
17.366163,413.052826
17.595692,418.048035
17.825386,423.043237
18.055249,428.038431
18.285275,433.033618
18.515406,438.028799
18.745570,443.023980
18.975697,448.019162
19.205713,453.014350
19.435547,458.009546
19.665126,463.004756
19.894379,467.999981
20.123233,472.995225
20.351617,477.990493
20.579458,482.985786
20.806684,487.981110
21.033224,492.976467
21.259006,497.971860
21.483956,502.967293
21.708004,507.962771
21.931077,512.958295
22.153103,517.953870
22.374010,522.949498
22.593727,527.945185
22.812180,532.940932
23.029299,537.936744
23.245011,542.932623
23.459243,547.928574
23.671925,552.924600
23.882983,557.920704
24.092346,562.916889
24.299943,567.913160
24.505700,572.909520
24.709545,577.905971
24.911408,582.902518
25.111215,587.899165
25.308895,592.895913
25.504375,597.892768
25.697631,602.889728
25.888864,607.886771
26.078341,612.883871
26.266331,617.880999
26.453103,622.878129
26.638923,627.875231
26.824061,632.872280
27.008785,637.869247
27.193363,642.866104
27.378062,647.862825
27.563152,652.859381
27.748901,657.855746
27.935576,662.851891
28.123445,667.847788
28.312778,672.843412
28.503842,677.838732
28.696899,682.833725
28.889122,687.828882
29.069706,692.826045
29.226574,697.827268
29.347650,702.834604
29.430480,707.848520
29.556275,712.855682
29.849290,717.835658
30.434134,722.767956
31.540133,727.577202
34.219540,731.704261
38.541084,734.189822
43.494979,734.583758
48.271547,733.367663
52.474456,731.010857
56.251785,727.866856
59.791235,724.280748
63.278537,720.594028
66.817085,716.998179
70.399892,713.483575
74.012241,710.026500
77.639413,706.603241
81.266688,703.190083
84.879349,699.763312
88.462677,696.299214
92.001953,692.774074
95.487013,689.170165
98.977993,685.562180
102.590269,682.097434
106.440709,678.925200
110.645774,676.195280
115.234300,674.172325
120.038802,673.376562
124.905708,673.972509
129.770551,675.270564
134.598333,676.698625
139.392007,678.179856
144.159436,679.701506
148.908485,681.250824
153.647018,682.815056
158.382899,684.381452
163.123993,685.937259
167.878162,687.469726
172.651441,688.969420
177.437070,690.450092
182.222839,691.935371
186.996516,693.448927
191.746287,695.013534
196.474825,696.621025
201.202663,698.225078
205.951435,699.777016
