# x_m,y_m
1.939724,0.520251
3.152443,-4.326769
4.367640,-9.173170
5.591496,-14.017468
6.830188,-18.858179
8.089897,-23.693820
9.375780,-28.523148
10.685678,-33.346666
12.014241,-38.165635
13.356102,-42.981318
14.705897,-47.794980
16.058261,-52.607885
17.407828,-57.421298
18.750292,-62.236239
20.085476,-67.052773
21.414212,-71.870733
22.737332,-76.689954
24.055666,-81.510267
25.370047,-86.331506
26.681306,-91.153505
27.990275,-95.976096
29.297785,-100.799113
30.604667,-105.622388
31.911754,-110.445755
33.219877,-115.269048
34.529868,-120.092098
35.842458,-124.914755
37.157658,-129.736978
38.475158,-134.558776
39.794650,-139.380158
41.115822,-144.201132
42.438364,-149.021708
43.761966,-153.841895
45.086318,-158.661700
46.411110,-163.481134
47.736032,-168.300205
49.060773,-173.118922
50.385022,-177.937294
51.708471,-182.755330
53.030808,-187.573039
54.351604,-192.390645
55.670165,-197.208845
56.985765,-202.028399
58.297674,-206.850068
59.605165,-211.674610
60.907509,-216.502787
62.204298,-221.335228
63.507417,-226.167547
64.844675,-230.988863
66.244939,-235.787859
67.737076,-240.553221
69.349955,-245.273634
71.112443,-249.937785
73.069028,-254.521061
75.326675,-258.945667
77.934850,-263.173635
80.656588,-267.374704
83.370250,-271.619690
86.197540,-275.783012
89.276156,-279.726102
92.701738,-283.328233
96.476259,-286.508414
100.589050,-289.191016
105.027192,-291.307258
109.744910,-292.888450
114.671536,-294.041739
119.734714,-294.871860
124.821856,-295.321887
129.768862,-295.127904
134.408260,-294.012457
138.600453,-291.759834
142.402786,-288.590619
145.957466,-284.913379
149.402185,-281.121259
152.806578,-277.380365
156.190058,-273.689264
159.570865,-270.042611
162.967239,-266.435062
166.397420,-262.861271
169.879648,-259.315893
173.438657,-255.808733
177.144991,-252.456428
181.088891,-249.421566
185.360304,-246.866602
189.983075,-244.898906
194.839580,-243.507962
199.793951,-242.668049
204.719660,-242.419730
209.525830,-243.056604
214.148393,-244.759824
218.591527,-247.079121
222.898827,-249.628412
227.142649,-252.276490
231.396913,-254.907565
235.712486,-257.439332
240.092594,-259.858681
244.534574,-262.161065
249.035757,-264.341937
253.593477,-266.396748
258.205069,-268.320952
262.867865,-270.110001
267.579200,-271.759348
272.336406,-273.264444
277.136818,-274.620743
281.977769,-275.823698
286.856593,-276.868759
291.770623,-277.751381
296.716331,-278.467335
301.686999,-279.013572
306.675172,-279.387316
311.673397,-279.585793
316.674220,-279.606226
321.670185,-279.445839
326.653840,-279.101856
331.617729,-278.571503
336.554398,-277.852003
341.456394,-276.940580
346.316262,-275.834459
351.126547,-274.530863
355.879796,-273.027018
360.568501,-271.320233
365.183386,-269.410682
369.713022,-267.302021
374.145854,-264.998115
378.472077,-262.504455
382.693761,-259.837519
386.817893,-257.018339
390.850701,-254.066967
394.787972,-250.990090
398.618013,-247.784815
402.328971,-244.448040
405.908987,-240.976665
409.346209,-237.367587
412.628779,-233.617706
415.747244,-229.725895
418.708416,-225.704413
421.525860,-221.571071
424.213162,-217.343697
426.783908,-213.040122
429.251682,-208.678175
431.630071,-204.275684
433.920289,-199.842369
436.077840,-195.357975
438.047669,-190.795328
439.776635,-186.128167
441.275251,-181.360652
442.631105,-176.533780
443.936234,-171.690668
445.256132,-166.861012
446.601240,-162.046667
447.975155,-157.246027
449.381475,-152.457489
450.823797,-147.679446
452.305717,-142.910294
453.829984,-138.148270
455.370679,-133.386316
456.866994,-128.610924
458.256229,-123.808249
459.510088,-118.972384
460.672050,-114.113993
461.794573,-109.245809
462.920649,-104.378272
464.057987,-99.513261
465.206084,-94.650667
466.364434,-89.790378
467.532533,-84.932282
468.709879,-80.076269
469.895966,-75.222228
471.090290,-70.370047
472.292347,-65.519615
473.501633,-60.670821
474.717644,-55.823554
