# x_m,y_m
3.439354,-0.495322
6.370784,3.555763
9.301950,7.606888
12.232871,11.658055
15.163568,15.709268
18.094060,19.760528
21.024366,23.811839
23.954506,27.863202
26.884500,31.914621
29.814366,35.966098
32.744125,40.017636
35.673796,44.069236
38.603399,48.120902
41.532953,52.172637
44.462475,56.224441
47.391971,60.276311
50.321445,64.328241
53.250899,68.380227
56.180339,72.432264
59.109766,76.484346
62.039185,80.536469
64.968599,84.588627
67.898011,88.640816
70.827426,92.693031
73.756845,96.745266
76.686274,100.797517
79.615716,104.849778
82.545173,108.902045
85.474650,112.954312
88.404150,117.006575
91.333676,121.058828
94.263232,125.111066
97.192822,129.163285
100.122449,133.215480
103.052116,137.267644
105.981826,141.319774
108.911585,145.371865
111.841394,149.423910
114.771257,153.475907
117.701179,157.527848
120.631161,161.579729
123.561209,165.631546
126.491325,169.683293
129.421513,173.734966
132.351776,177.786558
135.282117,181.838066
138.212541,185.889484
141.143051,189.940807
144.073651,193.992030
147.004343,198.043148
149.935130,202.094157
152.865943,206.145109
155.796552,210.196180
158.726709,214.247562
161.656164,218.299445
164.584671,222.352022
167.511979,226.405483
170.437840,230.460020
173.362005,234.515824
176.284227,238.573087
179.204255,242.632000
182.121842,246.692754
185.036739,250.755542
187.948697,254.820553
190.857468,258.887980
193.762802,262.958013
196.664452,267.030845
199.562168,271.106667
202.455702,275.185669
205.345402,279.267521
208.235749,283.348275
211.132970,287.422453
214.043297,291.484572
216.972963,295.529151
219.918145,299.561274
222.837321,303.625636
225.694474,307.761829
228.650262,311.812111
231.993320,315.484987
235.812361,318.616285
240.048606,321.137137
244.614426,323.078717
249.369038,324.675914
254.179144,326.159655
259.007574,327.560734
263.857250,328.826485
268.731227,329.903966
273.632468,330.741383
278.560992,331.325163
283.513254,331.687958
288.485493,331.865192
293.473950,331.892284
298.474866,331.804658
303.484481,331.637734
308.499035,331.426935
313.514768,331.207681
318.527930,331.015293
323.536043,330.869974
328.539242,330.760885
333.537985,330.673377
338.532727,330.592797
343.523926,330.504496
348.512039,330.393822
353.497523,330.246125
358.480834,330.046754
363.462430,329.781057
368.442789,329.439958
373.422470,329.034631
378.402053,328.580855
383.382115,328.094409
388.363233,327.591070
393.345987,327.086616
398.330952,326.596825
403.318709,326.137475
408.309834,325.724345
413.304483,325.374841
418.300004,325.117181
423.292605,324.983989
428.278488,325.007900
433.253857,325.221547
438.216096,325.643686
443.166847,326.243066
448.108711,326.977179
453.044290,327.803518
457.975269,328.683653
462.891414,329.632229
467.774152,330.701041
472.604738,331.942643
477.364424,333.409594
482.036584,335.145509
486.618453,337.135450
491.112850,339.340914
495.522607,341.723335
499.850612,344.244545
504.101513,346.878755
508.282012,349.614674
512.398930,352.441834
516.459087,355.349768
520.469305,358.328009
524.436404,361.366088
528.367204,364.453540
532.268526,367.579895
536.147178,370.734707
540.008316,373.910244
543.853823,377.104154
547.685195,380.314717
551.503932,383.540212
555.311529,386.778922
559.109484,390.029125
562.899295,393.289103
566.682459,396.557136
570.460473,399.831505
574.234835,403.110490
578.007042,406.392372
581.778591,409.675430
585.550980,412.957946
589.325707,416.238200
593.104267,419.514472
596.888160,422.785043
600.678882,426.048194
604.477930,429.302204
608.286241,432.545952
612.101165,435.782126
615.918643,439.014911
619.734614,442.248497
623.545016,445.487073
627.345787,448.734828
631.132867,451.995951
634.902193,455.274633
638.649703,458.575062
642.374118,461.898412
646.108757,465.208355
649.910380,468.443157
653.836191,471.540599
657.943396,474.438463
662.278341,477.056720
666.818963,479.203126
671.516634,480.641856
676.322665,481.136989
681.184804,480.461489
685.949435,478.641189
690.349441,475.985074
694.156786,472.753663
697.294647,468.994703
699.734140,464.722678
701.639713,460.086335
703.301720,455.321663
704.921608,450.580747
706.529154,445.854824
708.131629,441.126059
709.729697,436.393064
711.323295,431.656265
712.912358,426.916091
714.496819,422.172969
716.076615,417.427326
717.651681,412.679592
719.221952,407.930192
720.787363,403.179555
722.349797,398.428705
723.917579,393.680633
725.500366,388.938738
727.107813,384.206421
728.750056,379.487331
730.487810,374.811430
732.476207,370.257801
734.880712,365.910905
737.866791,361.855201
741.556495,358.245902
745.816125,355.655021
750.417627,354.783321
755.106521,355.727613
759.600344,357.940885
763.698997,360.907437
767.465787,364.308575
771.001660,367.886354
774.252677,371.626822
777.081974,375.655956
779.496149,379.975692
781.591290,384.509952
783.464811,389.181506
785.214123,393.913125
786.923988,398.637972
788.607450,403.348136
790.252310,408.056447
791.846339,412.775761
793.377518,417.518643
794.839013,422.290579
796.229370,427.089702
797.547387,431.913801
798.791862,436.760666
799.961591,441.628088
801.055372,446.513855
802.072003,451.415759
803.010281,456.331590
803.869013,461.259144
804.647736,466.196804
805.347277,471.143986
805.968590,476.100204
806.512629,481.064978
806.980350,486.037823
807.372706,491.018256
807.690652,496.005796
807.935143,500.999959
808.107127,506.000261
808.195187,511.004222
808.150042,516.003248
807.915393,520.988533
807.437106,525.961450
806.661565,530.928599
805.469085,535.818882
803.625379,540.426312
800.962730,544.582376
797.745121,548.400420
794.336936,552.066975
790.839278,555.638462
787.263542,559.126965
783.621049,562.544532
779.923119,565.903207
776.181071,569.215038
772.406226,572.492070
768.609904,575.746352
764.803425,578.989928
760.997435,582.234128
757.195582,585.482823
753.397363,588.735462
749.602217,591.991434
745.809586,595.250129
742.018912,598.510936
738.229636,601.773246
734.441199,605.036449
730.653043,608.299934
726.864620,611.563105
723.075665,614.825671
719.286191,618.087649
715.496224,621.349068
711.705791,624.609959
707.914918,627.870351
704.123630,631.130274
700.331953,634.389758
696.539915,637.648832
692.747540,640.907527
688.954855,644.165871
685.161886,647.423896
681.368659,650.681631
677.575200,653.939105
673.781535,657.196349
669.987690,660.453391
666.193692,663.710263
662.399565,666.966993
658.605338,670.223612
654.811034,673.480149
651.016682,676.736635
647.222305,679.993098
643.427932,683.249569
639.633587,686.506077
635.839297,689.762653
632.045088,693.019326
628.250986,696.276126
624.457016,699.533083
620.663206,702.790226
616.869581,706.047585
613.076167,709.305190
609.282991,712.563072
605.490077,715.821259
601.697454,719.079781
597.905145,722.338669
594.113178,725.597952
590.321579,728.857659
586.530370,732.117818
582.739538,735.378412
578.949050,738.639403
575.158874,741.900752
571.368975,745.162421
567.579320,748.424371
563.789877,751.686562
560.000610,754.948956
556.211488,758.211515
552.422476,761.474199
548.633542,764.736970
544.844652,767.999788
541.055772,771.262616
537.266870,774.525414
533.477912,777.788143
529.688864,781.050764
525.899693,784.313240
522.110367,787.575530
518.320850,790.837596
514.531111,794.099400
510.741115,797.360902
506.950830,800.622064
503.160221,803.882847
499.369256,807.143211
495.577902,810.403119
491.786124,813.662532
487.993890,816.921410
484.201166,820.179714
480.407918,823.437407
476.614114,826.694449
472.819720,829.950801
469.024703,833.206425
465.229029,836.461282
461.432665,839.715332
457.635577,842.968538
453.837733,846.220859
450.039098,849.472259
446.239639,852.722695
442.439312,855.972119
438.638075,859.220479
434.835882,862.467723
431.032690,865.713798
427.228454,868.958653
423.423131,872.202236
419.616676,875.444495
415.809044,878.685377
412.000192,881.924831
408.190075,885.162804
404.378650,888.399246
400.565872,891.634103
396.751697,894.867323
392.936080,898.098855
389.118978,901.328647
385.300346,904.556647
