# x_m,y_m
2.003981,-0.776248
-0.681894,-4.994891
-3.367712,-9.213579
-6.053472,-13.432313
-8.739174,-17.651097
-11.424821,-21.869932
-14.110412,-26.088822
-16.795947,-30.307769
-19.481427,-34.526775
-22.166853,-38.745843
-24.852225,-42.964975
-27.537544,-47.184173
-30.222810,-51.403441
-32.908024,-55.622781
-35.593186,-59.842194
-38.278298,-64.061684
-40.963358,-68.281254
-43.648379,-72.500894
-46.333399,-76.720569
-49.018462,-80.940237
-51.703614,-85.159856
-54.388899,-89.379383
-57.074360,-93.598778
-59.760043,-97.817998
-62.445991,-102.037002
-65.132250,-106.255747
-67.818863,-110.474192
-70.505874,-114.692295
-73.193329,-118.910014
-75.881271,-123.127308
-78.569746,-127.344134
-81.258796,-131.560450
-83.948467,-135.776215
-86.638803,-139.991387
-89.329849,-144.205925
-92.021572,-148.419848
-94.713206,-152.633788
-97.403581,-156.848711
-100.091519,-161.065585
-102.775845,-165.285383
-105.455380,-169.509074
-108.128950,-173.737629
-110.795377,-177.972017
-113.453485,-182.213209
-116.103312,-186.461229
-118.769886,-190.696648
-121.501681,-194.881784
-124.348079,-198.978248
-127.358462,-202.947651
-130.569791,-206.762051
-133.901818,-210.492075
-137.211918,-214.260487
-140.486027,-218.061564
-143.912379,-221.687734
-147.595846,-225.025598
-151.481608,-228.138433
-155.500799,-231.105059
-159.584550,-234.004298
-163.666292,-236.912145
-167.725680,-239.847718
-171.785222,-242.777417
-175.869040,-245.665648
-180.001250,-248.476835
-184.199116,-251.184892
-188.461281,-253.789548
-192.783254,-256.294876
-197.160542,-258.704951
-201.588653,-261.023846
-206.063095,-263.255636
-210.579377,-265.404394
-215.133006,-267.474194
-219.719490,-269.469111
-224.334670,-271.393241
-228.976014,-273.250797
-233.641486,-275.046026
-238.329051,-276.783175
-243.036673,-278.466491
-247.762316,-280.100222
-252.503946,-281.688614
-257.259525,-283.235915
-262.027020,-284.746372
-266.804450,-286.224218
-271.590348,-287.673563
-276.383520,-289.098451
-281.182776,-290.502925
-285.986924,-291.891027
-290.794773,-293.266801
-295.605133,-294.634289
-300.416813,-295.997535
-305.228621,-297.360580
-310.039551,-298.726838
-314.849488,-300.096678
-319.658582,-301.469555
-324.466985,-302.844927
-329.274849,-304.222248
-334.082325,-305.600975
-338.889565,-306.980563
-343.696720,-308.360468
-348.503942,-309.740147
-353.311381,-311.119053
-358.119191,-312.496645
-362.927522,-313.872377
-367.736525,-315.245704
-372.546353,-316.616084
-377.357156,-317.982972
-382.169086,-319.345823
-386.982295,-320.704093
-391.796935,-322.057238
-396.613149,-323.404738
-401.430962,-324.746508
-406.250285,-326.082857
-411.071029,-327.414106
-415.893102,-328.740576
-420.716414,-330.062591
-425.540874,-331.380471
-430.366390,-332.694539
-435.192874,-334.005115
-440.020233,-335.312523
-444.848376,-336.617083
-449.677214,-337.919117
-454.506655,-339.218947
-459.336609,-340.516895
-464.166985,-341.813282
-468.997692,-343.108431
-473.828639,-344.402663
-478.659735,-345.696299
-483.490891,-346.989662
-488.322037,-348.282994
-493.153165,-349.576333
-497.984273,-350.869686
-502.815362,-352.163056
-507.646431,-353.456451
-512.477480,-354.749876
-517.308510,-356.043336
-522.139519,-357.336837
-526.970507,-358.630385
-531.801474,-359.923984
-536.632421,-361.217642
-541.463346,-362.511363
-546.294249,-363.805154
-551.125131,-365.099018
-555.955990,-366.392964
-560.786828,-367.686995
-565.617642,-368.981117
-570.448434,-370.275337
-575.279203,-371.569660
-580.109948,-372.864091
-584.940670,-374.158635
-589.771368,-375.453300
-594.602042,-376.748090
-599.432691,-378.043010
-604.263317,-379.338067
-609.093917,-380.633266
-613.924492,-381.928612
-618.755042,-383.224112
-623.585566,-384.519771
-628.416065,-385.815594
-633.246537,-387.111588
-638.076984,-388.407757
-642.907403,-389.704107
-647.737796,-391.000645
-652.568162,-392.297375
-657.398501,-393.594303
-662.228798,-394.891481
-667.058924,-396.189352
-671.888687,-397.488558
-676.717898,-398.789743
-681.546367,-400.093549
-686.373904,-401.400620
-691.200317,-402.711600
-696.025416,-404.027131
-700.849012,-405.347858
-705.670914,-406.674422
-710.490932,-408.007468
-715.308874,-409.347640
-720.124552,-410.695579
-724.937775,-412.051930
-729.748352,-413.417336
-734.556093,-414.792441
-739.360807,-416.177887
-744.162306,-417.574318
-748.960403,-418.982358
-753.755198,-420.401719
-758.547200,-421.830790
-763.336950,-423.267863
-768.124988,-424.711226
-772.911854,-426.159168
-777.698090,-427.609980
-782.484235,-429.061950
-787.270830,-430.513368
-792.058415,-431.962523
-796.847531,-433.407704
-801.638719,-434.847202
-806.432519,-436.279305
-811.229471,-437.702302
-816.030116,-439.114484
-820.834995,-440.514139
-825.644648,-441.899558
-830.459615,-443.269028
-835.280071,-444.614256
-840.088569,-445.609554
-844.842576,-445.477412
-849.455930,-443.631909
-853.659258,-440.480381
-857.148023,-436.682607
-859.868074,-432.564096
-861.971091,-428.175561
-863.614863,-423.559559
-864.957201,-418.758726
-866.161766,-413.836310
-867.405885,-408.903707
-868.868831,-404.079179
-870.729877,-399.480986
-873.164946,-395.225652
-876.207875,-391.356033
-879.700832,-387.815613
-883.468807,-384.520471
-887.322059,-381.303911
-891.101806,-378.012013
-894.789988,-374.627898
-898.404215,-371.169425
-901.962097,-367.654452
-905.481244,-364.100838
-908.979267,-360.526440
-912.473776,-356.949117
-915.982379,-353.386728
-919.522689,-349.857130
-923.109787,-346.375600
-926.739945,-342.938195
-930.400950,-339.532300
-934.080544,-336.145261
-937.766474,-332.764423
-941.446484,-329.377128
-945.108319,-325.970723
-948.739722,-322.532552
-952.328440,-319.049959
-955.868544,-315.516985
-959.379418,-311.954455
-962.886775,-308.389889
-966.416327,-304.850808
-969.993744,-301.364687
-973.635839,-297.949304
-977.339731,-294.600876
-981.099884,-291.312714
-984.910762,-288.078128
-988.767748,-284.892129
-992.672932,-281.762172
-996.631395,-278.701249
-1000.648228,-275.722378
-1004.728523,-272.838577
-1008.871302,-270.050105
-1013.051634,-267.306875
-1017.246843,-264.565716
-1021.554057,-262.067069
-1026.146827,-260.232218
-1030.991473,-258.990818
-1035.897781,-257.901156
-1040.744957,-256.683402
-1045.570636,-255.427500
-1050.427002,-254.258920
-1055.322482,-253.212203
-1060.246516,-252.282432
-1065.188471,-251.464531
-1070.137878,-250.753435
-1075.090336,-250.144442
-1080.049053,-249.633303
-1085.017719,-249.215802
-1090.000025,-248.887721
-1094.999063,-248.646370
-1100.009463,-248.510642
-1105.019598,-248.515406
-1110.017692,-248.695902
-1114.992007,-249.087199
-1119.937823,-249.693920
-1124.865386,-250.455734
-1129.786864,-251.303963
-1134.714424,-252.169933
-1139.658898,-252.989654
-1144.584415,-253.863006
-1149.397309,-255.092646
-1154.035382,-256.879763
-1158.568845,-258.994718
-1163.080066,-261.167217
-1167.579912,-263.355485
-1172.062527,-265.571194
-1176.522055,-267.826017
-1180.952642,-270.131626
-1185.348430,-272.499692
-1189.703564,-274.941890
-1194.012188,-277.469889
-1198.268447,-280.095364
-1202.470531,-282.821876
-1206.644250,-285.597635
-1210.824760,-288.351009
-1214.973576,-291.120380
-1218.962722,-294.077866
-1222.700389,-297.349848
-1226.247930,-300.864457
-1229.701972,-304.504170
-1233.159141,-308.151464
-1236.707286,-311.698332
-1240.316649,-315.164289
-1243.873479,-318.659921
-1247.262213,-322.297780
-1250.367980,-326.189749
-1253.177755,-330.349303
-1255.886803,-334.588652
-1258.686149,-338.726963
-1261.568398,-342.794217
-1264.431698,-346.903254
-1267.086108,-351.143819
-1269.313828,-355.592934
-1271.156400,-360.225983
-1272.963875,-364.897526
-1274.982368,-369.499814
-1277.017939,-374.086566
-1278.796306,-378.742639
-1280.290461,-383.483858
-1281.640129,-388.278849
-1282.899410,-393.111719
-1284.060104,-397.978087
-1285.112735,-402.873810
-1286.047828,-407.794741
-1286.855905,-412.736735
-1287.527493,-417.695648
-1288.053115,-422.667334
-1288.423296,-427.647647
-1288.628818,-432.632486
-1288.668509,-437.619072
-1288.550605,-442.606173
-1288.283877,-447.592648
-1287.877094,-452.577353
-1287.338351,-457.558619
-1286.667151,-462.528070
-1285.857085,-467.472720
-1284.901629,-472.379491
-1283.794330,-477.235405
-1282.537809,-482.040355
-1281.152623,-486.819669
-1279.657280,-491.595395
-1278.043630,-496.349354
-1276.293660,-501.048188
-1274.409755,-505.680236
-1272.417876,-510.258925
-1270.345288,-514.799070
-1268.219261,-519.315491
-1266.062544,-523.820403
-1263.882182,-528.316975
-1261.681807,-532.806413
-1259.465048,-537.289919
-1257.235537,-541.768699
-1254.996905,-546.243955
-1252.752784,-550.716891
-1250.506804,-555.188713
-1248.262597,-559.660623
-1246.023541,-564.133790
-1243.791411,-568.609160
-1241.567357,-573.087592
-1239.352530,-577.569943
-1237.148079,-582.057072
-1234.955152,-586.549837
-1232.774900,-591.049096
-1230.608470,-595.555709
-1228.457014,-600.070532
-1226.321574,-604.594300
-1224.201907,-609.126217
-1222.096903,-613.664459
-1220.005436,-618.207182
-1217.926380,-622.752543
-1215.853674,-627.298154
-1213.750369,-631.838211
-1211.577002,-636.367598
-1209.567131,-640.939264
-1208.249244,-645.668844
-1207.771988,-650.589889
-1207.836539,-655.639308
-1208.293553,-660.688544
-1209.575446,-665.406851
-1212.094109,-669.489018
-1215.711438,-672.894150
-1219.803606,-675.836884
-1224.016185,-678.540978
-1228.261591,-681.178726
-1232.507541,-683.816394
-1236.753658,-686.454726
-1241.000047,-689.093476
-1245.246813,-691.732402
-1249.494061,-694.371259
-1253.741894,-697.009803
-1257.990417,-699.647791
-1262.239736,-702.284977
-1266.489955,-704.921119
-1270.741177,-707.555972
-1274.993509,-710.189292
-1279.247054,-712.820835
-1283.501917,-715.450357
-1287.758202,-718.077615
-1292.016015,-720.702364
-1296.275460,-723.324360
-1300.536641,-725.943359
-1304.799662,-728.559120
-1309.064547,-731.171563
-1313.331180,-733.780899
-1317.599430,-736.387368
-1321.869166,-738.991209
-1326.140257,-741.592663
-1330.412574,-744.191969
-1334.685984,-746.789368
-1338.960358,-749.385098
-1343.235564,-751.979400
-1347.511473,-754.572513
-1351.787952,-757.164678
-1356.064871,-759.756134
-1360.342100,-762.347121
-1364.619508,-764.937879
-1368.896964,-767.528648
-1373.174338,-770.119667
-1377.451498,-772.711177
-1381.728314,-775.303416
-1386.004670,-777.896596
-1390.280534,-780.490761
-1394.555902,-783.085900
-1398.830772,-785.682000
-1403.105140,-788.279049
-1407.379003,-790.877034
-1411.652357,-793.475943
-1415.925199,-796.075765
-1420.197527,-798.676487
-1424.469336,-801.278096
-1428.740624,-803.880581
-1433.011386,-806.483928
-1437.281621,-809.088127
-1441.551325,-811.693165
-1445.820494,-814.299029
-1450.089126,-816.905707
-1454.357216,-819.513187
-1458.624762,-822.121457
-1462.891760,-824.730504
-1467.158208,-827.340317
-1471.424102,-829.950883
-1475.689438,-832.562189
-1479.954214,-835.174225
-1484.218426,-837.786976
-1488.482070,-840.400432
-1492.745145,-843.014579
-1497.007646,-845.629406
-1501.269570,-848.244900
-1505.530914,-850.861050
-1509.791674,-853.477843
-1514.051848,-856.095266
-1518.311432,-858.713307
-1522.570423,-861.331955
-1526.828818,-863.951197
-1531.086612,-866.571020
-1535.343804,-869.191413
-1539.601444,-871.810315
-1543.884986,-874.378232
-1548.244380,-876.798054
-1552.730651,-878.970592
-1557.394821,-880.796651
-1562.263701,-882.182198
-1567.126261,-883.066684
-1571.881268,-882.981509
-1576.587337,-881.581019
-1581.158467,-879.429405
-1585.521272,-876.945026
-1589.646761,-874.165600
-1593.465718,-871.041547
-1596.723269,-867.309516
-1599.519407,-863.160253
-1602.056845,-858.860244
-1604.403669,-854.453743
-1606.622546,-849.976097
-1608.776123,-845.462645
-1610.912531,-840.940520
-1613.039446,-836.413994
-1615.157550,-831.883387
-1617.267523,-827.349019
-1619.370048,-822.811208
-1621.465807,-818.270275
-1623.555481,-813.726540
-1625.639751,-809.180322
-1627.719300,-804.631941
-1629.794809,-800.081716
-1631.866960,-795.529967
-1633.936434,-790.977014
-1636.003914,-786.423177
-1638.070081,-781.868775
-1640.135617,-777.314127
-1642.201202,-772.759555
-1644.267520,-768.205376
-1646.335253,-763.651912
-1648.405400,-759.099612
-1650.479838,-754.549288
-1652.560595,-750.001811
-1654.649696,-745.458054
-1656.749167,-740.918888
-1658.861035,-736.385185
-1660.987326,-731.857817
-1663.130066,-727.337656
-1665.291282,-722.825574
-1667.468779,-718.320670
-1669.639441,-713.813253
-1671.773680,-709.290912
-1673.841906,-704.741237
-1675.814559,-700.151828
-1677.680731,-695.517740
-1679.480281,-690.854314
-1681.261626,-686.180312
-1683.073183,-681.514493
-1684.949483,-676.870943
-1686.796348,-672.220416
-1688.451100,-667.510636
-1689.826801,-662.717078
-1690.955450,-657.858759
-1691.875870,-652.956336
-1692.610004,-648.020105
-1693.174667,-643.057215
-1693.586674,-638.074815
-1693.862080,-633.080019
-1694.002189,-628.079308
-1693.994915,-623.078587
-1693.827685,-618.083740
-1693.487949,-613.100646
-1692.975047,-608.133143
-1692.319949,-603.179630
-1691.558825,-598.237614
-1690.727848,-593.304602
-1689.861024,-588.378195
-1688.972890,-583.456847
-1688.067681,-578.539464
-1687.149538,-573.624953
-1686.222602,-568.712225
-1685.291015,-563.800188
-1684.358917,-558.887751
-1683.430450,-553.973823
-1682.509755,-549.057313
-1681.600733,-544.137204
-1680.702717,-539.213877
-1679.810952,-534.288965
-1678.920539,-529.364146
-1678.026578,-524.441098
-1677.124168,-519.521497
-1676.208412,-514.607022
-1675.274408,-509.699351
-1674.317256,-504.800160
-1673.329495,-499.911893
-1672.161603,-495.079369
-1670.450403,-490.411143
-1667.894230,-486.050583
-1664.562608,-482.279639
-1660.625741,-479.423329
-1656.110645,-477.839032
-1651.173228,-477.217609
-1646.202583,-476.588710
-1641.245716,-475.878156
-1636.293677,-475.146492
-1631.344848,-474.403356
-1626.398768,-473.650373
-1621.454976,-472.889166
-1616.513009,-472.121361
-1611.572405,-471.348581
-1606.632704,-470.572450
-1601.693442,-469.794593
-1596.754159,-469.016634
-1591.814465,-468.239942
-1586.874309,-467.464719
-1581.933733,-466.690832
-1576.992781,-465.918148
-1572.051497,-465.146534
-1567.109925,-464.375856
-1562.168108,-463.605982
-1557.226090,-462.836777
-1552.283913,-462.068110
-1547.341623,-461.299847
-1542.399263,-460.531854
-1537.456875,-459.763999
-1532.514504,-458.996148
-1527.572194,-458.228169
-1522.629987,-457.459928
-1517.687929,-456.691292
-1512.746061,-455.922128
-1507.804428,-455.152302
-1502.863071,-454.381690
-1497.921979,-453.610312
-1492.981098,-452.838313
-1488.040372,-452.065842
-1483.099745,-451.293048
-1478.159162,-450.520078
-1473.218567,-449.747083
-1468.277904,-448.974212
-1463.337117,-448.201612
-1458.396152,-447.429433
-1453.454951,-446.657824
-1448.513460,-445.886934
-1443.571623,-445.116911
-1438.629383,-444.347904
-1433.686686,-443.580063
-1428.743475,-442.813535
-1423.799695,-442.048471
-1418.855290,-441.285018
-1413.910263,-440.523188
-1408.965644,-439.760589
-1404.023333,-438.992798
-1399.085255,-438.215323
-1394.153338,-437.423675
-1389.234402,-436.594314
-1384.375870,-435.545674
-1379.643855,-434.022583
-1375.038356,-431.986769
-1370.476494,-429.697887
-1366.382907,-426.975071
-1363.632501,-423.222178
-1362.241344,-418.520414
-1361.201473,-413.575494
-1360.084129,-408.671741
-1358.892380,-403.805040
-1357.648773,-398.963714
-1356.376356,-394.135916
-1355.098156,-389.309808
-1353.830521,-384.477025
-1352.573887,-379.637469
-1351.326368,-374.792250
-1350.086077,-369.942479
-1348.851800,-365.089165
-1347.652287,-360.228810
-1346.557580,-355.351709
