# x_m,y_m
-0.223388,2.075766
-2.886670,6.305903
-5.548591,10.536881
-8.209217,14.768659
-10.868613,19.001196
-13.526846,23.234451
-16.183983,27.468382
-18.840089,31.702949
-21.495230,35.938109
-24.149473,40.173823
-26.802885,44.410049
-29.455530,48.646745
-32.107475,52.883872
-34.758786,57.121386
-37.409531,61.359249
-40.059773,65.597417
-42.709581,69.835851
-45.359020,74.074509
-48.008155,78.313349
-50.657054,82.552332
-53.305783,86.791415
-55.954407,91.030557
-58.602993,95.269718
-61.251607,99.508857
-63.900315,103.747931
-66.549183,107.986900
-69.198278,112.225723
-71.847666,116.464359
-74.497412,120.702766
-77.147583,124.940904
-79.798245,129.178731
-82.449465,133.416206
-85.101307,137.653289
-87.753840,141.889937
-90.407128,146.126110
-93.061238,150.361767
-95.716236,154.596866
-98.372189,158.831366
-101.029161,163.065227
-103.687196,167.298423
-106.346219,171.531004
-109.006118,175.763043
-111.666784,179.994615
-114.328108,184.225791
-116.989978,188.456645
-119.652285,192.687250
-122.314920,196.917680
-124.977771,201.148008
-127.640729,205.378306
-130.303683,209.608648
-132.966525,213.839108
-135.629143,218.069758
-138.291427,222.300671
-140.953268,226.531921
-143.614556,230.763581
-146.275180,234.995724
-148.935031,239.228423
-151.593997,243.461751
-154.251971,247.695783
-156.908840,251.930590
-159.564495,256.166245
-162.218453,260.403001
-164.868435,264.641958
-167.511624,268.884474
-170.145205,273.131907
-172.766361,277.385614
-175.372396,281.646895
-177.967414,285.913829
-180.565892,290.179577
-183.183182,294.436888
-185.834633,298.678510
-188.535594,302.897192
-191.285772,307.093652
-193.943862,311.340440
-196.293844,315.748165
-198.100430,320.393967
-199.039419,325.193187
-198.760494,330.012830
-197.110146,334.714672
-194.440500,339.147093
-191.172018,343.143369
-187.186341,345.857194
-182.489413,345.818403
-177.765157,344.534279
-173.100311,342.922055
-168.481499,341.062327
-163.895343,339.035686
-159.328467,336.922726
-154.767620,334.803172
-150.204807,332.721111
-145.639017,330.673243
-141.069721,328.652988
-136.496393,326.653766
-131.918503,324.668997
-127.335701,322.692391
-122.748972,320.719866
-118.159918,318.748351
-113.570145,316.774783
-108.981256,314.796098
-104.394856,312.809231
-99.812549,310.811119
-95.235941,308.798697
-90.666637,306.768902
-86.106240,304.718669
-81.556355,302.644935
-77.018407,300.545065
-72.493072,298.418192
-67.980839,296.263902
-63.482194,294.081781
-58.997625,291.871416
-54.527619,289.632391
-50.072663,287.364294
-45.633244,285.066709
-41.209851,282.739224
-36.802969,280.381423
-32.413086,277.992894
-28.040690,275.573221
-23.686267,273.121992
-19.350305,270.638791
-15.033291,268.123205
-10.735713,265.574820
-6.458057,262.993223
-2.200810,260.377998
2.035539,257.728732
6.250504,255.045010
10.443598,252.326420
14.614348,249.572572
18.762881,246.784115
22.890123,243.963076
26.997055,241.111577
31.084655,238.231741
35.153904,235.325689
39.205782,232.395544
43.241270,229.443428
47.261347,226.471462
51.266993,223.481770
55.259189,220.476473
59.238922,217.457698
63.208871,214.428469
67.175583,211.393869
71.145738,208.358841
75.109553,205.311118
79.035395,202.215583
82.891651,199.037298
86.670385,195.768500
90.382277,192.422798
94.038209,189.014090
97.646766,185.554100
101.215443,182.053478
104.750006,178.519797
108.253948,174.956552
111.730600,171.366959
115.183296,167.754234
118.615370,164.121590
122.030156,160.472244
125.430985,156.809411
128.821192,153.136305
132.204111,149.456143
135.583074,145.772140
138.961410,142.087506
142.341424,138.404468
145.723083,134.723008
149.106033,131.042797
152.489916,127.363504
155.874378,123.684800
159.259063,120.006356
162.643613,116.327842
166.027675,112.648929
169.410891,108.969286
172.792906,105.288586
176.173369,101.606501
179.552120,97.922881
182.929253,94.237807
186.304877,90.551373
189.679106,86.863676
193.052049,83.174811
196.423817,79.484874
199.794522,75.793961
203.164275,72.102167
206.533186,68.409589
209.901367,64.716321
213.268928,61.022460
216.635981,57.328102
220.002637,53.633342
223.369007,49.938275
226.735202,46.242999
230.101332,42.547608
233.467509,38.852198
236.833844,35.156865
240.200448,31.461705
243.567432,27.766813
246.934907,24.072285
250.302984,20.378219
253.671791,16.684755
257.041473,12.992094
260.412179,9.300440
263.784058,5.610000
267.157258,1.920977
270.531927,-1.766424
273.908214,-5.451998
277.286266,-9.135541
280.666232,-12.816847
284.048261,-16.495713
287.432813,-20.171664
290.825175,-23.840087
294.234420,-27.493121
297.669722,-31.122816
301.140254,-34.721223
304.655191,-38.280392
308.227066,-41.785767
311.882136,-45.195784
315.650167,-48.461973
319.560927,-51.535867
323.644182,-54.368996
327.921741,-56.924500
332.355417,-59.253052
336.879661,-61.445242
341.428783,-63.591867
345.937092,-65.783721
350.339098,-68.111367
354.614559,-70.611707
358.845902,-73.199899
363.127608,-75.776447
367.469239,-78.327853
371.768308,-80.954098
375.918792,-83.758686
379.877993,-86.780085
383.652723,-90.005917
387.251114,-93.422450
390.681295,-97.015950
393.951399,-100.772686
397.068689,-104.678331
400.036902,-108.716150
402.858882,-112.868798
405.537471,-117.118926
408.075513,-121.449190
410.475746,-125.843524
412.740136,-130.295477
414.870297,-134.802960
416.867843,-139.363906
418.734384,-143.976248
420.471534,-148.637917
422.080904,-153.346848
423.564108,-158.100972
424.922757,-162.898223
426.158463,-167.736532
427.272840,-172.613833
428.268706,-177.527719
429.167156,-182.470632
430.003485,-187.431016
430.813356,-192.397210
431.632435,-197.357552
432.496387,-202.300381
433.440877,-207.214034
434.501570,-212.086851
435.714130,-216.907171
437.114223,-221.663331
438.737514,-226.343670
440.613596,-230.938023
442.726829,-235.447375
445.041147,-239.877744
447.520385,-244.235174
450.128381,-248.525708
452.828999,-252.755395
455.592776,-256.931744
458.405230,-261.065539
461.253919,-265.168010
464.126402,-269.250386
467.010236,-273.323898
469.893447,-277.399350
472.771081,-281.481109
475.643627,-285.568556
478.511712,-289.660945
481.375967,-293.757527
484.237021,-297.857556
487.095502,-301.960283
489.952039,-306.064961
492.807262,-310.170842
495.661800,-314.277179
498.516282,-318.383223
501.371284,-322.488297
504.226985,-326.592234
507.083384,-330.695099
