# x_m,y_m
-1.482411,-3.285593
-6.307564,-4.584006
-11.132702,-5.882458
-15.957830,-7.180946
-20.782948,-8.479468
-25.608060,-9.778020
-30.433168,-11.076601
-35.258275,-12.375207
-40.083383,-13.673837
-44.908495,-14.972487
-49.733614,-16.271155
-54.558741,-17.569839
-59.383880,-18.868535
-64.209033,-20.167242
-69.034203,-21.465957
-73.859392,-22.764677
-78.684603,-24.063400
-83.509838,-25.362123
-88.335099,-26.660843
-93.160390,-27.959558
-97.985713,-29.258266
-102.811071,-30.556964
-107.636465,-31.855649
-112.461899,-33.154319
-117.287375,-34.452971
-122.112896,-35.751602
-126.938464,-37.050211
-131.764082,-38.348794
-136.589752,-39.647349
-141.415477,-40.945874
-146.241260,-42.244365
-151.067102,-43.542820
-155.893007,-44.841238
-160.718977,-46.139614
-165.545015,-47.437947
-170.371122,-48.736234
-175.197303,-50.034473
-180.023559,-51.332660
-184.849878,-52.630791
-189.676193,-53.928848
-194.502425,-55.226812
-199.328493,-56.524662
-204.154317,-57.822380
-208.979817,-59.119945
-213.804912,-60.417337
-218.629523,-61.714538
-223.453570,-63.011527
-228.276971,-64.308284
-233.099648,-65.604789
-237.921520,-66.901024
-242.742506,-68.196968
-247.562554,-69.492617
-252.382604,-70.788563
-257.204866,-72.086157
-262.031629,-73.386797
-266.865186,-74.691884
-271.707827,-76.002817
-276.561843,-77.320996
-281.425726,-78.644829
-286.241804,-79.928519
-290.926142,-81.109077
-295.640566,-82.368653
-300.630089,-83.897236
-305.722163,-85.169264
-310.638945,-85.479594
-315.126415,-84.225086
-319.102106,-81.537036
-322.558704,-77.868463
-325.489563,-73.673127
-327.951352,-69.292379
-330.136757,-64.826095
-332.256081,-60.342873
-334.481393,-55.899562
-336.837091,-51.507631
-339.311926,-47.167594
-341.894648,-42.879965
-344.574010,-38.645259
-347.338761,-34.463989
-350.177649,-30.336652
-353.078415,-26.260161
-356.026615,-22.223608
-359.007513,-18.215056
-362.006376,-14.222566
-365.008468,-10.234200
-367.999055,-6.238020
-370.963633,-2.222271
-373.896468,1.817830
-376.803099,5.878101
-379.689811,9.953771
-382.562887,14.040066
-385.428610,18.132214
-388.293264,22.225443
-391.162033,26.315814
-394.035713,30.402714
-396.913999,34.486365
-399.796587,38.566987
-402.683174,42.644801
-405.573454,46.720028
-408.467125,50.792889
-411.363882,54.863604
-414.263421,58.932395
-417.165439,62.999482
-420.069631,67.065086
-422.975693,71.129428
-425.883322,75.192728
-428.792214,79.255208
-431.702064,83.317088
-434.612569,87.378590
-437.523425,91.439933
-440.434327,95.501339
-443.344972,99.563029
-446.255055,103.625222
-449.164274,107.688142
-452.072323,111.752007
-454.978899,115.817038
-457.883699,119.883458
-460.786417,123.951486
-463.686750,128.021343
-466.584394,132.093250
-469.478278,136.167905
-472.361343,140.249710
-475.223726,144.344812
-478.055547,148.459363
-480.846926,152.599518
-483.587983,156.771431
-486.268838,160.981255
-488.882664,165.233218
-491.435601,169.523360
-493.937225,173.845552
-496.397116,178.193666
-498.824849,182.561572
-501.230004,186.943141
-503.622147,191.332250
-506.008068,195.724527
-508.387919,200.119779
-510.760885,204.518423
-513.126153,208.920875
-515.482908,213.327553
-517.830334,217.738874
-520.167616,222.155254
-522.493941,226.577111
-524.808493,231.004860
-527.110458,235.438920
-529.399021,239.879707
-531.673366,244.327639
-533.932680,248.783131
-536.176381,253.246481
-538.404915,257.717461
-540.619009,262.195697
-542.819391,266.680817
-545.006789,271.172447
-547.181931,275.670214
-549.345544,280.173744
-551.498358,284.682665
-553.641098,289.196603
-555.774494,293.715185
-557.899273,298.238038
-560.016163,302.764789
-562.125892,307.295064
-564.229187,311.828490
-566.326777,316.364694
-568.419389,320.903303
-570.507751,325.443944
-572.592591,329.986243
-574.674637,334.529827
-576.754617,339.074323
-578.833258,343.619358
-580.911288,348.164559
-582.989436,352.709551
-585.068429,357.253964
-587.148994,361.797422
-589.231861,366.339552
-591.317755,370.879983
-593.407187,375.418449
-595.498764,379.955637
-597.590122,384.492717
-599.678889,389.030865
-601.762695,393.571255
-603.839165,398.115063
-605.905929,402.663463
-607.962935,407.216554
-610.020982,411.769400
-612.094037,416.315593
-614.196069,420.848725
-616.341048,425.362389
-618.542943,429.850178
-620.815724,434.305676
-623.174869,438.718945
-625.639794,443.070832
-628.230548,447.340693
-630.964710,451.509918
-633.812755,455.598600
-636.702942,459.661528
-639.562682,463.754209
-642.356785,467.902918
-645.106970,472.089441
-647.839733,476.291827
-650.581572,480.488130
-653.358982,484.656401
-656.198459,488.774690
-659.121946,492.824797
-662.129325,496.806668
-665.213814,500.725733
-668.368627,504.587424
-671.586981,508.397171
-674.862090,512.160408
-678.187170,515.882566
-681.555435,519.569076
-684.960103,523.225369
-688.394386,526.856879
-691.851502,530.469036
-695.324665,534.067272
-698.807090,537.657019
-702.292036,541.243674
-705.775368,544.830577
-709.257055,548.417825
-712.737419,552.005237
-716.216788,555.592629
-719.695484,559.179817
-723.173834,562.766619
-726.652163,566.352851
-730.130795,569.938329
-733.610056,573.522872
-737.090270,577.106295
-740.571762,580.688415
-744.054858,584.269048
-747.539882,587.848013
-751.027164,591.425111
-754.517082,595.000016
-758.010040,598.572329
-761.506441,602.141648
-765.006690,605.707575
-768.511191,609.269708
-772.020349,612.827647
-775.534567,616.380992
-779.054249,619.929343
-782.579800,623.472299
-786.111624,627.009460
-789.650124,630.540425
-793.195706,634.064795
-796.748772,637.582170
-800.308480,641.093110
-803.870417,644.600928
-807.429535,648.109427
-810.980786,651.622409
-814.519121,655.143677
-818.039491,658.677034
-821.536600,662.226616
-824.987108,665.820741
-828.337753,669.527829
-831.532361,673.420072
-834.407779,677.565158
-836.488940,682.017641
-837.244242,686.829693
-836.218173,691.830710
-833.346681,695.704032
-828.848322,697.252106
-823.701792,697.644203
-818.646836,698.062285
-813.688495,698.581333
-808.768483,699.180871
-803.842771,699.839866
-798.906054,700.535755
-793.959539,701.245726
-789.004435,701.946961
-784.041948,702.616646
-779.073286,703.231964
-774.099652,703.770279
-769.121942,704.220114
-764.140570,704.587605
-759.155906,704.880436
-754.168321,705.106292
-749.178185,705.272859
-744.185870,705.387822
-739.191746,705.458866
-734.196183,705.493676
-729.199553,705.499938
-724.202227,705.485336
-719.204574,705.457556
-714.206966,705.424283
-709.209773,705.393202
-704.213328,705.371409
-699.217605,705.360312
-694.222374,705.358129
-689.227402,705.363045
-684.232458,705.373246
-679.237310,705.386915
-674.241727,705.402237
-669.245624,705.415168
-664.249688,705.410158
-659.254853,705.367951
-654.262052,705.269287
-649.272219,705.094909
-644.286287,704.825559
-639.305189,704.441997
-634.329213,703.943061
-629.356791,703.379575
-624.386025,702.811647
-619.415036,702.297288
-614.442415,701.848304
-609.467212,701.431378
-604.488543,701.011289
-599.509168,700.551120
-594.537906,700.011133
-589.584142,699.351341
-584.653366,698.551528
-579.739674,697.649328
-574.835089,696.692891
-569.932612,695.724466
-565.030470,694.754708
-560.128631,693.783749
-555.227065,692.811713
-550.325740,691.838725
-545.424626,690.864910
-540.523692,689.890392
-535.622908,688.915296
-530.722242,687.939746
-525.821665,686.963868
-520.921146,685.987786
-516.020653,685.011624
-511.120157,684.035507
-506.219626,683.059561
-501.319030,682.083908
-496.418338,681.108675
-491.517519,680.133986
-486.616543,679.159965
-481.715379,678.186737
-476.813997,677.214427
-471.912366,676.243160
-467.010454,675.273059
-462.108232,674.304251
-457.205668,673.336858
-452.302733,672.371007
-447.399395,671.406821
-442.495623,670.444426
-437.591393,669.483928
-432.686733,668.525244
-427.781709,667.568174
-422.876383,666.612518
-417.970822,665.658073
-413.065088,664.704639
-408.159246,663.752014
-403.253360,662.799997
-398.347496,661.848386
-393.441716,660.896981
-388.536086,659.945580
-383.630670,658.993982
-378.725531,658.041986
-373.820735,657.089389
-368.916228,656.136571
-364.011584,655.185736
-359.106304,654.239449
-354.199890,653.300277
-349.291842,652.370783
-344.381662,651.453534
-339.468851,650.551095
-334.552909,649.666032
-329.633338,648.800909
-324.709640,647.958292
-319.781314,647.140747
-314.847863,646.350838
-309.908787,645.591132
-304.963719,644.863906
-300.013069,644.169739
-295.057534,643.508592
-290.097809,642.880421
-285.134590,642.285184
-280.168572,641.722838
-275.200451,641.193343
-270.230742,640.696483
-265.259364,640.231488
-260.286117,639.797472
-255.310800,639.393547
-250.333211,639.018828
-245.353151,638.672428
-240.370420,638.353456
-235.384982,638.060454
-230.397109,637.790905
-225.407106,637.542175
-220.415278,637.311629
-215.421931,637.096635
-210.427369,636.894556
-205.431898,636.702761
-200.435823,636.518615
-195.439450,636.339483
-190.443083,636.162733
-185.447027,635.985729
-180.451589,635.805839
-175.457073,635.620428
-170.463759,635.427021
-165.471632,635.225075
-160.480474,635.015333
-155.490068,634.798559
-150.500196,634.575517
-145.510637,634.346974
-140.521173,634.113693
-135.531585,633.876439
-130.541656,633.635978
-125.551165,633.393075
-120.559893,633.148493
-115.567624,632.902999
-110.574136,632.657356
-105.579212,632.412330
-100.582894,632.169576
-95.586132,631.933838
-90.590072,631.710531
-85.595861,631.505072
-80.604646,631.322876
-75.617573,631.169358
-70.635797,631.049484
-65.661369,630.909921
-60.698126,630.581920
-55.750114,629.883163
-50.862058,628.644570
-46.222513,626.743849
-42.051811,624.069049
-38.562049,620.544396
-35.912649,616.325621
-34.242274,611.659669
-33.688321,606.793193
-34.245046,601.912308
-35.630990,597.086527
-37.533343,592.372096
-39.695462,587.810213
-42.051683,583.390907
-44.576894,579.093339
-47.245981,574.896674
-50.033834,570.780074
-52.915339,566.722702
-55.865461,562.703798
-58.868469,558.711846
-61.926637,554.753220
-65.044302,550.836342
-68.225800,546.969634
-71.475467,543.161518
-74.797638,539.420417
-78.196650,535.754751
-81.676839,532.172943
-85.242540,528.683414
-88.898090,525.294588
-92.647824,522.014886
-96.496079,518.852729
-100.447190,515.816540
-104.504783,512.914019
-108.663498,510.143751
-112.911814,507.498067
-117.238091,504.969179
-121.630688,502.549298
-126.077966,500.230635
-130.568284,498.005401
-135.091547,495.867880
-139.647730,493.825857
-144.240834,491.892523
-148.874874,490.081082
-153.553863,488.404739
-158.281816,486.876697
-163.062747,485.510161
-167.898169,484.311445
-172.780634,483.262136
-177.700679,482.338282
-182.648844,481.515928
-187.615667,480.771120
-192.591689,480.079904
-197.567471,479.418455
-202.536880,478.781723
-207.500527,478.202938
-212.459840,477.719992
-217.416252,477.370779
-222.371190,477.193190
-227.326086,477.225119
-232.282261,477.495644
-237.240302,477.974476
-242.200495,478.606815
-247.163122,479.337787
-252.128467,480.112514
-257.096814,480.876122
-262.068447,481.573735
-267.043130,482.166763
-272.018706,482.677033
-276.992570,483.140375
-281.962117,483.592620
-286.924744,484.069599
-291.877845,484.607143
-296.818827,485.240980
-301.746670,485.989916
-306.663675,486.837161
-311.572560,487.761422
-316.476044,488.741411
-321.376845,489.755835
-326.277681,490.783405
-331.181209,491.803158
-336.087884,492.805688
-340.995429,493.795938
-345.901397,494.779743
-350.803341,495.762939
-355.698814,496.751363
-360.585369,497.750851
-365.462158,498.763689
-370.334480,499.778528
-375.209108,500.780744
-380.092817,501.755711
-384.992380,502.688805
-389.914572,503.565403
-394.866137,504.370840
-399.848185,505.083130
-404.849589,505.664377
-409.857614,506.074598
-414.859524,506.273807
-419.842585,506.222020
-424.794063,505.879254
-429.701189,505.206139
-434.549944,504.186351
-439.324710,502.832984
-444.009767,501.161048
-448.589393,499.185552
-453.047867,496.921507
-457.369468,494.383922
-461.538083,491.587579
-465.531835,488.543929
-469.324465,485.261881
-472.889602,481.750284
-476.200874,478.017984
-479.231911,474.073831
-481.956382,469.926691
-484.356156,465.589569
-486.431285,461.084643
-488.184264,456.435322
-489.617591,451.665018
-490.733761,446.797140
-491.535270,441.855100
-492.024614,436.862308
-492.204290,431.842174
-492.076794,426.818109
-491.644621,421.813523
-490.910268,416.851827
-489.876230,411.956432
-488.545005,407.150747
-486.920763,402.456590
-485.033134,397.871570
-482.931544,393.374469
-480.665941,388.943574
-478.286272,384.557173
-475.842485,380.193553
-473.384526,375.831002
-470.957178,371.450217
-468.566135,367.050139
-466.199208,362.638050
-463.844117,358.221281
-461.488581,353.807157
-459.120318,349.403007
-456.727048,345.016159
-454.299309,340.652159
-451.839310,336.309177
-449.352280,331.983474
-446.843448,327.671315
-444.318043,323.368959
-441.781293,319.072670
-439.238426,314.778709
-436.694672,310.483339
-434.155258,306.182821
-431.625415,301.873418
-429.110370,297.551392
-426.615352,293.213004
-424.145590,288.854517
-421.705949,284.472469
-419.285425,280.075465
-416.851304,275.688614
-414.369307,271.338217
-411.805156,267.050572
-409.124571,262.851982
-406.293275,258.768745
-403.278066,254.826970
-400.063351,251.049646
-396.647868,247.457220
-393.030776,244.070065
-389.211232,240.908555
-385.188393,237.993063
-380.961444,235.343959
-376.538223,232.980631
-371.947207,230.920119
-367.219891,229.179120
-362.387771,227.774332
-357.482339,226.722454
-352.535091,226.040182
-347.577306,225.743768
-342.630611,225.829324
-337.703261,226.265069
-332.802528,227.017172
-327.935683,228.051804
-323.109999,229.335133
-318.332750,230.833330
-313.612603,232.515779
-308.981371,234.405112
-304.489889,236.567736
-300.189560,239.071358
-296.124193,241.962613
-292.304701,245.196829
-288.733094,248.704620
-285.406719,252.418763
-282.285373,256.289505
-279.310725,260.275526
-276.424328,264.335559
-273.567733,268.428338
-270.682492,272.512595
-267.710157,276.547066
-264.599960,280.490448
-261.334760,284.301295
-257.906615,287.938116
-254.308046,291.360480
-250.553526,294.577846
-246.688525,297.670119
-242.760808,300.722436
-238.803019,303.788934
-234.810733,306.847741
-230.773946,309.865554
-226.682655,312.809069
-222.526857,315.644979
-218.296547,318.339981
-213.981852,320.861098
-209.579310,323.191405
-205.094643,325.336994
-200.534282,327.305731
-195.904661,329.105483
-191.212210,330.744116
-186.463363,332.229496
-181.664550,333.569491
-176.822205,334.771968
-171.942759,335.844791
-167.032644,336.795829
-162.098293,337.632948
-157.146137,338.364013
-152.182605,338.996896
-147.212707,339.540650
-142.237876,340.007318
-137.258988,340.409408
-132.276919,340.759429
-127.292544,341.069889
-122.306739,341.353295
-117.320374,341.622067
-112.333890,341.883969
-107.347107,342.139913
-102.359793,342.390265
-97.371718,342.635391
-92.382650,342.875656
-87.392358,343.111427
-82.400623,343.342869
-77.407471,343.566507
-72.413137,343.775652
-67.417867,343.963508
-62.421905,344.123278
-57.425496,344.248165
-52.428882,344.331372
-47.432292,344.367227
-42.435791,344.360014
-37.439359,344.319215
-32.442979,344.254361
-27.446631,344.174979
-22.450296,344.090599
-17.453955,344.010749
-12.457592,343.943562
-7.461207,343.890496
-2.464805,343.851021
2.531611,343.824604
7.528035,343.810712
12.524464,343.808815
17.520892,343.818379
22.517316,343.838874
27.513731,343.869766
32.510133,343.910523
37.506516,343.960614
42.502877,344.019507
47.499211,344.086669
52.495514,344.161569
57.491782,344.243673
62.488009,344.332451
67.484192,344.427370
72.480326,344.527898
77.476406,344.633504
82.472428,344.743654
87.468388,344.857817
92.464281,344.975460
97.460104,345.096053
102.455850,345.219062
107.451516,345.343956
112.447098,345.470202
117.442591,345.597269
122.437994,345.724721
127.433318,345.852389
132.428574,345.980150
137.423774,346.107881
142.418930,346.235459
147.414053,346.362759
152.409156,346.489660
157.404250,346.616038
162.399348,346.741769
167.394460,346.866731
172.389599,346.990800
177.384776,347.113852
182.380003,347.235766
187.375293,347.356417
192.370656,347.475683
197.366105,347.593439
202.361652,347.709564
207.357308,347.823933
212.353085,347.936423
217.348995,348.046912
222.345049,348.155275
227.341260,348.261391
232.337639,348.365135
237.334199,348.466384
242.330950,348.565015
247.327905,348.660905
252.325076,348.753931
257.322454,348.844828
262.319925,348.938863
267.317339,349.042786
272.314549,349.163351
277.311404,349.307311
282.307756,349.481418
287.303455,349.692413
292.297914,349.933864
297.289259,350.160690
302.275383,350.320761
307.254177,350.361949
312.223535,350.232123
317.181347,349.879155
322.125365,349.251137
327.042342,348.313303
331.900416,347.059909
336.665926,345.488012
341.305212,343.594673
345.784612,341.376951
350.070466,338.831906
354.129526,335.957222
357.938201,332.765100
361.482614,329.282356
364.749314,325.536446
367.724853,321.554829
370.395781,317.364962
372.748660,312.994301
374.785936,308.470495
376.557203,303.821757
378.120761,299.076405
379.534911,294.262756
380.857952,289.409129
382.148185,284.543842
383.463598,279.695055
384.837318,274.878552
386.259972,270.088950
387.718022,265.318791
389.197931,260.560620
390.686161,255.806979
392.169175,251.050412
393.633775,246.283653
395.074892,241.503995
396.495735,236.713377
397.899886,231.913944
399.290928,227.107845
400.672443,222.297225
402.048014,217.484232
403.421223,212.671013
404.795652,207.859715
406.174883,203.052484
407.562500,198.251467
408.962084,193.458811
410.377218,188.676664
411.811485,183.907172
413.265589,179.149108
414.723929,174.382122
416.165157,169.579127
417.566451,164.713460
418.773114,159.797033
419.396016,154.910326
419.021969,150.140881
417.397581,145.571455
414.765016,141.269985
411.462212,137.301538
407.821102,133.727524
404.026515,130.519696
400.111020,127.557011
396.100078,124.714647
392.013392,121.912589
387.860525,119.149700
383.650009,116.432866
379.390376,113.768972
375.090158,111.164903
370.757887,108.627544
366.401940,106.163387
362.026808,103.769065
357.632912,101.430888
353.220480,99.134677
348.789743,96.866254
344.340930,94.611441
339.874267,92.356068
335.386334,90.105087
330.862162,87.923959
326.284503,85.890085
321.636800,84.078113
316.920215,82.491848
312.154753,81.059782
307.361266,79.707008
302.554373,78.382158
297.737425,77.076445
292.912582,75.785565
288.082008,74.505211
283.247866,73.231078
278.412317,71.958860
273.577483,70.684336
268.744417,69.405442
263.913019,68.122444
259.083132,66.835720
254.254599,65.545651
249.427264,64.252615
244.600971,62.956992
239.775562,61.659161
234.950882,60.359502
230.126773,59.058394
225.303079,57.756216
220.479644,56.453348
215.656310,55.150170
210.832922,53.847060
206.009340,52.544355
201.185535,51.242131
196.361518,49.940366
191.537300,48.639038
186.712891,47.338126
181.888303,46.037607
177.063545,44.737460
172.238631,43.437664
167.413569,42.138196
162.588371,40.839034
157.763049,39.540157
152.937612,38.241543
148.112072,36.943170
143.286440,35.645016
138.460727,34.347060
133.634943,33.049279
128.809099,31.751653
123.983207,30.454159
119.157278,29.156775
114.331321,27.859480
109.505349,26.562251
104.679372,25.265067
99.853400,23.967907
95.027446,22.670748
90.201519,21.373569
85.375631,20.076347
80.549793,18.779061
75.724012,17.481695
70.898289,16.184246
66.072621,14.886718
61.247005,13.589112
56.421438,12.291433
51.595919,10.993681
46.770444,9.695861
41.945012,8.397973
37.119619,7.100022
32.294262,5.802009
27.468941,4.503936
22.643651,3.205808
17.818390,1.907625
12.993156,0.609391
8.167946,-0.688891
3.342758,-1.987220
