# x_m,y_m
-0.030959,0.892517
3.213212,-2.913537
6.456992,-6.719921
9.700371,-10.526643
12.943342,-14.333708
16.185895,-18.141125
19.428022,-21.948899
22.669715,-25.757038
25.910965,-29.565550
29.151763,-33.374439
32.392101,-37.183715
35.631970,-40.993383
38.871363,-44.803451
42.110269,-48.613925
45.348681,-52.424813
48.586590,-56.236121
51.823988,-60.047857
55.060865,-63.860027
58.297215,-67.672637
61.533027,-71.485697
64.768293,-75.299211
68.003005,-79.113187
71.237155,-82.927632
74.470733,-86.742553
77.703732,-90.557957
80.936142,-94.373851
84.167955,-98.190242
87.399162,-102.007136
90.629756,-105.824541
93.859727,-109.642463
97.089067,-113.460910
100.317767,-117.279888
103.545819,-121.099404
106.773214,-124.919466
109.999944,-128.740081
113.226000,-132.561254
116.451373,-136.382993
119.676056,-140.205306
122.900038,-144.028198
126.123313,-147.851678
129.345872,-151.675751
132.567705,-155.500425
135.788804,-159.325707
139.009161,-163.151604
142.228767,-166.978122
145.447614,-170.805269
148.665692,-174.633052
151.882995,-178.461477
155.099550,-182.290520
158.315735,-186.119880
161.532109,-189.949108
164.749232,-193.777753
167.967665,-197.605364
171.187969,-201.431492
174.410705,-205.255686
177.636434,-209.077496
180.865717,-212.896470
184.099114,-216.712160
187.337186,-220.524114
190.580495,-224.331881
193.829600,-228.135013
197.085063,-231.933057
200.347445,-235.725565
203.617307,-239.512084
206.895209,-243.292166
210.181712,-247.065359
213.477239,-250.831316
216.774653,-254.595261
220.055515,-258.370758
223.300460,-262.172050
226.490121,-266.013382
229.605133,-269.908999
232.626131,-273.873145
235.533750,-277.920064
238.308623,-282.064001
240.931384,-286.319186
243.381754,-290.693595
245.637122,-295.179188
247.674509,-299.765396
249.470934,-304.441651
251.003420,-309.197383
252.248986,-314.022025
253.184654,-318.905008
253.787443,-323.835763
254.034828,-328.803647
253.927493,-333.794152
253.500015,-338.787133
252.789654,-343.761996
251.833671,-348.698148
250.669982,-353.576193
249.348103,-358.397944
247.927500,-363.183401
246.467961,-367.953154
245.029196,-372.727769
243.641068,-377.518736
242.258983,-382.314901
240.826925,-387.101638
239.288879,-391.864322
237.588968,-396.588002
235.678123,-401.241790
233.517040,-405.771927
231.067173,-410.122884
228.289975,-414.239136
225.157527,-418.071772
221.689092,-421.601256
217.917015,-424.816199
213.873642,-427.705211
209.591319,-430.256902
205.102393,-432.459881
200.439209,-434.302760
195.634113,-435.774148
190.719452,-436.862655
185.728215,-437.557385
180.698581,-437.851412
175.671239,-437.739732
170.686891,-437.217353
165.786243,-436.279281
161.009997,-434.920525
156.398857,-433.136092
151.993529,-430.920989
147.834714,-428.270226
143.952813,-425.191765
140.334447,-421.748612
136.954619,-418.018384
133.788330,-414.078699
130.810557,-410.007113
127.990096,-405.865188
125.281291,-401.677096
122.636427,-397.461677
120.007788,-393.237772
117.351934,-389.022592
114.658579,-384.820712
111.932931,-380.630803
109.180282,-376.451502
106.405928,-372.281448
103.615160,-368.119278
100.813274,-363.963631
98.005563,-359.813143
95.197320,-355.666454
92.393663,-351.522193
89.596935,-347.378889
86.807280,-343.234985
84.024781,-339.088926
81.249522,-334.939152
78.481586,-330.784106
75.721056,-326.622231
72.968015,-322.451970
70.222548,-318.271764
67.484618,-314.080183
64.749318,-309.880915
62.005284,-305.684446
59.240703,-301.501729
56.443763,-297.343717
53.602653,-293.221364
50.705560,-289.145624
47.740675,-285.127449
44.696183,-281.177793
41.559471,-277.308590
38.305668,-273.546732
34.900359,-269.930762
31.308873,-266.499532
27.496542,-263.291894
23.435329,-260.344944
19.146449,-257.682728
14.673286,-255.323423
10.059328,-253.285176
5.347688,-251.585534
0.566879,-250.218856
-4.273498,-249.149465
-9.165100,-248.339685
-14.099582,-247.751839
-19.068602,-247.348252
-24.063817,-247.091246
-29.076883,-246.943146
-34.099457,-246.866275
-39.123113,-246.821327
-44.138234,-246.745139
-49.134296,-246.556452
-54.100751,-246.173556
-59.027052,-245.514741
-63.900958,-244.506346
-68.698004,-243.132703
-73.388373,-241.403565
-77.942222,-239.328791
-82.329809,-236.918349
-86.524982,-234.186215
-90.506132,-231.151430
-94.251940,-227.833358
-97.741088,-224.251365
-100.952256,-220.424815
-103.864127,-216.373074
-106.455381,-212.115507
-108.704700,-207.671478
-110.595717,-203.061458
-112.180808,-198.321238
-113.562669,-193.497831
-114.845147,-188.638504
-116.132089,-183.790526
-117.513118,-178.994198
-118.979818,-174.241822
-120.482462,-169.505470
-121.971176,-164.757142
-123.397252,-159.969480
-124.751633,-155.136831
-126.073675,-150.280054
-127.405678,-145.421620
-128.789941,-140.583997
-130.268765,-135.789657
-131.884448,-131.061069
-133.679291,-126.420702
-135.695593,-121.891028
-137.975517,-117.494469
-140.540319,-113.246511
-143.368075,-109.148301
-146.431521,-105.199215
-149.703392,-101.398628
-153.156806,-97.746375
-156.777357,-94.257284
-160.565581,-90.964133
-164.522891,-87.900761
-168.650703,-85.101006
-172.946674,-82.590955
-177.394894,-80.368713
-181.976395,-78.426071
-186.672205,-76.754821
-191.463354,-75.346753
-196.330873,-74.193661
-201.255790,-73.287334
-206.219136,-72.619565
-211.201985,-72.182035
-216.191237,-71.951905
-221.185392,-71.877425
-226.184324,-71.903423
-231.187906,-71.974724
-236.195941,-72.036788
-241.206092,-72.054332
-246.213532,-72.014441
-251.213296,-71.905450
-256.200418,-71.715694
-261.167509,-71.405459
-266.098687,-70.836851
-270.976475,-69.862465
-275.786676,-68.485126
-280.517323,-66.809877
-285.155448,-64.908597
-289.686041,-62.784343
-294.093854,-60.432180
-298.363639,-57.847175
-302.480410,-55.025950
-306.430828,-51.974950
-310.202202,-48.704451
-313.781836,-45.224731
-317.157040,-41.546073
-320.315120,-37.678758
-323.243383,-33.633066
-325.929136,-29.419280
-328.359687,-25.047680
-330.522290,-20.529092
-332.403561,-15.880912
-333.989692,-11.124895
-335.266868,-6.282876
-336.221273,-1.376687
-336.839091,3.571836
-337.106509,8.540861
-337.009709,13.508553
-336.534877,18.453080
-335.678417,23.355351
-334.498688,28.212917
-333.077273,33.029567
-331.495797,37.809100
-329.835879,42.555313
-328.163447,47.273466
-326.492958,51.973603
-324.828332,56.666746
-323.173486,61.363921
-321.531816,66.075342
-319.900648,70.801870
-318.273405,75.538353
-316.643451,80.279542
-315.004144,85.020187
-313.358526,89.757557
-311.767051,94.503871
-310.311260,99.276836
-309.072729,104.094169
-308.131465,108.972899
-307.526332,113.912017
-307.252012,118.891144
-307.301012,123.888945
-307.665837,128.884086
-308.338993,133.855235
-309.312987,138.781057
-310.580324,143.640218
-312.133510,148.411385
-313.965051,153.073252
-316.067294,157.607055
-318.432313,161.998583
-321.052151,166.234095
-323.918851,170.299851
-327.024457,174.182111
-330.361014,177.867135
-333.920563,181.341182
-337.695149,184.590513
-341.676147,187.602418
-345.838433,190.389643
-350.139742,192.991372
-354.537013,195.448024
-358.987184,197.800016
-363.450193,200.085102
-367.918366,202.312290
-372.403793,204.473045
-376.918847,206.558581
-381.475805,208.560240
-386.078902,210.480284
-390.718338,212.340020
-395.382902,214.162673
-400.061383,215.971467
-404.745206,217.780544
-409.440467,219.553535
-414.158332,221.236618
-418.909968,222.775953
-423.706205,224.119162
-428.549807,225.248448
-433.435345,226.181144
-438.357025,226.936152
-443.309052,227.532373
-448.285631,227.988710
-453.280969,228.324064
-458.289270,228.557338
-463.304740,228.707433
-468.321603,228.793129
-473.335548,228.823521
-478.344760,228.791204
-483.347668,228.687165
-488.342701,228.502390
-493.328287,228.227866
-498.302854,227.854578
-503.264831,227.373514
-508.212647,226.775660
-513.144488,226.051547
-518.052994,225.181343
-522.925294,224.134901
-527.748275,222.881632
-532.508829,221.390946
-537.195698,219.638944
-541.816442,217.669633
-546.389582,215.566570
-550.933775,213.413805
-555.467574,211.294773
-560.001971,209.247975
-564.535364,207.237057
-569.064958,205.218575
-573.587958,203.149083
-578.101111,200.986007
-582.591034,198.705961
-587.034427,196.304346
-591.407578,193.777344
-595.686782,191.121142
-599.855099,188.334468
-603.915107,185.423373
-607.872878,182.395219
-611.734486,179.257371
-615.506003,176.017191
-619.193502,172.682045
-622.803057,169.259294
-626.340739,165.756303
-629.812623,162.180434
-633.224780,158.539053
-636.583284,154.839521
-639.894208,151.089202
-643.163624,147.295461
-646.397606,143.465660
-649.602226,139.607164
-652.783558,135.727334
-655.947674,131.833536
-659.100646,127.933131
-662.247239,124.031772
-665.388542,120.130302
-668.525001,116.228723
-671.657058,112.327035
-674.785160,108.425240
-677.909750,104.523339
-681.031275,100.621332
-684.150177,96.719222
-687.266903,92.817008
-690.381896,88.914692
-693.495602,85.012275
-696.608465,81.109758
-699.720930,77.207142
-702.833442,73.304429
-705.946445,69.401619
-709.060385,65.498713
-712.175705,61.595713
-715.292851,57.692619
-718.413054,53.789615
-721.544996,49.888603
-724.701466,45.992436
-727.895297,42.103977
-731.139320,38.226086
-734.457691,34.389240
-737.931023,30.761579
-741.657486,27.554055
-745.735255,24.977634
-750.254550,23.229917
-755.145318,22.239185
-760.188995,21.684091
-765.219278,21.288576
-770.222708,20.921163
-775.209084,20.504344
-780.183760,20.040687
-785.151367,19.545798
-790.116534,19.035279
-795.083557,18.523708
-800.053740,18.016497
-805.026820,17.514249
-810.002520,17.017525
-814.980560,16.526887
-819.960663,16.042895
-824.942551,15.566109
-829.925947,15.097091
-834.910572,14.636402
-839.896072,14.184201
-844.880658,13.733144
