# x_m,y_m
2.294259,-5.204053
7.254228,-4.557675
12.214433,-3.912766
17.174866,-3.269292
22.135520,-2.627219
27.096389,-1.986514
32.057465,-1.347144
37.018742,-0.709077
41.980211,-0.072277
46.941867,0.563287
51.903701,1.197649
56.865708,1.830842
61.827880,2.462900
66.790210,3.093856
71.752691,3.723743
76.715316,4.352594
81.678079,4.980443
86.640970,5.607322
91.603985,6.233266
96.567116,6.858308
101.530356,7.482480
106.493697,8.105815
111.457133,8.728349
116.420657,9.350112
121.384262,9.971140
126.347940,10.591464
131.311686,11.211119
136.275490,11.830137
141.239348,12.448552
146.203251,13.066398
151.167192,13.683706
156.131165,14.300512
161.095163,14.916847
166.059178,15.532745
171.023203,16.148240
175.987232,16.763364
180.951257,17.378152
185.915272,17.992635
190.879269,18.606849
195.843241,19.220824
200.807181,19.834596
205.771083,20.448198
210.734939,21.061662
215.698742,21.675021
220.662485,22.288310
225.626161,22.901561
230.589764,23.514808
235.553285,24.128084
240.516719,24.741422
245.480057,25.354855
250.443294,25.968417
255.406421,26.582141
260.369433,27.196060
265.332321,27.810208
270.295079,28.424618
275.257700,29.039322
280.220176,29.654355
285.182502,30.269750
290.144669,30.885539
295.106709,31.501728
300.068763,32.118239
305.030987,32.734984
309.993542,33.351870
314.956587,33.968808
319.920279,34.585706
324.884778,35.202475
329.850242,35.819023
334.816830,36.435261
339.784702,37.051097
344.754015,37.666441
349.724929,38.281202
354.697602,38.895290
359.672193,39.508615
364.648861,40.121085
369.627764,40.732610
374.609062,41.343099
379.590263,41.958315
384.514138,42.704871
389.271978,43.823043
393.753077,45.557525
397.846745,48.152780
401.455531,51.709645
404.517845,55.939719
406.982103,60.506551
408.833341,65.232032
410.080915,70.029035
410.776003,74.863584
410.991814,79.729394
410.801754,84.620435
410.279233,89.530676
409.497660,94.454084
408.530442,99.384630
407.450988,104.316281
406.332195,109.243054
405.218858,114.161525
404.113680,119.072105
403.015910,123.975521
401.924796,128.872499
400.839584,133.763767
399.759523,138.650052
398.683861,143.532078
397.611846,148.410575
396.542725,153.286267
395.475746,158.159882
394.410158,163.032147
393.345207,167.903788
392.280143,172.775532
391.214212,177.648105
