# x_m,y_m
-4.554139,-1.905752
-0.588175,-4.950110
3.376867,-7.995670
7.340966,-11.042455
11.304104,-14.090492
15.266261,-17.139803
19.227417,-20.190414
23.187553,-23.242350
27.146648,-26.295635
31.104684,-29.350293
35.061641,-32.406350
39.017497,-35.463830
42.972235,-38.522757
46.925834,-41.583157
50.878273,-44.645053
54.829534,-47.708470
58.779596,-50.773432
62.728440,-53.839965
66.676044,-56.908093
70.622390,-59.977839
74.567456,-63.049229
78.511223,-66.122287
82.453672,-69.197037
86.394780,-72.273504
90.334529,-75.351713
94.272897,-78.431686
98.209865,-81.513450
102.145413,-84.597028
106.079519,-87.682445
110.012163,-90.769725
113.943324,-93.858892
117.872983,-96.949971
121.801118,-100.042985
125.727709,-103.137960
129.652735,-106.234919
133.576175,-109.333888
137.498008,-112.434889
141.418214,-115.537947
145.336771,-118.643087
149.253659,-121.750333
153.168856,-124.859709
157.082341,-127.971239
160.994093,-131.084948
164.904090,-134.200859
168.812312,-137.318998
172.718737,-140.439387
176.623343,-143.562052
180.526109,-146.687016
184.427014,-149.814303
188.326054,-152.943915
192.223258,-156.075813
196.118610,-159.210013
200.011661,-162.347074
203.902039,-165.487445
207.797567,-168.621423
211.722054,-171.719048
215.697372,-174.751119
219.741517,-177.690752
223.865712,-180.516972
228.073763,-183.216509
232.369894,-185.773146
236.771349,-188.144015
241.296789,-190.268681
245.949263,-192.097886
250.720492,-193.589666
255.595312,-194.698091
260.547973,-195.375076
265.541819,-195.577564
270.528599,-195.264561
275.443750,-194.385157
280.205059,-192.896748
284.685065,-190.694217
288.724271,-187.742977
292.019683,-184.010837
294.335411,-179.582653
295.860879,-174.822667
296.753069,-169.914111
297.045744,-164.923240
296.813648,-159.930749
296.140075,-154.977429
295.110025,-150.085471
293.804580,-145.259210
292.285822,-140.495427
290.604755,-135.786657
288.812248,-131.119352
286.940771,-126.483161
285.005213,-121.873344
283.016577,-117.286174
280.985689,-112.717552
278.923265,-108.163079
276.839933,-103.618133
274.746253,-99.077946
272.652742,-94.537684
270.569889,-89.992525
268.508183,-85.437740
266.478131,-80.868762
264.490278,-76.281276
262.555246,-71.671269
260.683699,-67.035115
258.886993,-62.369461
257.177297,-57.671240
255.567008,-52.938025
254.069005,-48.168144
252.694784,-43.361137
251.451807,-38.518470
250.345913,-33.642690
249.383159,-28.736690
248.569797,-23.803789
247.915004,-18.847428
247.430408,-13.871592
247.128109,-8.881410
247.020496,-3.883279
247.122107,1.114950
247.446022,6.103696
247.996231,11.072610
248.770131,16.011648
249.762886,20.911402
250.968863,25.763091
252.382540,30.558386
253.998569,35.289333
255.811729,39.948298
257.816931,44.527894
260.009151,49.020966
262.383615,53.420464
264.934491,57.720069
267.653348,61.915432
270.528973,66.004939
273.547637,69.989997
276.695739,73.873719
279.965067,77.656117
283.350399,81.335120
286.846351,84.909226
290.447174,88.377631
294.145576,91.741810
297.933363,95.005086
301.802784,98.171138
305.746634,101.243992
309.758127,104.228012
313.830892,107.127855
317.958927,109.948474
322.136574,112.695046
326.358374,115.373250
330.618729,117.989731
334.912056,120.551763
339.233059,123.066833
343.576685,125.542634
347.938062,127.987034
352.312477,130.408028
356.695329,132.813719
361.082098,135.212255
365.468414,137.611614
369.850022,140.019558
374.222651,142.443769
378.581956,144.891856
382.923491,147.371316
387.242678,149.889502
391.534765,152.453599
395.794805,155.070593
400.017608,157.747246
404.197739,160.490055
408.329514,163.305174
412.406962,166.198421
416.423749,169.175295
420.373123,172.241029
424.247939,175.400511
428.040400,178.658298
431.742237,182.018657
435.346991,185.483050
438.851050,189.049203
442.251872,192.713857
445.547437,196.473150
448.732859,200.326036
451.798203,204.275350
454.741918,208.316530
457.568880,212.440297
460.286937,216.636586
462.910915,220.892405
465.459520,225.193825
467.952188,229.527868
470.408612,233.882548
472.848674,238.246408
475.292372,242.608209
477.759696,246.956640
480.270542,251.280057
482.844501,255.566161
485.500546,259.801811
488.256851,263.972831
491.130670,268.063718
494.138008,272.057324
497.293471,275.934911
500.609965,279.675633
504.098472,283.256128
507.766922,286.652204
511.601356,289.860496
515.570919,292.899976
519.645370,295.797372
523.797815,298.582026
528.003917,301.284995
532.241321,303.938651
536.488742,306.576332
540.725500,309.231127
544.932869,311.931980
549.092918,314.704978
553.187663,317.572707
557.195437,320.560681
561.077117,323.711324
564.782210,327.067450
568.273883,330.644509
571.531956,334.435082
574.519233,338.442584
577.210276,342.655550
579.617731,347.036889
581.767226,351.550485
583.685702,356.167140
585.402474,360.862605
586.948447,365.617136
588.355987,370.414508
589.659141,375.241296
590.893333,380.086212
592.094678,384.939370
593.299675,389.791607
594.544999,394.633620
595.867228,399.455141
597.302807,404.244122
598.887120,408.985959
600.656337,413.661787
602.636659,418.252001
604.828150,422.745300
607.220583,427.134920
609.806618,431.413348
612.579448,435.573156
615.532280,439.607194
618.658341,443.508551
621.950902,447.270458
625.403580,450.885975
629.010259,454.347902
632.764839,457.648849
636.661132,460.781270
640.692780,463.737450
644.853191,466.509487
649.135430,469.089338
653.532236,471.468645
658.035477,473.639778
662.636012,475.596331
667.324250,477.332192
672.090332,478.841156
676.924029,480.116942
681.814642,481.153204
686.750951,481.943392
691.721074,482.480963
696.712461,482.758156
701.711509,482.765094
706.703133,482.493397
711.672294,481.947296
716.606315,481.143215
721.495411,480.100314
726.332388,478.837384
731.113859,477.377697
735.840648,475.748965
