# x_m,y_m
-6.075903,-4.259295
-9.921607,-1.067670
-13.767138,2.124164
-17.612500,5.316201
-21.457700,8.508435
-25.302740,11.700859
-29.147627,14.893468
-32.992365,18.086257
-36.836960,21.279218
-40.681416,24.472347
-44.525738,27.665637
-48.369930,30.859082
-52.213999,34.052677
-56.057948,37.246415
-59.901783,40.440291
-63.745509,43.634298
-67.589130,46.828431
-71.432652,50.022684
-75.276079,53.217051
-79.119416,56.411526
-82.962672,59.606099
-86.805861,62.800752
-90.648998,65.995468
-94.492099,69.190226
-98.335181,72.385008
-102.178258,75.579796
-106.021347,78.774570
-109.864463,81.969311
-113.707621,85.164001
-117.550838,88.358621
-121.394129,91.553151
-125.237509,94.747574
-129.080995,97.941870
-132.924602,101.136021
-136.768345,104.330007
-140.612241,107.523810
-144.456305,110.717410
-148.300552,113.910790
-152.144999,117.103929
-155.989660,120.296810
-159.834552,123.489413
-163.679691,126.681720
-167.525091,129.873711
-171.370768,133.065368
-175.216739,136.256672
-179.063019,139.447604
-182.909622,142.638144
-186.756566,145.828276
-190.603859,149.017985
-194.451509,152.207264
-198.299522,155.396104
-202.147906,158.584498
-205.996665,161.772438
-209.845808,164.959916
-213.695339,168.146923
-217.545267,171.333452
-221.395598,174.519494
-225.246337,177.705042
-229.097492,180.890087
-232.949070,184.074622
-236.801076,187.258639
-240.653517,190.442129
-244.506400,193.625084
-248.359731,196.807497
-252.213516,199.989359
-256.067764,203.170662
-259.922478,206.351398
-263.777667,209.531560
-267.633337,212.711138
-271.489495,215.890126
-275.346145,219.068515
-279.203297,222.246296
-283.060955,225.423462
-286.919126,228.600005
-290.777817,231.775917
-294.637033,234.951190
-298.496780,238.125818
-302.357064,241.299794
-306.217888,244.473111
-310.079260,247.645764
-313.941182,250.817745
-317.803662,253.989048
-321.666703,257.159666
-325.530312,260.329593
-329.394493,263.498823
-333.259251,266.667349
-337.124592,269.835163
-340.990520,273.002261
-344.857042,276.168634
-348.724162,279.334277
-352.591885,282.499183
-356.460216,285.663346
-360.329161,288.826758
-364.198724,291.989413
-368.068911,295.151305
-371.939727,298.312427
-375.811177,301.472773
-379.683267,304.632336
-383.556000,307.791108
-387.429383,310.949085
-391.303421,314.106258
-395.178117,317.262622
-399.053486,320.418160
-402.929597,323.572787
-406.806547,326.726384
-410.684432,329.878831
-414.563348,333.030008
-418.443393,336.179796
-422.324662,339.328075
-426.207252,342.474724
-430.091260,345.619624
-433.976782,348.762655
-437.863889,351.903676
-441.750881,355.044675
-445.624332,358.202325
-449.449801,361.418063
-453.189108,364.733534
-456.801669,368.186424
-460.242223,371.810397
-463.459358,375.633672
-466.394366,379.677078
-468.980300,383.951647
-471.141774,388.455227
-472.788896,393.170445
-473.815386,398.057501
-474.113317,403.042350
-473.581238,408.007489
-472.188702,412.797251
-469.975570,417.253172
-467.008767,421.274988
-463.456448,424.791816
-459.445943,427.766088
-455.092250,430.217029
