# x_m,y_m
-0.245905,-0.101954
-3.058622,-4.233050
-5.871325,-8.364154
-8.683963,-12.495303
-11.496483,-16.626533
-14.308828,-20.757881
-17.120946,-24.889385
-19.932781,-29.021080
-22.744278,-33.153006
-25.555383,-37.285198
-28.366042,-41.417694
-31.176199,-45.550532
-33.985800,-49.683747
-36.794789,-53.817378
-39.603114,-57.951460
-42.410717,-62.086033
-45.217546,-66.221131
-48.023545,-70.356792
-50.828659,-74.493054
-53.632833,-78.629953
-56.436013,-82.767526
-59.238144,-86.905809
-62.039170,-91.044840
-64.839038,-95.184655
-67.637691,-99.325291
-70.435074,-103.466785
-73.231134,-107.609172
-76.025815,-111.752491
-78.819061,-115.896776
-81.610817,-120.042065
-84.401029,-124.188394
-87.189641,-128.335799
-89.976598,-132.484317
-92.761844,-136.633983
-95.545324,-140.784834
-98.326983,-144.936905
-101.106765,-149.090234
-103.884616,-153.244854
-106.660478,-157.400804
-109.434297,-161.558117
-112.206017,-165.716830
-114.975582,-169.876978
-117.742936,-174.038598
-120.508024,-178.201723
-123.270790,-182.366390
-126.031178,-186.532633
-128.789132,-190.700488
-131.544595,-194.869990
-134.297512,-199.041174
-137.047826,-203.214074
-139.795482,-207.388725
-142.540422,-211.565163
-145.282591,-215.743420
-148.021931,-219.923532
-150.758387,-224.105534
-153.491902,-228.289458
-156.222418,-232.475339
-158.949880,-236.663212
-161.674230,-240.853109
-164.395412,-245.045065
-167.113368,-249.239114
-169.828041,-253.435287
-172.539376,-257.633619
-175.247317,-261.834140
-177.951811,-266.036882
-180.652803,-270.241875
-183.350226,-274.449158
-186.043990,-278.658786
-188.734002,-282.870811
-191.420196,-287.085272
-194.102515,-291.302201
-196.780903,-295.521628
-199.455308,-299.743581
-202.125672,-303.968090
-204.791938,-308.195187
-207.454038,-312.424909
-210.111903,-316.657293
-212.765461,-320.892379
-215.414641,-325.130205
-218.059372,-329.370809
-220.699582,-333.614230
-223.335199,-337.860503
-225.966153,-342.109669
-228.592371,-346.361763
-231.213781,-350.616822
-233.830311,-354.874885
-236.441888,-359.135986
-239.048441,-363.400163
-241.649896,-367.667452
-244.246181,-371.937889
-246.837223,-376.211509
-249.422948,-380.488347
-252.003284,-384.768439
-254.578157,-389.051820
-257.147493,-393.338525
-259.711219,-397.628587
-262.269261,-401.922040
-264.821544,-406.218920
-267.367995,-410.519258
-269.908539,-414.823088
-272.443102,-419.130444
-274.971609,-423.441358
-277.493984,-427.755862
-280.010154,-432.073988
-282.520041,-436.395768
-285.023573,-440.721234
-287.520671,-445.050416
-290.011261,-449.383346
-292.495267,-453.720054
-294.972613,-458.060570
-297.443222,-462.404924
-299.907018,-466.753146
-302.363924,-471.105264
-304.813864,-475.461308
-307.256759,-479.821306
-309.692534,-484.185286
-312.121111,-488.553276
-314.542411,-492.925303
-316.956358,-497.301396
-319.362874,-501.681577
-321.761704,-506.065972
-324.152143,-510.454948
-326.533394,-514.848916
-328.904661,-519.248279
-331.265142,-523.653441
-333.614673,-528.064419
-335.958580,-532.478368
-338.314688,-536.885851
-340.709187,-541.272584
-343.170960,-545.621864
-345.728157,-549.915624
-348.406602,-554.134726
-351.225214,-558.261428
-354.198366,-562.278270
-357.331560,-566.171709
-360.631367,-569.924856
-364.109694,-573.512995
-367.776885,-576.907712
-371.639704,-580.077811
-375.700867,-582.989217
-379.957973,-585.605339
-384.402558,-587.887746
-389.019188,-589.797268
-393.788523,-591.283256
-398.685522,-592.267171
-403.663252,-592.683547
-408.658406,-592.599114
-413.630430,-592.109234
-418.550486,-591.239714
-423.392252,-590.004466
-428.151834,-588.480936
-432.836625,-586.741254
-437.464773,-584.854977
-442.057703,-582.884349
-446.639904,-580.888508
-451.236936,-578.927352
-455.872583,-577.059158
-460.563282,-575.334243
-465.318733,-573.798888
-470.145610,-572.507570
-475.043120,-571.517315
-479.995508,-570.854273
-484.981377,-570.527194
-489.978094,-570.546731
-494.960262,-570.928598
-499.899475,-571.679908
-504.772181,-572.785125
-509.563431,-574.207272
-514.265898,-575.898457
-518.879095,-577.818432
-523.405958,-579.934273
-527.849645,-582.220678
-532.214670,-584.654070
-536.508210,-587.211517
-540.739342,-589.871267
-544.918220,-592.612446
-549.055820,-595.415574
-553.162954,-598.263524
-557.249348,-601.141436
-561.324430,-604.035255
-565.397982,-606.931223
-569.479678,-609.815653
-573.579003,-612.674593
-577.705111,-615.494406
-581.867612,-618.259978
-586.079809,-620.949499
-590.357538,-623.534015
-594.714829,-625.980969
-599.160792,-628.262378
-603.696969,-630.359054
-608.319165,-632.258358
-613.018812,-633.957182
-617.787050,-635.452371
-622.616265,-636.737257
-627.498257,-637.804737
-632.423962,-638.647508
-637.383889,-639.258157
-642.367440,-639.628974
-647.363095,-639.753459
-652.358872,-639.630255
-657.342570,-639.261842
-662.302314,-638.650795
-667.226548,-637.799625
-672.103585,-636.710626
-676.922013,-635.386293
-681.669944,-633.827948
-686.333479,-632.032551
-690.896461,-629.994924
-695.341436,-627.711723
-699.655918,-625.190311
-703.833948,-622.448561
-707.872245,-619.505089
-711.768534,-616.376082
-715.519387,-613.074027
-719.120844,-609.609559
-722.569532,-605.992944
-725.862503,-602.233960
-728.997185,-598.341966
-731.971315,-594.325910
-734.783012,-590.194480
-737.431103,-585.956321
-739.914897,-581.619825
-742.233911,-577.193007
-744.387852,-572.683555
-746.376587,-568.098838
-748.200115,-563.445935
-749.858543,-558.731654
-751.352113,-553.962574
-752.681913,-549.145275
-753.851532,-544.286614
-754.865383,-539.393055
-755.726821,-534.470326
-756.438630,-529.523728
-757.003817,-524.558235
-757.426175,-519.578540
-757.709860,-514.589026
-757.859051,-509.593675
-757.877952,-504.596122
-757.770761,-499.599686
-757.541683,-494.607343
-757.194817,-489.621776
-756.733583,-484.645488
-756.160662,-479.680807
-755.478666,-474.729908
-754.690201,-469.794844
-753.797827,-464.877494
-752.804070,-459.979618
-751.711444,-455.102857
-750.522711,-450.248618
-749.240981,-445.418088
-747.869385,-440.612306
-746.410997,-435.832142
-744.868865,-431.078330
-743.245994,-426.351468
-741.545353,-421.652024
-739.769870,-416.980339
-737.922433,-412.336635
-736.005893,-407.721019
-734.023056,-403.133493
-731.976695,-398.573944
-729.869540,-394.042171
-727.704251,-389.537904
-725.483792,-385.060571
-723.211798,-380.609147
-720.892160,-376.182360
-718.528669,-371.778831
-716.125073,-367.397071
-713.685050,-363.035468
-711.212279,-358.692340
-708.710364,-354.365969
-706.182041,-350.054952
-703.629060,-345.758475
-701.053028,-341.475806
-698.455548,-337.206098
-695.838214,-332.948532
-693.202608,-328.702257
-690.550281,-324.466392
-687.882958,-320.239963
-685.202547,-316.021840
-682.511079,-311.810772
-679.811162,-307.605114
-677.105861,-303.402899
-674.397160,-299.202867
-671.685943,-295.004459
-668.972872,-290.807249
-666.258605,-286.610813
-663.543799,-282.414724
-660.829113,-278.218559
-658.115196,-274.021896
-655.402575,-269.824396
-652.691380,-265.625987
-649.981575,-261.426683
-647.273389,-257.226322
-644.567236,-253.024646
-641.863556,-248.821381
-639.162784,-244.616245
-636.465361,-240.408966
-633.771449,-236.199423
-631.076963,-231.990321
-628.362615,-227.794354
-625.600914,-223.629398
-622.772831,-219.508731
-619.864940,-215.443826
-616.863255,-211.447667
-613.754000,-207.534727
-610.524447,-203.720801
-607.161166,-200.024290
-603.649377,-196.468612
