# x_m,y_m
-6.731915,-0.128223
-6.636421,-5.125556
-6.540891,-10.122888
-6.445324,-15.120220
-6.349717,-20.117551
-6.254068,-25.114881
-6.158375,-30.112211
-6.062635,-35.109539
-5.966848,-40.106867
-5.871009,-45.104193
-5.775118,-50.101519
-5.679172,-55.098844
-5.583168,-60.096167
-5.487106,-65.093489
-5.390982,-70.090810
-5.294794,-75.088130
-5.198541,-80.085449
-5.102219,-85.082766
-5.005828,-90.080082
-4.909364,-95.077397
-4.812826,-100.074710
-4.716212,-105.072022
-4.619518,-110.069332
-4.522744,-115.066640
-4.425886,-120.063947
-4.328944,-125.061253
-4.231914,-130.058556
-4.134794,-135.055858
-4.037583,-140.053158
-3.940277,-145.050456
-3.842876,-150.047753
-3.745376,-155.045047
-3.647776,-160.042340
-3.550074,-165.039630
-3.452178,-170.036917
-3.353265,-175.034184
-3.250746,-180.031377
-3.141057,-185.028417
-3.020998,-190.025218
-2.888697,-195.021710
-2.742913,-200.017827
-2.582333,-205.013491
-2.405477,-210.008604
-2.210810,-215.003055
-1.996790,-219.996713
-1.761875,-224.989432
-1.504519,-229.981043
-1.223178,-234.971360
-0.916304,-239.960171
-0.582351,-244.947242
-0.219773,-249.932313
0.172993,-254.915095
0.597794,-259.895248
1.056691,-264.872373
1.551749,-269.846030
2.085026,-274.815733
2.658569,-279.780949
3.274421,-284.741094
3.934613,-289.695530
4.641166,-294.643566
5.396090,-299.584452
6.201382,-304.517377
7.059025,-309.441468
7.970984,-314.355788
8.939205,-319.259331
9.965572,-324.151032
11.051935,-329.029757
12.200125,-333.894301
13.411960,-338.743379
14.689237,-343.575629
16.033734,-348.389606
17.447205,-353.183782
18.931380,-357.956540
20.487958,-362.706175
22.118608,-367.430889
23.824959,-372.128789
25.608595,-376.797891
27.470921,-381.436164
29.413126,-386.041557
31.436357,-390.611929
33.541714,-395.145051
35.730233,-399.638610
38.002744,-404.090289
40.359423,-408.497988
42.799184,-412.860248
45.320475,-417.175900
47.921693,-421.443853
50.601264,-425.663051
53.357638,-429.832482
56.189434,-433.951054
59.095718,-438.017407
62.075728,-442.030046
65.128666,-445.987480
68.253742,-449.888199
71.450152,-453.730681
74.717085,-457.513387
78.053716,-461.234757
81.459210,-464.893216
84.932714,-468.487166
88.473362,-472.014990
92.080268,-475.475041
95.752499,-478.865678
99.489013,-482.185347
103.288658,-485.432563
107.150242,-488.605870
111.072534,-491.703828
115.054283,-494.724983
119.094219,-497.667878
123.191048,-500.531041
127.343453,-503.312989
131.550093,-506.012230
135.809594,-508.627249
140.120552,-511.156530
144.481457,-513.598704
148.890278,-515.953266
153.344258,-518.221238
157.840518,-520.404210
162.376277,-522.503876
166.948903,-524.521986
171.555905,-526.460340
176.194903,-528.320775
180.863626,-530.105203
185.560092,-531.815291
190.282845,-533.451596
195.030621,-535.013925
199.802053,-536.502332
204.595702,-537.917601
209.409929,-539.261265
214.243102,-540.535017
219.093742,-541.740573
223.960420,-542.879678
228.841788,-543.954094
233.736583,-544.965599
238.643613,-545.915983
243.561765,-546.807046
248.489991,-547.640595
253.427318,-548.418446
258.372837,-549.142427
263.325698,-549.814333
268.285141,-550.435810
273.250474,-551.008393
278.221040,-551.533620
283.196233,-552.013044
288.175494,-552.448223
293.158302,-552.840725
298.144178,-553.192124
303.132684,-553.504001
308.123416,-553.777940
313.116015,-554.015531
318.110152,-554.218365
323.105518,-554.388046
328.101865,-554.526016
333.098967,-554.633455
338.096607,-554.711461
343.094609,-554.761143
348.092805,-554.783605
353.091053,-554.779946
358.089200,-554.751263
363.087091,-554.698649
368.084702,-554.623526
373.082010,-554.527199
378.078869,-554.409274
383.075135,-554.268624
388.070672,-554.104065
393.065321,-553.914410
398.058902,-553.698468
403.051219,-553.455049
408.042056,-553.182959
413.031175,-552.881003
418.018315,-552.547987
423.003196,-552.182714
427.985513,-551.783989
432.964931,-551.350616
437.941102,-550.881402
442.913644,-550.375153
447.882134,-549.830708
452.846129,-549.246690
457.805085,-548.621267
462.758360,-547.952412
467.705285,-547.238125
472.645133,-546.476419
477.577108,-545.665314
482.500359,-544.802844
487.413970,-543.887049
492.316955,-542.915983
497.208259,-541.887706
502.086766,-540.800296
506.951256,-539.651835
511.800456,-538.440478
516.633161,-537.164843
521.448182,-535.824016
526.244304,-534.417122
531.020280,-532.943280
535.774800,-531.401640
540.506510,-529.791365
545.214010,-528.111639
549.895851,-526.361669
554.550516,-524.540688
559.176446,-522.647975
563.771939,-520.682507
568.334807,-518.642410
572.862555,-516.525511
577.352590,-514.329754
581.802176,-512.053172
586.208410,-509.693810
590.568190,-507.249664
594.878755,-504.719696
599.138356,-502.104832
603.345640,-499.406594
607.499309,-496.626532
611.598099,-493.766175
615.640767,-490.827034
619.626099,-487.810605
623.552899,-484.718364
627.419993,-481.551774
631.226223,-478.312281
634.970446,-475.001317
638.651535,-471.620301
642.268371,-468.170638
645.819847,-464.653724
649.304862,-461.070943
652.722324,-457.423670
656.071144,-453.713275
659.350234,-449.941120
662.558517,-446.108566
665.694871,-442.216934
668.758015,-438.267416
671.746554,-434.261143
674.659081,-430.199275
677.494179,-426.082992
680.250415,-421.913491
682.926341,-417.692001
685.520497,-413.419775
688.031410,-409.098099
690.457610,-404.728312
692.798075,-400.312058
695.053383,-395.851729
697.224743,-391.349877
699.313104,-386.808876
701.319808,-382.231216
703.246333,-377.619240
705.094154,-372.975177
706.864785,-368.301147
708.559794,-363.599118
710.180265,-358.870872
711.726368,-354.117805
713.197952,-349.341115
714.594929,-344.542052
715.917217,-339.721883
717.164822,-334.881896
718.338444,-330.023425
719.439788,-325.148026
720.470843,-320.257310
721.433578,-315.352683
722.330021,-310.435500
723.162162,-305.507053
723.932268,-300.568522
724.643312,-295.621123
725.298609,-290.666040
725.901445,-285.704306
726.455096,-280.736831
726.962901,-275.764460
727.428128,-270.787944
727.853175,-265.807824
728.239483,-260.824538
728.588356,-255.838499
728.901167,-250.850062
729.179263,-245.859565
729.424003,-240.867320
729.636743,-235.873605
729.818838,-230.878678
729.971643,-225.882767
730.096512,-220.886078
730.194795,-215.888794
730.267836,-210.891075
730.316954,-205.893065
730.343438,-200.894883
730.348531,-195.896632
730.333454,-190.898405
730.299433,-185.900269
730.247688,-180.902294
730.179469,-175.904548
730.096475,-170.907034
730.001417,-165.909704
729.897637,-160.912534
729.788272,-155.915486
729.675268,-150.918518
729.559281,-145.921618
729.440600,-140.924782
