# x_m,y_m
-2.340237,8.145624
-7.145360,6.770109
-11.950128,5.393354
-16.754679,4.015843
-21.559160,2.638086
-26.363679,1.260463
-31.168280,-0.116875
-35.972972,-1.493893
-40.777758,-2.870585
-45.582640,-4.246943
-50.387620,-5.622960
-55.192698,-6.998630
-59.997878,-8.373946
-64.803162,-9.748901
-69.608550,-11.123488
-74.414046,-12.497702
-79.219650,-13.871534
-84.025365,-15.244979
-88.831193,-16.618030
-93.637135,-17.990680
-98.443194,-19.362922
-103.249371,-20.734750
-108.055668,-22.106157
-112.862087,-23.477136
-117.668630,-24.847681
-122.475299,-26.217786
-127.282095,-27.587443
-132.089021,-28.956646
-136.896077,-30.325388
-141.703267,-31.693663
-146.510592,-33.061464
-151.318053,-34.428784
-156.125653,-35.795617
-160.933393,-37.161956
-165.741276,-38.527795
-170.549302,-39.893127
-175.357475,-41.257944
-180.165795,-42.622242
-184.974264,-43.986012
-189.782885,-45.349248
-194.591659,-46.711944
-199.400589,-48.074094
-204.209674,-49.435689
-209.018919,-50.796724
-213.828324,-52.157192
-218.637891,-53.517086
-223.447622,-54.876400
-228.257521,-56.235123
-233.067595,-57.593223
-237.877856,-58.950662
-242.688314,-60.307401
-247.498980,-61.663402
-252.309865,-63.018628
-257.120979,-64.373038
-261.932334,-65.726597
-266.743938,-67.079264
-271.555804,-68.431002
-276.367942,-69.781772
-281.180098,-71.132477
-285.989890,-72.491551
-290.790030,-73.884229
-295.571167,-75.340720
-300.325508,-76.882418
-305.047248,-78.521188
-309.730422,-80.267009
-314.368097,-82.130323
-318.952211,-84.121749
-323.473482,-86.251945
-327.921419,-88.531234
-332.285565,-90.966975
-336.555058,-93.564879
-340.718084,-96.330026
-344.756796,-99.273823
-348.640215,-102.419656
-352.334463,-105.785559
-355.792456,-109.393307
-358.994112,-113.229813
-361.937228,-117.267784
-364.556089,-121.519231
-366.850157,-125.962342
-368.873233,-130.531246
-370.653264,-135.200117
-372.220314,-139.945401
-373.600416,-144.748916
-374.822727,-149.595074
-375.914689,-154.472451
-376.901504,-159.372572
-377.807967,-164.288267
-378.658853,-169.213999
-379.477748,-174.145232
-380.287592,-179.077919
-381.111246,-184.008219
-381.971626,-188.932168
-382.891781,-193.844920
-383.894253,-198.740946
-385.003770,-203.613647
-386.253597,-208.452787
-387.683802,-213.242026
-389.336412,-217.958291
-391.245927,-222.576127
-393.420071,-227.073870
-395.841451,-231.442978
-398.481301,-235.686835
-401.301171,-239.814515
-404.260120,-243.842990
-407.317029,-247.797464
-410.425276,-251.712270
-413.536305,-255.624956
-416.601833,-259.572746
-419.578171,-263.588465
-422.427012,-267.696084
-425.109847,-271.913771
-427.585737,-276.255345
-429.811260,-280.729273
-431.728270,-285.343025
-433.264525,-290.096568
-434.380838,-294.966383
-435.078005,-299.914124
-435.364477,-304.902595
-435.249582,-309.898003
-434.742646,-314.869005
-433.852798,-319.785872
-432.588459,-324.620031
-430.955643,-329.342548
-428.959203,-333.923288
-426.604467,-338.330486
-423.898079,-342.530528
-420.851093,-346.490267
-417.494396,-350.191865
-413.879001,-353.642220
-410.059981,-356.865800
-406.084250,-359.893827
-401.990205,-362.759937
-397.807387,-365.495270
-393.560566,-368.130500
-389.272127,-370.697677
-384.961771,-373.228084
-380.647250,-375.751452
-376.345926,-378.297329
-372.075887,-380.895140
-367.856438,-383.574426
-363.708084,-386.362318
-359.652356,-389.282574
-355.717144,-392.363476
-351.940642,-395.636936
-348.366479,-399.129636
-345.042498,-402.861002
-342.020306,-406.840742
-339.356754,-411.068954
-337.117906,-415.535823
-335.369727,-420.216179
-334.162857,-425.063294
-333.551853,-430.018625
-333.624373,-435.010854
-334.427665,-439.939483
-335.952807,-444.694571
-338.150279,-449.178930
-340.955944,-453.310198
-344.297772,-457.020054
-348.076950,-460.286151
-352.173225,-463.148854
-356.453824,-465.729468
-360.782003,-468.230177
-365.047296,-470.837015
-369.132808,-473.716820
-372.890901,-477.009694
-376.143824,-480.796465
-378.760550,-485.043575
-380.718492,-489.633284
-382.051349,-494.445017
-382.817323,-499.388238
-383.018152,-504.373392
-382.647808,-509.355714
-381.800972,-514.284429
-380.535058,-519.116385
-378.886487,-523.833651
-376.902150,-528.418832
-374.630003,-532.869669
-372.106236,-537.185077
-369.336203,-541.349454
-366.309494,-545.326923
-363.013862,-549.078814
-359.467694,-552.598941
-355.721482,-555.908521
-351.820961,-559.034342
-347.800111,-562.003112
-343.678863,-564.830472
-339.470364,-567.526273
-335.186960,-570.101389
-330.839702,-572.567339
-326.438568,-574.935871
-321.992594,-577.219201
-317.510078,-579.429995
-312.998659,-581.581262
-308.465490,-583.686264
-303.917386,-585.758539
-299.360979,-587.812460
-294.801789,-589.860453
-290.241379,-591.905852
-285.679859,-593.948811
-281.117276,-595.989443
-276.553695,-598.027829
-271.989145,-600.064033
-267.423653,-602.098125
-262.857249,-604.130169
-258.289964,-606.160231
-253.721827,-608.188378
-249.152870,-610.214675
-244.583122,-612.239188
-240.012614,-614.261984
-235.441373,-616.283125
-230.869423,-618.302660
-226.296784,-620.320634
-221.723475,-622.337089
-217.149516,-624.352072
-212.574928,-626.365624
-207.999731,-628.377791
-203.423944,-630.388617
-198.847587,-632.398146
-194.270680,-634.406422
-189.693243,-636.413489
-185.115295,-638.419391
-180.536857,-640.424173
-175.957947,-642.427879
-171.378586,-644.430553
-166.798793,-646.432239
-162.218588,-648.432982
-157.637991,-650.432825
-153.057020,-652.431814
-148.475695,-654.429992
-143.894037,-656.427404
-139.312064,-658.424094
-134.729795,-660.420106
-130.147251,-662.415485
-125.564450,-664.410275
-120.981413,-666.404520
