# x_m,y_m
-3.945452,-4.372623
-7.555259,-0.917899
-11.165573,2.536295
-14.776396,5.989957
-18.387730,9.443084
-21.999578,12.895674
-25.611941,16.347725
-29.224822,19.799235
-32.838222,23.250200
-36.452144,26.700620
-40.066589,30.150490
-43.681559,33.599811
-47.297058,37.048578
-50.913086,40.496790
-54.529645,43.944444
-58.146739,47.391538
-61.764368,50.838070
-65.382536,54.284037
-69.001243,57.729437
-72.620492,61.174268
-76.240284,64.618527
-79.860623,68.062213
-83.481510,71.505322
-87.102947,74.947853
-90.724936,78.389803
-94.347479,81.831169
-97.970578,85.271950
-101.594236,88.712144
-105.218453,92.151747
-108.843233,95.590758
-112.468577,99.029174
-116.094487,102.466993
-119.720965,105.904212
-123.348014,109.340830
-126.975635,112.776843
-130.603831,116.212250
-134.232602,119.647049
-137.861953,123.081236
-141.491883,126.514809
-145.122396,129.947767
-148.753493,133.380107
-152.385177,136.811826
-156.017449,140.242922
-159.650312,143.673393
-163.283767,147.103236
-166.917817,150.532450
-170.552464,153.961031
-174.187708,157.388978
-177.823554,160.816287
-181.460002,164.242958
-185.097054,167.668986
-188.734713,171.094371
-192.372981,174.519109
-196.011860,177.943198
-199.651351,181.366636
-203.291456,184.789421
-206.932179,188.211549
-210.573520,191.633020
-214.215482,195.053829
-217.858066,198.473976
-221.501275,201.893457
-225.144506,205.312914
-228.781493,208.739005
-232.389300,212.195698
-235.930554,215.720289
-239.372434,219.341986
-242.696361,223.072471
-245.887041,226.917658
-248.926649,230.883310
-251.793652,234.975297
-254.463553,239.198247
-256.909426,243.554370
-259.102789,248.042450
-261.004400,252.661785
-262.568404,257.405879
-263.746987,262.258603
-264.449772,267.203093
-264.700303,272.192421
-264.574512,277.186567
-264.147648,282.164940
-263.499849,287.118185
-262.682866,292.048219
-261.724545,296.952831
-260.668760,301.836606
-259.570649,306.711590
-258.473519,311.586324
-257.410590,316.467767
-256.435322,321.367625
-255.617309,326.296543
-254.989845,331.253208
-254.568889,336.231655
-254.365521,341.223699
-254.383226,346.219859
-254.619169,351.210480
-255.068698,356.186415
-255.726969,361.139047
-256.589140,366.060228
-257.649493,370.942381
-258.899424,375.779456
-260.329434,380.566638
-261.932742,385.298761
-263.702787,389.971085
-265.633017,394.579591
-267.716846,399.120771
-269.947801,403.591489
-272.319639,407.989163
-274.826243,412.311480
-277.461708,416.556228
-280.218218,420.723467
-283.084058,424.816454
-286.046710,428.839880
-289.094567,432.799108
-292.217978,436.698940
-295.410622,440.542384
-298.667477,444.331636
-301.983512,448.069200
-305.353877,451.757873
-308.773787,455.400670
-312.238580,459.000816
-315.743748,462.561676
-319.284920,466.086740
-322.857855,469.579611
-326.458433,473.043982
-330.082645,476.483628
-333.726573,479.902382
-337.386449,483.304047
-341.058834,486.692150
-344.740448,490.070118
-348.426962,493.442744
-352.112311,496.816726
-355.791726,500.197208
-359.463718,503.585758
-363.127839,506.982822
-366.783835,510.388629
-370.431508,513.803345
-374.070664,517.227136
-377.701105,520.660167
-381.322633,524.102600
-384.935046,527.554595
-388.538143,531.016314
-392.131720,534.487914
-395.715573,537.969552
-399.289494,541.461384
-402.853276,544.963564
-406.406708,548.476244
-409.949579,551.999576
-413.481676,555.533708
-417.002787,559.078790
-420.512688,562.634968
-424.011189,566.202358
-427.498205,569.780979
-430.973698,573.370792
-434.437626,576.971762
-437.889950,580.583859
-441.330630,584.207050
-444.759626,587.841301
-448.176895,591.486579
-451.582397,595.142853
-454.976090,598.810091
-458.357933,602.488259
-461.727883,606.177325
-465.085898,609.877259
-468.431938,613.588026
-471.765956,617.309596
-475.087915,621.041936
-478.397767,624.785024
-481.695206,628.539049
-484.979703,632.304402
-488.250698,636.081493
-491.507628,639.870719
-494.749925,643.672472
-497.977017,647.487141
-501.188324,651.315108
-504.383258,655.156749
-507.561253,659.012414
-510.721796,662.882398
-513.864387,666.766974
-516.988519,670.666410
-520.093682,674.580967
-523.179359,678.510902
-526.245038,682.456458
-529.290173,686.417869
-532.314320,690.395324
-535.317568,694.388605
-538.300348,698.397197
-541.263116,702.420603
-544.206321,706.458342
-547.130420,710.509938
-550.035871,714.574930
-552.923142,718.652865
-555.792707,722.743271
-558.644777,726.845888
-561.479182,730.960735
-564.295629,735.087890
-567.093846,739.227424
-569.873558,743.379407
-572.634484,747.543910
-575.376338,751.720994
-578.098836,755.910715
-580.801612,760.113190
-583.484168,764.328601
-586.145972,768.557143
-588.786496,772.799008
-591.405211,777.054367
-594.001588,781.323392
-596.574893,785.606365
-599.123934,789.903836
-601.646762,794.216644
-604.134735,798.549264
-606.556879,802.918829
-608.860587,807.352502
-610.997407,811.869315
-612.920388,816.481001
-614.578966,821.194093
-615.917957,826.006951
-616.878530,830.909166
-617.387218,835.878229
-617.354668,840.871782
-616.699728,845.826632
-615.366351,850.638457
-613.316864,855.178117
-610.615531,859.373096
-607.362037,863.160740
-603.647590,866.499373
-599.577260,869.394449
-595.242153,871.875484
-590.716945,873.990844
-586.059887,875.799484
-581.306048,877.342310
-576.479581,878.640655
-571.600092,879.719599
-566.683244,880.612176
-561.741434,881.354225
-556.783969,881.982546
-551.817484,882.533593
-546.846902,883.044513
-541.876379,883.553256
-536.910052,884.098982
-531.953535,884.722224
-527.014374,885.466080
-522.103715,886.381443
-517.240836,887.525519
-512.454034,888.953361
-507.780214,890.715394
-503.267500,892.856355
-498.978198,895.415344
-494.989586,898.422203
-491.399046,901.892459
-488.290714,905.798237
-485.680996,910.054300
-483.548075,914.570097
-481.871141,919.275677
-480.620574,924.112423
-479.750510,929.032110
-479.209279,933.998844
-478.943225,938.988266
-478.902493,943.985021
-479.048074,948.979556
-479.344651,953.966861
-479.753851,958.946340
-480.249505,963.918229
-480.819880,968.882112
-481.456641,973.837902
-482.151526,978.785867
-482.895718,983.726670
-483.679467,988.661368
-484.492803,993.591278
-485.325842,998.517898
-486.168693,1003.442850
-487.011480,1008.367813
-487.844328,1013.294466
-488.657353,1018.224427
-489.440660,1023.159195
-490.184331,1028.100089
-490.878422,1033.048188
-491.512954,1038.004272
-492.077919,1042.968761
-492.563257,1047.941662
-492.958902,1052.922502
-493.254570,1057.910215
-493.437514,1062.903272
-493.487814,1067.899340
-493.382319,1072.894647
-493.106191,1077.884010
-492.657564,1082.861097
-492.035952,1087.819042
-491.232652,1092.750828
-490.240065,1097.647671
-489.046944,1102.496435
-487.650099,1107.295185
-485.986112,1112.005613
-484.004240,1116.590167
-481.767676,1121.057671
-479.302109,1125.401205
-476.626252,1129.620888
-473.771460,1133.720791
-470.759852,1137.706618
-467.610060,1141.584773
-464.332168,1145.355896
-460.935349,1149.020465
-457.428433,1152.579946
-453.819606,1156.036178
-450.116300,1159.391059
-446.324652,1162.645336
-442.451058,1165.800845
-438.508756,1168.870223
-434.514694,1171.872344
-430.478785,1174.818013
-426.404644,1177.710584
-422.294643,1180.551979
-418.151046,1183.344159
-413.976028,1186.089139
-409.771689,1188.789008
-405.540032,1191.445865
-401.282790,1194.061515
-397.001417,1196.637464
-392.697287,1199.175210
-388.371750,1201.676294
-384.026108,1204.142280
-379.661621,1206.574760
-375.279509,1208.975343
-370.880950,1211.345654
-366.467079,1213.687331
-362.038993,1216.002015
-357.597754,1218.291357
-353.144380,1220.557008
-348.679866,1222.800628
-344.205170,1225.023869
-339.721232,1227.228429
-335.228950,1229.415946
-330.729433,1231.588505
-326.223824,1233.748381
-321.713014,1235.897390
-317.197917,1238.037389
-312.679555,1240.170485
-308.158948,1242.298819
-303.637098,1244.424511
-299.115019,1246.549698
-294.593648,1248.676372
-290.073668,1250.806033
-285.555626,1252.939839
-281.040084,1255.078933
-276.527598,1257.224472
-272.018727,1259.377607
-267.514041,1261.539488
-263.014114,1263.711260
-258.519528,1265.894071
-254.030887,1268.089084
-249.548820,1270.297486
-245.073967,1272.520472
-240.606983,1274.759227
-236.148533,1277.014930
-231.699298,1279.288753
-227.259973,1281.581862
-222.831268,1283.895411
-218.413908,1286.230547
-214.008638,1288.588406
-209.616218,1290.970111
-205.237427,1293.376776
-200.873063,1295.809499
-196.523945,1298.269367
-192.190910,1300.757449
-187.874820,1303.274798
-183.576550,1305.822453
-179.297011,1308.401422
-175.036867,1311.012332
-170.792560,1313.648438
-166.541537,1316.271587
-162.240183,1318.811962
-157.855514,1321.210458
-153.372158,1323.420146
-148.778109,1325.387015
-144.062440,1327.042360
-139.229543,1328.305811
-134.303085,1329.103777
-129.301405,1329.343867
-124.346373,1329.023910
-119.454369,1328.021082
-114.669277,1326.534411
-110.048722,1324.657332
-105.561682,1322.457543
-101.196129,1320.022977
-96.932157,1317.414685
-92.745947,1314.685675
-88.603834,1311.893126
-84.450983,1309.115836
-80.255414,1306.402299
-76.011970,1303.764194
-71.722809,1301.201152
-67.391097,1298.711630
-63.019126,1296.294091
-58.605236,1293.953960
-54.141494,1291.709472
-49.620011,1289.582524
-45.034481,1287.598682
-40.380892,1285.780423
-35.665715,1284.127155
-30.900500,1282.624581
-26.095184,1281.255703
-21.258160,1280.003302
-16.396489,1278.850281
-11.515987,1277.779593
-6.621650,1276.774019
-1.717583,1275.817121
3.193036,1274.894233
8.107398,1273.991349
13.022831,1273.094306
17.936744,1272.188938
22.846458,1271.261098
27.749154,1270.296723
32.641626,1269.281828
37.520360,1268.202984
42.381906,1267.048985
47.222617,1265.810481
52.038279,1264.478391
56.823922,1263.042879
61.573316,1261.491669
66.281559,1259.819393
70.945385,1258.026914
75.562061,1256.116270
80.128944,1254.089477
84.643440,1251.948527
89.103006,1249.695385
93.505142,1247.331996
97.847384,1244.860280
102.127294,1242.282135
106.342463,1239.599441
110.490485,1236.814043
114.568899,1233.927684
118.575214,1230.942051
122.506927,1227.858837
126.361528,1224.679744
130.136494,1221.406485
133.829281,1218.040789
137.437329,1214.584408
140.958046,1211.039125
144.388826,1207.406743
147.727032,1203.689106
150.970202,1199.888285
154.117434,1196.007653
157.170567,1192.052545
160.130667,1188.027313
162.998110,1183.935550
165.773484,1179.780779
168.457603,1175.566470
171.051425,1171.295985
173.555988,1166.972539
175.972397,1162.599207
178.301828,1158.178928
180.545514,1153.714509
182.704756,1149.208639
184.780837,1144.663852
186.775789,1140.082869
188.692964,1135.468789
190.536137,1130.824647
192.309107,1126.153247
194.015756,1121.457208
195.660026,1116.738961
197.245902,1112.000763
198.777470,1107.244727
200.258316,1102.472651
201.691010,1097.685897
203.077809,1092.885642
204.421050,1088.073015
205.723078,1083.249073
206.986260,1078.414811
208.212974,1073.571165
209.405615,1068.719016
210.566583,1063.859190
211.698290,1058.992466
212.803152,1054.119576
213.883589,1049.241211
214.941982,1044.358015
215.980504,1039.470556
217.001162,1034.579337
218.006478,1029.684940
219.000324,1024.788198
219.987158,1019.890037
220.970985,1014.991271
221.954539,1010.092450
222.939994,1005.194012
223.929454,1000.296381
224.925025,995.399989
225.928809,990.505274
226.942909,985.612686
227.969421,980.722688
229.010344,975.835740
230.067009,970.952170
231.139410,966.072031
232.226999,961.195254
233.329165,956.321750
234.445296,951.451426
235.574793,946.584184
236.716992,941.719906
237.871046,936.858428
239.035867,931.999518
240.205680,927.141829
241.346202,922.277271
242.375675,917.388111
243.222926,912.464170
243.842303,907.506630
244.192691,902.522981
244.224651,897.527434
243.880055,892.544241
243.101219,887.610187
241.828365,882.780734
240.010718,878.128709
237.631801,873.747679
234.602222,869.779636
231.065731,866.251533
227.151069,863.147250
222.982027,860.394074
218.644400,857.914534
214.201400,855.625232
209.701734,853.451418
205.182593,851.321257
200.684162,849.147905
196.253288,846.838860
191.917102,844.356937
187.693116,841.688956
183.600401,838.825732
179.660463,835.754613
175.906958,832.455396
172.400844,828.901372
169.180212,825.082117
166.206870,821.063945
163.445031,816.904359
160.899341,812.604909
158.562707,808.188584
156.432119,803.669192
154.496904,799.062728
152.742520,794.384427
151.153122,789.647453
149.712479,784.863119
148.405816,780.040333
147.220117,775.186363
146.142251,770.307324
145.159031,765.408317
144.257273,760.493800
143.423114,755.567596
142.639504,750.633109
141.887979,745.693441
141.157997,740.750459
140.447971,735.804581
139.758580,730.855788
139.090605,725.904060
138.444843,720.949384
137.822087,715.991764
137.223135,711.031212
136.648784,706.067752
136.099833,701.101418
135.577084,696.132258
135.081336,691.160333
134.613392,686.185714
134.174055,681.208487
133.764127,676.228753
133.384413,671.246624
133.035704,666.262231
132.718866,661.275709
132.435133,656.287196
132.186047,651.296837
131.973129,646.304804
131.797911,641.311306
131.661926,636.316587
131.566710,631.320920
131.513804,626.324629
131.504750,621.328073
131.540786,616.331630
131.622676,611.335724
131.751093,606.340804
131.926732,601.347320
132.150282,596.355753
132.422434,591.366600
132.743881,586.380380
133.115320,581.397639
133.537341,576.418926
134.010273,571.444787
134.534299,566.475781
135.109581,561.512463
135.736303,556.555386
136.415007,551.605155
137.146573,546.662461
137.931894,541.728024
138.771921,536.802606
139.667899,531.887062
140.621324,526.982332
141.633671,522.089421
142.706408,517.209397
143.840993,512.343379
145.038869,507.492554
146.301465,502.658172
147.630193,497.841546
149.026451,493.044060
150.491615,488.267169
152.027045,483.512396
153.634069,478.781347
155.313971,474.075701
157.067887,469.397131
158.896081,464.747065
160.797352,460.126397
162.769694,455.535607
164.810716,450.974937
166.918017,446.444520
169.089264,441.944397
171.322149,437.474536
173.614406,433.034837
175.963806,428.625118
178.368171,424.245115
180.825578,419.894655
183.334565,415.573740
185.893823,411.282394
188.502020,407.020615
191.157868,402.788366
193.860097,398.585576
196.607459,394.412148
199.398729,390.267957
202.232707,386.152851
205.108209,382.066653
208.024099,378.009177
210.979527,373.980395
213.974143,369.980649
217.007778,366.010404
220.080125,362.070028
223.190809,358.159874
226.339326,354.280118
229.524814,350.430637
232.746248,346.611200
236.002665,342.821546
239.293115,339.061401
242.616665,335.330483
245.972407,331.628487
249.359455,327.955118
252.776910,324.310031
