# x_m,y_m
-4.703086,-0.090575
-4.198721,4.882390
-3.694852,9.855405
-3.191552,14.828478
-2.688892,19.801615
-2.186945,24.774825
-1.685780,29.748113
-1.185471,34.721487
-0.686101,39.694956
-0.187788,44.668531
0.309340,49.642224
0.805161,54.616048
1.299602,59.590010
1.792651,64.564109
2.284316,69.538346
2.774610,74.512717
3.263546,79.487223
3.751135,84.461860
4.237390,89.436629
4.722322,94.411526
5.205944,99.386551
5.688268,104.361702
6.169307,109.336977
6.649072,114.312375
7.127575,119.287895
7.604829,124.263535
8.080845,129.239293
8.555637,134.215169
9.029216,139.191159
9.501594,144.167264
9.972784,149.143482
10.442797,154.119811
10.911647,159.096250
11.379344,164.072797
11.845901,169.049451
12.311331,174.026211
12.775645,179.003075
13.238856,183.980042
13.700976,188.957110
14.162017,193.934278
14.621992,198.911545
15.080911,203.888910
15.538788,208.866370
15.995635,213.843925
16.451464,218.821573
16.906287,223.799313
17.360117,228.777145
17.812965,233.755065
18.264843,238.733073
18.715764,243.711169
19.165741,248.689349
19.614784,253.667614
20.062908,258.645962
20.510122,263.624392
20.956441,268.602902
21.401875,273.581491
21.846437,278.560159
22.290140,283.538902
22.732996,288.517722
23.175016,293.496615
23.616212,298.475582
24.056599,303.454620
24.496186,308.433729
24.934986,313.412907
25.373013,318.392154
25.810277,323.371467
26.246791,328.350847
26.682568,333.330291
27.117618,338.309798
27.551956,343.289368
27.985592,348.268998
28.418539,353.248689
28.850810,358.228439
29.282415,363.208246
29.713368,368.188109
30.143681,373.168028
30.573366,378.148002
31.002435,383.128028
31.430901,388.108106
31.858774,393.088236
32.286069,398.068414
32.712796,403.048642
33.138969,408.028917
33.564598,413.009238
33.989694,417.989605
34.414259,422.970018
34.838294,427.950475
35.261800,432.930978
35.684779,437.911525
36.107232,442.892117
36.529159,447.872754
36.950563,452.853434
37.371445,457.834159
37.791806,462.814928
38.211647,467.795741
38.630970,472.776598
39.049775,477.757498
39.468065,482.738441
39.885840,487.719427
40.303102,492.700457
40.719852,497.681529
41.136091,502.662644
41.551820,507.643802
41.967042,512.625002
42.381756,517.606244
42.795965,522.587529
43.209670,527.568855
43.622872,532.550223
44.035572,537.531632
44.447771,542.513083
44.859471,547.494576
45.270673,552.476109
45.681379,557.457684
46.091589,562.439299
46.501305,567.420955
46.910528,572.402651
47.319260,577.384389
47.728644,582.365968
48.156765,587.345706
48.693887,592.314777
49.519051,597.244375
50.787139,602.078026
52.638403,606.716873
55.224834,610.989735
58.626422,614.635567
62.817131,617.299071
67.540200,618.919406
72.475015,619.763382
77.444813,620.383165
82.344697,621.372964
86.955493,623.240068
90.940462,626.223752
94.058185,630.108382
96.265143,634.580942
97.590280,639.406036
98.155539,644.369628
98.102744,649.365565
97.570966,654.335387
96.678676,659.253929
95.535470,664.119153
94.251018,668.948558
92.917546,673.765650
91.570662,678.579296
90.219390,683.391638
88.869713,688.204454
87.527572,693.019367
86.198896,697.838015
84.889635,702.661972
83.605751,707.492742
82.353228,712.331735
81.138077,717.180243
79.966338,722.039421
78.844070,726.910261
77.776672,731.793391
76.765800,736.688484
75.808465,741.594297
74.902073,746.509812
74.046594,751.434499
73.242829,756.367905
72.491478,761.309567
71.793179,766.259006
71.148539,771.215735
70.558204,776.179229
70.022810,781.148922
69.542319,786.124230
69.115851,791.104475
68.742324,796.088958
68.420698,801.077058
68.149925,806.068180
67.928955,811.061753
67.756747,816.057247
67.632257,821.054161
67.554434,826.052021
67.522386,831.050382
67.535515,836.048832
67.593323,841.046965
67.695288,846.044392
67.840891,851.040740
68.029605,856.035642
68.260901,861.028756
68.534254,866.019755
68.849040,871.008273
69.204440,875.994046
69.600251,880.976817
70.037348,885.956143
70.516810,890.931556
71.039722,895.902595
71.607162,900.868747
72.220201,905.829477
72.879902,910.784215
73.587318,915.732363
74.343495,920.673299
75.149460,925.606357
76.006233,930.530841
76.914830,935.446028
77.876258,940.351153
78.891518,945.245419
79.961605,950.127989
81.087508,954.997991
82.270210,959.854509
83.510689,964.696591
84.809913,969.523242
86.168843,974.333421
87.588430,979.126049
89.069609,983.900001
90.613300,988.654102
92.220395,993.387154
93.891694,998.097916
95.628111,1002.785033
97.430472,1007.447213
99.298846,1012.083356
101.232977,1016.692422
103.232738,1021.273385
105.298004,1025.825185
107.428672,1030.346735
109.624640,1034.836917
111.885816,1039.294557
114.212010,1043.718627
116.604145,1048.107401
119.065841,1052.457548
121.601718,1056.764999
124.216195,1061.025170
126.913028,1065.233629
129.693237,1069.387543
132.555553,1073.485242
135.497494,1077.526117
138.515719,1081.510391
141.607344,1085.437969
144.770163,1089.308441
148.002132,1093.121383
151.301192,1096.876425
154.665349,1100.573259
158.092646,1104.211637
161.581168,1107.791355
165.129040,1111.312261
168.734432,1114.774246
172.395549,1118.177248
176.110642,1121.521242
179.878000,1124.806244
183.695952,1128.032306
187.562866,1131.199515
191.477151,1134.307992
195.437252,1137.357887
199.441653,1140.349378
203.488875,1143.282678
207.577522,1146.157960
211.706320,1148.975285
215.874049,1151.734698
220.079510,1154.436260
224.321530,1157.080047
228.598964,1159.666150
232.910688,1162.194672
237.255596,1164.665738
241.632580,1167.079533
246.040534,1169.436302
250.478371,1171.736309
254.945029,1173.979834
259.439472,1176.167166
263.960691,1178.298609
268.507694,1180.374475
273.079519,1182.395089
277.675208,1184.360827
282.293815,1186.272095
286.934312,1188.129597
291.595552,1189.934420
296.276402,1191.687745
300.975789,1193.390759
305.692684,1195.044667
310.426099,1196.650685
315.175089,1198.210044
319.938754,1199.723972
324.716228,1201.193749
329.506778,1202.620342
334.309856,1204.004188
339.124970,1205.345570
343.951633,1206.644791
348.789371,1207.902156
353.637719,1209.117971
358.496226,1210.292543
363.364446,1211.426182
368.241946,1212.519192
373.128248,1213.572154
378.022820,1214.585989
382.925138,1215.561677
387.834708,1216.500195
392.751057,1217.402529
397.673736,1218.269669
402.602317,1219.102610
407.536395,1219.902349
412.475584,1220.669888
417.419521,1221.406234
422.367859,1222.112395
427.320273,1222.789382
432.276455,1223.438210
437.236116,1224.059895
442.198981,1224.655455
447.164795,1225.225913
452.133318,1225.772290
457.104322,1226.295615
462.077604,1226.796822
467.052988,1227.276724
472.030307,1227.736113
477.009406,1228.175787
481.990140,1228.596540
486.972372,1228.999172
491.955972,1229.384475
496.940824,1229.753148
501.926846,1230.105624
506.913969,1230.442268
511.902106,1230.763576
516.891174,1231.070099
521.881096,1231.362388
526.871801,1231.640994
531.863221,1231.906470
536.855295,1232.159369
541.847964,1232.400241
546.841173,1232.629645
551.834872,1232.848098
556.829022,1233.055997
561.823586,1233.253685
566.818530,1233.441507
571.813824,1233.619808
576.809437,1233.788934
581.805341,1233.949230
586.801509,1234.101043
591.797919,1234.244720
596.794546,1234.380606
601.791371,1234.509048
606.788372,1234.630394
611.785533,1234.744990
616.782837,1234.853183
621.780268,1234.955320
626.777813,1235.051749
631.775459,1235.142818
636.773194,1235.228868
641.771007,1235.310283
646.768886,1235.387564
651.766819,1235.461274
656.764795,1235.531973
661.762805,1235.600220
666.760841,1235.666573
671.758894,1235.731591
676.756957,1235.795833
681.755025,1235.859857
686.753084,1235.924227
691.751108,1235.989481
696.749104,1236.055657
701.747115,1236.121824
706.745145,1236.187886
711.743128,1236.257778
716.740945,1236.338599
721.738430,1236.438086
726.735319,1236.563967
731.731219,1236.724040
736.725591,1236.926295
741.717652,1237.178813
746.706451,1237.489727
751.690004,1237.869234
756.664700,1238.344794
761.622701,1238.977729
766.547332,1239.840112
771.409742,1241.000246
776.168268,1242.530901
780.754289,1244.511602
785.079697,1247.020135
789.008357,1250.105949
792.410734,1253.742597
795.344673,1257.779491
797.947183,1262.050084
800.347218,1266.439694
802.692111,1270.859869
805.137618,1275.223239
807.843886,1279.423708
810.948680,1283.328692
814.584160,1286.743224
818.694430,1289.582158
823.126827,1291.889169
827.763198,1293.757414
832.524624,1295.284544
837.362476,1296.545291
842.241969,1297.623561
847.132322,1298.653318
852.016728,1299.714913
856.891167,1300.821500
861.755315,1301.972441
866.609003,1303.166742
871.452278,1304.402595
876.285378,1305.677656
881.108612,1306.989516
885.922271,1308.336092
890.726582,1309.715673
895.521782,1311.126600
900.308148,1312.567213
905.085986,1314.035862
909.855632,1315.530905
914.617447,1317.050709
919.371818,1318.593645
924.119154,1320.158093
928.859887,1321.742440
