# x_m,y_m
6.800217,-0.776016
7.335390,4.189425
7.870901,9.154829
8.406775,14.120194
8.943036,19.085518
9.479709,24.050797
10.016819,29.016028
10.554391,33.981210
11.092449,38.946339
11.631018,43.911413
12.170122,48.876428
12.709788,53.841383
13.250038,58.806274
13.790898,63.771099
14.332393,68.735854
14.874548,73.700537
15.417386,78.665146
15.960933,83.629677
16.505215,88.594128
17.050266,93.558494
17.596132,98.522771
18.142858,103.486953
18.690487,108.451035
19.239066,113.415013
19.788639,118.378881
20.339250,123.342633
20.890945,128.306266
21.443766,133.269773
21.997731,138.233152
22.552804,143.196408
23.108925,148.159546
23.666031,153.122574
24.224060,158.085498
24.782950,163.048326
25.342637,168.011063
25.903060,172.973718
26.464155,177.936296
27.025862,182.898805
27.588116,187.861253
28.150856,192.823645
28.714020,197.785989
29.277544,202.748292
29.841366,207.710562
30.405424,212.672804
30.969656,217.635027
31.533998,222.597237
32.098389,227.559442
32.662767,232.521648
33.227068,237.483863
33.791230,242.446094
34.355191,247.408348
34.918888,252.370631
35.482259,257.332952
36.045242,262.295317
36.607758,267.257734
37.168790,272.220320
37.719946,277.184007
38.235473,282.151472
38.682746,287.125405
39.036143,292.106893
39.284490,297.094891
39.420533,302.087286
39.435318,307.081520
39.318724,312.074408
39.060080,317.061914
38.648335,322.039060
38.072266,326.999730
37.320701,331.936792
36.382664,336.841566
35.247420,341.704285
33.891613,346.510275
32.290616,351.240150
30.408293,355.865221
28.241137,360.362957
25.811704,364.726292
23.130057,368.939888
20.152652,372.940487
16.915880,376.751782
13.524393,380.415863
9.964917,383.915753
6.268561,387.275559
2.457191,390.501402
-1.455747,393.605153
-5.458070,396.592288
-9.539853,399.470102
-13.691879,402.245617
-17.905985,404.925891
-22.175278,407.517161
-26.493400,410.025881
-30.851011,412.465463
-35.233595,414.860178
-39.626868,417.235286
-44.022987,419.605129
-48.419727,421.973819
-52.816518,424.342410
-57.212931,426.711708
-61.608517,429.082537
-66.002834,431.455721
-70.395437,433.832078
-74.787352,436.209525
-79.189787,438.567040
-83.630245,440.852157
-88.131554,443.015480
-92.705971,445.019567
-97.361093,446.827836
-102.100713,448.400567
-106.923860,449.694451
-111.822216,450.663635
-116.778593,451.259972
-121.770190,451.419231
-126.756638,451.086373
-131.674024,450.291525
-136.458612,448.900112
-141.078190,446.952611
-145.455447,444.580931
-149.618221,441.823475
-153.546968,438.744189
-157.226519,435.367643
