# x_m,y_m
1.999078,0.990377
-2.758056,2.515602
-7.515490,4.039891
-12.273247,5.563172
-17.031349,7.085373
-21.789819,8.606424
-26.548679,10.126253
-31.307953,11.644788
-36.067662,13.161957
-40.827829,14.677690
-45.588476,16.191914
-50.349625,17.704557
-55.111299,19.215549
-59.873520,20.724818
-64.636308,22.232291
-69.399688,23.737897
-74.163679,25.241565
-78.928305,26.743223
-83.693587,28.242798
-88.459545,29.740219
-93.226203,31.235415
-97.993581,32.728313
-102.761700,34.218841
-107.530581,35.706928
-112.300246,37.192501
-117.070716,38.675488
-121.842012,40.155816
-126.614155,41.633409
-131.387168,43.108191
-136.161072,44.580087
-140.935887,46.049022
-145.711636,47.514920
-150.488339,48.977705
-155.266017,50.437302
-160.044691,51.893636
-164.824382,53.346629
-169.605109,54.796208
-174.386894,56.242296
-179.169756,57.684816
-183.953715,59.123694
-188.738790,60.558854
-193.525003,61.990219
-198.312371,63.417713
-203.101065,64.840750
-207.892649,66.254017
-212.692491,67.638827
-217.508231,68.967082
-222.344759,70.217623
-227.203644,71.378459
-232.085683,72.437679
-236.991285,73.381665
-241.920033,74.196035
-246.870448,74.865876
-251.839813,75.375889
-256.823936,75.710667
-261.817253,75.849768
-266.811749,75.767610
-271.795950,75.438109
-276.753941,74.832302
-281.663698,73.914782
-286.496616,72.654385
-291.234950,71.074434
-295.877196,69.230496
-300.433230,67.182286
-304.920218,64.986534
-309.360201,62.696979
-313.778404,60.365446
-318.200571,58.041279
-322.651670,55.773048
-327.154540,53.609588
-331.728103,51.600288
-336.385482,49.794086
-341.131706,48.236791
-345.964355,46.973782
-350.873412,46.052215
-355.838934,45.518687
-360.830735,45.427281
-365.805332,45.851765
-370.697875,46.847877
-375.428521,48.442138
-379.920940,50.619784
-384.122751,53.317035
-387.996800,56.467570
-391.515885,60.010485
-394.659628,63.890522
-397.412277,68.057272
-399.761098,72.464398
-401.695208,77.068680
-403.204778,81.829099
-404.280480,86.705896
-404.913197,91.659565
-405.093417,96.650154
-404.809017,101.635923
-404.046934,106.571104
-402.799175,111.406029
-401.072731,116.091739
-398.891900,120.584288
-396.284859,124.843687
-393.281053,128.833151
-389.917259,132.524133
-386.236125,135.898132
-382.278245,138.941889
-378.075585,141.637988
-373.659221,143.969944
-369.069385,145.940694
-364.346812,147.567954
-359.525228,148.872738
-354.632107,149.877648
-349.690143,150.606144
-344.717542,151.082161
-339.728251,151.330051
-334.732885,151.374539
-329.739072,151.240724
-324.751641,150.953916
-319.773168,150.539538
-314.804368,150.021581
-309.845032,149.421168
-304.893709,148.759259
-299.948173,148.054301
-295.007360,147.316127
-290.071091,146.548153
-285.139227,145.752341
-280.211616,144.930618
-275.288065,144.084902
-270.368358,143.217110
-265.452250,142.329153
-260.539474,141.422942
-255.629742,140.500382
-250.722745,139.563378
-245.818161,138.613832
-240.915649,137.653645
-236.014857,136.684714
-231.115423,135.708938
-226.216978,134.728212
-221.319146,133.744431
-216.421547,132.759490
-211.523799,131.775284
-206.625525,130.793703
-201.726342,129.816671
-196.825853,128.846200
-191.923665,127.884353
-187.019394,126.933188
-182.112667,125.994768
-177.203132,125.071156
-172.290453,124.164421
-167.374314,123.276635
-162.454425,122.409871
-157.530522,121.566211
-152.602370,120.747736
-147.669767,119.956537
-142.732542,119.194706
-137.790568,118.464344
-132.843738,117.767552
-127.892031,117.106654
-122.935033,116.488745
-117.970426,115.936089
-112.995856,115.477514
-108.011605,115.136657
-103.019750,114.935757
-98.024095,114.897476
-93.030844,115.044443
-88.048273,115.400748
-83.088530,115.996057
-78.169560,116.864134
-73.314353,118.038410
-68.553282,119.550747
-63.926283,121.430953
-59.476816,123.698821
-55.246079,126.351364
-51.281600,129.384707
-47.639013,132.798866
-44.373425,136.576509
-41.539606,140.687820
-39.188432,145.092590
-37.351095,149.735423
-36.044550,154.554801
-35.283792,159.489798
-35.083124,164.478840
-35.455651,169.457874
-36.413648,174.357754
-37.966592,179.101900
-40.098787,183.614538
-42.741848,187.849848
-45.822681,191.779907
-49.276563,195.387285
-53.044082,198.666117
-57.072891,201.618467
-61.317107,204.252077
-65.737073,206.578696
-70.296077,208.619914
-74.959254,210.410959
-79.697401,211.993159
-84.490256,213.401469
-89.324193,214.662156
-94.188506,215.800290
-99.074369,216.842343
-103.974359,217.814695
-108.882453,218.744167
-113.793518,219.658877
-118.704944,220.572419
-123.616232,221.486680
-128.527419,222.401495
-133.438536,223.316681
-138.349617,224.232057
-143.260696,225.147444
-148.171806,226.062658
-153.082963,226.977618
-157.994162,227.892363
-162.905390,228.806952
-167.816637,229.721438
-172.727893,230.635877
-177.639148,231.550324
-182.550390,232.464835
-187.461611,233.379464
-192.372799,234.294267
-197.283944,235.209300
-202.195037,236.124617
-207.106066,237.040273
-212.017021,237.956325
-216.927893,238.872826
-221.838670,239.789834
-226.749342,240.707401
-231.659899,241.625585
-236.570331,242.544440
-241.480627,243.464021
-246.390776,244.384385
-251.300768,245.305585
-256.210593,246.227677
-261.120240,247.150718
-266.029702,248.074742
-270.938980,248.999743
-275.848077,249.925704
-280.756995,250.852609
-285.665738,251.780443
-290.574308,252.709190
-295.482709,253.638833
-300.390973,254.569192
-305.299544,255.497913
-310.210219,256.415341
-315.125750,257.305882
-320.048720,258.154136
-324.980435,258.950859
-329.920857,259.692571
-334.869526,260.377220
-339.826198,261.001118
-344.790688,261.559194
-349.762641,262.046042
-354.741473,262.456180
-359.726343,262.784093
-364.716160,263.024305
-369.709521,263.171325
-374.704553,263.220159
-379.699466,263.163240
-384.691636,262.983446
-389.676681,262.658669
-394.647987,262.166495
-399.598643,261.499538
-404.522248,260.657127
