# x_m,y_m
-4.214208,-1.982936
-3.988695,3.008113
-3.763828,7.999192
-3.539617,12.990300
-3.316075,17.981438
-3.093213,22.972606
-2.871043,27.963805
-2.649575,32.955036
-2.428822,37.946298
-2.208796,42.937592
-1.989507,47.928918
-1.770967,52.920278
-1.553188,57.911671
-1.336182,62.903097
-1.119959,67.894557
-0.904532,72.886052
-0.689912,77.877582
-0.476110,82.869146
-0.263139,87.860747
-0.051010,92.852383
0.160267,97.844055
0.370678,102.835764
0.580213,107.827509
0.788860,112.819292
0.996608,117.811112
1.203444,122.802970
1.409358,127.794867
1.614338,132.786801
1.818372,137.778775
2.021449,142.770787
2.223556,147.762839
2.424684,152.754931
2.624819,157.747062
2.823951,162.739233
3.022068,167.731445
3.219158,172.723698
3.415210,177.715991
3.610212,182.708325
3.804153,187.700701
3.997020,192.693118
4.188795,197.685578
4.379458,202.678080
4.568989,207.670625
4.757369,212.663214
4.944577,217.655847
5.130594,222.648524
5.315399,227.641246
5.498973,232.634014
5.681296,237.626828
5.862347,242.619687
6.042108,247.612594
6.220557,252.605547
6.397676,257.598548
6.573443,262.591597
6.747840,267.584694
6.920846,272.577839
7.092442,277.571032
7.262607,282.564275
7.431321,287.557567
7.598565,292.550908
7.764319,297.544300
7.928562,302.537741
8.091275,307.531232
8.252438,312.524773
8.412032,317.518365
8.570035,322.512007
8.726428,327.505700
8.881191,332.499444
9.034305,337.493239
9.185748,342.487084
9.335502,347.480981
9.483547,352.474928
9.629862,357.468927
9.774432,362.462976
9.917262,367.457075
10.058338,372.451224
10.197556,377.445426
10.334731,382.439683
10.469648,387.434003
10.602092,392.428388
10.731846,397.422844
10.858692,402.417375
10.982413,407.411984
11.102794,412.406675
11.219617,417.401450
11.332666,422.396312
11.441723,427.391263
11.546573,432.386304
11.646999,437.381436
11.747759,442.376571
11.891935,447.370378
12.193868,452.356684
12.751651,457.320799
13.641456,462.236336
14.938304,467.060210
16.729400,471.721942
19.104587,476.114630
22.149564,480.063659
25.905720,483.354759
30.172145,485.898685
34.832578,487.630380
39.800178,488.331141
44.778820,488.051796
49.644802,486.921515
54.295586,485.105281
58.697283,482.746479
62.844580,479.963164
66.748860,476.847651
70.438994,473.480927
73.955438,469.932713
77.346869,466.263932
80.666963,462.530491
83.973968,458.785690
87.327542,455.082358
90.790176,451.481007
94.428155,448.057396
98.299294,444.901807
102.444984,442.116946
106.869646,439.802824
111.540867,438.052715
116.383762,436.824038
121.315226,436.033224
126.294719,435.646555
131.290083,435.620829
136.277317,435.921278
141.238614,436.510296
146.163515,437.353239
151.045465,438.416562
155.881964,439.669220
160.675407,441.077085
165.434764,442.597115
170.169932,444.191186
174.887957,445.834898
179.595314,447.508583
184.298957,449.192536
189.007345,450.863132
193.730050,452.492798
198.475938,454.053522
203.252739,455.516874
208.066363,456.853115
212.920424,458.033231
217.814571,459.036332
222.743305,459.853622
227.698522,460.491106
232.671794,460.966645
237.656793,461.296594
242.648728,461.496003
247.644070,461.575552
252.640027,461.541895
257.634148,461.401661
262.624485,461.161557
267.609491,460.828317
272.587985,460.408691
277.559141,459.909408
282.522438,459.337182
287.477634,458.698507
292.424679,457.999406
297.363704,457.245682
302.294996,456.442899
307.218784,455.595742
312.135318,454.708266
317.045764,453.787560
321.952406,452.846208
326.857471,451.896589
331.762236,450.945433
336.666995,449.994238
341.571765,449.043100
346.476543,448.092009
351.381330,447.140957
356.286122,446.189936
361.190919,445.238938
366.095718,444.287954
371.000520,443.336981
375.905325,442.386023
380.810133,441.435087
385.714947,440.484177
390.619767,439.533299
395.524595,438.582459
400.429431,437.631663
405.334276,436.680916
410.239132,435.730224
415.144000,434.779593
420.048881,433.829027
424.953776,432.878534
429.858685,431.928118
434.763611,430.977785
439.668554,430.027541
444.573515,429.077391
449.478496,428.127342
454.383497,427.177398
459.288520,426.227565
464.193565,425.277850
469.098634,424.328257
474.003728,423.378792
478.908848,422.429462
483.813994,421.480271
488.719169,420.531225
493.624374,419.582330
498.529608,418.633592
503.434874,417.685016
508.340172,416.736608
513.245504,415.788373
518.150870,414.840317
523.056272,413.892446
527.961711,412.944766
532.867188,411.997282
537.772704,411.049999
542.678260,410.102924
547.583857,409.156062
552.489496,408.209419
557.395178,407.263000
562.300905,406.316811
567.206677,405.370857
572.112496,404.425145
577.018362,403.479680
581.924277,402.534467
586.830242,401.589513
591.736258,400.644822
596.642325,399.700402
601.548446,398.756256
606.454620,397.812391
611.360850,396.868813
616.267136,395.925527
621.173479,394.982538
626.079880,394.039853
