# x_m,y_m
-3.824854,-0.993220
-2.514077,-5.816450
-1.203605,-10.639763
0.107270,-15.462965
1.419257,-20.285866
2.733058,-25.108272
4.049267,-29.930022
5.367679,-34.751170
6.687736,-39.571868
8.008882,-44.392268
9.330557,-49.212523
10.652200,-54.032786
11.973251,-58.853212
13.293259,-63.673924
14.612229,-68.494919
15.930280,-73.316166
17.247531,-78.137632
18.564101,-82.959283
19.880110,-87.781088
21.195678,-92.603013
22.510922,-97.425027
23.825962,-102.247095
25.140918,-107.069187
26.455909,-111.891270
27.771053,-116.713310
29.086471,-121.535276
30.402269,-126.357138
31.718479,-131.178888
33.035098,-136.000526
34.352121,-140.822054
35.669544,-145.643473
36.987364,-150.464783
38.305575,-155.285986
39.624176,-160.107083
40.943161,-164.928074
42.262526,-169.748961
43.582268,-174.569746
44.902382,-179.390428
46.222865,-184.211009
47.543712,-189.031491
48.864901,-193.851879
50.187161,-198.671960
51.517000,-203.489928
52.871318,-208.301084
54.266322,-213.100621
55.717132,-217.883571
57.239113,-222.644329
58.848957,-227.376064
60.564841,-232.070343
62.404589,-236.717427
64.385397,-241.306100
66.523695,-245.823465
68.834949,-250.254764
71.334708,-254.582428
74.043833,-258.782030
76.979170,-262.826756
80.124736,-266.710284
83.470902,-270.422161
87.032585,-273.927481
90.823911,-277.182738
94.851182,-280.140922
99.107972,-282.757873
103.578603,-284.989974
108.237134,-286.798087
113.044445,-288.160855
117.957113,-289.065325
122.932822,-289.487291
127.927069,-289.377802
132.864390,-288.657906
137.659939,-287.272948
142.265179,-285.315815
146.655696,-282.929769
150.848712,-280.212853
154.876775,-277.253202
158.775195,-274.123917
162.588825,-270.891822
166.367542,-267.619127
170.162382,-264.365635
174.023151,-261.191019
177.999050,-258.161565
182.136486,-255.356883
186.466376,-252.865201
190.995097,-250.756942
195.699694,-249.080616
200.547521,-247.881680
205.494961,-247.209352
210.487960,-247.106082
215.469794,-247.519054
220.397730,-248.350138
225.254984,-249.527308
230.036203,-250.984499
234.747254,-252.655859
239.399942,-254.484301
244.008652,-256.421711
248.589142,-258.423646
253.157797,-260.448886
257.738367,-262.445548
262.361830,-264.342467
267.043551,-266.092070
271.781614,-267.682782
276.570925,-269.111781
281.406222,-270.376454
286.282128,-271.474166
291.193141,-272.402267
296.133592,-273.158124
301.097615,-273.739261
306.079173,-274.143273
311.072033,-274.367711
316.069742,-274.410068
321.065594,-274.267677
326.052564,-273.937765
331.023274,-273.417547
335.969958,-272.704271
340.884420,-271.795238
345.758000,-270.687833
350.581524,-269.379563
355.345273,-267.868099
360.038914,-266.151403
364.651584,-264.228050
369.172381,-262.097675
373.592954,-259.766146
377.908249,-257.244974
382.115646,-254.547564
386.213883,-251.686967
390.201941,-248.674638
394.078330,-245.519895
397.841686,-242.231056
401.491032,-238.816132
405.025641,-235.282516
408.444423,-231.636708
411.746358,-227.884811
414.932423,-224.033940
418.005168,-220.092042
420.967583,-216.066578
423.822968,-211.964484
426.574789,-207.792259
429.227158,-203.556003
431.782477,-199.260483
434.238903,-194.907633
436.591901,-190.498075
438.837746,-186.033191
440.980510,-181.517750
443.032143,-176.959960
445.005767,-172.367968
446.911491,-167.747519
448.754793,-163.101740
450.539274,-158.433006
452.268927,-153.743727
453.947696,-149.035931
455.579658,-144.311701
457.168656,-139.572882
458.715459,-134.820059
460.217119,-130.052774
461.669741,-125.270353
463.073389,-120.473373
464.434764,-115.664227
465.763464,-110.845924
467.068080,-106.021052
468.353015,-101.190855
469.619902,-96.355894
470.870190,-91.516644
472.105256,-86.673473
473.326453,-81.826789
474.535144,-76.976971
475.732692,-72.124389
476.920463,-67.269405
478.099825,-62.412370
479.272146,-57.553632
480.438797,-52.693527
481.601145,-47.832393
482.760484,-42.970539
483.917960,-38.108244
485.074726,-33.245786
486.232470,-28.383561
487.393102,-23.522018
488.557373,-18.661344
489.725301,-13.801548
490.896790,-8.942608
492.071744,-4.084506
493.250068,0.772781
494.431667,5.629272
495.616445,10.484988
496.804308,15.339950
497.995159,20.194180
499.188909,25.047699
500.385505,29.900516
501.584918,34.752638
502.787122,39.604069
503.992086,44.454815
505.199784,49.304882
506.410188,54.154274
507.623268,59.002997
508.838997,63.851057
510.057347,68.698458
511.278290,73.545208
512.501798,78.391310
513.727842,83.236771
514.956395,88.081597
516.187429,92.925793
517.420915,97.769365
518.656826,102.612319
519.895133,107.454661
521.135810,112.296397
522.378826,117.137532
523.624156,121.978072
524.871771,126.818025
526.121642,131.657395
527.373743,136.496188
528.628044,141.334412
529.884519,146.172071
531.143139,151.009173
532.403875,155.845724
533.666690,160.681733
534.931544,165.517208
536.198398,170.352160
537.467212,175.186598
538.737947,180.020532
540.010562,184.853971
541.285019,189.686924
542.561277,194.519402
543.839298,199.351414
545.119042,204.182971
546.400469,209.014081
547.683540,213.844755
548.968215,218.675002
550.254455,223.504833
551.542221,228.334257
552.831472,233.163285
554.122172,237.991926
555.414273,242.820192
556.707656,247.648115
558.002151,252.475740
559.297575,257.303115
560.593740,262.130292
561.890458,266.957321
563.187537,271.784252
564.484790,276.611137
565.782027,281.438025
567.079055,286.264971
568.375673,291.092026
569.671677,295.919246
570.966865,300.746685
572.261033,305.574398
573.553977,310.402438
574.845494,315.230860
576.135381,320.059719
577.423435,324.889066
578.709450,329.718957
579.993225,334.549443
581.274556,339.380579
582.553237,344.212417
583.829067,349.045008
585.101840,353.878405
586.371352,358.712659
587.637317,363.547845
588.897870,368.384437
590.142747,373.225036
591.348186,378.075568
592.491640,382.941119
593.555408,387.824749
594.522301,392.728465
595.374776,397.653313
596.094815,402.599261
596.664199,407.564728
597.064386,412.546536
597.271443,417.540062
597.254680,422.537860
596.980448,427.527997
596.417039,432.493595
595.545714,437.414486
594.361570,442.269466
592.859569,447.035425
591.023442,451.682645
588.827789,456.171098
586.247185,460.449333
583.295372,464.479996
580.025243,468.257982
576.476319,471.775350
572.681829,475.026866
568.674248,478.012211
564.483704,480.735012
560.137504,483.202053
555.660133,485.422520
551.073449,487.407652
546.396413,489.169593
541.644112,490.717620
536.829460,492.059326
531.964047,493.202526
527.058282,494.157122
522.122044,494.939761
517.163762,495.568627
512.189062,496.050920
507.202404,496.387834
502.208069,496.579607
497.210276,496.626565
492.213215,496.529039
487.221051,496.287384
482.237934,495.901910
477.267961,495.373316
472.315093,494.703196
467.383103,493.893473
462.475635,492.946174
457.597491,491.857859
452.755628,490.618978
447.958580,489.216835
443.211416,487.653055
438.512707,485.948947
433.858354,484.127442
429.243940,482.207216
424.669864,480.192871
420.140349,478.080195
415.660120,475.864936
411.236084,473.539292
406.878068,471.092108
402.598257,468.510990
398.399013,465.800540
394.271126,462.982638
390.204656,460.077078
386.196703,457.091193
382.253853,454.019455
378.385368,450.854586
374.598548,447.592597
370.890397,444.241318
367.253613,440.812829
363.681549,437.317045
360.170599,433.759810
356.719249,430.144661
353.325857,426.475045
349.988591,422.754303
346.705507,418.985647
343.474533,415.172217
340.293593,411.316940
337.160943,407.422303
334.074974,403.490570
331.034004,399.523928
328.036306,395.524481
325.080115,391.494256
322.163629,387.435206
319.285035,383.349222
316.442384,379.238186
313.632838,375.104448
310.852550,370.950948
308.098614,366.779922
305.369053,362.592904
302.662109,358.391228
299.976116,354.176127
297.309458,349.948768
294.660502,345.710293
292.027603,341.461824
289.409103,337.204466
286.803330,332.939305
284.208605,328.667414
281.623240,324.389852
279.045537,320.107667
276.473795,315.821901
273.906306,311.533584
271.341359,307.243747
268.777242,302.953414
266.212239,298.663610
263.644639,294.375360
261.072730,290.089694
258.494802,285.807645
255.909153,281.530254
253.314084,277.258572
250.707905,272.993660
248.088933,268.736592
245.455496,264.488457
242.805935,260.250360
240.138600,256.023428
237.451857,251.808805
234.744090,247.607660
232.013689,243.421190
229.259029,239.250643
226.478487,235.097308
223.670462,230.962506
220.833378,226.847589
217.965681,222.753948
215.065638,218.683174
212.129658,214.638318
209.149084,210.626266
206.112163,206.656603
203.010571,202.737159
199.837814,198.875073
196.587478,195.078083
193.253404,191.354508
189.828880,187.713966
186.306253,184.168286
182.678391,180.730442
178.939168,177.414107
175.083544,174.233873
171.107870,171.205235
167.009680,168.344452
162.789007,165.667555
158.448857,163.192118
153.989767,160.933026
149.415945,158.916457
144.718067,157.222682
139.904124,155.869446
135.021514,154.803048
130.090341,154.002785
125.121724,153.463119
120.132397,153.178781
115.135084,153.144046
110.141912,153.353154
105.164455,153.800195
100.213283,154.479823
95.298740,155.387428
90.430760,156.518712
85.619038,157.869549
80.873053,159.435852
76.201927,161.213848
71.614593,163.198398
67.117156,165.378338
62.712463,167.739320
58.402188,170.267645
54.188999,172.954970
50.080382,175.800511
46.086347,178.804898
42.217323,181.968721
38.484773,185.292613
34.901455,188.776810
31.479112,192.419135
28.225978,196.213259
25.150846,200.153063
22.259574,204.229580
19.545351,208.426110
16.995206,212.724354
14.596027,217.108678
12.341789,221.569411
10.233644,226.101140
