# x_m,y_m
0.963582,-0.637384
-4.008401,-1.165915
-8.980342,-1.694828
-13.952246,-2.224103
-18.924112,-2.753721
-23.895945,-3.283660
-28.867745,-3.813901
-33.839515,-4.344425
-38.811257,-4.875211
-43.782974,-5.406238
-48.754666,-5.937488
-53.726337,-6.468940
-58.697989,-7.000574
-63.669623,-7.532370
-68.641242,-8.064308
-73.612848,-8.596368
-78.584443,-9.128530
-83.556029,-9.660774
-88.527609,-10.193080
-93.499184,-10.725428
-98.470757,-11.257798
-103.442329,-11.790170
-108.413904,-12.322524
-113.385482,-12.854841
-118.357067,-13.387099
-123.328660,-13.919279
-128.300264,-14.451362
-133.271880,-14.983326
-138.243511,-15.515152
-143.215159,-16.046821
-148.186825,-16.578311
-153.158514,-17.109603
-158.130225,-17.640678
-163.101962,-18.171514
-168.073726,-18.702092
-173.045520,-19.232393
-178.017346,-19.762395
-182.989205,-20.292079
-187.961101,-20.821426
-192.933035,-21.350414
-197.905009,-21.879024
-202.877025,-22.407236
-207.849085,-22.935030
-212.821193,-23.462386
-217.793348,-23.989284
-222.765555,-24.515704
-227.737814,-25.041626
-232.710127,-25.567029
-237.682498,-26.091891
-242.654929,-26.616191
-247.627421,-27.139905
-252.599977,-27.663013
-257.572598,-28.185493
-262.545289,-28.707321
-267.518050,-29.228476
-272.490883,-29.748936
-277.463792,-30.268679
-282.436778,-30.787683
-287.409843,-31.305926
-292.382990,-31.823385
-297.356220,-32.340040
-302.329537,-32.855866
-307.302941,-33.370844
-312.276436,-33.884949
-317.250023,-34.398162
-322.223704,-34.910458
-327.197482,-35.421817
-332.171358,-35.932216
-337.145335,-36.441634
-342.119415,-36.950047
-347.093600,-37.457435
-352.067891,-37.963774
-357.042291,-38.469043
-362.016802,-38.973220
-366.991426,-39.476283
-371.966164,-39.978210
-376.941020,-40.478978
-381.915993,-40.978565
-386.891088,-41.476950
-391.866305,-41.974110
-396.841647,-42.470024
-401.817114,-42.964668
-406.792710,-43.458022
-411.768436,-43.950063
-416.744294,-44.440768
-421.720286,-44.930117
-426.696413,-45.418086
-431.672677,-45.904653
-436.649080,-46.389798
-441.625624,-46.873496
-446.602310,-47.355727
-451.579141,-47.836468
-456.556117,-48.315697
-461.533241,-48.793393
-466.510514,-49.269532
-471.487937,-49.744092
-476.465513,-50.217053
-481.443243,-50.688391
-486.421128,-51.158084
-491.399170,-51.626111
-496.377371,-52.092449
-501.355732,-52.557076
-506.334254,-53.019970
-511.312939,-53.481109
-516.291788,-53.940470
-521.270803,-54.398032
-526.249985,-54.853772
-531.229336,-55.307669
-536.208856,-55.759700
-541.188547,-56.209843
-546.168411,-56.658075
-551.148602,-57.102533
-556.130434,-57.527399
-561.117174,-57.888971
-566.110642,-58.142222
-571.109184,-58.259322
-576.108824,-58.217199
-581.103352,-57.990031
-586.083557,-57.550601
-591.036588,-56.870992
-595.945172,-55.922909
-600.786969,-54.678227
-605.533709,-53.109605
-610.150558,-51.192929
-614.594104,-48.903390
-618.819453,-46.229493
-622.754142,-43.156751
-626.270449,-39.600652
-629.314559,-35.644016
-631.753827,-31.286182
-633.556451,-26.622972
-634.704887,-21.762420
-635.196381,-16.789242
-635.011257,-11.796686
-634.123761,-6.879155
-632.511790,-2.150370
-630.166425,2.260995
-627.095972,6.201839
-623.338813,9.488620
-618.999340,11.938924
-614.266453,13.517477
-609.332926,14.308638
-604.335847,14.439183
-599.350702,14.068529
-594.403254,13.350564
-589.489087,12.428153
-584.587745,11.439285
-579.673222,10.518436
-574.724851,9.804156
-569.738875,9.437078
-564.741394,9.553913
-559.795682,10.282470
-555.012522,11.734066
-550.550011,13.996156
-546.659449,17.108238
-543.509296,20.965002
-541.165207,25.373943
-539.663193,30.135878
-538.975759,35.083441
-539.040946,40.079590
-539.752808,45.026062
-541.006985,49.864048
-542.700994,54.566824
-544.745158,59.128799
-547.066417,63.556630
-549.597644,67.868227
-552.276932,72.089650
-555.046620,76.252446
-557.852076,80.391234
-560.639704,84.541928
-563.353318,88.741177
-565.939911,93.019810
-568.377175,97.385259
-570.661844,101.832478
-572.793424,106.355082
-574.771589,110.946872
-576.596048,115.601879
-578.266563,120.314337
-579.782884,125.078654
-581.144936,129.889353
-582.353685,134.740863
-583.411087,139.627594
-584.319169,144.544265
-585.080090,149.485863
-585.696041,154.447617
-586.169250,159.425018
-586.501952,164.413784
-586.696377,169.409851
-586.754730,174.409353
-586.679191,179.408627
-586.471921,184.404169
-586.135071,189.392643
-585.670773,194.370859
-585.081148,199.335783
-584.368268,204.284528
-583.534322,209.214155
-582.581253,214.122009
-581.508192,219.005244
-580.310684,223.859639
-578.983512,228.680272
-577.521617,233.461866
-575.922305,238.199248
-574.188494,242.888908
-572.325169,247.528522
-570.336638,252.115882
-568.226838,256.648664
-565.997896,261.124104
-563.650935,265.538863
-561.187292,269.889488
-558.608215,274.172745
-555.914453,278.384857
-553.106137,282.521408
-550.183179,286.577842
-547.145655,290.549220
-543.993535,294.430211
-540.726761,298.215328
-537.346607,301.899394
-533.857041,305.479801
-530.264692,308.957475
-526.577963,312.334965
-522.804966,315.615552
-518.952808,318.802977
-515.027579,321.899970
-511.033745,324.907926
-506.975081,327.827951
-502.855401,330.661280
-498.678333,333.409295
-494.447309,336.073508
-490.165640,338.655575
-485.836477,341.157191
-481.462884,343.580250
-477.048185,345.927608
-472.595977,348.203040
-468.109723,350.410570
-463.592627,352.554292
-459.047709,354.638392
-454.477826,356.667145
-449.885614,358.644895
-445.273622,360.576093
-440.644230,362.465132
-435.999326,364.315763
-431.340511,366.131141
-426.669313,367.914380
-421.987157,369.668660
-417.295420,371.397162
-412.595425,373.103083
-407.888441,374.789630
-403.175700,376.460017
-398.458370,378.117420
-393.737582,379.764908
-389.014432,381.405422
-384.290142,383.042557
-379.566477,384.681613
-374.845311,386.327968
-370.127592,387.984192
-365.413466,389.650613
-360.702918,391.327122
-355.995930,393.013598
-351.292481,394.709921
-346.592551,396.415972
-341.896121,398.131632
-337.203168,399.856780
-332.513671,401.591300
-327.827606,403.335071
-323.144950,405.087977
-318.465678,406.849898
-313.789763,408.620706
-309.117171,410.400266
-304.447871,412.188443
-299.781827,413.985102
-295.119007,415.790109
-290.459375,417.603331
-285.802895,419.424633
-281.149531,421.253881
-276.499246,423.090944
-271.852003,424.935687
-267.207764,426.787978
-262.566488,428.647684
-257.928138,430.514674
-253.292672,432.388815
-248.660052,434.269976
-244.030236,436.158023
-239.403181,438.052832
-234.778881,439.954354
-230.157358,441.862613
-225.538635,443.777646
-220.922739,445.699483
-216.309696,447.628157
-211.699531,449.563701
-207.092270,451.506146
-202.487938,453.455525
-197.886562,455.411871
-193.288167,457.375217
-188.692783,459.345594
-184.100431,461.323038
-179.511153,463.307572
-174.924826,465.299018
-170.339794,467.292736
-165.747102,469.267629
-161.132655,471.192050
-156.484804,473.035659
-151.794347,474.768201
-147.053575,476.357680
-142.257500,477.771015
-137.404293,478.972470
-132.495721,479.922352
-127.538135,480.578618
-122.553883,480.900320
-117.551001,480.838652
-112.569482,480.356593
-107.682253,479.348081
-102.927845,477.786229
-98.367420,475.748691
-94.041934,473.248438
-90.085319,470.222430
-86.559331,466.676802
-83.440820,462.765195
-80.750488,458.555665
-78.450033,454.116008
-76.501870,449.511795
-74.863332,444.787848
-73.493609,439.978583
-72.355029,435.109552
-71.407720,430.200501
-70.600091,425.266891
-69.873821,420.320188
-69.198540,415.366002
-68.565976,410.406178
-67.971694,405.441617
-67.411270,400.473120
-66.880261,395.501394
-66.374206,390.527064
-65.888626,385.550699
-65.419004,380.572809
-64.960611,375.593871
-64.508572,370.614349
-64.057996,365.634697
-63.603980,360.655360
-63.141606,355.676795
-62.665946,350.699485
-62.172059,345.723954
-61.654996,340.750782
-61.109798,335.780619
-60.531497,330.814203
-59.915124,325.852372
-59.255704,320.896084
-58.548265,315.946425
-57.787837,311.004635
-56.969448,306.072123
-56.088029,301.150481
-55.138494,296.241525
-54.116151,291.347227
-53.016491,286.469729
-51.835083,281.611392
-50.567554,276.774817
-49.209600,271.962856
-47.757011,267.178623
-46.205672,262.425492
-44.551623,257.707160
-42.790787,253.027649
-40.916256,248.392479
-38.919560,243.808604
-36.792504,239.283760
-34.527168,234.826544
-32.118317,230.445253
-29.565100,226.146528
-26.867421,221.936956
-24.025240,217.823563
-21.039466,213.813197
-17.912560,209.911896
-14.647400,206.125608
-11.247002,202.460362
-7.713194,198.923638
-4.043802,195.527829
-0.236298,192.287572
3.710848,189.219063
7.796785,186.338113
12.014194,183.653235
16.350707,181.165264
20.793545,178.872406
25.331091,176.773190
29.954504,174.870622
34.656420,173.171086
39.428792,171.681008
44.262788,170.404734
49.147971,169.340726
54.073714,168.484963
59.030691,167.833465
64.009996,167.383624
69.003426,167.137456
74.003038,167.099686
78.999665,167.275365
83.983774,167.668397
88.946344,168.277448
93.878216,169.097283
98.771261,170.122712
103.617983,171.349337
108.409215,172.776902
113.134709,174.408907
117.784217,176.246048
122.350853,178.280499
126.833277,180.495571
131.233175,182.870693
135.554774,185.385263
139.804284,188.019948
143.989292,190.756015
148.118614,193.575455
152.202012,196.460953
156.250327,199.395619
160.274164,202.363811
164.282236,205.353084
168.283057,208.352354
172.284027,211.350156
176.296199,214.333682
180.341064,217.274871
184.447779,220.125523
188.635357,222.856712
192.897930,225.471988
197.231087,227.966607
201.640711,230.323189
206.130926,232.522548
210.703539,234.544649
215.358617,236.368786
220.093648,237.973722
224.903148,239.338139
229.778486,240.440560
234.709280,241.258878
239.681201,241.776954
244.675427,241.995962
249.674676,241.936814
254.663985,241.621660
259.631639,241.061519
264.567561,240.264872
269.461099,239.240370
274.303863,237.997801
279.089394,236.549814
283.812330,234.909735
288.469390,233.090453
293.057295,231.102812
297.571681,228.953618
302.008303,226.647755
306.362356,224.189918
310.630132,221.585609
314.811697,218.844546
318.909632,215.979844
322.927548,213.004031
326.869826,209.928686
330.740787,206.764116
334.544388,203.518813
338.284710,200.200740
341.966269,196.817658
345.593472,193.376299
349.170036,189.882277
352.699588,186.340806
356.186084,182.756923
359.633587,179.135491
363.046283,175.481242
366.428488,171.798743
369.784607,168.092442
373.119086,164.366710
376.436475,160.625911
379.742487,156.875074
383.043823,153.119973
386.344446,149.364190
389.645007,145.608364
392.945443,141.852424
396.245655,138.096289
399.545547,134.339873
402.845024,130.583091
406.143989,126.825860
409.442346,123.068096
412.739998,119.309712
416.036849,115.550627
419.332803,111.790754
422.627763,108.030010
425.921632,104.268311
429.214315,100.505574
432.505713,96.741713
435.795731,92.976645
439.084272,89.210287
442.371238,85.442554
445.656532,81.673364
448.940058,77.902633
452.221717,74.130280
455.501411,70.356218
458.779048,66.580366
462.054582,62.802695
465.327978,59.023170
468.597736,55.240506
471.855124,51.447217
475.080087,47.626589
478.245904,43.757310
481.329309,39.821772
484.318241,35.813009
487.207558,31.731318
489.991380,27.576943
492.662345,23.349158
495.212300,19.047563
497.632408,14.672417
499.911495,10.222413
502.033941,5.695276
503.982601,1.091995
505.742552,-3.586732
507.297537,-8.335257
508.630047,-13.153041
509.700640,-18.042400
510.404717,-22.980967
510.746032,-27.967018
510.795053,-32.975433
510.558764,-37.966155
510.035982,-42.934888
509.209505,-47.868160
508.065755,-52.735950
506.602621,-57.516346
504.819758,-62.187345
502.716410,-66.721785
500.297261,-71.095975
497.582977,-75.294807
494.602358,-79.308749
491.381406,-83.134969
487.950961,-86.774957
484.353978,-90.238441
480.600419,-93.545096
476.706162,-96.693775
472.676514,-99.630035
468.461115,-102.316603
464.125945,-104.821298
459.702167,-107.142484
455.168429,-109.246611
450.540508,-111.142467
445.842553,-112.853681
441.088939,-114.402335
436.291589,-115.809271
431.457747,-117.085925
426.591953,-118.236531
421.698926,-119.265305
416.782599,-120.176520
411.846641,-120.974874
406.894475,-121.665607
401.929054,-122.253682
396.952889,-122.742423
391.968324,-123.134435
386.977655,-123.437755
381.982991,-123.666995
376.986009,-123.838767
371.987750,-123.969816
366.988945,-124.078279
361.990081,-124.182775
356.991414,-124.296898
351.993130,-124.426300
346.995277,-124.572562
341.997872,-124.734511
337.000961,-124.910077
332.004478,-125.097214
327.008380,-125.294444
322.012678,-125.501319
317.017373,-125.717734
312.022479,-125.943551
307.028015,-126.178634
302.033989,-126.422851
297.040410,-126.676067
292.047289,-126.938147
287.054634,-127.208958
282.062453,-127.488365
277.070752,-127.776235
272.079539,-128.072432
267.088818,-128.376824
262.098596,-128.689275
257.108876,-129.009651
252.119662,-129.337819
247.130958,-129.673643
242.142767,-130.016998
237.155092,-130.367788
232.167941,-130.725932
227.181316,-131.091349
222.195224,-131.463957
217.209669,-131.843675
212.224653,-132.230421
207.240181,-132.624113
202.256256,-133.024669
197.272881,-133.432008
192.290058,-133.846048
187.307790,-134.266708
182.326077,-134.693904
177.344923,-135.127556
172.364327,-135.567582
167.384291,-136.013899
162.404816,-136.466426
157.425902,-136.925085
152.447551,-137.389822
147.469768,-137.860604
142.492558,-138.337396
137.515923,-138.820165
132.539868,-139.308875
127.564397,-139.803492
122.589514,-140.303984
117.615222,-140.810315
112.641523,-141.322452
107.668423,-141.840361
102.695924,-142.364007
97.724028,-142.893359
92.752740,-143.428381
87.782062,-143.969040
82.811996,-144.515303
77.842548,-145.067134
72.873717,-145.624509
67.905499,-146.187325
62.937872,-146.755327
57.970809,-147.328211
53.004258,-147.905679
48.038580,-148.490050
43.077356,-149.106872
38.131207,-149.833273
33.217809,-150.756943
28.362569,-151.952080
23.606729,-153.491372
19.004248,-155.447610
14.646108,-157.888788
10.645992,-160.880016
7.128985,-164.449818
4.336417,-168.572381
2.407368,-173.170212
1.588011,-178.091579
1.825649,-183.071710
2.998503,-187.921276
4.859012,-192.570737
7.333024,-196.905359
10.305183,-200.926403
13.663624,-204.629116
17.324308,-208.034142
21.215661,-211.173816
25.283068,-214.081803
29.483445,-216.793405
33.776782,-219.355493
38.123321,-221.826869
42.492866,-224.257333
46.859953,-226.692076
51.199257,-229.175714
55.483790,-231.752468
59.680893,-234.469087
63.749305,-237.374975
67.643074,-240.510175
71.331013,-243.883821
74.811564,-247.472174
78.087538,-251.248838
81.162004,-255.190516
84.039842,-259.278561
86.722184,-263.497573
89.202436,-267.838686
91.470256,-272.294867
93.513998,-276.857510
95.328304,-281.516071
96.923380,-286.254845
98.314584,-291.057183
99.515090,-295.910472
100.535858,-300.804679
101.381373,-305.732294
102.053398,-310.686675
102.554354,-315.661242
102.886511,-320.649977
103.052254,-325.647023
103.053974,-330.646836
102.894080,-335.644102
102.574983,-340.633750
102.099347,-345.610919
101.470298,-350.571034
100.691104,-355.509804
99.764931,-360.423136
98.694912,-365.307163
97.484114,-370.158215
96.135554,-374.972781
94.652183,-379.747529
93.036848,-384.479272
91.292730,-389.165060
89.423810,-393.802494
87.434349,-398.389545
85.326545,-402.923298
83.091551,-407.395453
80.706787,-411.789701
78.155142,-416.089495
75.427573,-420.279953
72.515564,-424.344391
69.412037,-428.264409
66.113168,-432.021409
62.616730,-435.595174
58.922290,-438.963253
55.030411,-442.100731
50.939371,-444.973696
46.649120,-447.538792
42.166317,-449.750549
37.505647,-451.560356
32.694148,-452.906081
27.774240,-453.750720
22.793813,-454.142418
17.789097,-454.115370
12.814349,-453.651505
7.905834,-452.727934
3.075582,-451.413281
-1.652797,-449.790462
-6.278179,-447.900545
-10.803014,-445.771080
-15.220792,-443.429931
-19.534488,-440.901584
-23.747936,-438.209167
-27.866935,-435.374362
-31.898944,-432.417192
-35.852328,-429.356630
-39.739145,-426.212233
-43.573992,-423.004039
-47.366169,-419.745290
-51.119136,-416.441524
-54.835226,-413.096306
-58.516748,-409.713092
-62.166130,-406.295228
-65.785878,-402.845996
-69.378582,-399.368602
-72.946902,-395.866192
-76.493566,-392.341852
-80.021357,-388.798621
-83.533108,-385.239491
-87.031695,-381.667419
-90.520027,-378.085333
-94.001041,-374.496134
-97.477692,-370.902709
-100.952957,-367.307942
-104.429843,-363.714743
-107.911362,-360.126033
-111.400512,-356.544742
-114.900272,-352.973819
-118.413592,-349.416238
-121.943389,-345.875003
-125.492532,-342.353160
-129.063844,-338.853799
-132.660084,-335.380063
-136.283946,-331.935153
-139.938050,-328.522339
-143.624930,-325.144962
-147.347033,-321.806441
-151.106700,-318.510286
-154.906180,-315.260110
-158.748254,-312.060459
-162.638566,-308.919837
-166.584706,-305.849628
-170.591195,-302.858252
-174.660077,-299.952163
-178.793303,-297.138403
