# x_m,y_m
-0.524840,2.609798
-5.377357,1.418301
-10.230077,0.227629
-15.083014,-0.962153
-19.936186,-2.150979
-24.789608,-3.338784
-29.643296,-4.525503
-34.497266,-5.711069
-39.351532,-6.895418
-44.206108,-8.078498
-49.060993,-9.260309
-53.916183,-10.440867
-58.771674,-11.620186
-63.627462,-12.798283
-68.483542,-13.975171
-73.339912,-15.150867
-78.196566,-16.325384
-83.053502,-17.498739
-87.910715,-18.670946
-92.768201,-19.842021
-97.625956,-21.011979
-102.483977,-22.180834
-107.342259,-23.348602
-112.200798,-24.515297
-117.059592,-25.680936
-121.918635,-26.845533
-126.777924,-28.009104
-131.637455,-29.171662
-136.497224,-30.333224
-141.357228,-31.493805
-146.217463,-32.653420
-151.077924,-33.812083
-155.938609,-34.969811
-160.799512,-36.126618
-165.660631,-37.282519
-170.521962,-38.437529
-175.383501,-39.591664
-180.245244,-40.744939
-185.107187,-41.897368
-189.969327,-43.048968
-194.831660,-44.199752
-199.694182,-45.349737
-204.556889,-46.498937
-209.419782,-47.647354
-214.282874,-48.794928
-219.146182,-49.941583
-224.009725,-51.087241
-228.873521,-52.231827
-233.737587,-53.375263
-238.601942,-54.517473
-243.466601,-55.658380
-248.331585,-56.797908
-253.196909,-57.935979
-258.062592,-59.072517
-262.928650,-60.207444
-267.795102,-61.340685
-272.661964,-62.472162
-277.529254,-63.601797
-282.396988,-64.729515
-287.265184,-65.855238
-292.133852,-66.978921
-297.002934,-68.100806
-301.872342,-69.221276
-306.741986,-70.340719
-311.611777,-71.459520
-316.481628,-72.578066
-321.351448,-73.696742
-326.221150,-74.815932
-331.090646,-75.936017
-335.959940,-77.056978
-340.829169,-78.178225
-345.698482,-79.299108
-350.568028,-80.418981
-355.437954,-81.537197
-360.308410,-82.653104
-365.179542,-83.766051
-370.051500,-84.875382
-374.924397,-85.980576
-379.798204,-87.081755
-384.672844,-88.179235
-389.548245,-89.273333
-394.424334,-90.364364
-399.301057,-91.452553
-404.178519,-92.537428
-409.057141,-93.617075
-413.937519,-94.688747
-418.820706,-95.747535
-423.708274,-96.785900
-428.601772,-97.795926
-433.502565,-98.769920
-438.411833,-99.700223
-443.330552,-100.579152
-448.259457,-101.398997
-453.199005,-102.152017
-458.149358,-102.830316
-463.110458,-103.424834
-468.081856,-103.925880
-473.062558,-104.323744
-478.050990,-104.608609
-483.044787,-104.775155
-488.041117,-104.824487
-493.037253,-104.758635
-498.030588,-104.580280
-503.018699,-104.291505
-507.998352,-103.881919
-512.964885,-103.335833
-517.912307,-102.637644
-522.833212,-101.772300
-527.719607,-100.729742
-532.563216,-99.503774
-537.354943,-98.088628
-542.084742,-96.478650
-546.740910,-94.666806
-551.309996,-92.645482
-555.777156,-90.407997
-560.126960,-87.950207
-564.344496,-85.271827
-568.414482,-82.374221
-572.320657,-79.259393
-576.045557,-75.929999
-579.570964,-72.390141
-582.880216,-68.647447
-585.957692,-64.711980
-588.788817,-60.595805
-591.361561,-56.313356
-593.666631,-51.881047
-595.696505,-47.316142
-597.444842,-42.636158
-598.905948,-37.858701
-600.074592,-33.001412
-600.945434,-28.082002
-601.513000,-23.118468
-601.771782,-18.129308
-601.716302,-13.133767
-601.341111,-8.152058
-600.640951,-3.205583
-599.611882,1.683033
-598.251566,6.489966
-596.558383,11.189928
-594.531300,15.755744
-592.170144,20.157981
-589.475823,24.364464
-586.450724,28.339499
-583.099040,32.043141
-579.428388,35.430602
-575.451934,38.452908
-571.190489,41.057539
-566.679080,43.199356
-561.966792,44.853639
-557.107029,46.005346
-552.153685,46.644195
-547.160692,46.761983
-542.183266,46.351419
-537.279614,45.404551
-532.513170,43.913968
-527.954727,41.874585
-523.681663,39.290600
-519.777256,36.178130
-516.335340,32.561669
-513.467977,28.475786
-511.311911,23.974318
-509.996007,19.160912
-509.452605,14.199292
-509.501503,9.205976
-509.990138,4.234211
-510.780384,-0.699774
-511.738601,-5.604578
-512.733626,-10.501675
-513.624820,-15.417968
-514.258725,-20.372619
-514.466444,-25.362043
-514.061505,-30.337885
-512.868560,-35.183388
-510.767775,-39.705531
-507.747939,-43.672083
-503.968320,-46.929003
-499.642969,-49.420083
-494.944398,-51.103824
-490.025436,-51.949811
-485.032799,-51.994812
-480.088161,-51.298003
-475.294318,-49.902845
-470.729501,-47.882353
-466.443814,-45.321610
-462.479058,-42.285903
-458.868941,-38.834890
-455.634363,-35.029067
-452.783892,-30.927301
-450.319239,-26.582515
-448.238234,-22.041283
-446.534614,-17.345279
-445.198441,-12.531698
-444.217075,-7.633351
-443.575848,-2.678899
-443.258502,2.306868
-443.247511,7.302777
-443.524406,12.291102
-444.069931,17.257254
-444.865033,22.189566
-445.893540,27.078722
-447.140743,31.916627
-448.592955,36.697053
-450.235144,41.417005
-452.027737,46.080217
-453.928451,50.699543
-455.951189,55.268776
-458.113893,59.773451
-460.411071,64.210502
-462.832611,68.581039
-465.368226,72.886413
-468.008635,77.128328
-470.745109,81.308937
-473.569506,85.430667
-476.474158,89.496252
-479.451844,93.508666
-482.495551,97.471242
-485.598069,101.387953
-488.751749,105.263598
-491.948062,109.104167
-495.177917,112.916579
-498.435790,116.705083
-501.718943,120.471701
-505.025170,124.218084
-508.352305,127.945912
-511.698257,131.656861
-515.061007,135.352596
-518.438562,139.034807
-521.828946,142.705210
-525.230201,146.365541
-528.640384,150.017558
-532.057562,153.663030
-535.479815,157.303739
-538.905226,160.941476
-542.331888,164.578036
-545.757893,168.215214
