# x_m,y_m
-5.794089,4.946066
-2.865067,8.993165
0.063502,13.040593
2.991611,17.088353
5.919257,21.136449
8.846435,25.184883
11.773139,29.233659
14.699365,33.282781
17.625108,37.332252
20.550364,41.382075
23.475127,45.432254
26.399393,49.482791
29.323156,53.533692
32.246413,57.584958
35.169157,61.636594
38.091385,65.688602
41.013092,69.740987
43.934272,73.793750
46.854920,77.846897
49.775033,81.900430
52.694605,85.954352
55.613632,90.008667
58.532107,94.063379
61.450028,98.118490
64.367388,102.174005
67.284183,106.229925
70.200409,110.286256
73.116051,114.343005
76.031079,118.400196
78.945460,122.457852
81.859160,126.515997
84.772145,130.574655
87.684381,134.633851
90.595835,138.693607
93.506474,142.753948
96.416262,146.814898
99.325674,150.876119
102.239216,154.934375
105.170395,158.979900
108.136157,163.000121
111.150378,166.984128
114.219024,170.926364
117.344395,174.823770
120.529545,178.672473
123.778174,182.467744
127.094075,186.204372
130.481367,189.876386
133.944149,193.477270
137.486217,197.000150
141.111039,200.437834
144.820778,203.783771
148.613584,207.035068
152.487144,210.189525
156.453032,213.227385
160.534600,216.107507
164.747794,218.791532
169.093226,221.255502
173.559048,223.493941
178.116533,225.538904
182.747605,227.410780
187.444425,229.112290
192.199705,230.642872
197.006781,232.002388
201.858597,233.192726
206.747102,234.221767
211.664834,235.100453
216.605535,235.839430
221.563774,236.449760
226.535083,236.942521
231.515809,237.328946
236.503012,237.620357
241.494285,237.828271
246.488063,237.963614
251.483369,238.034443
256.479192,238.046501
261.474876,238.005702
266.470004,237.917711
271.464233,237.788177
276.457416,237.622662
281.449489,237.426695
286.440523,237.205723
291.430632,236.965422
296.420095,236.713005
301.409398,236.457271
306.398969,236.206897
311.389215,235.970604
316.380483,235.757077
321.372987,235.574999
326.366776,235.433051
331.361697,235.339898
336.357351,235.304251
341.353002,235.335547
346.347588,235.444299
351.339549,235.641195
356.326527,235.937122
361.305844,236.342021
366.274649,236.861172
371.229717,237.496219
376.168148,238.249316
381.086686,239.123129
385.980576,240.125029
390.843729,241.267683
395.668240,242.564206
400.444331,244.027732
405.163514,245.666262
409.820977,247.473779
414.414415,249.437571
418.943293,251.546059
423.407485,253.788312
427.806924,256.154919
432.141952,258.637739
436.413182,261.228796
440.621809,263.920329
444.769508,266.704866
448.858350,269.575138
452.890796,272.524133
456.869653,275.545029
460.797993,278.631301
464.678897,281.777053
468.515341,284.976930
472.310435,288.225750
476.067506,291.518480
479.790020,294.850245
483.481575,298.216290
487.145883,301.611990
490.786747,305.032824
494.408050,308.474369
498.013736,311.932281
501.607793,315.402286
505.194243,318.880161
508.777125,322.361717
512.360481,325.842790
515.948350,329.319221
519.544737,332.786834
523.153617,336.241426
526.778948,339.678768
530.424403,343.094763
534.093269,346.485613
537.788645,349.847538
541.513644,353.176679
545.271847,356.468030
549.072878,359.708754
552.940688,362.869828
556.901480,365.915231
560.974161,368.809049
565.176856,371.509884
569.526135,373.967836
574.031713,376.125536
578.692700,377.921143
583.496765,379.288795
588.414824,380.158003
593.402105,380.454745
598.388469,380.106743
603.258107,379.053674
607.900437,377.249113
612.213177,374.734809
616.102998,371.607186
619.521248,367.966144
622.466131,363.931865
624.979557,359.616966
627.118647,355.104340
628.932762,350.450556
630.471783,345.698169
631.788114,340.879035
632.935028,336.016604
633.965556,331.128111
634.931863,326.226736
635.885181,321.322735
636.875666,316.426071
637.952607,311.547801
639.164601,306.701545
640.559902,301.904968
642.186497,297.181974
644.088719,292.563258
646.302191,288.085383
648.856427,283.793024
651.780123,279.743937
655.103896,276.017333
658.847542,272.712843
663.002761,269.946550
667.535570,267.859884
672.345642,266.541339
677.307994,266.100048
682.279320,266.557439
687.106054,267.822675
691.689192,269.801445
695.981764,272.353499
699.949136,275.386692
703.567393,278.830489
706.830364,282.611839
709.757638,286.659049
712.377782,290.911896
714.725329,295.321210
716.839287,299.847387
718.756201,304.460600
720.509305,309.138261
722.137604,313.860818
723.676440,318.613564
725.134253,323.391887
726.508341,328.194951
727.792893,333.022703
728.978258,337.875713
730.055494,342.753892
731.019982,347.655659
731.869405,352.578674
732.601492,357.520493
733.213816,362.478568
733.703800,367.450215
734.068596,372.432600
734.305028,377.422715
734.409774,382.417322
734.379473,387.412926
734.210743,392.405760
733.900222,397.391769
733.444588,402.366598
732.840676,407.325536
732.085286,412.263571
731.173248,417.175099
730.096573,422.053196
728.847446,426.889904
727.418582,431.676208
725.801763,436.402446
723.974469,441.052071
721.897995,445.595886
719.598186,450.030814
717.142289,454.380239
714.546615,458.647555
711.821074,462.834410
708.974949,466.939877
706.016796,470.965577
702.955353,474.913356
699.799081,478.785801
696.556190,482.586073
693.234633,486.317814
689.841984,489.985102
686.384927,493.591818
682.869177,497.141363
679.299930,500.637135
675.681585,504.082017
672.017413,507.477785
668.311348,510.827500
664.571540,514.139664
660.810418,517.427818
657.039841,520.705145
653.266761,523.979598
649.492825,527.253066
645.718157,530.525691
641.942768,533.797483
638.166668,537.068454
634.389867,540.338617
630.612375,543.607981
626.834203,546.876559
623.055361,550.144363
619.275859,553.411403
615.495707,556.677691
611.714916,559.943240
607.933496,563.208059
604.151457,566.472162
600.368809,569.735560
596.585562,572.998263
592.801728,576.260284
589.017315,579.521635
585.232334,582.782326
581.446796,586.042370
577.660710,589.301778
573.874086,592.560561
570.086935,595.818732
566.299267,599.076301
562.511092,602.333281
558.722421,605.589683
554.933262,608.845519
551.143628,612.100800
547.353526,615.355538
543.562969,618.609745
539.771965,621.863432
535.980526,625.116611
532.188660,628.369293
528.396379,631.621491
524.603691,634.873215
520.810609,638.124478
517.017140,641.375291
513.223293,644.625662
509.429072,647.875596
505.634479,651.125097
501.839519,654.374168
498.044194,657.622814
494.248509,660.871038
490.452467,664.118845
486.656071,667.366239
482.859326,670.613224
479.062234,673.859803
475.264799,677.105982
471.467024,680.351763
467.668914,683.597152
463.870471,686.842151
460.071700,690.086765
456.272603,693.330999
452.473184,696.574855
448.673448,699.818339
444.873396,703.061454
441.073033,706.304204
437.272363,709.546594
433.471388,712.788627
429.670112,716.030308
425.868540,719.271640
422.066674,722.512627
418.264517,725.753274
414.462074,728.993585
410.659348,732.233564
406.856342,735.473214
403.053061,738.712541
399.249506,741.951547
395.445683,745.190237
391.641594,748.428615
387.837243,751.666686
384.032633,754.904452
380.227768,758.141919
376.422652,761.379090
372.617287,764.615969
368.811675,767.852558
365.005819,771.088859
