# x_m,y_m
2.406338,3.786237
-0.400302,7.923054
-3.209563,12.058092
-6.021270,16.191466
-8.835250,20.323294
-11.651329,24.453691
-14.469333,28.582775
-17.289089,32.710663
-20.110424,36.837473
-22.933163,40.963321
-25.757136,45.088325
-28.582168,49.212604
-31.408086,53.336276
-34.234719,57.459458
-37.061893,61.582269
-39.889436,65.704827
-42.717175,69.827251
-45.544938,73.949658
-48.372552,78.072167
-51.199845,82.194896
-54.026645,86.317964
-56.852778,90.441489
-59.678072,94.565588
-62.502354,98.690381
-65.325452,102.815984
-68.147192,106.942516
-70.967403,111.070093
-73.785909,115.198835
-76.602539,119.328856
-79.417119,123.460275
-82.229475,127.593209
-85.039433,131.727772
-87.846819,135.864083
-90.651459,140.002256
-93.453179,144.142407
-96.251803,148.284651
-99.047157,152.429102
-101.839065,156.575876
-104.627352,160.725085
-107.411844,164.876842
-110.192380,169.031250
-112.968803,173.188407
-115.740956,177.348413
-118.508680,181.511367
-121.271818,185.677366
-124.030210,189.846509
-126.783699,194.018892
-129.532124,198.194613
-132.275326,202.373766
-135.013146,206.556447
-137.745422,210.742752
-140.471994,214.932774
-143.192700,219.126607
-145.907379,223.324344
-148.615869,227.526077
-151.318007,231.731898
-154.013631,235.941897
-156.702584,240.156160
-159.384725,244.374761
-162.059915,248.597774
-164.727980,252.825292
-167.388691,257.057442
-170.042094,261.294178
-172.688747,265.535134
-175.329424,269.779812
-177.964929,274.027706
-180.592873,278.280279
-183.187328,282.553311
-185.681275,286.885672
-188.013134,291.307276
-190.128382,295.836318
-191.968298,300.483830
-193.467023,305.252142
-194.563374,310.128114
-195.189411,315.085263
-195.259628,320.079899
-194.661836,325.036231
-193.308638,329.839722
-191.065395,334.288033
-187.874390,338.139677
-183.935511,341.178875
-179.345376,343.166750
-174.491621,344.334419
-169.513078,344.737129
-164.522931,344.481367
-159.597625,343.642748
-154.772140,342.342205
-150.052530,340.697760
-145.414862,338.833615
-140.826744,336.849692
-136.266306,334.802017
-131.721503,332.719900
-127.188310,330.612635
-122.666357,328.481346
-118.155704,326.326251
-113.656425,324.147506
-109.168592,321.945281
-104.692277,319.719739
-100.227548,317.471042
-95.774476,315.199350
-91.333129,312.904821
-86.903572,310.587612
-82.485872,308.247879
-78.080092,305.885776
-73.686355,303.501348
-69.304865,301.094489
-64.935842,298.665075
-60.579505,296.212984
-56.236078,293.738098
-51.905788,291.240299
-47.588864,288.719469
-43.285538,286.175495
-38.996046,283.608264
-34.720628,281.017664
-30.459523,278.403586
-26.212978,275.765923
-21.981241,273.104568
-17.764562,270.419419
-13.563196,267.710373
-9.377401,264.977330
-5.207437,262.220192
-1.053569,259.438864
3.083935,256.633251
7.204803,253.803260
11.308765,250.948808
15.395525,248.069782
19.464687,245.165935
23.515771,242.236920
27.548289,239.282397
31.561747,236.302035
35.555641,233.295507
39.529461,230.262495
43.482685,227.202687
47.414784,224.115779
51.325219,221.001474
55.213447,217.859487
59.078891,214.689510
62.920786,211.491038
66.738025,208.263185
70.529983,205.005659
74.298157,201.720638
78.045938,198.412392
81.775817,195.083990
85.487426,191.735214
89.179016,188.364379
92.849557,184.970634
96.498716,181.553904
100.126373,178.114352
103.732756,174.652500
107.318326,171.169094
110.883547,167.664864
114.428894,164.140526
117.954852,160.596789
121.461913,157.034350
124.950581,153.453896
128.421366,149.856104
131.874791,146.241645
135.311376,142.611173
138.731686,138.965364
142.136499,135.305077
145.526781,131.631326
148.903515,127.945118
152.267691,124.247445
155.620310,120.539291
158.962385,116.821629
162.294932,113.095425
165.618981,109.361637
168.935564,105.621216
172.245723,101.875108
175.550495,98.124247
178.850894,94.369538
182.147920,90.611867
185.442577,86.852118
188.735870,83.091174
192.028806,79.329918
195.322394,75.569232
198.617639,71.809999
201.915548,68.053102
205.217126,64.299429
208.523375,60.549870
211.835292,56.805316
215.153873,53.066667
218.480107,49.334825
221.814978,45.610700
225.159463,41.895206
228.514611,38.189339
231.881814,34.494421
235.262487,30.811819
238.657103,27.142067
242.065765,23.485361
245.488541,19.841872
248.925518,16.211785
252.377240,12.595719
255.845577,8.995580
259.333420,5.414332
262.843695,1.855069
266.378967,-1.679364
269.941415,-5.186404
273.533062,-8.663531
277.155876,-12.108173
280.811756,-15.517698
284.502565,-18.889375
288.229878,-22.220651
291.994733,-25.509441
295.797933,-28.753812
299.640253,-31.951754
303.522444,-35.101168
307.445145,-38.199982
311.407748,-41.247609
315.408097,-44.245491
319.443691,-47.195714
323.511935,-50.100723
327.608268,-52.966083
331.726575,-55.799934
335.861779,-58.609089
340.008957,-61.400496
344.162466,-64.182382
348.317057,-66.962381
352.466192,-69.750524
356.595182,-72.568723
360.681927,-75.447788
364.707418,-78.411737
368.661707,-81.469991
372.539479,-84.624608
376.331518,-87.881741
380.021389,-91.254144
383.589950,-94.754594
387.022184,-98.388796
390.310180,-102.153992
393.451020,-106.042766
396.443900,-110.046547
399.290747,-114.155478
401.994998,-118.359660
404.560699,-122.649828
406.992459,-127.017334
409.295764,-131.453946
411.476777,-135.951962
413.541585,-140.504524
