# x_m,y_m
-0.282417,-7.777410
-5.107916,-9.064430
-9.933340,-10.351732
-14.758685,-11.639328
-19.583949,-12.927226
-24.409130,-14.215437
-29.234225,-15.503969
-34.059232,-16.792832
-38.884147,-18.082035
-43.708969,-19.371589
-48.533695,-20.661503
-53.358323,-21.951786
-58.182848,-23.242448
-63.007270,-24.533498
-67.831586,-25.824945
-72.655792,-27.116800
-77.479887,-28.409072
-82.303868,-29.701770
-87.127732,-30.994904
-91.951476,-32.288484
-96.775098,-33.582518
-101.598596,-34.877017
-106.421967,-36.171990
-111.245207,-37.467446
-116.068316,-38.763395
-120.891289,-40.059847
-125.714124,-41.356811
-130.536820,-42.654296
-135.359372,-43.952312
-140.181779,-45.250869
-145.004037,-46.549976
-149.826145,-47.849642
-154.648100,-49.149878
-159.469898,-50.450692
-164.291538,-51.752094
-169.113016,-53.054094
-173.934331,-54.356701
-178.755479,-55.659924
-183.576457,-56.963774
-188.397264,-58.268260
-193.217895,-59.573392
-198.038349,-60.879180
-202.858622,-62.185634
-207.678712,-63.492765
-212.498616,-64.800582
-217.318331,-66.109094
-222.137854,-67.418313
-226.957182,-68.728249
-231.776314,-70.038910
-236.595244,-71.350307
-241.413972,-72.662450
-246.232494,-73.975350
-251.050797,-75.289050
-255.868858,-76.603639
-260.687058,-77.917720
-265.509626,-79.215565
-270.351139,-80.439568
-275.229736,-81.505486
-280.150377,-82.358586
-285.108379,-82.959029
-290.093403,-83.263593
-295.086518,-83.243194
-300.064256,-82.862925
-304.987089,-82.037513
-309.804704,-80.732955
-314.420963,-78.840286
-318.769013,-76.386361
-322.843419,-73.501409
-326.636959,-70.255874
-330.165772,-66.722668
-333.457554,-62.967645
-336.551868,-59.048032
-339.487563,-55.007637
-342.295804,-50.877802
-345.011116,-46.686521
-347.678098,-42.464254
-350.345502,-38.242124
-353.030366,-34.031021
-355.733144,-29.831398
-358.451753,-25.641999
-361.183816,-21.461366
-363.927043,-17.288052
-366.679139,-13.120581
-369.437819,-8.957474
-372.200789,-4.797231
-374.966476,-0.638791
-377.734688,3.517990
-380.505736,7.672882
-383.279795,11.825764
-386.057099,15.976480
-388.837872,20.124879
-391.622253,24.270858
-394.409983,28.414579
-397.200502,32.556423
-399.993275,36.696748
-402.787756,40.835920
-405.583401,44.974306
-408.379670,49.112272
-411.176018,53.250183
-413.971904,57.388407
-416.766785,61.527311
-419.560117,65.667259
-422.351357,69.808618
-425.139962,73.951752
-427.925385,78.097025
-430.707083,82.244799
-433.484507,86.395436
