# x_m,y_m
8.087897,4.509615
11.393759,0.761030
14.685998,-2.999526
17.966556,-6.770277
21.237511,-10.549361
24.501332,-14.334609
27.760477,-18.123884
31.016103,-21.916184
34.268695,-25.711086
37.518648,-29.508249
40.766358,-33.307330
44.012221,-37.107988
47.256641,-40.909879
50.500045,-44.712638
53.742836,-48.515918
56.985204,-52.319559
60.227219,-56.123501
63.468923,-59.927708
66.710319,-63.732178
69.951401,-67.536915
73.192163,-71.341924
76.432602,-75.147209
79.672712,-78.952775
82.912487,-82.758624
86.151923,-86.564763
89.391014,-90.371196
92.629755,-94.177926
95.868141,-97.984958
99.106167,-101.792296
102.343827,-105.599945
105.581118,-109.407909
108.818032,-113.216193
112.054565,-117.024800
115.290713,-120.833735
118.526469,-124.643002
121.761830,-128.452605
124.996796,-132.262545
128.231366,-136.072819
131.465541,-139.883429
134.699322,-143.694374
137.932709,-147.505653
141.165702,-151.317266
144.398301,-155.129212
147.630507,-158.941493
150.862321,-162.754106
154.093742,-166.567051
157.324771,-170.380329
160.555409,-174.193939
163.785655,-178.007880
167.015510,-181.822152
170.244974,-185.636755
173.474049,-189.451689
176.702733,-193.266952
179.931028,-197.082545
183.158934,-200.898467
186.386450,-204.714719
189.613579,-208.531298
192.840319,-212.348206
196.066671,-216.165442
199.292636,-219.983005
202.518214,-223.800895
205.743405,-227.619111
208.968210,-231.437654
212.192629,-235.256523
215.416662,-239.075718
218.640310,-242.895238
221.863573,-246.715082
225.086452,-250.535251
228.308946,-254.355745
231.531056,-258.176562
234.752783,-261.997702
237.974126,-265.819165
241.195087,-269.640951
244.415666,-273.463060
247.635862,-277.285490
250.855677,-281.108242
254.075110,-284.931315
257.294162,-288.754709
260.512833,-292.578423
263.731124,-296.402457
266.949036,-300.226812
270.166567,-304.051485
273.383720,-307.876478
276.600493,-311.701789
279.816888,-315.527419
283.032904,-319.353366
286.248543,-323.179631
289.463805,-327.006213
292.678689,-330.833112
295.893196,-334.660328
299.107327,-338.487860
302.321082,-342.315707
305.534462,-346.143870
308.747466,-349.972348
311.960095,-353.801140
315.172349,-357.630247
318.384229,-361.459668
321.595735,-365.289402
324.806868,-369.119450
328.017627,-372.949811
331.228014,-376.780484
334.438028,-380.611469
337.647669,-384.442766
340.856940,-388.274374
344.065838,-392.106293
347.274366,-395.938523
350.482523,-399.771064
353.690312,-403.603912
356.897773,-407.437034
360.104968,-411.270380
363.311958,-415.103897
366.518807,-418.937532
369.725577,-422.771233
372.932330,-426.604948
376.139130,-430.438625
379.346038,-434.272210
382.553024,-438.105730
385.759025,-441.940073
388.959112,-445.779350
392.143003,-449.632041
395.300283,-453.506560
398.425282,-457.407188
401.514700,-461.336071
404.564573,-465.295726
407.570243,-469.289032
410.526828,-473.318804
413.428525,-477.388262
416.268093,-481.501298
419.037937,-485.661590
421.730278,-489.872434
424.337116,-494.136722
426.850224,-498.456891
429.261142,-502.834887
431.561183,-507.272113
433.741461,-511.769372
435.793101,-516.326732
437.707717,-520.943309
439.476782,-525.617576
441.091457,-530.347380
442.542396,-535.129919
443.818917,-539.961898
444.910053,-544.839071
445.805646,-549.755885
446.496311,-554.705629
446.976302,-559.680221
447.243296,-564.670770
447.294491,-569.668185
447.126755,-574.663037
446.737012,-579.645475
446.124076,-584.605395
445.288396,-589.532679
444.230808,-594.417129
442.952660,-599.248537
441.452784,-604.015768
439.725517,-608.705362
437.766560,-613.302951
435.572651,-617.793133
433.141671,-622.159469
430.472787,-626.384536
427.566352,-630.449791
424.423554,-634.335142
421.046533,-638.018650
417.440041,-641.477748
413.615083,-644.693586
409.583760,-647.646517
405.357353,-650.312641
400.948801,-652.665149
396.374075,-654.675056
391.652934,-656.310943
386.810719,-657.542998
381.880997,-658.357550
376.899919,-658.750710
371.903464,-658.720290
366.927815,-658.263978
362.010157,-657.380574
357.186768,-656.079033
352.484850,-654.389803
347.923791,-652.348520
343.523101,-649.980994
339.295223,-647.316608
335.244415,-644.389688
331.370076,-641.232997
327.668118,-637.875481
324.132254,-634.343461
320.753870,-630.660559
317.522092,-626.848073
314.424467,-622.925734
311.446605,-618.911781
308.573978,-614.821875
305.792738,-610.669244
303.088404,-606.466057
300.450583,-602.220768
297.871202,-597.939712
295.342225,-593.628684
292.855430,-589.293182
290.402441,-584.938459
287.974760,-580.569576
285.563718,-576.191499
283.160365,-571.809195
280.755570,-567.427679
278.340180,-563.052005
275.905043,-558.687297
273.441035,-554.338838
270.939093,-550.012100
268.390227,-545.712837
265.785654,-541.447159
263.116517,-537.221609
260.373475,-533.043594
257.547739,-528.921089
254.631554,-524.862127
251.617691,-520.875175
248.499420,-516.969379
245.270569,-513.154506
241.925663,-509.441055
238.460042,-505.840116
234.869346,-502.363837
231.148941,-499.026750
227.294536,-495.845315
223.303463,-492.837183
219.174779,-490.021173
214.910608,-487.414741
210.517431,-485.032342
206.003863,-482.887433
201.381314,-480.990309
196.666125,-479.336745
191.877766,-477.905632
187.035028,-476.669425
182.153314,-475.597356
177.244341,-474.657300
172.317355,-473.816353
167.379575,-473.041025
162.436928,-472.297597
157.494610,-471.552190
152.558101,-470.769323
147.634167,-469.911417
142.731179,-468.940652
137.860475,-467.819579
133.036748,-466.511981
128.276898,-464.988411
123.601395,-463.223620
119.036918,-461.189524
114.617226,-458.858325
110.381856,-456.208602
106.367232,-453.235777
102.594916,-449.959587
99.072581,-446.414883
95.800953,-442.637252
92.776708,-438.658538
89.993600,-434.507396
87.443446,-430.209277
85.112414,-425.788414
82.976734,-421.269840
81.007656,-416.676244
79.175560,-412.026294
77.448946,-407.336197
75.800556,-402.617852
74.212529,-397.878551
72.669830,-393.124259
71.157315,-388.360363
69.658113,-383.592392
68.149336,-378.827482
66.604500,-374.074152
64.997581,-369.341495
63.302939,-364.639588
61.495406,-359.979973
59.550459,-355.376081
57.444444,-350.843609
55.154849,-346.401148
52.661960,-342.069857
49.952772,-337.870729
47.023522,-333.821961
43.877568,-329.939110
40.520887,-326.236930
36.958970,-322.731805
33.196191,-319.443238
29.237802,-316.392824
25.093557,-313.600514
20.781939,-311.074389
16.325939,-308.812318
11.747189,-306.810670
7.066023,-305.062549
2.303234,-303.549753
-2.522468,-302.249771
-7.395930,-301.140926
-12.304768,-300.200455
-17.239126,-299.404773
-22.191196,-298.727543
-27.154689,-298.139323
-32.124782,-297.610022
-37.097883,-297.109355
-42.070857,-296.607320
-47.040785,-296.076219
-52.004509,-295.490344
-56.957794,-294.824245
-61.895731,-294.052771
-66.811116,-293.146161
-71.690474,-292.064900
-76.518762,-290.777183
-81.285384,-289.275571
-85.978186,-287.557082
-90.579654,-285.607969
-95.067987,-283.410472
-99.419584,-280.953342
-103.617266,-278.241863
-107.648894,-275.289053
-111.501427,-272.106020
-115.160785,-268.702683
-118.612664,-265.089083
-121.842405,-261.275659
-124.834952,-257.273425
-127.574912,-253.094231
-130.046411,-248.750932
-132.233085,-244.257533
-134.118117,-239.629532
-135.684041,-234.884123
-136.913433,-230.040690
-137.797515,-225.122737
-138.352067,-220.156771
-138.598989,-215.165661
-138.557849,-210.168328
-138.247819,-205.180276
-137.693279,-200.213432
-136.925566,-195.274993
-135.976462,-190.368106
-134.876669,-185.492716
-133.655930,-180.646150
-132.340283,-175.824416
-130.952038,-171.023007
-129.512956,-166.236554
-128.044642,-161.458963
-126.568051,-156.683903
-125.103161,-151.905245
-123.669684,-147.117094
-122.287612,-142.313905
-120.976931,-137.490845
-119.761385,-132.643008
-118.670312,-127.765694
-117.734606,-122.856258
-116.986219,-117.914871
-116.455471,-112.945482
-116.165884,-107.956352
-116.138160,-102.959081
-116.392828,-97.968296
-116.948436,-93.002037
-117.821048,-88.081656
-119.016260,-83.229534
-120.517266,-78.463013
-122.302335,-73.795353
-124.351372,-69.237344
-126.645261,-64.797449
-129.165753,-60.482106
-131.896023,-56.296285
-134.822173,-52.244917
-137.933075,-48.333568
-141.218208,-44.567330
-144.667477,-40.950811
-148.270403,-37.487300
-152.014307,-34.176618
-155.885661,-31.015893
-159.872191,-28.001663
-163.962451,-25.129742
-168.146546,-22.396327
-172.417398,-19.800467
-176.769265,-17.342836
-181.196633,-15.023977
-185.694117,-12.844183
-190.255773,-10.802109
-194.875153,-8.894161
-199.545790,-7.115299
-204.261415,-5.459348
-209.017417,-3.923166
-213.811210,-2.509365
-218.640627,-1.222553
-223.503260,-0.067605
-228.396306,0.950770
-233.315980,1.831563
-238.257886,2.577730
-243.217827,3.192810
-248.191942,3.680254
-253.176668,4.043612
-258.168725,4.286409
-263.165107,4.412144
-268.163060,4.424307
-273.160072,4.326354
-278.153803,4.120653
-283.141968,3.807874
-288.122291,3.388339
-293.092510,2.862453
-298.050370,2.230582
-302.993625,1.493103
-307.920028,0.650360
-312.827327,-0.297258
-317.713280,-1.349477
-322.575317,-2.507168
-327.410439,-3.772497
-332.215517,-5.147641
-336.986918,-6.635301
-341.721365,-8.236687
-346.418149,-9.945601
-351.078133,-11.752398
-355.702669,-13.648047
-360.293347,-15.624223
-364.849883,-17.677873
-369.369179,-19.812304
-373.847448,-22.031544
-378.280680,-24.339415
-382.664742,-26.739364
-386.996082,-29.233185
-391.271551,-31.821611
-395.487793,-34.505430
-399.641193,-37.285500
-403.728535,-40.161805
-407.747433,-43.132995
-411.695729,-46.197373
-415.571705,-49.352742
-419.375789,-52.594442
-423.109836,-55.916588
-426.776164,-59.313335
-430.377366,-62.779065
-433.916282,-66.308385
-437.395977,-69.896117
-440.819722,-73.537290
-444.190971,-77.227127
-447.513349,-80.961038
-450.790630,-84.734599
-454.026725,-88.543546
-457.225663,-92.383755
-460.391589,-96.251229
-463.528713,-100.142105
-466.640955,-104.052917
-469.731939,-107.980560
-472.805310,-111.922003
-475.864756,-115.874268
-478.913988,-119.834421
-481.956739,-123.799559
-484.996748,-127.766800
-488.037760,-131.733273
-491.083516,-135.696105
-494.137744,-139.652411
-497.204155,-143.599281
-500.286819,-147.533465
-503.392798,-151.449252
-506.536473,-155.334796
-509.737634,-159.173061
-513.014257,-162.947181
-516.374232,-166.647381
-519.818621,-170.269108
-523.349464,-173.806548
-526.970078,-177.252008
-530.683553,-180.597148
-534.492289,-183.833026
-538.397770,-186.951198
-542.405171,-189.937339
-546.524393,-192.767981
-550.765803,-195.410698
-555.146593,-197.812596
-559.667669,-199.943350
-564.293836,-201.835315
-568.996402,-203.525931
-573.759879,-205.037578
-578.571392,-206.389247
-583.421987,-207.594529
-588.304584,-208.663408
-593.213105,-209.606212
-598.142726,-210.431712
-603.089542,-211.145376
-608.050058,-211.754713
-613.020194,-212.280808
-617.995584,-212.756126
-622.973175,-213.208006
-627.951839,-213.647949
-632.931048,-214.081642
-637.910344,-214.514210
-642.889306,-214.950744
-647.867654,-215.392830
-652.847186,-215.817843
-657.832800,-216.166915
-662.826158,-216.387133
-667.823993,-216.436879
-672.819006,-216.267952
-677.797159,-215.825918
-682.734854,-215.057039
-687.598250,-213.910578
-692.341447,-212.337444
-696.897653,-210.286393
-701.176784,-207.709155
-705.078924,-204.596768
-708.549084,-201.010193
-711.612799,-197.064204
-714.287588,-192.844018
-716.610786,-188.420115
-718.623894,-183.844483
-720.367902,-179.158993
-721.877312,-174.393090
-723.184115,-169.569452
-724.341949,-164.708236
-725.431743,-159.830562
-726.504878,-154.949056
-727.572693,-150.066395
-728.635793,-145.182705
-729.694073,-140.297967
-730.747624,-135.412208
-731.796712,-130.525487
-732.841601,-125.637865
-733.882552,-120.749404
-734.919832,-115.860162
-735.953703,-110.970199
-736.984430,-106.079571
-738.012279,-101.188338
-739.037512,-96.296556
-740.060396,-91.404282
-741.081195,-86.511572
-742.100174,-81.618483
-743.117597,-76.725071
-744.133730,-71.831390
-745.148838,-66.937497
-746.163186,-62.043446
-747.177039,-57.149292
-748.190662,-52.255091
-749.204320,-47.360897
-750.218279,-42.466765
-751.232803,-37.572751
-752.248158,-32.678909
-753.264609,-27.785294
-754.282421,-22.891962
-755.301858,-17.998969
-756.323187,-13.106370
-757.346671,-8.214221
-758.372576,-3.322580
-759.401163,1.568498
-760.432328,6.459033
-761.463192,11.349608
-762.483916,16.242251
-763.479990,21.139979
-764.440646,26.044867
-765.359127,30.957872
-766.228884,35.879726
-767.042344,40.811189
-767.791226,45.752860
-768.467183,50.705015
-769.061803,55.667578
-769.566614,60.640055
-769.973111,65.621508
-770.272759,70.610498
-770.457069,75.605003
-770.517481,80.602503
-770.443727,85.599820
-770.222934,90.592760
-769.841936,95.576113
-769.287213,100.543011
-768.545762,105.485205
-767.606441,110.393735
-766.466711,115.259832
-765.143826,120.079350
-763.661538,124.852258
-762.040856,129.580001
-760.298997,134.264551
-758.452658,138.908961
-756.518139,143.517393
-754.511764,148.095042
-752.451245,152.648573
-750.355343,157.185923
-748.242494,161.715364
-746.131061,166.245416
-744.036508,170.783411
-741.970111,175.333954
-739.947235,179.903603
-738.005997,184.508966
-736.219981,189.176808
-734.687927,193.933524
-733.521176,198.792395
-732.835146,203.741363
-732.748623,208.736676
-733.379538,213.692720
-734.840797,218.469025
-737.218506,222.863689
-740.515679,226.604495
-744.615855,229.390845
-749.292774,231.072347
-754.256308,231.657856
-759.237065,231.229292
-764.058688,229.921839
-768.615373,227.871530
-772.843979,225.210406
-776.716698,222.053596
-780.231606,218.502498
-783.407957,214.645165
-786.281818,210.557077
-788.902258,206.301817
-791.326808,201.931823
-793.614240,197.488300
-795.822803,193.005179
-798.010777,188.512241
-800.218441,184.028627
-802.455062,179.558951
-804.722157,175.104574
-807.020145,170.666105
-809.349546,166.244050
-811.710911,161.838990
-814.105273,157.451788
-816.534231,153.083641
-818.999436,148.735854
-821.502503,144.409763
-824.045045,140.106773
-826.628644,135.828315
-829.254904,131.575923
-831.925214,127.351187
-834.641504,123.155887
-837.408617,118.993762
-840.233383,114.870508
-843.122513,110.792064
-846.082674,106.764817
-849.119014,102.794772
-852.232009,98.884605
-855.419865,95.035262
-858.680805,91.247710
-862.013371,87.523041
-865.418183,83.864267
-868.897874,80.276607
-872.455060,76.765742
-876.092045,73.337611
-879.810736,69.998313
-883.612085,66.753431
-887.496326,63.608246
-891.463322,60.568126
-895.512250,57.638051
-899.641100,54.821690
-903.846918,52.121645
-908.126670,49.540572
-912.477284,47.080925
-916.895841,44.745390
-921.379868,42.538165
-925.927071,40.464249
-930.533676,38.525513
-935.193968,36.719481
-939.903723,35.046914
-944.660563,33.513335
-949.459635,32.116262
-954.291001,30.836927
-959.147358,29.657994
-964.026883,28.576989
-968.927802,27.596911
-973.848228,26.720025
-978.786333,25.948378
-983.739725,25.282267
-988.706018,24.720441
-993.682919,24.261670
-998.668159,23.904728
-1003.659591,23.648386
-1008.655148,23.491520
-1013.652830,23.433117
-1018.650701,23.472211
-1023.646888,23.607838
-1028.639573,23.838854
-1033.627013,24.163865
-1038.607544,24.581379
-1043.579662,25.089392
-1048.542035,25.685238
-1053.493457,26.366133
-1058.432864,27.129353
-1063.359317,27.972188
-1068.271983,28.891969
-1073.170080,29.886423
-1078.052824,30.953727
-1082.919478,32.092101
-1087.769392,33.299794
-1092.602003,34.574987
-1097.416939,35.915389
-1102.213949,37.318582
-1106.992445,38.783535
-1111.751317,40.311059
-1116.489415,41.901811
-1121.206222,43.554611
-1125.901774,45.267057
-1130.576217,47.036253
-1135.229543,48.860170
-1139.860452,50.740412
-1144.466461,52.680810
-1149.044960,54.685169
-1153.593253,56.757142
-1158.109132,58.898821
-1162.591435,61.109958
-1167.039209,63.389796
-1171.451435,65.737686
-1175.827149,68.152936
-1180.165389,70.634868
-1184.465198,73.182792
-1188.725625,75.796029
-1192.945740,78.473884
-1197.124488,81.215835
-1201.260527,84.021779
-1205.352399,86.891747
-1209.398619,89.825726
-1213.397665,92.823684
-1217.347980,95.885565
-1221.247974,99.011286
-1225.096026,102.200737
-1228.890467,105.453779
-1232.629650,108.770186
-1236.312074,112.149500
-1239.936213,115.591242
-1243.500353,119.095080
-1247.002660,122.660722
-1250.441254,126.287841
-1253.814214,129.976072
-1257.119575,133.725000
-1260.355330,137.534167
-1263.519413,141.403068
-1266.609674,145.331187
-1269.623873,149.317951
-1272.559593,153.362800
-1275.413833,157.465545
-1278.184380,161.625320
-1280.872133,165.839096
-1283.479867,170.102875
-1286.010821,174.412679
-1288.468785,178.764530
-1290.858477,183.154247
-1293.184948,187.577791
-1295.453372,192.031384
-1297.669041,196.511461
-1299.837344,201.014656
-1301.963761,205.537785
-1304.053833,210.077818
-1306.113200,214.631848
-1308.147276,219.197237
-1310.160801,223.771748
-1312.158266,228.353305
-1314.144208,232.939874
-1316.123170,237.529465
-1318.099700,242.120108
-1320.078347,246.709844
-1322.063650,251.296708
-1324.060145,255.878711
-1326.072326,260.453852
-1328.104578,265.020114
-1330.161585,269.575276
-1332.250547,274.115801
-1334.384082,278.635499
-1336.576088,283.127271
-1338.835452,287.585657
-1341.168995,292.005649
-1343.584382,296.381387
-1346.089717,300.706159
-1348.693930,304.972052
-1351.406397,309.169922
-1354.235763,313.289660
-1357.189812,317.320745
-1360.279739,321.249199
-1363.524803,325.050395
-1366.941909,328.697286
-1370.530136,332.176456
-1374.278101,335.482363
-1378.179754,338.604339
-1382.231381,341.528502
-1386.426445,344.243458
-1390.754257,346.742125
-1395.203133,349.018527
-1399.761539,351.067131
-1404.417841,352.882469
-1409.160291,354.459104
-1413.976509,355.793419
-1418.853317,356.885718
-1423.777749,357.737911
-1428.737568,358.351555
-1433.721021,358.728282
-1438.716778,358.868047
-1443.713490,358.768083
-1448.699392,358.424775
-1453.662165,357.834824
-1458.588703,356.994883
-1463.465229,355.901788
-1468.277927,354.554726
-1473.013070,352.955982
-1477.656666,351.108201
-1482.194439,349.014053
-1486.611667,346.676452
-1490.893148,344.098717
-1495.022980,341.284915
-1498.984950,338.239619
-1502.758490,334.963425
-1506.311975,331.449790
-1509.611449,327.696726
-1512.632717,323.716636
-1515.354955,319.527059
-1517.765112,315.150519
-1519.860979,310.614902
-1521.627062,305.940610
-1523.041250,301.147729
-1524.091858,296.262230
-1524.771908,291.311820
-1525.079593,286.324741
-1525.031582,281.328394
-1524.651712,276.345885
-1523.958488,271.396884
-1522.969488,266.498273
-1521.701792,261.664225
-1520.172522,256.906402
-1518.399062,252.233975
-1516.398524,247.654142
