# x_m,y_m
1.178211,-0.681734
6.157809,-0.270898
11.137446,0.139477
16.117100,0.549634
21.096752,0.959813
26.076383,1.370258
31.055972,1.781210
36.035499,2.192911
41.014943,2.605603
45.994286,3.019527
50.973506,3.434926
55.952582,3.852041
60.931494,4.271115
65.910220,4.692388
70.888739,5.116103
75.867029,5.542501
80.845067,5.971824
85.822831,6.404314
90.800298,6.840213
95.777444,7.279762
100.754245,7.723202
105.730675,8.170775
110.706711,8.622724
115.682324,9.079288
120.657490,9.540710
125.632180,10.007231
130.606367,10.479092
135.580020,10.956534
140.553112,11.439799
145.525610,11.929128
150.497484,12.424761
155.468701,12.926941
160.439228,13.435906
165.409030,13.951900
170.378072,14.475161
175.346317,15.005931
180.313728,15.544454
185.280265,16.090982
190.245885,16.645774
195.210547,17.209084
200.174205,17.781168
205.136813,18.362283
210.098266,18.953184
215.057935,19.558843
220.013943,20.193768
224.963950,20.873768
229.905491,21.612492
234.832514,22.442180
239.735391,23.403873
244.601595,24.536140
249.415095,25.874385
254.155556,27.451502
258.797607,29.297851
263.309779,31.441721
267.658491,33.900061
271.808647,36.680230
275.719483,39.787755
279.349485,43.218618
282.641207,46.974803
285.523470,51.053470
287.992760,55.395196
290.073586,59.936231
291.791649,64.626745
293.168430,69.428750
294.224442,74.311506
294.980282,79.249788
295.456713,84.222931
295.674643,89.214191
295.654819,94.210259
295.417682,99.200806
294.985144,104.178297
294.382650,109.138162
293.637099,114.078601
292.774923,119.000079
291.823089,123.905049
290.808744,128.797492
289.754924,133.681600
288.678637,138.560821
287.596347,143.438717
286.515262,148.316877
285.436007,153.195441
284.358109,158.074306
283.281095,162.953366
282.204494,167.832517
281.127832,172.711655
280.050637,177.590675
278.972438,182.469473
277.892760,187.347944
276.811126,192.225983
275.726392,197.103331
274.632795,201.978698
273.515419,206.848664
272.357839,211.709228
271.148650,216.557220
269.881701,221.390427
268.554367,226.207339
267.155939,231.004073
265.664632,235.772729
264.058154,240.503787
262.315664,245.186412
260.417443,249.808028
258.347866,254.355442
256.096522,258.815629
253.653914,263.173920
251.010484,267.413365
248.157327,271.514500
245.088055,275.456371
241.802332,279.219881
238.313577,282.795527
234.641054,286.182146
230.790658,289.365714
226.772824,292.335020
222.606030,295.091573
218.310003,297.642095
213.906665,300.002734
209.416550,302.194103
204.857395,304.238005
200.244443,306.157549
195.591077,307.977057
190.909146,309.721825
186.209388,311.418029
181.501831,313.092527
176.795765,314.771195
172.099779,316.477802
167.422591,318.235305
162.773829,320.066600
158.163081,321.991487
153.596800,324.019518
149.079220,326.153814
144.613687,328.394865
140.203091,330.742193
135.854011,333.201766
131.576405,335.783657
127.381047,338.497093
123.279644,341.350295
119.278925,344.343006
115.377922,347.464795
111.572383,350.702332
107.857328,354.043309
104.234814,357.484385
100.716522,361.031915
97.316892,364.693326
94.051152,368.474446
90.931064,372.376560
87.959976,376.393465
85.137598,380.516272
82.462916,384.736408
79.935599,389.046340
77.561206,393.442314
75.350087,397.922620
73.313794,402.484984
71.463861,407.126072
69.808309,411.839986
68.351670,416.619123
67.094463,421.454535
66.029776,426.335867
65.153156,431.254532
64.465004,436.203171
63.965671,441.174333
63.654278,446.160960
63.519199,451.155569
63.537499,456.151986
63.684162,461.146325
63.930037,466.136265
64.260484,471.121356
64.680042,476.100172
65.195221,481.070051
65.810784,486.028539
66.527950,490.973358
67.337962,495.903739
68.227333,500.820425
69.182272,505.724796
70.190298,510.618529
71.243186,515.502840
72.335055,520.378597
73.460063,525.246825
74.612585,530.108615
75.785404,534.965542
76.969671,539.819690
78.156252,544.673268
79.336318,549.528433
80.501424,554.387211
81.643289,559.251501
82.753628,564.123077
83.824117,569.003563
84.846603,573.894325
85.814690,578.796128
86.726610,583.708694
87.583053,588.631241
88.385125,593.562938
89.134093,598.502978
89.831373,603.450580
90.478413,608.405003
91.076664,613.365555
91.627581,618.331586
92.132629,623.302492
92.593275,628.277711
93.010985,633.256717
93.387198,638.239029
93.722805,643.224244
94.018370,648.211995
94.274435,653.201931
94.491550,658.193715
94.670265,663.187023
94.811131,668.181542
94.914702,673.176975
94.981529,678.173036
95.012228,683.169449
95.007505,688.165955
94.968086,693.162309
94.894690,698.158279
94.788037,703.153651
94.648842,708.148222
94.477816,713.141805
94.275677,718.134226
94.043116,723.125322
93.781122,728.114960
93.490950,733.103039
93.173900,738.089482
92.831266,743.074233
92.464341,748.057255
92.074422,753.038531
91.662810,758.018061
91.230844,762.995868
90.779883,767.971990
90.311315,772.946485
89.826304,777.919403
89.325778,782.890785
88.810612,787.860672
88.281676,792.829110
87.739856,797.796166
87.184527,802.761713
86.600585,807.724002
85.940554,812.676764
85.168659,817.613151
84.227882,822.519736
83.037648,827.372194
81.522085,832.131383
79.631416,836.756856
77.313887,841.177106
74.581363,845.361568
71.267753,849.089762
67.622241,852.507290
63.536347,855.373647
59.205663,857.869045
54.763483,860.155344
50.290097,862.381323
45.864418,864.699245
41.577314,867.261708
37.550781,870.214153
33.976275,873.698763
31.120830,877.790469
29.159172,882.376293
28.038227,887.238554
27.654775,892.215256
27.920158,897.201177
28.763206,902.124074
30.120899,906.931054
31.922926,911.590116
34.093245,916.089895
36.557238,920.435902
39.241448,924.649695
42.073457,928.765779
44.981778,932.828385
47.894952,936.887564
50.740034,940.994632
53.442965,945.196370
55.929187,949.529710
58.120744,954.018999
59.936592,958.673027
61.303526,963.477885
62.154234,968.399783
62.410778,973.386761
61.982632,978.359720
60.778705,983.200449
58.711133,987.739255
55.688484,991.699782
51.744560,994.736776
47.071382,996.460652
42.101719,996.840550
37.173559,996.074634
32.492419,994.348188
28.155673,991.875729
24.172249,988.864203
20.541000,985.435478
17.283746,981.649355
14.402243,977.569469
11.867210,973.265150
9.626723,968.799942
7.622585,964.223432
5.792296,959.574422
4.071922,954.883482
2.401451,950.174494
0.740122,945.462263
-0.920447,940.749755
-2.579382,936.036674
-4.236611,931.322995
-5.892309,926.608777
-7.546647,921.894081
-9.199796,917.178969
-10.851924,912.463499
-12.503159,907.747716
-14.153555,903.031640
-15.803103,898.315266
-17.451778,893.598588
-19.099557,888.881596
-20.746423,884.164286
-22.392364,879.446652
-24.037383,874.728698
-25.681497,870.010427
-27.324718,865.291846
-28.967062,860.572959
-30.608543,855.853772
-32.249176,851.134290
-33.888974,846.414519
-35.527954,841.694462
-37.166128,836.974126
-38.803513,832.253516
-40.440121,827.532638
-42.075968,822.811495
-43.711069,818.090093
-45.345438,813.368438
-46.979089,808.646535
-48.612037,803.924389
-50.244296,799.202005
-51.875882,794.479387
-53.506808,789.756542
-55.137090,785.033475
-56.766741,780.310190
-58.395777,775.586692
-60.024211,770.862987
-61.652059,766.139081
-63.279336,761.414977
-64.906054,756.690681
-66.532230,751.966198
-68.157878,747.241533
-69.783012,742.516692
-71.407647,737.791679
-73.031798,733.066500
-74.655478,728.341159
-76.278703,723.615662
-77.901488,718.890013
-79.523846,714.164218
-81.145793,709.438282
-82.767343,704.712209
-84.388510,699.986005
-86.009310,695.259675
-87.629757,690.533224
-89.249864,685.806657
-90.869648,681.079979
-92.489123,676.353195
-94.108302,671.626310
-95.727202,666.899329
-97.345835,662.172257
-98.964218,657.445099
-100.582364,652.717860
-102.200289,647.990545
-103.818006,643.263159
-105.435530,638.535707
-107.052877,633.808195
-108.670060,629.080626
-110.287094,624.353007
-111.903995,619.625341
-113.520775,614.897635
-115.137450,610.169893
-116.754036,605.442120
-118.370545,600.714321
-119.986993,595.986501
-121.603394,591.258665
-123.219764,586.530818
-124.836116,581.802966
