# x_m,y_m
-3.408992,2.227987
-1.601288,6.889493
0.206423,11.550997
2.014142,16.212497
3.821868,20.873995
5.629601,25.535490
7.437341,30.196982
9.245087,34.858472
11.052841,39.519959
12.860600,44.181444
14.668366,48.842926
16.476138,53.504406
18.283917,58.165883
20.091701,62.827358
21.899491,67.488831
23.707286,72.150302
25.515088,76.811770
27.322894,81.473237
29.130706,86.134701
30.938523,90.796164
32.746345,95.457624
34.554172,100.119083
36.362003,104.780539
38.169840,109.441994
39.977688,114.103444
41.785554,118.764888
43.593445,123.426322
45.401373,128.087741
47.209349,132.749142
49.017380,137.410521
50.825454,142.071884
52.633554,146.733236
54.441662,151.394586
56.249763,156.055938
58.057852,160.717295
59.865930,165.378656
61.674001,170.040020
63.482069,174.701385
65.290138,179.362750
67.098213,184.024112
68.906298,188.685471
70.714396,193.346824
72.522512,198.008170
74.330650,202.669508
76.138815,207.330836
77.947010,211.992152
79.755239,216.653454
81.563506,221.314742
83.371817,225.976013
85.180174,230.637266
86.988582,235.298499
88.797045,239.959710
90.605568,244.620899
92.414154,249.282063
94.222807,253.943201
96.031532,258.604311
97.840333,263.265392
99.649214,267.926441
101.458179,272.587458
103.267232,277.248441
105.076378,281.909388
106.885620,286.570298
108.694962,291.231168
110.504410,295.891998
112.313966,300.552786
114.123635,305.213529
115.933421,309.874227
117.743469,314.534821
119.557181,319.193899
121.394936,323.843378
123.299480,328.466019
125.303158,333.046729
127.432404,337.570360
129.713830,342.019056
132.173436,346.371615
134.835785,350.603013
137.723036,354.683978
140.856827,358.578518
144.265500,362.234669
147.970536,365.589672
151.982515,368.570174
156.289347,371.105858
160.852756,373.141635
165.622204,374.630300
170.532925,375.553665
175.515495,375.923339
180.507944,375.747643
185.451215,375.016859
190.271217,373.696779
194.874452,371.755190
199.163501,369.192114
203.058097,366.061651
206.506258,362.446123
209.466524,358.422076
211.903446,354.064308
213.813177,349.448865
215.213639,344.650172
216.128671,339.735205
216.586208,334.757293
216.623623,329.758523
216.290016,324.770343
215.639028,319.813502
214.719348,314.899516
213.568206,310.034095
212.217157,305.220051
210.696609,300.456961
209.035425,295.741503
207.267524,291.065192
205.434576,286.413734
203.565216,281.776619
201.670266,277.149886
199.756218,272.531025
197.829404,267.917472
195.896147,263.306621
193.962753,258.695846
192.035522,254.082496
190.121326,249.463723
188.227713,244.836477
186.362391,240.197752
184.533099,235.544706
182.747656,230.874665
181.013961,226.185174
179.340011,221.474032
177.733908,216.739339
176.203868,211.979525
174.758225,207.193417
173.405439,202.380241
172.154067,197.539707
171.012840,192.672054
169.990071,187.778134
169.093398,182.859617
168.328647,177.918989
167.695631,172.959706
167.185065,167.986226
166.782086,163.002835
166.470428,158.013036
166.230675,153.019405
166.037891,148.023506
165.865266,143.026620
165.685926,138.029923
165.472437,133.034551
165.197417,128.042269
164.832258,123.055875
164.344862,118.079990
163.701623,113.121908
162.869560,108.192112
161.816222,103.304884
160.510357,98.479038
158.921719,93.738934
157.025277,89.113535
154.804272,84.635098
152.247571,80.340615
149.351119,76.268725
146.120644,72.455637
142.572665,68.935036
138.742545,65.722951
134.679177,62.811317
130.429751,60.178484
126.034287,57.797114
