# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.248322,2.429312,8.697,8.611
2.726617,-0.606190,8.716,8.632
6.701551,-3.641695,8.735,8.652
10.676482,-6.677204,8.754,8.673
14.651410,-9.712714,8.773,8.694
18.626336,-12.748224,8.792,8.715
22.601262,-15.783733,8.811,8.736
26.576187,-18.819240,8.829,8.757
30.551112,-21.854743,8.848,8.777
34.526040,-24.890241,8.867,8.798
38.500970,-27.925732,8.886,8.819
42.475904,-30.961216,8.905,8.840
46.450842,-33.996691,8.924,8.861
50.425785,-37.032156,8.943,8.882
54.400735,-40.067609,8.962,8.902
58.375692,-43.103048,8.980,8.923
62.350656,-46.138474,8.999,8.944
66.325630,-49.173884,9.018,8.965
70.300613,-52.209278,9.037,8.986
74.275607,-55.244653,9.056,9.007
78.250613,-58.280008,9.075,9.027
82.225631,-61.315343,9.094,9.048
86.200662,-64.350655,9.112,9.069
90.175708,-67.385944,9.131,9.090
94.150769,-70.421209,9.150,9.111
98.125846,-73.456447,9.169,9.132
102.100940,-76.491658,9.188,9.152
106.076051,-79.526840,9.207,9.173
110.051182,-82.561992,9.226,9.194
114.026332,-85.597113,9.245,9.215
118.001503,-88.632201,9.263,9.236
121.976695,-91.667255,9.282,9.257
125.951910,-94.702274,9.301,9.277
129.927148,-97.737257,9.320,9.298
133.902410,-100.772201,9.339,9.319
137.877697,-103.807106,9.358,9.340
141.853010,-106.841971,9.377,9.361
145.828350,-109.876794,9.396,9.382
149.803718,-112.911574,9.414,9.402
153.779114,-115.946309,9.433,9.423
157.754540,-118.980998,9.452,9.444
161.729996,-122.015641,9.471,9.465
165.705484,-125.050235,9.490,9.486
169.681004,-128.084779,9.509,9.507
173.656557,-131.119272,9.528,9.527
177.632144,-134.153713,9.547,9.548
181.607766,-137.188100,9.565,9.569
185.583424,-140.222433,9.584,9.590
189.559116,-143.256712,9.603,9.611
193.534697,-146.291191,9.622,9.631
197.509791,-149.326510,9.641,9.652
201.484007,-152.363345,9.660,9.673
205.456948,-155.402374,9.679,9.694
209.428222,-158.444271,9.697,9.715
213.397435,-161.489712,9.834,9.817
217.364192,-164.539375,10.174,10.063
221.328099,-167.593935,10.514,10.308
225.291400,-170.649799,10.855,10.553
229.308836,-173.618380,11.195,10.799
233.483385,-176.332996,11.549,11.118
237.863122,-178.717547,11.930,11.577
242.343735,-180.947167,12.310,12.037
246.828288,-183.181540,12.690,12.496
251.307581,-185.426876,13.070,12.956
255.786961,-187.663935,13.354,13.207
260.271791,-189.873441,13.579,13.332
