# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.447973,0.125932,6.187,6.476
-6.304742,3.307700,6.190,6.470
-10.161890,6.488986,6.192,6.465
-14.019368,9.669851,6.195,6.460
-17.877125,12.850358,6.198,6.455
-21.735112,16.030570,6.200,6.450
-25.593279,19.210548,6.203,6.444
-29.451575,22.390356,6.206,6.439
-33.309951,25.570056,6.208,6.434
-37.168356,28.749710,6.211,6.429
-41.026742,31.929380,6.214,6.424
-44.885057,35.109130,6.216,6.419
-48.743252,38.289022,6.219,6.413
-52.601276,41.469117,6.222,6.408
-56.459081,44.649479,6.224,6.403
-60.316615,47.830170,6.227,6.398
-64.173829,51.011253,6.230,6.393
-68.030674,54.192789,6.232,6.387
-71.887098,57.374842,6.235,6.382
-75.743052,60.557474,6.238,6.377
-79.598514,63.740712,6.240,6.372
-83.453522,66.924512,6.243,6.367
-87.308120,70.108817,6.246,6.362
-91.162354,73.293572,6.248,6.356
-95.016269,76.478722,6.251,6.351
-98.869911,79.664212,6.254,6.346
-102.723325,82.849985,6.256,6.341
-106.576556,86.035987,6.259,6.336
-110.429650,89.222163,6.262,6.330
-114.282652,92.408456,6.264,6.325
-118.135606,95.594811,6.267,6.320
-121.988559,98.781173,6.270,6.315
-125.841556,101.967486,6.272,6.310
-129.694642,105.153696,6.275,6.305
-133.547862,108.339746,6.278,6.299
-137.401262,111.525581,6.280,6.294
-141.254887,114.711146,6.283,6.289
-145.108782,117.896385,6.286,6.284
-148.962993,121.081243,6.288,6.279
-152.817564,124.265665,6.291,6.273
-156.672542,127.449595,6.294,6.268
-160.527972,130.632977,6.296,6.263
-164.383898,133.815757,6.299,6.258
-168.240367,136.997878,6.302,6.253
-172.097422,140.179286,6.304,6.248
-175.955111,143.359924,6.307,6.242
-179.813478,146.539739,6.310,6.237
-183.672565,149.718677,6.312,6.232
-187.532370,152.896741,6.315,6.227
-191.392858,156.073974,6.318,6.222
-195.253994,159.250418,6.320,6.216
-199.115741,162.426117,6.323,6.211
-202.978064,165.601114,6.326,6.206
-206.840927,168.775452,6.328,6.201
-210.704295,171.949174,6.331,6.196
-214.568131,175.122324,6.334,6.191
-218.432401,178.294943,6.336,6.185
-222.297067,181.467076,6.339,6.180
-226.162096,184.638766,6.328,6.179
-230.027450,187.810056,6.314,6.179
-233.893094,190.980988,6.299,6.179
-237.758993,194.151607,6.285,6.179
-241.625110,197.321954,6.270,6.179
-245.491411,200.492074,6.255,6.178
