# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.473164,0.749307,5.894,5.830
-3.182628,-3.451582,5.889,5.830
-5.891900,-7.652591,5.884,5.831
-8.600990,-11.853714,5.879,5.831
-11.309913,-16.054943,5.875,5.832
-14.018680,-20.256269,5.870,5.832
-16.727305,-24.457684,5.865,5.832
-19.435800,-28.659181,5.860,5.833
-22.144179,-32.860752,5.856,5.833
-24.852453,-37.062388,5.851,5.833
-27.560636,-41.264082,5.846,5.834
-30.268741,-45.465826,5.841,5.834
-32.976779,-49.667611,5.837,5.835
-35.684765,-53.869430,5.832,5.835
-38.392710,-58.071275,5.827,5.835
-41.100628,-62.273137,5.822,5.836
-43.808531,-66.475009,5.818,5.836
-46.516433,-70.676884,5.813,5.837
-49.224345,-74.878752,5.808,5.837
-51.932280,-79.080606,5.803,5.837
-54.640252,-83.282437,5.799,5.838
-57.348273,-87.484239,5.794,5.838
-60.056356,-91.686003,5.789,5.838
-62.764514,-95.887721,5.784,5.839
-65.472759,-100.089385,5.781,5.839
-68.181104,-104.290986,5.786,5.839
-70.889562,-108.492518,5.790,5.840
-73.598145,-112.693973,5.794,5.840
-76.306852,-116.895350,5.798,5.840
-79.015676,-121.096656,5.803,5.840
-81.724605,-125.297897,5.807,5.841
-84.433631,-129.499078,5.811,5.841
-87.142744,-133.700205,5.815,5.841
-89.851936,-137.901285,5.820,5.841
-92.561196,-142.102323,5.824,5.841
-95.270515,-146.303326,5.828,5.842
-97.979884,-150.504298,5.832,5.842
-100.689293,-154.705247,5.837,5.842
-103.398733,-158.906178,5.841,5.842
-106.108195,-163.107098,5.845,5.843
-108.817669,-167.308011,5.849,5.843
-111.527146,-171.508924,5.854,5.843
-114.236616,-175.709843,5.858,5.843
-116.946071,-179.910774,5.862,5.844
-119.655499,-184.111723,5.866,5.844
-122.364894,-188.312696,5.871,5.844
-125.074244,-192.513698,5.875,5.844
-127.783540,-196.714736,5.879,5.844
-130.492773,-200.915816,5.883,5.845
-133.201934,-205.116943,5.888,5.845
-135.911013,-209.318124,5.892,5.845
-138.620002,-213.519365,5.896,5.845
-141.328889,-217.720671,5.900,5.846
-144.037667,-221.922048,5.905,5.846
-146.746325,-226.123503,5.909,5.846
-149.454855,-230.325041,5.913,5.846
-152.163246,-234.526668,5.917,5.846
-154.871490,-238.728390,5.922,5.847
-157.579577,-242.930214,5.926,5.847
-160.287497,-247.132144,5.930,5.847
-162.995242,-251.334188,5.934,5.847
-165.702802,-255.536351,5.935,5.847
-168.410167,-259.738639,5.936,5.847
-171.117329,-263.941057,5.937,5.847
-173.824277,-268.143613,5.938,5.848
-176.531002,-272.346311,5.939,5.848
-179.237495,-276.549158,5.940,5.848
-181.943747,-280.752160,5.941,5.848
-184.649748,-284.955323,5.942,5.848
-187.355489,-289.158652,5.943,5.848
-190.060960,-293.362153,5.944,5.848
-192.766152,-297.565833,5.945,5.848
-195.471055,-301.769698,5.946,5.848
-198.175661,-305.973753,5.947,5.848
-200.879959,-310.178005,5.948,5.848
-203.583941,-314.382458,5.949,5.848
-206.287596,-318.587120,5.950,5.848
-208.990917,-322.791997,5.951,5.848
-211.693892,-326.997093,5.952,5.848
-214.396513,-331.202415,5.953,5.848
-217.098771,-335.407970,5.954,5.848
-219.800655,-339.613763,5.955,5.848
-222.502157,-343.819799,5.956,5.848
-225.203267,-348.026086,5.957,5.848
-227.903977,-352.232628,5.958,5.848
-230.604275,-356.439432,5.959,5.848
-233.304163,-360.646499,5.960,5.848
-236.003658,-364.853815,5.961,5.848
-238.702783,-369.061367,5.962,5.848
-241.401559,-373.269142,5.964,5.849
-244.100007,-377.477126,5.965,5.849
-246.798150,-381.685305,5.966,5.849
-249.496008,-385.893665,5.967,5.849
-252.193603,-390.102193,5.968,5.849
-254.890956,-394.310874,5.969,5.849
-257.588090,-398.519696,5.970,5.849
-260.285025,-402.728645,5.971,5.849
-262.981783,-406.937706,5.972,5.849
-265.678385,-411.146867,5.973,5.849
-268.374854,-415.356113,5.974,5.849
-271.071210,-419.565430,5.975,5.849
-273.767475,-423.774806,5.976,5.849
-276.463670,-427.984225,5.977,5.849
-279.159818,-432.193675,5.977,5.857
-281.855939,-436.403142,5.975,5.873
-284.552055,-440.612613,5.974,5.888
-287.248188,-444.822072,5.973,5.904
-289.944358,-449.031507,5.972,5.919
-292.640589,-453.240904,5.971,5.934
-295.336900,-457.450250,5.970,5.950
-298.033314,-461.659530,5.969,5.965
-300.729852,-465.868730,5.968,5.980
-303.426535,-470.077838,5.967,5.996
-306.123385,-474.286839,5.966,6.011
-308.820425,-478.495720,5.964,6.026
