# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.029054,-0.000499,7.621,7.679
0.072105,-4.996969,7.621,7.679
0.173430,-9.993441,7.621,7.679
0.274906,-14.989914,7.621,7.679
0.376520,-19.986389,7.621,7.679
0.478258,-24.982865,7.621,7.679
0.580106,-29.979341,7.622,7.678
0.682050,-34.975818,7.622,7.678
0.784076,-39.972293,7.622,7.678
0.886171,-44.968768,7.622,7.678
0.988320,-49.965241,7.622,7.678
1.090510,-54.961712,7.622,7.678
1.192727,-59.958180,7.622,7.678
1.294957,-64.954646,7.622,7.678
1.397186,-69.951108,7.622,7.678
1.499401,-74.947566,7.622,7.678
1.601587,-79.944020,7.622,7.678
1.703730,-84.940469,7.623,7.677
1.805818,-89.936913,7.623,7.677
1.907835,-94.933350,7.623,7.677
2.009768,-99.929782,7.623,7.677
2.111603,-104.926207,7.623,7.677
2.213326,-109.922624,7.623,7.677
2.314924,-114.919034,7.623,7.677
2.416383,-119.915436,7.623,7.677
2.517688,-124.911828,7.623,7.677
2.618826,-129.908212,7.623,7.677
2.719783,-134.904586,7.624,7.676
2.820545,-139.900950,7.624,7.676
2.921099,-144.897304,7.624,7.676
3.021430,-149.893646,7.624,7.676
3.121524,-154.889977,7.624,7.676
3.221368,-159.886296,7.624,7.676
3.320948,-164.882602,7.624,7.676
3.420250,-169.878896,7.624,7.676
3.519260,-174.875176,7.624,7.676
3.617964,-179.871442,7.624,7.676
3.716349,-184.867693,7.624,7.676
3.814400,-189.863930,7.625,7.675
3.912104,-194.860152,7.625,7.675
4.009447,-199.856357,7.625,7.675
4.106414,-204.852546,7.625,7.675
4.202993,-209.848719,7.625,7.675
4.299169,-214.844874,7.637,7.663
4.394929,-219.841012,7.650,7.650
4.490257,-224.837131,7.663,7.637
4.585142,-229.833232,7.676,7.624
4.679568,-234.829313,7.689,7.611
4.773523,-239.825375,7.701,7.599
4.866991,-244.821417,7.714,7.586
4.959960,-249.817438,7.727,7.573
5.052575,-254.813432,7.740,7.560
5.147529,-259.809280,7.753,7.547
5.249539,-264.804781,7.766,7.534
5.363383,-269.799727,7.754,7.546
5.493837,-274.793913,7.740,7.560
5.645677,-279.787133,7.725,7.575
5.823679,-284.779181,7.685,7.615
6.032619,-289.769850,7.630,7.670
6.277275,-294.758934,7.627,7.673
6.562421,-299.746228,7.661,7.639
6.892835,-304.731526,7.695,7.605
7.273292,-309.714620,7.729,7.571
7.708569,-314.695306,7.763,7.537
8.203375,-319.673189,7.797,7.503
8.761892,-324.646401,7.810,7.490
9.388056,-329.612385,7.817,7.483
10.085802,-334.568577,7.825,7.475
10.859064,-339.512413,7.833,7.467
11.711775,-344.441332,7.839,7.461
12.647870,-349.352769,7.841,7.459
13.671283,-354.244163,7.844,7.456
14.785949,-359.112950,7.846,7.454
15.995801,-363.956566,7.848,7.452
17.304773,-368.772450,7.850,7.450
18.716800,-373.558037,7.843,7.457
20.235784,-378.310756,7.821,7.479
21.864230,-383.027600,7.798,7.502
23.602731,-387.704971,7.776,7.524
25.451745,-392.339228,7.810,7.490
27.411727,-396.926731,7.913,7.387
29.483133,-401.463838,8.015,7.285
31.666419,-405.946909,8.094,7.206
33.960918,-410.373229,7.951,7.349
36.361190,-414.744014,7.809,7.491
38.860522,-419.061526,7.666,7.634
41.452206,-423.328030,7.548,7.752
44.129530,-427.545786,7.611,7.689
46.885785,-431.717059,7.673,7.627
49.714457,-435.843959,7.736,7.564
52.612235,-439.926150,7.799,7.501
55.578423,-443.961295,7.838,7.462
58.612402,-447.947000,7.866,7.434
61.713552,-451.880869,7.894,7.406
64.881252,-455.760510,7.921,7.379
68.114884,-459.583526,7.951,7.349
71.413827,-463.347524,7.982,7.318
74.777462,-467.050108,8.013,7.287
78.205168,-470.688885,8.045,7.255
81.696326,-474.261459,8.076,7.224
85.250317,-477.765437,8.107,7.193
88.866519,-481.198425,8.138,7.162
92.544221,-484.558721,8.170,7.130
96.282491,-487.846267,8.179,7.121
100.080368,-491.061248,8.159,7.141
103.936886,-494.203849,8.138,7.162
107.851083,-497.274255,8.118,7.182
111.821995,-500.272648,8.098,7.202
115.848659,-503.199214,8.077,7.223
119.930112,-506.054138,8.057,7.243
124.065390,-508.837604,8.038,7.262
128.253529,-511.549796,8.028,7.272
132.493568,-514.190898,8.018,7.282
136.784541,-516.761096,8.008,7.292
141.125480,-519.260528,7.998,7.302
145.515098,-521.687259,7.876,7.424
149.951671,-524.036466,7.731,7.569
154.433444,-526.303111,7.585,7.715
158.958659,-528.482155,7.439,7.861
163.525560,-530.568562,7.396,7.904
168.132390,-532.557293,7.475,7.825
172.777392,-534.443310,7.555,7.745
177.458811,-536.221576,7.635,7.665
182.174890,-537.887053,7.704,7.596
186.923871,-539.434704,7.739,7.561
191.703999,-540.859489,7.774,7.526
196.513517,-542.156373,7.809,7.491
201.350607,-543.322155,7.844,7.456
206.213183,-544.361657,7.882,7.418
211.099090,-545.281888,7.919,7.381
216.006168,-546.089855,7.956,7.344
220.932260,-546.792568,7.993,7.307
225.875208,-547.397034,8.054,7.246
230.832854,-547.910261,8.118,7.182
235.803042,-548.339258,8.182,7.118
240.783612,-548.691033,8.246,7.054
245.772408,-548.972594,8.243,7.057
250.767272,-549.190950,8.107,7.193
255.766045,-549.353108,7.971,7.329
260.766572,-549.466075,7.835,7.465
265.767251,-549.536067,7.699,7.601
270.767831,-549.567381,7.563,7.737
275.768260,-549.564022,7.427,7.873
280.768490,-549.529999,7.363,7.937
285.768470,-549.469318,7.389,7.911
290.768152,-549.385988,7.415,7.885
295.767485,-549.284015,7.441,7.859
300.766419,-549.167407,7.467,7.833
305.764905,-549.040172,7.493,7.807
310.762893,-548.906316,7.519,7.781
315.760333,-548.769848,7.544,7.756
320.757176,-548.634773,7.565,7.735
325.753381,-548.504776,7.586,7.714
330.748985,-548.380854,7.607,7.693
335.744065,-548.262676,7.627,7.673
340.738696,-548.149903,7.648,7.652
345.732955,-548.042198,7.669,7.631
350.726918,-547.939222,7.690,7.610
355.720661,-547.840635,7.711,7.589
360.714260,-547.746099,7.732,7.568
365.707791,-547.655275,7.753,7.547
370.701331,-547.567824,7.774,7.526
375.694955,-547.483407,7.795,7.505
380.688741,-547.401687,7.815,7.485
385.682762,-547.322323,7.826,7.474
390.677097,-547.244977,7.835,7.465
395.671821,-547.169311,7.843,7.457
400.667011,-547.094985,7.852,7.448
405.662742,-547.021661,7.861,7.439
410.659090,-546.949001,7.870,7.430
415.656132,-546.876664,7.879,7.421
420.653944,-546.804313,7.888,7.412
425.652602,-546.731608,7.897,7.403
430.652182,-546.658212,7.906,7.394
435.652761,-546.583784,7.914,7.386
440.654414,-546.507987,7.923,7.377
445.657217,-546.430481,7.932,7.368
450.661213,-546.350699,7.941,7.359
455.665820,-546.264006,7.950,7.350
460.669927,-546.162273,7.959,7.341
465.672403,-546.037261,7.968,7.332
470.672119,-545.880728,7.977,7.323
475.667945,-545.684433,7.985,7.315
480.658750,-545.440137,7.994,7.306
485.643406,-545.139598,8.003,7.297
490.620780,-544.774575,7.971,7.329
495.589745,-544.336827,7.930,7.370
500.549169,-543.818114,7.890,7.410
505.497924,-543.210196,7.850,7.450
510.434877,-542.504835,7.809,7.491
515.358529,-541.696030,7.797,7.503
520.266447,-540.783424,7.816,7.484
525.156049,-539.767545,7.835,7.465
530.024758,-538.648916,7.854,7.446
534.869992,-537.428063,7.873,7.427
539.689173,-536.105513,7.889,7.411
544.479720,-534.681790,7.904,7.396
549.239054,-533.157420,7.920,7.380
553.964596,-531.532928,7.936,7.364
558.653765,-529.808840,7.899,7.401
563.303982,-527.985681,7.844,7.456
