# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.065897,0.204612,9.021,9.235
-4.874960,-1.175167,9.018,9.238
-9.684416,-2.553644,9.015,9.238
-14.494249,-3.930863,9.012,9.239
-19.304442,-5.306869,9.009,9.240
-24.114980,-6.681704,9.005,9.241
-28.925846,-8.055415,9.002,9.241
-33.737025,-9.428045,8.999,9.242
-38.548502,-10.799638,8.996,9.243
-43.360258,-12.170239,8.992,9.244
-48.172280,-13.539893,8.989,9.244
-52.984551,-14.908642,8.986,9.245
-57.797054,-16.276532,8.983,9.246
-62.609775,-17.643607,8.979,9.247
-67.422696,-19.009910,8.976,9.247
-72.235803,-20.375488,8.973,9.248
-77.049078,-21.740383,8.970,9.249
-81.862507,-23.104640,8.966,9.250
-86.676073,-24.468303,8.963,9.250
-91.489762,-25.831418,8.960,9.251
-96.303564,-27.194031,8.957,9.252
-101.117469,-28.556189,8.953,9.253
-105.931467,-29.917939,8.950,9.253
-110.745549,-31.279328,8.947,9.254
-115.559703,-32.640403,8.944,9.255
-120.373919,-34.001209,8.940,9.256
-125.188189,-35.361795,8.937,9.256
-130.002501,-36.722207,8.934,9.257
-134.816846,-38.082492,8.931,9.258
-139.631213,-39.442696,8.927,9.259
-144.445593,-40.802867,8.924,9.259
-149.259976,-42.163052,8.921,9.260
-154.074350,-43.523296,8.918,9.261
-158.888708,-44.883647,8.914,9.262
-163.703037,-46.244153,8.911,9.262
-168.517328,-47.604858,8.908,9.263
-173.331572,-48.965812,8.905,9.264
-178.145758,-50.327059,8.901,9.265
-182.959876,-51.688648,8.898,9.265
-187.773916,-53.050624,8.895,9.266
-192.587868,-54.413036,8.892,9.267
-197.401721,-55.775928,8.888,9.268
-202.215467,-57.139350,8.885,9.268
-207.029094,-58.503346,8.882,9.269
-211.842593,-59.867965,8.879,9.270
-216.655953,-61.233252,8.875,9.271
-221.469165,-62.599255,8.872,9.272
-226.282227,-63.965976,8.869,9.272
-231.095171,-65.333221,8.865,9.273
-235.908040,-66.700745,8.862,9.274
-240.720878,-68.068300,8.859,9.275
-245.533725,-69.435641,8.856,9.275
-250.346625,-70.802520,8.852,9.276
-255.159621,-72.168692,8.849,9.277
-259.972755,-73.533909,8.846,9.278
-264.786070,-74.897926,8.843,9.278
-269.599608,-76.260495,8.839,9.279
-274.413411,-77.621371,8.836,9.280
-279.227523,-78.980307,8.833,9.281
-284.041987,-80.337057,8.830,9.281
-288.856843,-81.691374,8.826,9.282
-293.672062,-83.043508,8.823,9.283
