# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.908640,3.238718,7.100,6.591
3.039906,2.505059,7.116,6.591
7.989015,1.775156,7.133,6.591
12.938663,1.048840,7.130,6.593
17.888823,0.325944,7.128,6.595
22.839469,-0.393701,7.126,6.597
27.790575,-1.110261,7.123,6.599
32.742115,-1.823905,7.121,6.601
37.694063,-2.534800,7.119,6.602
42.646393,-3.243113,7.117,6.604
47.599079,-3.949014,7.114,6.606
52.552095,-4.652668,7.112,6.608
57.505416,-5.354245,7.110,6.610
62.459014,-6.053911,7.108,6.612
67.412864,-6.751835,7.105,6.614
72.366940,-7.448184,7.103,6.616
77.321217,-8.143125,7.101,6.618
82.275667,-8.836827,7.099,6.620
87.230265,-9.529457,7.096,6.622
92.184985,-10.221182,7.094,6.623
97.139802,-10.912169,7.092,6.625
102.094700,-11.602515,7.089,6.627
107.049676,-12.292256,7.087,6.629
112.004725,-12.981424,7.085,6.631
116.959844,-13.670052,7.083,6.633
121.915029,-14.358171,7.080,6.635
126.870277,-15.045814,7.078,6.637
131.825583,-15.733013,7.076,6.639
136.780944,-16.419800,7.074,6.641
141.736356,-17.106207,7.071,6.643
146.691815,-17.792267,7.069,6.644
151.647318,-18.478013,7.067,6.646
156.602860,-19.163475,7.064,6.648
161.558438,-19.848687,7.062,6.650
166.514048,-20.533681,7.060,6.652
171.469687,-21.218488,7.058,6.654
176.425350,-21.903142,7.055,6.656
181.381034,-22.587674,7.053,6.658
186.336735,-23.272116,7.051,6.660
191.292450,-23.956502,7.049,6.662
196.248173,-24.640862,7.046,6.664
201.203903,-25.325230,7.044,6.665
206.159634,-26.009637,7.042,6.667
211.115364,-26.694116,7.039,6.669
216.071088,-27.378699,7.037,6.671
221.026802,-28.063418,7.035,6.673
225.982504,-28.748306,7.033,6.675
230.938188,-29.433392,7.030,6.677
235.893855,-30.118683,7.028,6.679
240.849505,-30.804174,7.026,6.681
245.805137,-31.489857,7.024,6.683
250.760753,-32.175729,7.021,6.684
255.716352,-32.861783,7.019,6.686
260.671935,-33.548012,7.017,6.688
265.627502,-34.234413,7.015,6.690
270.583053,-34.920978,7.012,6.692
275.538590,-35.607702,7.010,6.694
280.494111,-36.294579,7.008,6.696
285.449617,-36.981604,7.005,6.698
290.405109,-37.668771,7.003,6.700
295.360588,-38.356073,7.001,6.702
300.316052,-39.043506,6.999,6.704
305.271503,-39.731063,6.996,6.705
310.226941,-40.418738,6.994,6.707
315.182366,-41.106527,6.992,6.709
320.137778,-41.794423,6.990,6.711
325.093179,-42.482420,6.987,6.713
330.048567,-43.170513,6.985,6.715
335.003944,-43.858695,6.983,6.717
339.959310,-44.546962,6.980,6.719
344.914664,-45.235307,6.978,6.721
349.870008,-45.923725,6.976,6.723
354.825342,-46.612209,6.974,6.725
359.780665,-47.300755,6.971,6.726
364.735979,-47.989356,6.969,6.728
369.691283,-48.678006,6.967,6.730
374.646578,-49.366700,6.965,6.732
379.601865,-50.055433,6.962,6.734
384.557143,-50.744197,6.960,6.736
389.512412,-51.432988,6.958,6.738
394.467674,-52.121800,6.955,6.740
399.422928,-52.810626,6.953,6.742
404.378175,-53.499462,6.951,6.744
409.333415,-54.188302,6.949,6.746
414.288648,-54.877139,6.946,6.747
419.243875,-55.565968,6.944,6.749
424.199096,-56.254783,6.942,6.751
429.154311,-56.943579,6.940,6.753
434.109520,-57.632349,6.937,6.755
439.064725,-58.321088,6.935,6.757
444.019924,-59.009791,6.933,6.759
448.975119,-59.698451,6.931,6.761
453.930310,-60.387062,6.928,6.763
458.885497,-61.075619,6.926,6.765
463.840680,-61.764117,6.924,6.767
468.795860,-62.452548,6.921,6.768
473.751037,-63.140909,6.919,6.770
478.706212,-63.829192,6.917,6.772
483.661384,-64.517392,6.915,6.774
488.616554,-65.205503,6.912,6.776
493.571722,-65.893520,6.910,6.778
498.526888,-66.581440,6.908,6.780
503.482054,-67.269266,6.906,6.782
508.437220,-67.957001,6.903,6.784
513.392386,-68.644652,6.901,6.786
518.347552,-69.332221,6.899,6.788
523.302720,-70.019713,6.896,6.789
528.257889,-70.707132,6.894,6.791
533.213061,-71.394483,6.892,6.793
538.168235,-72.081769,6.890,6.795
543.123413,-72.768996,6.887,6.797
548.078595,-73.456167,6.885,6.799
553.033782,-74.143287,6.883,6.801
557.988973,-74.830359,6.881,6.803
562.944170,-75.517389,6.878,6.805
567.899373,-76.204380,6.876,6.807
572.854583,-76.891336,6.874,6.809
577.809799,-77.578263,6.871,6.810
582.765024,-78.265164,6.869,6.812
587.720256,-78.952043,6.867,6.814
592.675497,-79.638905,6.865,6.816
597.630748,-80.325754,6.862,6.818
602.586008,-81.012594,6.860,6.820
607.541278,-81.699430,6.858,6.822
612.496560,-82.386265,6.856,6.824
617.451853,-83.073105,6.853,6.826
622.407157,-83.759953,6.851,6.828
627.362475,-84.446813,6.849,6.829
632.317805,-85.133690,6.847,6.831
637.273148,-85.820589,6.844,6.833
642.228506,-86.507512,6.842,6.835
647.183878,-87.194466,6.840,6.837
652.139266,-87.881453,6.837,6.839
657.094669,-88.568479,6.835,6.841
662.050088,-89.255547,6.833,6.843
667.005524,-89.942661,6.831,6.845
671.960977,-90.629827,6.828,6.847
676.916448,-91.317048,6.826,6.849
681.871938,-92.004328,6.824,6.850
686.827446,-92.691672,6.822,6.852
691.782973,-93.379084,6.819,6.854
696.738521,-94.066568,6.817,6.856
701.694089,-94.754129,6.815,6.858
706.649678,-95.441771,6.812,6.860
711.605288,-96.129498,6.810,6.862
716.560921,-96.817314,6.808,6.864
721.516576,-97.505224,6.806,6.866
726.472254,-98.193232,6.803,6.868
731.427956,-98.881342,6.801,6.870
736.383682,-99.569558,6.799,6.871
741.339432,-100.257885,6.797,6.873
746.295208,-100.946327,6.794,6.875
751.251010,-101.634888,6.792,6.877
756.206838,-102.323573,6.790,6.879
761.162693,-103.012385,6.788,6.881
766.118571,-103.701318,6.785,6.883
771.074462,-104.390345,6.783,6.885
776.030354,-105.079435,6.781,6.887
780.986234,-105.768559,6.778,6.889
785.942091,-106.457685,6.776,6.891
790.897914,-107.146785,6.774,6.892
795.853690,-107.835827,6.772,6.894
800.809407,-108.524782,6.769,6.896
805.765054,-109.213620,6.767,6.898
810.720618,-109.902310,6.765,6.900
815.676089,-110.590822,6.763,6.902
820.631453,-111.279127,6.760,6.904
825.586700,-111.967194,6.758,6.906
830.541817,-112.654992,6.756,6.908
835.496792,-113.342493,6.753,6.910
840.451615,-114.029665,6.751,6.912
845.406272,-114.716479,6.749,6.913
850.360752,-115.402904,6.747,6.915
855.315043,-116.088911,6.744,6.917
860.269134,-116.774468,6.742,6.919
865.223012,-117.459547,6.740,6.921
870.176666,-118.144117,6.738,6.923
875.130083,-118.828147,6.735,6.925
880.083252,-119.511608,6.733,6.927
885.036162,-120.194470,6.731,6.929
889.988800,-120.876702,6.728,6.931
894.941154,-121.558275,6.726,6.933
899.893269,-122.239549,6.724,6.934
904.845376,-122.922149,6.722,6.936
909.797741,-123.607951,6.719,6.938
914.750630,-124.298833,6.717,6.940
919.704310,-124.996671,6.715,6.942
924.659048,-125.703342,6.713,6.944
929.615109,-126.420724,6.710,6.946
934.572761,-127.150694,6.708,6.948
939.532270,-127.895129,6.730,6.969
944.493903,-128.655905,7.097,7.262
949.457925,-129.434900,7.463,7.556
954.424604,-130.233991,7.829,7.849
959.394207,-131.055055,8.195,8.142
964.353465,-131.920129,8.425,8.622
968.956964,-133.345979,8.315,9.568
972.520958,-136.318754,8.223,9.763
974.486938,-140.800457,8.161,8.784
974.675923,-145.792996,8.037,8.415
974.091478,-150.849372,7.895,8.224
973.574082,-155.834897,7.753,8.033
973.133816,-160.801747,7.611,7.842
972.731574,-165.773307,7.470,7.651
972.340376,-170.748629,7.328,7.459
971.933358,-175.726527,7.186,7.268
971.483657,-180.705817,7.044,7.077
970.964409,-185.685315,6.936,6.910
970.349586,-190.663841,6.928,6.812
969.660601,-195.640443,6.921,6.715
968.990875,-200.614511,6.914,6.618
968.439848,-205.585464,6.907,6.520
968.106961,-210.552724,6.900,6.423
968.091653,-215.515709,7.059,6.394
968.493365,-220.473840,7.217,6.364
969.452481,-225.390710,7.299,6.297
971.839362,-229.580710,6.449,5.771
975.928916,-232.402370,6.111,5.675
980.615613,-234.413377,6.014,5.781
985.189395,-236.395920,5.917,5.886
989.656571,-238.580368,5.820,5.992
