# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.320123,1.087714,5.739,5.932
0.168262,6.062191,5.735,5.929
0.656139,11.036647,5.731,5.926
1.143549,16.011082,5.727,5.923
1.630535,20.985493,5.723,5.920
2.117138,25.959881,5.719,5.917
2.603399,30.934243,5.715,5.914
3.089362,35.908579,5.711,5.911
3.575067,40.882887,5.707,5.908
4.060557,45.857166,5.703,5.905
4.545874,50.831416,5.700,5.902
5.031058,55.805635,5.696,5.899
5.516153,60.779822,5.692,5.896
6.001200,65.753975,5.688,5.893
6.486241,70.728094,5.684,5.890
6.971318,75.702177,5.680,5.887
7.456472,80.676224,5.676,5.884
7.941746,85.650233,5.672,5.881
8.427182,90.624202,5.668,5.878
8.912821,95.598132,5.664,5.875
9.398704,100.572020,5.660,5.872
9.884875,105.545865,5.656,5.869
10.371375,110.519667,5.652,5.866
10.858245,115.493424,5.648,5.863
11.345529,120.467135,5.644,5.860
11.833266,125.440799,5.640,5.858
12.321500,130.414414,5.636,5.855
12.810272,135.387981,5.632,5.852
13.299624,140.361496,5.628,5.849
13.789598,145.334960,5.624,5.846
14.280236,150.308371,5.620,5.843
14.771580,155.281728,5.616,5.840
15.263671,160.255029,5.612,5.837
15.756551,165.228275,5.608,5.834
16.250263,170.201463,5.604,5.831
16.744848,175.174592,5.600,5.828
17.240348,180.147661,5.597,5.825
17.736800,185.120670,5.593,5.822
18.234175,190.093621,5.589,5.819
18.732387,195.066521,5.585,5.816
19.231352,200.039376,5.581,5.813
19.730983,205.012193,5.577,5.810
20.231195,209.984979,5.573,5.807
20.731903,214.957740,5.569,5.804
21.233020,219.930483,5.565,5.801
21.734462,224.903214,5.561,5.798
22.236141,229.875939,5.557,5.795
22.737974,234.848665,5.553,5.792
23.239874,239.821399,5.549,5.789
23.741756,244.794148,5.545,5.786
24.243534,249.766917,5.541,5.783
24.745122,254.739713,5.537,5.780
25.246434,259.712543,5.533,5.777
25.747386,264.685414,5.529,5.774
26.247892,269.658331,5.525,5.771
26.747865,274.631302,5.521,5.768
27.247220,279.604332,5.517,5.765
27.745872,284.577429,5.513,5.762
28.243735,289.550599,5.509,5.759
28.740723,294.523848,5.505,5.756
29.236751,299.497184,5.501,5.753
29.731734,304.470612,5.497,5.750
30.225584,309.444139,5.495,5.746
30.718218,314.417772,5.514,5.726
31.209548,319.391516,5.534,5.706
31.699491,324.365380,5.553,5.686
32.187959,329.339368,5.572,5.666
32.674867,334.313489,5.592,5.646
33.160131,339.287747,5.611,5.626
33.643663,344.262150,5.631,5.606
34.125379,349.236705,5.650,5.586
34.605192,354.211417,5.669,5.566
35.083018,359.186294,5.689,5.545
35.558774,364.161342,5.708,5.525
36.032446,369.136561,5.728,5.505
36.504069,374.111949,5.747,5.485
36.973682,379.087504,5.745,5.468
37.441326,384.063223,5.728,5.454
37.907038,389.039102,5.712,5.440
38.370856,394.015140,5.695,5.425
38.832821,398.991333,5.679,5.411
39.292971,403.967679,5.662,5.396
39.751344,408.944174,5.646,5.382
40.207979,413.920817,5.630,5.367
40.662916,418.897603,5.613,5.353
41.116192,423.874532,5.597,5.338
41.567847,428.851599,5.580,5.324
42.017920,433.828802,5.564,5.309
42.466449,438.806138,5.547,5.295
42.913473,443.783605,5.531,5.280
43.359032,448.761199,5.514,5.266
43.803162,453.738918,5.498,5.251
44.245905,458.716759,5.482,5.237
44.687298,463.694720,5.465,5.222
45.127379,468.672797,5.449,5.208
45.566189,473.650988,5.432,5.193
46.003766,478.629290,5.416,5.179
46.440148,483.607700,5.399,5.164
46.875374,488.586216,5.383,5.150
47.309484,493.564834,5.359,5.137
47.742515,498.543553,5.317,5.130
48.174507,503.522368,5.275,5.122
48.605499,508.501278,5.233,5.114
49.035529,513.480279,5.190,5.106
49.464636,518.459370,5.148,5.098
49.892859,523.438546,5.106,5.090
50.320236,528.417806,5.064,5.082
50.746808,533.397146,5.021,5.075
51.172611,538.376564,4.979,5.067
51.597686,543.356057,4.937,5.059
52.022070,548.335622,4.910,5.058
52.445803,553.315256,4.896,5.063
52.868924,558.294958,4.883,5.067
53.291471,563.274723,4.876,5.055
53.713483,568.254549,4.868,5.043
54.134999,573.234433,4.861,5.030
54.556058,578.214373,4.853,5.018
54.976698,583.194366,4.845,5.006
55.396959,588.174409,4.838,4.993
55.816878,593.154499,4.830,4.981
