# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.129865,0.636609,6.674,6.565
0.401116,5.612063,6.672,6.564
0.931083,10.587618,6.696,6.574
1.460088,15.563274,6.735,6.589
1.988181,20.539029,6.774,6.604
2.515413,25.514879,6.813,6.619
3.041835,30.490824,6.851,6.634
3.567499,35.466860,6.890,6.649
4.092456,40.442987,6.929,6.665
4.616756,45.419201,6.968,6.680
5.140451,50.395500,7.006,6.695
5.663591,55.371884,7.045,6.710
6.186228,60.348348,7.084,6.725
6.708412,65.324892,7.123,6.740
7.230196,70.301514,7.161,6.756
7.751629,75.278210,7.200,6.771
8.272762,80.254979,7.239,6.786
8.793648,85.231819,7.277,6.801
9.314337,90.208728,7.316,6.816
9.834879,95.185704,7.355,6.831
10.355327,100.162745,7.394,6.847
10.875730,105.139847,7.432,6.862
11.396141,110.117011,7.471,6.877
11.916609,115.094232,7.510,6.892
12.437187,120.071510,7.549,6.907
12.957925,125.048842,7.587,6.922
13.478874,130.026225,7.626,6.937
14.000085,135.003659,7.665,6.953
14.521609,139.981141,7.703,6.968
15.043498,144.958668,7.742,6.983
15.565802,149.936238,7.781,6.998
16.088573,154.913850,7.820,7.013
16.611861,159.891502,7.858,7.028
17.135717,164.869191,7.897,7.044
17.660193,169.846914,7.936,7.059
18.185340,174.824671,7.975,7.074
18.711208,179.802459,8.013,7.089
19.237849,184.780276,8.052,7.104
19.765313,189.758119,8.091,7.119
20.293652,194.735987,8.130,7.135
20.822917,199.713878,8.168,7.150
21.353158,204.691789,8.207,7.165
21.884428,209.669718,8.246,7.180
22.406089,214.646629,8.284,7.195
22.729158,219.604217,8.323,7.210
22.517270,224.509910,8.104,7.312
21.440053,229.331214,7.380,7.604
19.613153,234.057471,7.688,7.625
17.642346,238.687213,8.383,8.300
15.295305,243.063349,9.178,9.070
12.116430,246.883281,9.975,9.447
8.096091,249.720901,10.070,9.461
3.548161,251.790146,9.695,9.245
-1.090721,253.709036,9.321,9.030
-5.716298,255.640506,8.946,8.814
-10.309957,257.628619,8.571,8.599
-14.855397,259.712245,8.196,8.384
-19.353425,261.891856,7.822,8.168
-23.812522,264.150688,7.677,8.064
-28.241206,266.471895,7.650,8.017
-32.647997,268.838634,7.622,7.970
-37.041412,271.234059,7.595,7.923
-41.429874,273.641506,7.568,7.876
-45.818200,276.050979,7.541,7.829
-50.206634,278.460964,7.514,7.781
-54.595121,280.870491,7.486,7.734
-58.983607,283.278594,7.459,7.687
-63.372037,285.684305,7.432,7.640
-67.760356,288.086656,7.405,7.593
-72.148578,290.485142,7.378,7.546
-76.536969,292.881025,7.351,7.499
-80.925854,295.275984,7.323,7.452
-85.315562,297.671700,7.296,7.405
-89.706419,300.069853,7.269,7.358
-94.098752,302.472124,7.242,7.311
-98.492836,304.879915,7.215,7.264
-102.888257,307.290862,7.188,7.216
-107.284102,309.699888,7.160,7.169
-111.679447,312.101854,7.092,7.132
-116.073369,314.491622,7.019,7.096
-120.464943,316.864053,6.947,7.060
-124.853274,319.214168,6.874,7.024
-129.241270,321.559728,6.801,6.987
-133.639584,323.964741,6.729,6.951
-138.059809,326.498816,6.656,6.915
-142.545915,328.886704,7.804,7.760
-147.244866,329.658656,9.290,8.487
-151.938820,328.247474,8.982,8.608
-156.087368,325.454104,8.780,8.397
-159.916637,322.148995,8.577,8.186
-163.772572,318.916929,8.374,7.974
-167.670243,315.807429,8.171,7.763
-171.553181,312.723415,8.118,7.674
-175.341911,309.510503,8.136,7.644
-178.958754,306.033711,8.154,7.613
-182.338848,302.277833,8.172,7.582
-185.422004,298.271359,8.093,7.336
-188.148042,294.042842,7.780,7.474
-190.456782,289.620834,7.410,7.170
-192.288042,285.033886,7.044,6.808
-193.584655,280.310430,6.856,6.290
-194.364309,275.475854,6.352,5.681
-194.722774,270.552380,6.207,5.656
-194.759478,265.562079,6.180,5.657
-194.573850,260.527021,6.154,5.659
-194.265320,255.469278,6.128,5.660
-193.933299,250.410918,6.101,5.661
-193.653540,245.368667,6.075,5.663
-193.430330,240.343122,6.048,5.664
-193.254517,235.331844,6.022,5.666
-193.116948,230.332395,5.996,5.667
-193.008471,225.342337,5.969,5.668
-192.919935,220.359233,5.943,5.670
-192.842187,215.380644,5.917,5.671
-192.766075,210.404133,5.890,5.673
-192.682447,205.427261,5.864,5.674
-192.582151,200.447591,5.837,5.675
-192.456035,195.462685,5.811,5.677
-192.294947,190.470105,5.785,5.678
-192.089878,185.467438,5.758,5.680
-191.841935,180.454158,5.732,5.681
-191.568872,175.432830,5.706,5.682
-191.289989,170.406310,5.679,5.684
-191.024590,165.377454,5.653,5.685
-190.791977,160.349117,5.626,5.687
-190.611452,155.324155,5.600,5.688
-190.502317,150.305425,5.574,5.689
-190.483875,145.295780,5.547,5.691
-190.575427,140.298078,5.520,5.681
-190.796276,135.315173,5.488,5.595
-191.165725,130.349921,5.434,5.528
-191.703075,125.405179,5.277,5.550
-192.427048,120.483882,5.120,5.571
-193.344597,115.590614,5.195,5.505
-194.451735,110.731486,5.215,5.517
-195.744060,105.912671,5.080,5.697
-197.217169,101.140339,4.945,5.877
-198.866660,96.420660,5.045,5.710
-200.688129,91.759805,5.158,5.522
-202.677174,87.163946,5.272,5.334
-204.829392,82.639253,5.308,5.185
-207.140381,78.191897,5.325,5.052
-209.605737,73.828049,5.297,5.164
-212.221059,69.553880,5.274,5.256
-214.981932,65.375547,5.273,5.260
-217.878545,61.293370,5.272,5.264
-220.887085,57.292510,5.234,5.318
-223.981494,53.355699,5.168,5.426
-227.135716,49.465673,5.379,5.453
-230.323693,45.605165,5.590,5.614
-233.519369,41.756909,5.803,5.856
-236.698727,37.904232,6.015,6.098
-239.855210,34.035526,6.227,6.340
-242.991119,30.141753,6.439,6.582
-246.111836,26.217597,6.651,6.824
-249.275920,22.323099,6.863,7.066
-252.587465,18.574259,7.076,7.308
-256.152853,15.091288,7.172,7.576
-260.118149,12.110897,7.127,7.615
-264.638629,9.986162,6.962,7.436
-269.485757,8.673426,6.907,7.374
-274.373143,7.835765,6.902,7.364
-279.324679,6.961161,6.896,7.354
-284.306629,6.319969,6.890,7.344
-289.223807,6.635107,7.086,7.433
-294.081521,7.727536,7.292,7.531
-298.912582,9.172164,7.474,7.650
-303.739350,10.601311,7.655,7.769
-308.503314,12.091674,7.831,7.881
-313.108234,13.927246,7.407,7.347
-317.456620,16.378741,7.006,7.309
-321.434790,19.492530,6.690,7.465
-324.916295,23.137970,6.556,6.658
-327.777423,27.180576,6.217,6.316
-330.013055,31.523054,5.743,6.279
-331.771357,36.116177,5.451,5.764
-333.210264,40.913870,5.250,5.387
-334.413398,45.863202,5.239,5.300
-335.302883,50.896342,5.151,5.303
-335.779646,55.943502,5.023,5.353
-335.744612,60.934896,5.205,5.033
-335.098710,65.800735,5.169,5.200
-333.742865,70.471234,5.005,5.779
-331.607973,74.885868,5.268,6.107
-328.831872,79.048079,5.322,6.075
-325.639755,82.988313,5.308,5.927
-322.250864,86.739924,5.295,5.780
-318.800759,90.373930,5.281,5.632
-315.365326,93.988203,5.267,5.484
-312.018254,97.679755,5.253,5.336
-308.803886,101.499138,5.239,5.188
-305.731615,105.441591,5.275,5.018
-302.808794,109.499122,5.465,4.779
-300.042776,113.663736,5.625,4.574
-297.440914,117.927440,5.576,4.621
-295.009740,122.282062,5.528,4.667
-292.730645,126.713894,5.480,4.713
-290.555793,131.202797,5.432,4.759
-288.435708,135.728272,5.383,4.806
-286.320913,140.269818,5.335,4.852
