# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.196326,-0.660119,7.520,7.291
3.051997,-3.294412,7.534,7.269
7.297263,-5.933612,7.547,7.246
11.537993,-8.580032,7.561,7.224
15.772710,-11.235983,7.575,7.202
19.999936,-13.903777,7.588,7.179
24.219790,-16.583112,7.602,7.157
28.439088,-19.262718,7.615,7.134
32.666400,-21.928457,7.629,7.112
36.910295,-24.566187,7.642,7.090
41.179342,-27.161768,7.656,7.067
45.482112,-29.701060,7.669,7.045
49.827173,-32.169922,7.683,7.022
54.219867,-34.559147,7.601,7.072
58.640196,-36.898238,7.374,7.230
63.056203,-39.234969,7.147,7.389
67.435842,-41.617248,6.921,7.547
71.741793,-44.100705,6.694,7.705
75.924290,-46.759187,6.575,7.775
79.931776,-49.669167,6.734,7.616
83.719227,-52.897728,6.893,7.457
87.347032,-56.360510,7.052,7.298
90.960807,-59.850707,7.211,7.139
94.708610,-63.158007,7.370,6.980
98.702480,-66.122928,7.444,6.906
102.901417,-68.801980,7.425,6.925
107.223785,-71.309026,7.407,6.943
111.588699,-73.756876,7.389,6.961
115.948373,-76.212173,7.371,6.979
120.300330,-78.678360,7.352,6.998
124.645366,-81.154315,7.334,7.016
128.984277,-83.638915,7.316,7.034
133.317858,-86.131039,7.298,7.052
137.646904,-88.629564,7.279,7.071
141.972211,-91.133368,7.261,7.089
146.294575,-93.641329,7.243,7.107
150.614791,-96.152325,7.225,7.125
154.933654,-98.665234,7.207,7.143
159.251960,-101.178934,7.188,7.162
163.570505,-103.692302,7.170,7.180
167.890084,-106.204217,7.152,7.198
172.211492,-108.713556,7.134,7.216
176.535350,-111.219445,7.115,7.235
180.861515,-113.722080,7.097,7.253
185.189642,-116.221944,7.079,7.271
189.519385,-118.719524,7.061,7.289
193.850397,-121.215303,7.042,7.308
198.182332,-123.709766,7.024,7.326
202.514843,-126.203397,7.006,7.344
206.847584,-128.696682,6.988,7.362
211.180210,-131.190104,6.969,7.381
215.512373,-133.684149,6.951,7.399
219.843727,-136.179301,6.933,7.417
224.173927,-138.676044,6.915,7.435
228.502625,-141.174863,6.896,7.454
232.829476,-143.676243,6.878,7.472
237.152805,-146.182580,6.860,7.490
241.448371,-148.728757,6.842,7.508
245.673065,-151.376818,6.823,7.527
249.783200,-154.189644,6.815,7.548
253.748945,-157.209985,6.816,7.573
257.601410,-160.392089,6.817,7.599
261.388442,-163.665893,6.818,7.624
265.157490,-166.961929,6.819,7.649
268.936943,-170.239206,6.820,7.674
