# x_m,y_m,w_tr_right_m,w_tr_left_m
1.242679,-1.293111,7.288,7.487
-2.368512,-4.753954,7.307,7.469
-5.979276,-8.215237,7.342,7.426
-9.589590,-11.676983,7.377,7.383
-13.199433,-15.139219,7.411,7.340
-16.808783,-18.601970,7.446,7.297
-20.417619,-22.065261,7.481,7.254
-24.025921,-25.529119,7.515,7.212
-27.633665,-28.993567,7.550,7.169
-31.240831,-32.458632,7.585,7.126
-34.847397,-35.924339,7.575,7.149
-38.453343,-39.390713,7.563,7.175
-42.058645,-42.857781,7.551,7.201
-45.663284,-46.325566,7.539,7.228
-49.267237,-49.794096,7.527,7.254
-52.870484,-53.263394,7.515,7.280
-56.473002,-56.733487,7.503,7.307
-60.074770,-60.204400,7.491,7.333
-63.675768,-63.676158,7.479,7.359
-67.275972,-67.148787,7.467,7.386
-70.875363,-70.622312,7.455,7.412
-74.473918,-74.096759,7.443,7.438
-78.071617,-77.572153,7.431,7.465
-81.668437,-81.048519,7.418,7.491
-85.264357,-84.525883,7.406,7.517
-88.859356,-88.004270,7.394,7.544
-92.453412,-91.483706,7.382,7.570
-96.046504,-94.964217,7.370,7.596
-99.638611,-98.445826,7.358,7.622
-103.229710,-101.928561,7.346,7.649
-106.820032,-105.412168,7.334,7.675
-110.410925,-108.895148,7.322,7.701
-114.004055,-112.375653,7.310,7.728
-117.601088,-115.851833,7.298,7.754
-121.203689,-119.321839,7.286,7.780
-124.813521,-122.783823,7.274,7.807
-128.432252,-126.235936,7.262,7.833
-132.061546,-129.676328,7.250,7.859
-135.703068,-133.103150,7.238,7.886
-139.358483,-136.514554,7.236,7.751
-143.029457,-139.908691,7.235,7.600
-146.717654,-143.283712,7.234,7.449
-150.424740,-146.637767,7.232,7.298
-154.152380,-149.969007,7.231,7.146
-157.902240,-153.275585,7.230,6.995
-161.675983,-156.555650,7.266,7.033
-165.474948,-159.807638,7.324,7.184
-169.299054,-163.031207,7.381,7.334
-173.147840,-166.226347,7.439,7.485
-177.020842,-169.393047,7.497,7.635
-180.917598,-172.531298,7.555,7.786
-184.837647,-175.641087,7.613,7.936
-188.780525,-178.722406,7.610,8.005
-192.745769,-181.775244,7.557,8.007
-196.732919,-184.799589,7.504,8.009
-200.741511,-187.795433,7.451,8.010
-204.771083,-190.762763,7.398,8.012
-208.821172,-193.701570,7.345,8.013
-212.891316,-196.611844,7.292,8.015
-216.981054,-199.493573,7.239,8.017
-221.089921,-202.346748,7.186,8.018
-225.217457,-205.171358,7.133,8.020
-229.363518,-207.966881,7.169,7.989
-233.529296,-210.730673,7.241,7.945
-237.716325,-213.459535,7.312,7.902
-241.926143,-216.150271,7.383,7.858
-246.160286,-218.799683,7.454,7.815
-250.420288,-221.404575,7.525,7.771
-254.707687,-223.961749,7.596,7.727
-259.024019,-226.468007,7.667,7.684
-263.369745,-228.922639,7.873,7.808
-267.728865,-231.362985,8.135,8.002
-272.072516,-233.856133,8.397,8.195
-276.371490,-236.469963,8.659,8.389
-280.601993,-239.257583,8.920,8.582
-284.822088,-242.048741,9.182,8.776
-289.153292,-244.500045,9.444,8.969
-293.718779,-246.263575,8.926,9.419
-298.620541,-247.003710,8.876,9.682
-303.648096,-246.566215,9.624,9.996
-308.352691,-244.935164,9.576,9.411
-312.279578,-242.098114,9.174,9.360
-314.992154,-238.068829,8.938,9.336
