# x_m,y_m,w_tr_right_m,w_tr_left_m
2.270089,-1.015217,7.044,7.083
-2.529004,0.386948,7.061,7.102
-7.328079,1.789306,7.078,7.121
-12.127138,3.191855,7.041,7.088
-16.926184,4.594593,6.890,6.945
-21.725220,5.997520,6.740,6.802
-26.524248,7.400635,6.589,6.659
-31.323270,8.803935,6.438,6.516
-36.122289,10.207420,6.287,6.373
-40.921308,11.611087,6.136,6.229
-45.720329,13.014937,5.985,6.086
-50.519354,14.418966,5.983,6.073
-55.318387,15.823175,5.989,6.066
-60.117429,17.227561,5.995,6.060
-64.916484,18.632123,6.001,6.054
-69.715553,20.036860,6.007,6.047
-74.514640,21.441770,6.013,6.041
-79.313747,22.846853,6.019,6.034
-84.112876,24.252106,6.025,6.028
-88.912030,25.657529,6.031,6.022
-93.711211,27.063119,6.037,6.015
-98.510423,28.468876,6.043,6.009
-103.309667,29.874798,6.049,6.003
-108.108946,31.280884,6.055,5.996
-112.908262,32.687133,6.061,5.990
-117.707619,34.093543,6.067,5.984
-122.507018,35.500112,6.073,5.977
-127.306463,36.906839,6.079,5.971
-132.105955,38.313724,6.085,5.965
-136.905498,39.720764,6.091,5.958
-141.705094,41.127959,6.097,5.952
-146.504744,42.535306,6.103,5.945
-151.304453,43.942805,6.109,5.939
-156.104222,45.350453,6.115,5.933
-160.904054,46.758251,6.121,5.926
-165.703952,48.166196,6.127,5.920
-170.503918,49.574287,6.133,5.914
-175.303954,50.982522,6.139,5.907
-180.104063,52.390901,6.145,5.901
-184.904248,53.799421,6.151,5.895
-189.704511,55.208082,6.157,5.888
-194.504855,56.616883,6.163,5.882
-199.305282,58.025820,6.169,5.875
-204.105793,59.434894,6.175,5.869
-208.906331,60.844096,6.181,5.863
-213.706779,62.253409,6.187,5.856
-218.507018,63.662816,6.193,5.850
-223.306925,65.072302,6.199,5.844
-228.106382,66.481850,6.205,5.837
-232.905268,67.891442,6.211,5.831
-237.703463,69.301063,6.217,5.825
-242.500845,70.710696,6.223,5.818
-247.297295,72.120325,6.229,5.812
-252.092693,73.529932,6.235,5.806
-256.886918,74.939502,6.241,5.799
-261.679849,76.349017,6.247,5.793
-266.471367,77.758462,6.253,5.786
-271.261351,79.167819,6.259,5.780
-276.049680,80.577073,6.265,5.774
-280.836235,81.986206,6.271,5.767
-285.620895,83.395202,6.277,5.761
-290.403539,84.804044,6.283,5.755
-295.184048,86.212717,6.289,5.748
-299.962300,87.621202,6.295,5.742
-304.738177,89.029485,6.301,5.736
-309.511556,90.437548,6.307,5.729
-314.282355,91.845371,6.313,5.723
-319.054144,93.252621,6.319,5.717
