# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.439216,-1.563132,5.989,6.117
-1.211525,3.432201,5.997,6.122
-0.983974,8.427542,6.005,6.127
-0.756558,13.422893,6.013,6.132
-0.529273,18.418252,6.021,6.137
-0.302113,23.413619,6.029,6.142
-0.075073,28.408994,6.037,6.147
0.151852,33.404375,6.045,6.152
0.378667,38.399764,6.053,6.157
0.605376,43.395158,6.061,6.162
0.831985,48.390558,6.069,6.167
1.058498,53.385964,6.077,6.172
1.284921,58.381373,6.085,6.177
1.511259,63.376787,6.093,6.182
1.737516,68.372205,6.101,6.187
1.963698,73.367626,6.109,6.192
2.189810,78.363049,6.118,6.197
2.415856,83.358475,6.126,6.202
2.641841,88.353903,6.134,6.207
2.867771,93.349331,6.142,6.212
3.093650,98.344761,6.150,6.217
3.319480,103.340191,6.158,6.222
3.545266,108.335622,6.166,6.227
3.771011,113.331054,6.174,6.232
3.996717,118.326486,6.182,6.237
4.222389,123.321918,6.190,6.242
4.448030,128.317350,6.198,6.247
4.673642,133.312782,6.206,6.252
4.899230,138.308215,6.214,6.257
5.124797,143.303646,6.222,6.262
5.350346,148.299078,6.230,6.267
5.575880,153.294509,6.238,6.272
5.801402,158.289939,6.246,6.277
6.026917,163.285368,6.254,6.282
6.252427,168.280797,6.262,6.287
6.477936,173.276224,6.270,6.292
6.703446,178.271650,6.278,6.297
6.928963,183.267075,6.286,6.302
7.154487,188.262498,6.294,6.307
7.380024,193.257919,6.302,6.312
7.605576,198.253339,6.310,6.317
7.831147,203.248757,6.318,6.322
8.056740,208.244173,6.326,6.327
8.282358,213.239587,6.334,6.332
8.508005,218.234998,6.342,6.337
8.733684,223.230407,6.350,6.342
8.959398,228.225814,6.358,6.347
9.185151,233.221217,6.366,6.352
9.410946,238.216618,6.374,6.357
9.636787,243.212016,6.382,6.362
9.862676,248.207411,6.390,6.367
10.088617,253.202803,6.398,6.372
10.314614,258.198191,6.406,6.377
10.540669,263.193576,6.414,6.382
10.766786,268.188957,6.422,6.387
10.992969,273.184334,6.430,6.392
11.219220,278.179708,6.438,6.397
11.445544,283.175077,6.446,6.402
11.671942,288.170442,6.454,6.407
11.898420,293.165803,6.462,6.412
12.124979,298.161160,6.470,6.417
12.351624,303.156512,6.478,6.422
12.578358,308.151859,6.486,6.427
12.805184,313.147201,6.494,6.432
13.032105,318.142539,6.502,6.437
13.259124,323.137871,6.510,6.442
13.486246,328.133198,6.518,6.447
13.713473,333.128520,6.526,6.452
13.940809,338.123836,6.534,6.457
14.168257,343.119146,6.542,6.462
14.395821,348.114451,6.550,6.467
14.623503,353.109750,6.559,6.472
14.851307,358.105043,6.567,6.477
15.079237,363.100329,6.575,6.482
15.307295,368.095609,6.583,6.487
15.535485,373.090883,6.591,6.492
15.763811,378.086150,6.599,6.497
15.992276,383.081411,6.607,6.502
16.220882,388.076665,6.615,6.507
16.449634,393.071911,6.623,6.512
16.678535,398.067151,6.631,6.517
16.907588,403.062383,6.639,6.522
17.136796,408.057608,6.647,6.527
17.366163,413.052826,6.655,6.532
17.595692,418.048035,6.663,6.537
17.825386,423.043237,6.671,6.542
18.055249,428.038431,6.679,6.547
18.285275,433.033618,6.687,6.552
18.515406,438.028799,6.695,6.557
18.745570,443.023980,6.703,6.562
18.975697,448.019162,6.711,6.567
19.205713,453.014350,6.719,6.572
19.435547,458.009546,6.727,6.577
