# x_m,y_m,w_tr_right_m,w_tr_left_m
1.939724,0.520251,6.726,6.382
3.152443,-4.326769,6.860,6.516
4.367640,-9.173170,6.959,6.617
5.591496,-14.017468,6.945,6.606
6.830188,-18.858179,6.931,6.596
8.089897,-23.693820,6.918,6.586
9.375780,-28.523148,6.904,6.576
10.685678,-33.346666,6.890,6.566
12.014241,-38.165635,6.877,6.556
13.356102,-42.981318,6.863,6.546
14.705897,-47.794980,6.849,6.535
16.058261,-52.607885,6.835,6.525
17.407828,-57.421298,6.822,6.515
18.750292,-62.236239,6.808,6.505
20.085476,-67.052773,6.794,6.495
21.414212,-71.870733,6.781,6.485
22.737332,-76.689954,6.767,6.475
24.055666,-81.510267,6.753,6.464
25.370047,-86.331506,6.740,6.454
26.681306,-91.153505,6.726,6.444
27.990275,-95.976096,6.712,6.434
29.297785,-100.799113,6.698,6.424
30.604667,-105.622388,6.685,6.414
31.911754,-110.445755,6.671,6.404
33.219877,-115.269048,6.657,6.393
34.529868,-120.092098,6.644,6.383
35.842458,-124.914755,6.630,6.373
37.157658,-129.736978,6.616,6.363
38.475158,-134.558776,6.602,6.353
39.794650,-139.380158,6.589,6.343
41.115822,-144.201132,6.575,6.333
42.438364,-149.021708,6.561,6.322
43.761966,-153.841895,6.548,6.312
45.086318,-158.661700,6.534,6.302
46.411110,-163.481134,6.520,6.292
47.736032,-168.300205,6.507,6.282
49.060773,-173.118922,6.493,6.272
50.385022,-177.937294,6.479,6.262
51.708471,-182.755330,6.465,6.251
53.030808,-187.573039,6.452,6.241
54.351604,-192.390645,6.438,6.231
55.670165,-197.208845,6.424,6.221
56.985765,-202.028399,6.411,6.211
58.297674,-206.850068,6.397,6.201
59.605165,-211.674610,6.383,6.191
60.907509,-216.502787,6.370,6.181
62.204298,-221.335228,6.356,6.170
63.507417,-226.167547,6.342,6.160
64.844675,-230.988863,6.328,6.150
66.244939,-235.787859,6.315,6.140
67.737076,-240.553221,6.009,5.889
69.349955,-245.273634,5.604,5.555
71.112443,-249.937785,5.198,5.222
73.069028,-254.521061,5.269,4.564
