# x_m,y_m,w_tr_right_m,w_tr_left_m
1.223807,-3.456935,7.128,7.143
-3.759945,-3.879933,7.137,7.149
-8.743737,-4.302437,7.143,7.158
-13.727569,-4.724461,7.149,7.167
-18.711438,-5.146020,7.156,7.176
-23.695344,-5.567130,7.162,7.185
-28.679285,-5.987803,7.169,7.193
-33.663258,-6.408055,7.175,7.202
-38.647264,-6.827900,7.181,7.211
-43.631301,-7.247353,7.188,7.220
-48.615366,-7.666428,7.194,7.229
-53.599459,-8.085140,7.201,7.238
-58.583578,-8.503504,7.207,7.247
-63.567722,-8.921533,7.214,7.256
-68.551890,-9.339243,7.220,7.265
-73.536079,-9.756648,7.226,7.274
-78.520289,-10.173763,7.233,7.283
-83.504517,-10.590602,7.239,7.292
-88.488764,-11.007179,7.246,7.300
-93.473026,-11.423510,7.252,7.309
-98.457303,-11.839609,7.259,7.318
-103.441593,-12.255489,7.265,7.327
-108.425895,-12.671167,7.271,7.336
-113.410207,-13.086656,7.278,7.345
-118.394528,-13.501971,7.284,7.354
-123.378857,-13.917127,7.291,7.363
-128.363192,-14.332138,7.297,7.372
-133.347531,-14.747018,7.304,7.381
-138.331873,-15.161783,7.310,7.390
-143.316218,-15.576446,7.316,7.399
-148.300562,-15.991022,7.323,7.407
-153.284905,-16.405526,7.329,7.416
-158.269246,-16.819973,7.336,7.425
-163.253582,-17.234376,7.342,7.434
-168.237913,-17.648751,7.349,7.443
-173.222237,-18.063112,7.355,7.452
-178.206553,-18.477473,7.361,7.461
-183.190858,-18.891849,7.368,7.470
-188.175153,-19.306255,7.374,7.479
-193.159434,-19.720705,7.381,7.488
-198.143702,-20.135214,7.387,7.497
-203.127954,-20.549796,7.393,7.506
-208.112189,-20.964466,7.400,7.514
-213.096405,-21.379238,7.406,7.523
-218.080602,-21.794127,7.413,7.532
-223.064777,-22.209147,7.419,7.541
-228.048929,-22.624314,7.426,7.550
-233.033059,-23.039634,7.432,7.559
-238.017165,-23.455106,7.438,7.568
-243.001251,-23.870726,7.445,7.577
-247.985317,-24.286490,7.451,7.586
-252.969365,-24.702395,7.458,7.595
-257.953395,-25.118435,7.464,7.604
-262.937410,-25.534609,7.471,7.613
-267.921410,-25.950911,7.477,7.621
-272.905396,-26.367339,7.483,7.630
-277.889371,-26.783888,7.490,7.639
-282.873334,-27.200555,7.496,7.648
-287.857288,-27.617335,7.503,7.657
-292.841234,-28.034226,7.509,7.666
-297.825172,-28.451223,7.516,7.675
-302.809105,-28.868322,7.522,7.684
-307.793033,-29.285520,7.528,7.693
-312.776958,-29.702813,7.535,7.702
-317.760881,-30.120198,7.541,7.711
-322.744803,-30.537669,7.548,7.720
-327.728725,-30.955225,7.554,7.728
-332.712650,-31.372860,7.560,7.737
-337.696577,-31.790571,7.567,7.746
-342.680508,-32.208354,7.573,7.755
-347.664445,-32.626207,7.580,7.764
-352.648389,-33.044123,7.586,7.773
-357.632341,-33.462101,7.593,7.782
-362.616303,-33.880136,7.599,7.791
-367.600274,-34.298225,7.605,7.800
-372.584258,-34.716363,7.612,7.809
-377.568255,-35.134547,7.618,7.818
-382.552266,-35.552773,7.625,7.827
-387.536293,-35.971037,7.631,7.835
-392.520337,-36.389336,7.638,7.844
-397.504399,-36.807666,7.644,7.853
-402.488480,-37.226022,7.650,7.862
-407.472582,-37.644402,7.657,7.871
-412.456706,-38.062802,7.663,7.880
-417.440853,-38.481217,7.670,7.889
-422.425025,-38.899643,7.676,7.898
-427.409222,-39.318078,7.683,7.907
-432.393447,-39.736518,7.689,7.916
-437.377700,-40.154958,7.695,7.925
-442.361982,-40.573394,7.702,7.933
-447.346295,-40.991824,7.708,7.942
-452.330640,-41.410243,7.715,7.951
-457.315018,-41.828647,7.721,7.960
-462.299431,-42.247033,7.727,7.969
-467.283880,-42.665397,7.734,7.978
-472.268366,-43.083735,7.740,7.987
-477.252890,-43.502044,7.747,7.996
-482.237454,-43.920319,7.753,8.005
-487.222058,-44.338556,7.760,8.014
-492.206705,-44.756753,7.766,8.023
-497.191396,-45.174905,7.772,8.032
-502.176131,-45.593009,7.779,8.040
-507.160912,-46.011060,7.785,8.049
-512.145740,-46.429055,7.792,8.058
-517.130616,-46.846990,7.798,8.067
-522.115543,-47.264862,7.805,8.076
-527.100520,-47.682666,7.811,8.085
-532.085549,-48.100399,7.817,8.094
-537.070632,-48.518057,7.824,8.103
-542.055770,-48.935637,7.830,8.112
-547.040964,-49.353134,7.837,8.121
-552.026215,-49.770544,7.843,8.130
-557.011525,-50.187865,7.850,8.139
-561.996894,-50.605091,7.856,8.147
-566.982325,-51.022220,7.862,8.156
-571.967818,-51.439242,7.869,8.165
-576.953364,-51.850817,7.875,8.174
-581.938924,-52.236410,7.882,8.183
-586.924453,-52.572801,7.888,8.192
-591.909907,-52.836765,7.881,8.195
-596.895242,-53.005081,7.859,8.191
-601.880413,-53.054525,7.838,8.187
-606.865375,-52.961876,7.816,8.183
-611.850084,-52.703911,7.837,8.024
-616.832697,-52.254033,7.766,8.016
-621.691374,-51.360641,7.402,8.493
-626.111019,-49.409744,7.679,8.095
-629.855489,-46.028350,7.993,7.599
-633.102073,-42.076238,7.563,7.847
-635.692437,-37.818135,7.329,7.777
-637.597410,-33.249630,7.220,7.663
-638.918979,-28.456050,7.332,7.539
-639.759162,-23.522747,7.183,7.262
-640.215202,-18.533840,6.962,6.998
-640.291221,-13.549474,6.962,7.260
-639.906687,-8.607992,6.971,7.476
-638.977984,-3.746944,7.035,7.441
-637.421562,0.996044,7.094,7.349
-635.186350,5.543913,7.146,7.169
-632.306815,9.715780,7.191,7.384
-628.831333,13.313871,7.304,7.259
-624.808282,16.140412,7.138,7.430
-620.296789,18.018497,6.663,8.011
-615.450790,18.955282,7.195,7.394
-610.472229,19.055081,7.315,7.240
-605.496691,18.489017,7.107,7.455
-600.563369,17.521229,7.309,7.624
-595.689474,16.329499,7.512,7.793
-590.871469,14.957790,7.703,7.918
-586.104225,13.439793,7.858,7.895
-581.382231,11.810409,8.013,7.872
-576.681642,10.162237,8.168,7.850
-571.952603,8.669749,8.323,7.827
-567.143280,7.513645,8.316,7.807
-562.201840,6.874626,8.035,7.791
-557.121659,6.915011,7.932,7.701
-552.093078,7.717037,8.019,7.533
-547.360060,9.341142,8.057,7.240
-543.166567,11.847762,8.085,6.924
-539.749684,15.286030,7.970,7.145
-537.235483,19.522692,7.764,7.845
-535.660260,24.276992,8.302,7.801
-535.057734,29.263944,8.634,7.832
-535.461277,34.198988,8.631,7.982
-536.826933,38.891368,8.220,8.260
-538.936611,43.361577,8.005,8.350
-541.548401,47.659002,8.264,7.989
-544.420713,51.832986,8.432,7.682
-547.374357,55.925068,8.162,7.636
-550.367354,59.959620,7.891,7.591
-553.375982,63.958730,7.620,7.545
-556.376514,67.944487,7.350,7.499
-559.345228,71.938979,7.079,7.454
-562.258399,75.964294,6.981,7.412
-565.092302,80.042521,6.959,7.371
-567.823214,84.195748,6.937,7.331
-570.427602,88.445703,6.980,7.314
-572.888922,92.800934,7.085,7.320
-575.199468,97.253335,7.191,7.326
-577.352096,101.793732,7.242,7.328
-579.339665,106.412952,7.270,7.329
-581.155032,111.101820,7.297,7.330
-582.791054,115.851163,7.245,7.315
-584.240590,120.651807,7.133,7.289
-585.496498,125.494579,7.020,7.263
-586.554853,130.371218,6.955,7.283
-587.424020,135.276948,6.981,7.391
-588.115295,140.207822,7.007,7.499
-588.639974,145.159898,6.961,7.511
-589.009354,150.129229,6.861,7.450
-589.234731,155.111871,6.761,7.389
-589.327400,160.103878,6.661,7.328
-589.298658,165.101307,6.748,7.248
-589.159800,170.100217,6.903,7.161
-588.921956,175.097608,7.057,7.074
-588.595909,180.092452,7.212,6.987
-588.192398,185.083970,7.220,7.013
-587.722161,190.071382,7.147,7.102
-587.195939,195.053908,7.074,7.191
-586.624471,200.030771,7.001,7.280
-586.018495,205.001190,6.928,7.369
-585.388750,209.964385,6.854,7.458
-584.745110,214.919489,6.781,7.547
-584.068405,219.862608,6.880,7.504
-583.304213,224.786183,6.988,7.455
-582.395996,229.682432,7.096,7.406
-581.287210,234.543576,7.178,7.365
-579.938188,239.362078,7.124,7.363
-578.371113,244.131303,7.069,7.361
-576.622336,248.844820,7.015,7.359
-574.728209,253.496198,6.981,7.371
-572.723442,258.079633,6.982,7.409
-570.620981,262.597595,6.984,7.447
-568.418368,267.058411,6.985,7.485
-566.112818,271.470533,7.001,7.502
-563.701542,275.842354,7.059,7.456
-561.181037,280.173766,7.118,7.410
-558.546358,284.447432,7.176,7.365
-555.792382,288.643933,7.234,7.319
-552.913975,292.743859,7.119,7.433
