# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.820328,4.346832,6.824,6.809
-5.705134,3.282188,6.808,6.801
-10.590674,2.220840,6.792,6.793
-15.477003,1.163031,6.775,6.785
-20.364175,0.109004,6.759,6.777
-25.252214,-0.941135,6.742,6.769
-30.141019,-1.987836,6.726,6.761
-35.030459,-3.031685,6.710,6.752
-39.920403,-4.073270,6.693,6.744
-44.810719,-5.113181,6.677,6.736
-49.701276,-6.152003,6.660,6.728
-54.591941,-7.190326,6.644,6.720
-59.482585,-8.228738,6.628,6.712
-64.373074,-9.267826,6.611,6.704
-69.263278,-10.308178,6.595,6.696
-74.153066,-11.350382,6.578,6.687
-79.042305,-12.395027,6.562,6.679
-83.930864,-13.442699,6.546,6.671
-88.818612,-14.493987,6.529,6.663
-93.705418,-15.549480,6.513,6.655
-98.591149,-16.609764,6.496,6.647
-103.475675,-17.675428,6.480,6.639
-108.358941,-18.746705,6.464,6.631
-113.241471,-19.821187,6.447,6.622
-118.124048,-20.895279,6.431,6.614
-123.007456,-21.965383,6.414,6.606
-127.892479,-23.027896,6.398,6.598
-132.779902,-24.079220,6.382,6.590
-137.670507,-25.115753,6.365,6.582
-142.565081,-26.133896,6.349,6.574
-147.464384,-27.130147,6.332,6.565
-152.368320,-28.104878,6.316,6.557
-157.275673,-29.063501,6.356,6.535
-162.185155,-30.011767,6.406,6.511
-167.095474,-30.955426,6.455,6.487
-172.005340,-31.900227,6.505,6.463
-176.913465,-32.851922,6.554,6.439
-181.818556,-33.816260,6.603,6.415
-186.719325,-34.798992,6.653,6.391
-191.614836,-35.804427,6.648,6.386
-196.505568,-36.831113,6.643,6.382
-201.392355,-37.876156,6.638,6.378
-206.276032,-38.936664,6.633,6.373
-211.157433,-40.009744,6.628,6.369
-216.037391,-41.092502,6.622,6.364
-220.916740,-42.182046,6.617,6.360
-225.796315,-43.275481,6.612,6.356
-230.676947,-44.369919,6.607,6.351
-235.559095,-45.462984,6.602,6.347
-240.442377,-46.553453,6.597,6.343
-245.326301,-47.640255,6.592,6.338
-250.210377,-48.722322,6.587,6.334
-255.094110,-49.798584,6.582,6.329
-259.977009,-50.867973,6.577,6.325
-264.858582,-51.929418,6.572,6.321
-269.738336,-52.981851,6.567,6.316
-274.615984,-54.025708,6.562,6.312
-279.492756,-55.072503,6.556,6.308
-284.370553,-56.138695,6.551,6.303
-289.251284,-57.240764,6.546,6.299
-294.136871,-58.393933,6.541,6.295
-299.029829,-59.565005,6.536,6.290
-303.933443,-60.658190,6.547,6.369
-308.851047,-61.573545,6.601,6.670
-313.785976,-62.211129,6.598,6.872
-318.739754,-62.496682,6.457,6.831
-323.706733,-62.457683,6.316,6.790
-328.679488,-62.146798,6.229,6.779
-333.650595,-61.616690,6.278,6.653
-338.612319,-60.917301,6.531,6.333
-343.552350,-60.058503,6.578,6.226
-348.454899,-59.019671,6.480,6.270
-353.304086,-57.779418,6.309,6.331
-358.084268,-56.317307,6.201,6.324
-362.783219,-54.626879,6.176,6.228
-367.391315,-52.712298,6.028,6.338
-371.898995,-50.577993,5.872,6.461
-376.296701,-48.228394,5.957,6.373
-380.574872,-45.667930,6.054,6.266
-384.723947,-42.901030,6.146,6.051
-388.734369,-39.932125,6.238,5.836
-392.596575,-36.765642,5.878,6.214
-396.298401,-33.405044,5.853,6.331
-399.808839,-29.846805,6.248,6.101
-403.088605,-26.084325,6.274,6.134
-406.098377,-22.110992,5.918,6.443
-408.799421,-17.920720,5.867,6.492
-411.174209,-13.526440,6.057,6.336
-413.231907,-8.965020,6.197,6.228
-414.983377,-4.274849,6.108,6.337
-416.439443,0.506005,6.036,6.439
-417.609551,5.351071,6.129,6.476
-418.501419,10.248448,6.222,6.512
-419.122651,15.187158,6.218,6.456
-419.480853,20.156221,6.202,6.389
-419.583631,25.144659,6.253,6.355
-419.438592,30.141495,6.330,6.334
-419.053340,35.135749,6.341,6.357
-418.435483,40.116444,6.264,6.439
-417.588765,45.070152,6.197,6.521
-416.502207,49.974112,6.211,6.602
-415.161320,54.803334,6.225,6.682
-413.551614,59.532829,6.221,6.571
-411.658598,64.137607,6.231,6.443
-409.467782,68.592679,6.440,6.282
-406.964676,72.873057,6.498,6.201
-404.134791,76.953750,6.031,6.403
