# x_m,y_m,w_tr_right_m,w_tr_left_m
3.439354,-0.495322,6.556,6.536
6.370784,3.555763,6.558,6.537
9.301950,7.606888,6.560,6.538
12.232871,11.658055,6.562,6.539
15.163568,15.709268,6.564,6.540
18.094060,19.760528,6.566,6.541
21.024366,23.811839,6.568,6.543
23.954506,27.863202,6.571,6.544
26.884500,31.914621,6.573,6.545
29.814366,35.966098,6.575,6.546
32.744125,40.017636,6.577,6.547
35.673796,44.069236,6.579,6.548
38.603399,48.120902,6.581,6.549
41.532953,52.172637,6.583,6.550
44.462475,56.224441,6.585,6.551
47.391971,60.276311,6.587,6.552
50.321445,64.328241,6.589,6.553
53.250899,68.380227,6.591,6.555
56.180339,72.432264,6.594,6.556
59.109766,76.484346,6.596,6.557
62.039185,80.536469,6.598,6.558
64.968599,84.588627,6.600,6.559
67.898011,88.640816,6.602,6.560
70.827426,92.693031,6.604,6.561
73.756845,96.745266,6.606,6.562
76.686274,100.797517,6.608,6.563
79.615716,104.849778,6.610,6.564
82.545173,108.902045,6.612,6.565
85.474650,112.954312,6.614,6.567
88.404150,117.006575,6.616,6.568
91.333676,121.058828,6.619,6.569
94.263232,125.111066,6.621,6.570
97.192822,129.163285,6.623,6.571
100.122449,133.215480,6.625,6.572
103.052116,137.267644,6.627,6.573
105.981826,141.319774,6.629,6.574
108.911585,145.371865,6.631,6.575
111.841394,149.423910,6.633,6.576
114.771257,153.475907,6.635,6.577
117.701179,157.527848,6.637,6.579
120.631161,161.579729,6.639,6.580
123.561209,165.631546,6.642,6.581
126.491325,169.683293,6.644,6.582
129.421513,173.734966,6.646,6.583
132.351776,177.786558,6.648,6.584
135.282117,181.838066,6.650,6.585
138.212541,185.889484,6.652,6.586
141.143051,189.940807,6.654,6.587
144.073651,193.992030,6.656,6.588
147.004343,198.043148,6.658,6.589
149.935130,202.094157,6.660,6.590
152.865943,206.145109,6.662,6.592
155.796552,210.196180,6.664,6.593
158.726709,214.247562,6.667,6.594
161.656164,218.299445,6.669,6.595
164.584671,222.352022,6.671,6.596
167.511979,226.405483,6.673,6.597
170.437840,230.460020,6.675,6.598
173.362005,234.515824,6.677,6.599
176.284227,238.573087,6.679,6.600
179.204255,242.632000,6.681,6.601
182.121842,246.692754,6.684,6.604
185.036739,250.755542,6.690,6.619
187.948697,254.820553,6.697,6.634
190.857468,258.887980,6.704,6.649
193.762802,262.958013,6.711,6.664
196.664452,267.030845,6.718,6.679
199.562168,271.106667,6.725,6.694
202.455702,275.185669,6.731,6.709
205.345402,279.267521,6.738,6.724
208.235749,283.348275,6.745,6.740
211.132970,287.422453,6.752,6.755
214.043297,291.484572,6.759,6.770
216.972963,295.529151,6.668,6.773
219.918145,299.561274,6.577,6.777
222.837321,303.625636,6.486,6.780
225.694474,307.761829,6.395,6.784
228.650262,311.812111,6.304,6.787
231.993320,315.484987,6.470,6.846
235.812361,318.616285,6.933,6.866
240.048606,321.137137,6.788,7.274
244.614426,323.078717,7.202,6.919
249.369038,324.675914,7.028,6.700
254.179144,326.159655,6.965,6.973
259.007574,327.560734,6.974,6.858
263.857250,328.826485,6.917,6.878
268.731227,329.903966,6.741,7.140
273.632468,330.741383,6.699,7.301
278.560992,331.325163,6.788,7.224
283.513254,331.687958,6.950,7.135
288.485493,331.865192,7.279,6.878
293.473950,331.892284,7.281,6.950
298.474866,331.804658,7.205,7.069
303.484481,331.637734,7.243,6.919
308.499035,331.426935,7.192,6.881
313.514768,331.207681,6.961,7.071
318.527930,331.015293,6.890,7.129
323.536043,330.869974,6.901,7.120
328.539242,330.760885,6.939,7.090
333.537985,330.673377,7.021,7.024
338.532727,330.592797,7.104,6.958
343.523926,330.504496,7.045,6.976
348.512039,330.393822,6.879,7.058
353.497523,330.246125,6.713,7.141
358.480834,330.046754,6.605,7.190
363.462430,329.781057,6.646,7.157
368.442789,329.439958,6.687,7.123
373.422470,329.034631,6.728,7.089
378.402053,328.580855,6.769,7.055
383.382115,328.094409,6.809,7.022
388.363233,327.591070,6.850,6.988
393.345987,327.086616,6.891,6.954
398.330952,326.596825,6.932,6.921
403.318709,326.137475,6.892,6.855
408.309834,325.724345,6.837,6.936
413.304483,325.374841,6.779,7.164
418.300004,325.117181,6.627,7.223
423.292605,324.983989,6.765,6.959
428.278488,325.007900,6.954,6.803
433.253857,325.221547,7.234,6.608
438.216096,325.643686,7.140,6.700
443.166847,326.243066,6.918,6.946
448.108711,326.977179,6.876,7.066
453.044290,327.803518,7.014,6.989
457.975269,328.683653,6.898,6.931
462.891414,329.632229,6.779,6.943
467.774152,330.701041,6.781,6.899
472.604738,331.942643,7.042,6.696
477.364424,333.409594,7.155,6.731
482.036584,335.145509,7.065,6.788
486.618453,337.135450,6.933,6.949
491.112850,339.340914,6.757,7.231
495.522607,341.723335,6.970,6.993
499.850612,344.244545,7.106,6.860
504.101513,346.878755,7.047,6.992
508.282012,349.614674,7.045,7.020
512.398930,352.441834,7.074,6.988
516.459087,355.349768,7.063,6.995
520.469305,358.328009,6.979,7.073
524.436404,361.366088,6.896,7.151
528.367204,364.453540,7.095,6.927
532.268526,367.579895,7.326,6.668
536.147178,370.734707,7.361,6.674
540.008316,373.910244,7.378,6.706
