# x_m,y_m,w_tr_right_m,w_tr_left_m
1.040886,-1.132809,6.805,6.754
-1.607133,3.106220,6.807,6.757
-4.255554,7.345051,6.809,6.765
-6.904461,11.583639,6.810,6.773
-9.553940,15.821941,6.811,6.781
-12.204075,20.059911,6.812,6.789
-14.854951,24.297507,6.814,6.796
-17.506653,28.534682,6.815,6.804
-20.159266,32.771394,6.816,6.812
-22.812874,37.007598,6.817,6.820
-25.467563,41.243248,6.819,6.828
-28.123418,45.478302,6.820,6.836
-30.780523,49.712715,6.821,6.844
-33.438963,53.946443,6.822,6.851
-36.098823,58.179440,6.824,6.859
-38.760170,62.411672,6.825,6.867
-41.422882,66.643196,6.826,6.875
-44.086721,70.874126,6.827,6.883
-46.751446,75.104578,6.828,6.891
-49.416818,79.334666,6.830,6.899
-52.082597,83.564507,6.831,6.906
-54.748543,87.794214,6.832,6.914
-57.414417,92.023904,6.833,6.922
-60.079978,96.253692,6.835,6.930
-62.744986,100.483692,6.836,6.938
-65.409202,104.714020,6.837,6.946
-68.072385,108.944791,6.838,6.954
-70.734297,113.176120,6.840,6.961
-73.394697,117.408123,6.841,6.969
-76.053345,121.640914,6.842,6.977
-78.710001,125.874609,6.843,6.985
-81.364426,130.109324,6.845,6.993
-84.016379,134.345172,6.846,7.001
-86.665621,138.582270,6.847,7.009
-89.311912,142.820732,6.848,7.016
-91.955012,147.060674,6.850,7.024
-94.594682,151.302211,6.851,7.032
-97.230778,155.545429,6.852,7.040
-99.864242,159.790091,6.853,7.048
-102.496681,164.035761,6.855,7.056
-105.129715,168.281999,6.852,7.055
-107.764962,172.528365,6.848,7.049
-110.404040,176.774420,6.844,7.044
-113.048570,181.019725,6.839,7.038
-115.700169,185.263840,6.835,7.033
-118.360457,189.506325,6.831,7.027
-121.031052,193.746742,6.827,7.022
-123.713572,197.984650,6.823,7.016
-126.405684,202.221258,6.818,7.011
-129.004463,206.499708,6.814,7.005
-131.300728,210.907434,6.786,7.100
-133.072555,215.522614,6.642,7.678
-134.012839,220.296805,6.607,7.258
-133.761286,225.102497,6.653,6.333
-132.079671,229.819407,6.689,6.586
-129.417559,234.370815,6.564,6.561
-126.127176,238.365809,6.505,7.511
-122.088675,240.778803,6.753,8.362
-117.512729,240.760261,7.220,8.677
-112.812136,239.560466,7.890,8.495
-108.157055,237.992711,7.966,8.458
-103.539702,236.151639,7.970,8.438
-98.949918,234.122288,7.974,8.418
-94.377542,231.989690,7.978,8.398
-89.812416,229.838867,7.981,8.378
-85.246508,227.734106,7.985,8.359
-80.678208,225.677065,7.989,8.339
-76.107116,223.657624,7.993,8.319
-71.532830,221.665665,7.997,8.299
-66.954950,219.691068,8.000,8.279
