# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.208178,-0.934589,6.167,5.970
-6.034134,-2.231884,6.159,5.963
-10.860107,-3.529113,6.151,5.957
-15.686084,-4.826296,6.143,5.951
-20.512055,-6.123457,6.135,5.945
-25.338010,-7.420616,6.127,5.938
-30.163936,-8.717795,6.119,5.932
-34.989824,-10.015017,6.111,5.926
-39.815663,-11.312302,6.103,5.920
-44.641443,-12.609669,6.095,5.913
-49.467166,-13.907118,6.087,5.907
-54.292835,-15.204646,6.079,5.901
-59.118451,-16.502251,6.071,5.895
-63.944017,-17.799931,6.063,5.888
-68.769536,-19.097683,6.056,5.882
-73.595011,-20.395503,6.048,5.876
-78.420444,-21.693391,6.040,5.869
-83.245837,-22.991342,6.032,5.863
-88.071193,-24.289355,6.024,5.857
-92.896515,-25.587427,6.016,5.851
-97.721805,-26.885556,6.008,5.844
-102.547066,-28.183739,6.000,5.838
-107.372300,-29.481972,5.992,5.832
-112.197509,-30.780255,5.984,5.826
-117.022698,-32.078584,5.976,5.819
-121.847867,-33.376956,5.968,5.813
-126.673019,-34.675370,5.960,5.807
-131.498158,-35.973822,5.952,5.801
-136.323285,-37.272310,5.945,5.794
-141.148403,-38.570832,5.937,5.788
-145.973515,-39.869384,5.929,5.782
-150.798623,-41.167965,5.921,5.776
-155.623730,-42.466571,5.913,5.769
-160.448839,-43.765201,5.905,5.763
-165.273951,-45.063851,5.897,5.757
-170.099069,-46.362519,5.889,5.751
-174.924197,-47.661203,5.881,5.744
-179.749336,-48.959899,5.873,5.738
-184.574489,-50.258606,5.865,5.732
-189.399659,-51.557321,5.857,5.726
-194.224847,-52.856041,5.849,5.719
-199.050058,-54.154764,5.841,5.713
-203.875293,-55.453487,5.833,5.707
-208.700555,-56.752207,5.826,5.701
-213.525846,-58.050922,5.818,5.694
-218.351169,-59.349630,5.810,5.688
-223.176526,-60.648328,5.802,5.682
-228.001921,-61.947013,5.794,5.676
-232.827355,-63.245683,5.786,5.669
-237.652831,-64.544334,5.778,5.663
-242.478352,-65.842966,5.770,5.657
-247.303920,-67.141575,5.762,5.651
-252.129538,-68.440158,5.754,5.644
-256.955208,-69.738713,5.746,5.638
-261.780933,-71.037237,5.738,5.632
