# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.030959,0.892517,7.239,7.472
3.213212,-2.913537,7.241,7.473
6.456992,-6.719921,7.243,7.474
9.700371,-10.526643,7.244,7.474
12.943342,-14.333708,7.246,7.475
16.185895,-18.141125,7.248,7.476
19.428022,-21.948899,7.249,7.476
22.669715,-25.757038,7.251,7.477
25.910965,-29.565550,7.253,7.478
29.151763,-33.374439,7.255,7.478
32.392101,-37.183715,7.256,7.479
35.631970,-40.993383,7.258,7.480
38.871363,-44.803451,7.243,7.457
42.110269,-48.613925,7.216,7.418
45.348681,-52.424813,7.189,7.379
48.586590,-56.236121,7.162,7.341
51.823988,-60.047857,7.135,7.302
55.060865,-63.860027,7.109,7.263
58.297215,-67.672637,7.082,7.224
61.533027,-71.485697,7.055,7.186
64.768293,-75.299211,7.028,7.147
68.003005,-79.113187,7.002,7.108
71.237155,-82.927632,6.975,7.070
74.470733,-86.742553,6.948,7.031
77.703732,-90.557957,6.921,6.992
80.936142,-94.373851,6.894,6.953
84.167955,-98.190242,6.868,6.915
87.399162,-102.007136,6.841,6.876
90.629756,-105.824541,6.814,6.837
93.859727,-109.642463,6.787,6.798
97.089067,-113.460910,6.761,6.760
100.317767,-117.279888,6.734,6.721
103.545819,-121.099404,6.707,6.682
106.773214,-124.919466,6.680,6.644
109.999944,-128.740081,6.653,6.605
113.226000,-132.561254,6.627,6.566
116.451373,-136.382993,6.600,6.527
119.676056,-140.205306,6.573,6.489
122.900038,-144.028198,6.546,6.450
126.123313,-147.851678,6.519,6.411
129.345872,-151.675751,6.493,6.372
132.567705,-155.500425,6.466,6.334
135.788804,-159.325707,6.439,6.295
139.009161,-163.151604,6.412,6.256
142.228767,-166.978122,6.386,6.217
145.447614,-170.805269,6.359,6.179
148.665692,-174.633052,6.332,6.140
151.882995,-178.461477,6.305,6.101
155.099550,-182.290520,6.278,6.063
158.315735,-186.119880,6.252,6.024
161.532109,-189.949108,6.225,5.985
164.749232,-193.777753,6.198,5.946
167.967665,-197.605364,6.171,5.908
171.187969,-201.431492,6.144,5.869
