# x_m,y_m,w_tr_right_m,w_tr_left_m
0.532157,0.683296,4.897,5.103
2.364745,5.334933,4.923,5.127
4.197769,9.986401,4.948,5.151
6.031188,14.637711,4.973,5.175
7.864962,19.288876,4.998,5.199
9.699050,23.939907,5.024,5.223
11.533413,28.590818,5.049,5.247
13.368011,33.241619,5.074,5.271
15.202802,37.892324,5.099,5.295
17.037747,42.542945,5.125,5.319
18.872805,47.193493,5.150,5.343
20.707937,51.843982,5.175,5.367
22.543102,56.494424,5.200,5.391
24.378259,61.144830,5.226,5.415
26.213369,65.795214,5.251,5.439
28.048392,70.445586,5.276,5.462
29.883286,75.095960,5.301,5.486
31.718012,79.746348,5.327,5.510
33.552530,84.396762,5.352,5.534
35.386799,89.047215,5.377,5.558
37.220779,93.697717,5.402,5.582
39.054430,98.348283,5.428,5.606
40.887712,102.998924,5.453,5.630
42.720594,107.649650,5.478,5.654
44.553088,112.300460,5.503,5.678
46.385215,116.951354,5.529,5.702
48.216995,121.602328,5.554,5.726
50.048450,126.253380,5.579,5.750
51.879601,130.904508,5.604,5.774
53.710467,135.555710,5.630,5.798
55.541071,140.206984,5.655,5.822
57.371433,144.858327,5.680,5.845
59.201574,149.509737,5.706,5.869
61.031515,154.161212,5.731,5.893
62.861277,158.812750,5.756,5.917
64.690881,163.464349,5.781,5.941
66.520347,168.116005,5.807,5.965
68.349696,172.767718,5.832,5.989
70.178950,177.419484,5.857,6.013
72.008130,182.071302,5.882,6.037
73.837255,186.723170,5.908,6.061
75.666348,191.375084,5.933,6.085
77.495428,196.027043,5.958,6.109
79.324518,200.679045,5.983,6.133
81.153637,205.331088,6.009,6.157
82.982808,209.983168,6.034,6.181
84.812049,214.635285,6.059,6.205
86.641384,219.287435,6.084,6.229
88.470831,223.939617,6.110,6.252
90.300413,228.591828,6.135,6.276
92.130151,233.244066,6.160,6.300
93.960064,237.896329,6.185,6.324
95.790175,242.548614,6.211,6.348
97.620503,247.200920,6.236,6.372
99.451070,251.853244,6.261,6.396
101.281897,256.505584,6.286,6.420
103.113004,261.157938,6.312,6.444
104.944414,265.810303,6.337,6.468
106.776145,270.462677,6.362,6.492
108.608220,275.115058,6.388,6.516
110.440659,279.767444,6.413,6.540
112.273483,284.419833,6.438,6.564
114.106713,289.072222,6.463,6.588
115.940371,293.724609,6.489,6.612
117.774476,298.376992,6.514,6.635
119.609049,303.029368,6.539,6.659
121.444113,307.681736,6.564,6.683
123.279687,312.334093,6.590,6.707
125.115792,316.986437,6.615,6.731
126.952450,321.638766,6.640,6.755
128.789681,326.291077,6.665,6.779
130.627506,330.943369,6.691,6.803
132.465946,335.595638,6.716,6.827
134.305022,340.247883,6.741,6.851
136.144755,344.900102,6.766,6.875
137.985166,349.552292,6.792,6.899
139.826275,354.204452,6.816,6.923
141.703049,358.834150,6.669,7.006
143.790237,363.329247,6.522,7.089
146.297533,367.555174,6.522,6.226
149.430410,371.377456,6.092,6.062
153.233844,374.665208,5.677,6.289
157.546389,377.292164,5.848,6.230
162.193184,379.132861,6.038,6.065
167.032824,380.156906,5.885,6.029
171.996630,380.540564,6.132,5.821
177.025476,380.487235,6.058,5.924
182.059554,380.185028,5.807,6.178
187.029294,379.602590,5.789,6.230
191.857825,378.544299,5.869,6.193
196.468533,376.814537,5.987,6.121
200.800715,374.362007,5.914,6.218
204.813706,371.317256,5.948,6.207
208.468125,367.822436,6.070,6.105
211.718317,364.005752,6.207,5.965
214.474412,359.897096,5.742,6.233
216.627534,355.484090,5.591,6.084
218.074852,350.760072,5.646,5.825
218.799841,345.801310,5.785,5.710
218.849803,340.745397,5.801,5.643
218.273539,335.731369,5.651,5.577
217.143590,330.863893,5.363,5.608
215.622739,326.117005,5.182,5.600
213.895208,321.433703,5.142,5.539
212.128315,316.762215,5.102,5.479
210.370865,312.087418,5.062,5.418
208.620961,307.409870,5.022,5.358
206.876516,302.730188,4.982,5.297
205.135440,298.048988,4.942,5.236
203.395645,293.366886,4.903,5.176
201.655043,288.684500,4.863,5.115
199.911545,284.002446,4.823,5.055
198.163063,279.321341,4.783,4.994
196.407508,274.641802,4.743,4.934
194.642793,269.964445,4.703,4.873
192.866828,265.289887,4.664,4.813
191.077525,260.618744,4.624,4.752
189.272816,255.951628,4.584,4.692
187.454215,251.288108,4.544,4.631
185.630919,246.625519,4.504,4.571
183.813116,241.960908,4.464,4.510
182.010997,237.291322,4.424,4.450
180.234748,232.613808,4.385,4.389
178.494561,227.925413,4.345,4.329
176.800624,223.223184,4.305,4.268
175.163125,218.504167,4.190,4.272
173.592254,213.765411,4.021,4.323
